Date,Price,Open,High,Low,Vol.
2020-03-13,1.36,1.3,1.38,1.3,64099.99999999999
2020-03-12,1.38,1.4,1.4,1.38,515600.0
2020-03-11,1.4,1.39,1.4,1.39,1070000.0
2020-03-10,1.4,1.39,1.4,1.38,1180000.0
2020-03-09,1.4,1.38,1.4,1.35,452900.0
2020-03-06,1.4,1.39,1.4,1.39,124000.0
2020-03-05,1.4,1.4,1.4,1.38,1170000.0
2020-03-04,1.4,1.39,1.4,1.39,451300.0
2020-03-03,1.4,1.39,1.4,1.37,659500.0
2020-03-02,1.39,1.38,1.4,1.38,236300.0
2020-02-28,1.4,1.37,1.4,1.36,385000.0
2020-02-27,1.38,1.39,1.39,1.38,330400.0
2020-02-26,1.4,1.39,1.4,1.38,365300.0
2020-02-25,1.4,1.4,1.4,1.38,154400.0
2020-02-24,1.4,1.39,1.4,1.38,78500.0
2020-02-21,1.4,1.41,1.45,1.39,383000.0
2020-02-20,1.4,1.39,1.4,1.39,96500.0
2020-02-19,1.4,1.39,1.4,1.39,258899.99999999997
2020-02-18,1.4,1.4,1.4,1.4,34000.0
2020-02-17,1.4,1.42,1.42,1.39,245800.0
2020-02-14,1.4,1.38,1.4,1.38,159200.0
2020-02-13,1.38,1.36,1.38,1.32,619100.0
2020-02-12,1.35,1.38,1.38,1.35,431500.0
2020-02-11,1.38,1.38,1.39,1.38,343400.0
2020-02-10,1.38,1.39,1.39,1.38,347900.0
2020-02-07,1.39,1.39,1.39,1.38,23100.0
2020-02-06,1.39,1.39,1.4,1.39,20700.0
2020-02-05,1.4,1.39,1.4,1.39,15300.0
2020-02-04,1.4,1.38,1.4,1.38,150000.0
2020-02-03,1.4,1.38,1.4,1.38,52000.0
2020-01-31,1.4,1.39,1.4,1.37,499900.0
2020-01-30,1.39,1.38,1.39,1.36,734500.0
2020-01-29,1.39,1.39,1.39,1.38,90000.0
2020-01-28,1.39,1.37,1.39,1.35,524200.00000000006
2020-01-24,1.38,1.38,1.39,1.38,284000.0
2020-01-23,1.39,1.39,1.4,1.39,305000.0
2020-01-22,1.39,1.4,1.4,1.39,412500.0
2020-01-21,1.39,1.4,1.4,1.39,348600.0
2020-01-20,1.4,1.4,1.4,1.39,354000.0
2020-01-17,1.4,1.39,1.4,1.39,553000.0
2020-01-16,1.4,1.4,1.4,1.38,761400.0
2020-01-15,1.4,1.41,1.41,1.39,818100.0
2020-01-14,1.41,1.4,1.41,1.39,575600.0
2020-01-13,1.41,1.39,1.41,1.38,782600.0
2020-01-10,1.39,1.38,1.39,1.38,359000.0
2020-01-09,1.38,1.39,1.4,1.38,384500.0
2020-01-08,1.4,1.41,1.41,1.39,197900.0
2020-01-07,1.42,1.41,1.42,1.4,253800.0
2020-01-06,1.4,1.41,1.41,1.39,180100.0
2020-01-03,1.41,1.42,1.42,1.4,365800.0
2020-01-02,1.42,1.43,1.43,1.41,475100.0
2019-12-31,1.43,1.42,1.43,1.42,145400.0
2019-12-30,1.42,1.43,1.43,1.42,1040000.0
2019-12-27,1.43,1.43,1.43,1.42,269100.0
2019-12-26,1.43,1.43,1.43,1.42,231200.0
2019-12-24,1.43,1.42,1.43,1.42,557500.0
