Date,Price,Open,High,Low,Vol.
2020-03-13,1.5,1.55,1.55,1.5,246400.0
2020-03-12,1.56,1.62,1.62,1.55,298100.0
2020-03-11,1.62,1.62,1.67,1.62,242800.0
2020-03-10,1.62,1.62,1.64,1.58,692900.0
2020-03-09,1.62,1.74,1.74,1.62,400700.0
2020-03-06,1.74,1.8,1.8,1.74,180300.0
2020-03-05,1.76,1.8,1.81,1.76,74100.0
2020-03-04,1.8,1.79,1.8,1.76,43100.0
2020-03-03,1.78,1.8,1.8,1.78,21200.0
2020-03-02,1.77,1.78,1.78,1.75,409100.0
2020-02-28,1.78,1.8,1.82,1.77,242700.0
2020-02-27,1.78,1.8,1.81,1.78,202200.0
2020-02-26,1.8,1.81,1.82,1.8,132000.0
2020-02-25,1.81,1.81,1.83,1.81,125300.0
2020-02-24,1.81,1.83,1.83,1.81,369100.0
2020-02-21,1.84,1.85,1.86,1.84,117500.0
2020-02-20,1.85,1.84,1.87,1.84,136300.0
2020-02-19,1.83,1.83,1.84,1.82,43000.0
2020-02-18,1.84,1.85,1.86,1.82,87800.0
2020-02-17,1.85,1.81,1.85,1.81,124500.0
2020-02-14,1.81,1.81,1.82,1.8,55800.0
2020-02-13,1.8,1.8,1.8,1.8,43300.0
2020-02-12,1.8,1.81,1.81,1.8,140000.0
2020-02-11,1.83,1.82,1.83,1.81,85300.0
2020-02-10,1.82,1.81,1.82,1.8,118600.0
2020-02-07,1.83,1.82,1.83,1.82,23300.0
2020-02-06,1.84,1.83,1.85,1.83,79800.0
2020-02-05,1.82,1.85,1.85,1.81,123200.0
2020-02-04,1.82,1.84,1.84,1.81,161500.0
2020-02-03,1.84,1.83,1.84,1.82,139400.0
2020-01-31,1.84,1.87,1.87,1.84,173500.0
2020-01-30,1.85,1.86,1.86,1.85,572000.0
2020-01-29,1.86,1.85,1.86,1.85,345800.0
2020-01-28,1.86,1.85,1.88,1.85,157100.0
2020-01-24,1.88,1.9,1.9,1.88,21900.0
2020-01-23,1.89,1.86,1.89,1.86,28000.0
2020-01-22,1.86,1.87,1.89,1.86,163800.0
2020-01-21,1.89,1.9,1.9,1.88,27000.0
2020-01-20,1.87,1.89,1.89,1.87,122100.0
2020-01-17,1.89,1.88,1.89,1.88,33000.0
2020-01-16,1.88,1.9,1.9,1.88,177100.0
2020-01-15,1.9,1.9,1.91,1.9,107500.0
2020-01-14,1.9,1.9,1.91,1.9,199600.0
2020-01-13,1.89,1.89,1.9,1.88,47300.0
2020-01-10,1.9,1.89,1.9,1.89,16000.0
2020-01-09,1.88,1.89,1.89,1.88,33100.0
2020-01-08,1.88,1.88,1.9,1.87,70300.0
2020-01-07,1.9,1.9,1.9,1.88,134400.0
2020-01-06,1.89,1.89,1.9,1.89,62900.0
2020-01-03,1.9,1.89,1.9,1.89,68400.0
2020-01-02,1.89,1.92,1.92,1.88,113400.0
2019-12-31,1.9,1.91,1.91,1.89,93400.0
2019-12-30,1.91,1.91,1.92,1.9,100100.0
2019-12-27,1.91,1.9,1.92,1.9,16000.0
2019-12-26,1.91,1.93,1.93,1.91,16500.0
2019-12-24,1.91,1.9,1.91,1.9,19100.0
2019-12-23,1.9,1.92,1.92,1.9,27000.0
2019-12-20,1.91,1.92,1.92,1.9,64099.99999999999
2019-12-19,1.91,1.91,1.92,1.91,14600.0
2019-12-18,1.92,1.9,1.92,1.89,59100.0
2019-12-17,1.9,1.9,1.9,1.9,26800.0
2019-12-16,1.9,1.91,1.91,1.89,167500.0
2019-12-13,1.92,1.91,1.92,1.9,50000.0
2019-12-12,1.91,1.93,1.93,1.88,95400.0
2019-12-11,1.9,1.9,1.93,1.9,103400.0
2019-12-10,1.89,1.89,1.89,1.88,92500.0
2019-12-09,1.88,1.89,1.9,1.86,153500.0
2019-12-06,1.89,1.91,1.91,1.89,146200.0
2019-12-05,1.9,1.9,1.91,1.89,114200.0
2019-12-04,1.9,1.9,1.91,1.9,133900.0
2019-12-03,1.91,1.93,1.93,1.91,146500.0
2019-12-02,1.93,1.94,1.94,1.93,85000.0
2019-11-29,1.94,1.95,1.95,1.9,586500.0
2019-11-28,1.98,1.98,1.98,1.97,112800.0
2019-11-27,1.98,1.99,1.99,1.97,98000.0
2019-11-26,1.99,2.0,2.0,1.99,148600.0
2019-11-25,1.99,1.99,2.0,1.98,84800.0
2019-11-22,2.0,2.0,2.0,1.99,37700.0
2019-11-21,1.99,1.99,2.0,1.98,80800.0
2019-11-20,2.01,2.01,2.02,1.99,188700.0
2019-11-19,2.02,2.02,2.03,2.01,83000.0
2019-11-18,2.02,1.98,2.03,1.98,129100.0
2019-11-15,1.99,2.0,2.0,1.98,9100.0
2019-11-14,1.99,1.98,1.99,1.97,201100.0
2019-11-13,1.99,1.99,2.01,1.98,185500.0
2019-11-12,1.98,1.98,2.0,1.98,40400.0
2019-11-11,2.0,1.97,2.01,1.97,505800.0
2019-11-08,1.97,1.96,1.97,1.95,125000.0
2019-11-07,1.95,1.94,1.95,1.93,214000.0
2019-11-06,1.94,1.96,1.96,1.93,293800.0
2019-11-05,1.94,1.93,1.95,1.93,375900.0
2019-11-04,1.93,1.94,1.95,1.93,91000.0
2019-11-01,1.93,1.95,1.95,1.93,138200.0
2019-10-31,1.94,1.93,1.96,1.92,340600.0
2019-10-30,1.93,1.93,1.93,1.92,59700.0
2019-10-29,1.93,1.93,1.93,1.92,64800.0
2019-10-25,1.93,1.93,1.94,1.92,61300.0
2019-10-24,1.93,1.93,1.94,1.92,335000.0
2019-10-23,1.93,1.95,1.95,1.93,246800.0
2019-10-22,1.94,1.95,1.96,1.94,59600.0
2019-10-21,1.95,1.95,1.96,1.94,202100.0
2019-10-18,1.95,1.96,1.96,1.93,48800.0
2019-10-17,1.96,1.94,1.96,1.94,135600.0
2019-10-16,1.93,1.95,1.96,1.93,169700.0
2019-10-15,1.94,1.95,1.95,1.94,103900.0
2019-10-14,1.95,1.95,1.95,1.94,70600.0
2019-10-11,1.94,1.96,1.96,1.94,156000.0
2019-10-10,1.96,1.95,1.96,1.94,59400.0
2019-10-09,1.95,1.95,1.96,1.94,69700.0
2019-10-08,1.96,1.96,1.96,1.96,4000.0
2019-10-07,1.96,1.96,1.96,1.95,52400.0
2019-10-04,1.96,1.96,1.96,1.96,31500.0
2019-10-03,1.97,1.98,1.98,1.95,40600.0
2019-10-02,1.98,1.97,1.98,1.97,72400.0
2019-10-01,1.98,1.98,1.99,1.98,28800.0
2019-09-30,1.98,1.98,1.99,1.97,110800.0
2019-09-27,1.98,1.98,2.0,1.98,62100.0
2019-09-26,1.99,1.99,1.99,1.99,9600.0
2019-09-25,1.98,1.99,1.99,1.98,38100.0
2019-09-24,1.98,2.0,2.0,1.98,51100.0
2019-09-23,2.0,1.99,2.0,1.99,24100.0
2019-09-20,1.98,2.0,2.0,1.98,116100.0
2019-09-19,1.98,1.99,1.99,1.98,23900.0
2019-09-18,1.99,2.0,2.0,1.99,100700.0
2019-09-17,2.0,2.01,2.01,1.99,42700.0
2019-09-13,2.01,2.01,2.02,2.01,12800.0
2019-09-12,2.01,2.02,2.02,2.0,79600.0
2019-09-11,2.01,2.03,2.03,1.98,51700.0
2019-09-10,2.01,2.04,2.04,1.97,56500.0
2019-09-06,2.04,2.02,2.06,2.02,294500.0
2019-09-05,2.01,1.97,2.01,1.97,148300.0
2019-09-04,1.97,1.98,1.98,1.96,61300.0
2019-09-03,1.97,1.99,2.0,1.97,56500.0
