Date,Price,Open,High,Low,Vol.
2020-03-13,3.22,3.23,3.4,3.19,4920000.0
2020-03-12,3.43,3.56,3.58,3.42,7060000.0
2020-03-11,3.58,3.64,3.65,3.58,6600000.0
2020-03-10,3.63,3.56,3.65,3.56,3130000.0
2020-03-09,3.6,3.61,3.69,3.6,5190000.0
2020-03-06,3.69,3.72,3.72,3.65,3090000.0
2020-03-05,3.7,3.71,3.73,3.68,2240000.0
2020-03-04,3.7,3.65,3.74,3.61,4860000.0
2020-03-03,3.63,3.67,3.68,3.6,4790000.0
2020-03-02,3.63,3.7,3.71,3.63,3800000.0
2020-02-28,3.7,3.73,3.75,3.7,5290000.0
2020-02-27,3.77,3.82,3.82,3.75,1960000.0
2020-02-26,3.78,3.72,3.82,3.72,3610000.0
2020-02-25,3.76,3.75,3.8,3.71,4350000.0
2020-02-24,3.76,3.77,3.8,3.73,6190000.0
2020-02-21,3.81,3.86,3.86,3.81,2220000.0
2020-02-20,3.85,3.87,3.93,3.85,1810000.0
2020-02-19,3.88,3.91,3.91,3.86,891900.0
2020-02-18,3.91,3.9,3.96,3.86,4640000.0
2020-02-17,3.89,3.87,3.91,3.86,2450000.0
2020-02-14,3.9,3.85,3.9,3.84,2640000.0
2020-02-13,3.85,3.86,3.88,3.84,831200.0
2020-02-12,3.86,3.85,3.88,3.84,3220000.0
2020-02-11,3.87,3.85,3.88,3.85,890600.0
2020-02-10,3.83,3.86,3.86,3.81,1120000.0
2020-02-07,3.83,3.83,3.86,3.81,2310000.0
2020-02-06,3.85,3.84,3.87,3.79,2029999.9999999998
2020-02-05,3.83,3.76,3.84,3.73,2910000.0
2020-02-04,3.8,3.72,3.82,3.71,3110000.0
2020-02-03,3.69,3.69,3.72,3.66,3180000.0
2020-01-31,3.7,3.78,3.8,3.7,8860000.0
2020-01-30,3.78,3.77,3.81,3.77,4680000.0
2020-01-29,3.77,3.77,3.81,3.77,4110000.0000000005
2020-01-28,3.77,3.81,3.81,3.77,1400000.0
2020-01-24,3.83,3.84,3.84,3.79,1200000.0
2020-01-23,3.84,3.82,3.84,3.81,590300.0
2020-01-22,3.82,3.85,3.86,3.81,1310000.0
2020-01-21,3.84,3.89,3.89,3.82,2360000.0
2020-01-20,3.88,3.91,3.93,3.88,660500.0
2020-01-17,3.94,3.91,3.94,3.89,1920000.0
2020-01-16,3.9,3.89,3.9,3.86,986100.0
2020-01-15,3.91,3.85,3.91,3.82,2110000.0
2020-01-14,3.85,3.91,3.92,3.85,1220000.0
2020-01-13,3.91,3.9,3.92,3.86,1250000.0
2020-01-10,3.89,3.85,3.91,3.85,1150000.0
2020-01-09,3.88,3.81,3.89,3.81,1710000.0
2020-01-08,3.8,3.81,3.82,3.79,1590000.0
2020-01-07,3.83,3.84,3.86,3.79,3950000.0
2020-01-06,3.83,3.92,3.92,3.83,2120000.0
2020-01-03,3.92,3.95,3.95,3.89,2049999.9999999998
2020-01-02,3.94,3.91,3.95,3.9,571500.0
2019-12-31,3.91,3.93,3.93,3.89,1570000.0
2019-12-30,3.94,3.95,3.96,3.92,985800.0
2019-12-27,3.96,3.91,3.96,3.9,741200.0
2019-12-26,3.92,3.92,3.93,3.9,386500.0
2019-12-24,3.9,3.93,3.94,3.9,657200.0
2019-12-23,3.93,3.93,3.96,3.9,1320000.0
2019-12-20,3.95,3.87,3.95,3.87,3520000.0
2019-12-19,3.88,3.87,3.9,3.84,1730000.0
2019-12-18,3.87,3.85,3.87,3.8,1810000.0
2019-12-17,3.85,3.8,3.85,3.79,1880000.0
2019-12-16,3.8,3.83,3.84,3.78,2009999.9999999998
2019-12-13,3.79,3.83,3.86,3.79,2450000.0
2019-12-12,3.88,3.91,3.92,3.87,2120000.0
2019-12-11,3.9,3.87,3.93,3.87,2940000.0
2019-12-10,3.87,3.83,3.88,3.81,1520000.0
2019-12-09,3.82,3.89,3.89,3.82,1710000.0
2019-12-06,3.88,3.87,3.9,3.86,4070000.0000000005
2019-12-05,3.85,3.87,3.88,3.84,3940000.0
2019-12-04,3.82,3.87,3.88,3.81,3550000.0
2019-12-03,3.86,3.95,3.95,3.86,3900000.0
2019-12-02,3.94,4.0,4.04,3.94,1740000.0
2019-11-29,3.99,4.06,4.11,3.92,3580000.0
2019-11-28,4.1,4.09,4.11,4.04,789700.0
2019-11-27,4.09,4.04,4.1,4.04,375400.0
2019-11-26,4.09,4.03,4.1,4.01,5080000.0
2019-11-25,4.03,4.05,4.1,4.01,770600.0
2019-11-22,4.06,4.05,4.14,4.02,1480000.0
2019-11-21,4.06,4.16,4.16,4.01,2840000.0
2019-11-20,4.18,4.16,4.2,4.15,1100000.0
2019-11-19,4.18,4.16,4.2,4.15,1150000.0
2019-11-18,4.19,4.2,4.2,4.15,739200.0
2019-11-15,4.2,4.12,4.2,4.12,2740000.0
2019-11-14,4.15,4.14,4.18,4.11,1610000.0
2019-11-13,4.17,4.15,4.18,4.12,1400000.0
2019-11-12,4.19,4.19,4.19,4.16,1010000.0
2019-11-11,4.18,4.13,4.2,4.13,2890000.0
2019-11-08,4.14,4.1,4.18,4.08,2700000.0
2019-11-07,4.09,4.03,4.09,4.03,1650000.0
2019-11-06,4.04,4.07,4.1,4.04,778800.0
2019-11-05,4.1,4.03,4.13,4.01,2310000.0
2019-11-04,4.02,3.98,4.02,3.98,1300000.0
2019-11-01,3.98,4.0,4.03,3.96,1150000.0
2019-10-31,3.99,3.92,4.05,3.9,8140000.000000001
2019-10-30,3.92,3.92,3.95,3.89,2450000.0
2019-10-29,3.92,3.93,3.95,3.88,3220000.0
2019-10-25,3.93,3.96,3.96,3.9,850800.0
2019-10-24,3.93,3.95,3.99,3.91,1910000.0
2019-10-23,3.97,3.99,3.99,3.94,1080000.0
2019-10-22,3.98,3.94,3.99,3.92,2240000.0
2019-10-21,3.94,4.0,4.01,3.94,1420000.0
2019-10-18,4.02,3.9,4.02,3.88,4080000.0
2019-10-17,3.95,3.9,3.96,3.86,1590000.0
2019-10-16,3.9,3.83,3.9,3.83,2280000.0
2019-10-15,3.83,3.84,3.88,3.82,1530000.0
2019-10-14,3.84,3.85,3.92,3.83,2170000.0
2019-10-11,3.85,3.81,3.87,3.81,1360000.0
2019-10-10,3.83,3.89,3.89,3.81,2140000.0
2019-10-09,3.88,3.94,3.94,3.88,1790000.0
2019-10-08,3.94,3.95,3.96,3.93,2060000.0
2019-10-07,3.95,3.96,3.98,3.93,1070000.0
2019-10-04,3.97,4.02,4.04,3.96,1580000.0
2019-10-03,4.02,4.05,4.09,4.01,1250000.0
2019-10-02,4.06,4.11,4.14,4.06,758800.0
2019-10-01,4.14,4.14,4.15,4.13,244900.0
2019-09-30,4.14,4.12,4.14,4.08,1760000.0
2019-09-27,4.11,4.15,4.16,4.09,1410000.0
2019-09-26,4.16,4.14,4.19,4.14,378500.0
2019-09-25,4.18,4.19,4.19,4.13,939500.0
2019-09-24,4.22,4.17,4.22,4.16,1010000.0
2019-09-23,4.17,4.21,4.21,4.16,1770000.0
2019-09-20,4.21,4.15,4.21,4.1,5520000.0
2019-09-19,4.13,4.1,4.13,4.07,746500.0
2019-09-18,4.11,4.11,4.15,4.06,1280000.0
2019-09-17,4.1,4.13,4.15,4.06,2590000.0
2019-09-13,4.17,4.07,4.17,4.06,1360000.0
2019-09-12,4.05,4.13,4.19,4.05,1980000.0
2019-09-11,4.13,4.19,4.19,4.13,2069999.9999999998
2019-09-10,4.18,4.16,4.2,4.12,2140000.0
2019-09-06,4.16,4.1,4.2,4.1,3190000.0
