Date,Price,Open,High,Low,Vol.
2020-03-13,1.85,1.93,1.93,1.84,5230000.0
2020-03-12,1.99,2.08,2.08,1.98,3420000.0
2020-03-11,2.1,2.07,2.14,2.06,1330000.0
2020-03-10,2.08,2.06,2.09,2.04,2040000.0
2020-03-09,2.1,2.2,2.2,2.09,2680000.0
2020-03-06,2.22,2.26,2.26,2.22,1460000.0
2020-03-05,2.26,2.23,2.27,2.23,1120000.0
2020-03-04,2.23,2.22,2.25,2.21,1380000.0
2020-03-03,2.23,2.25,2.26,2.2,3110000.0
2020-03-02,2.23,2.29,2.29,2.22,2900000.0
2020-02-28,2.31,2.28,2.31,2.24,3430000.0
2020-02-27,2.28,2.29,2.31,2.27,1220000.0
2020-02-26,2.28,2.31,2.32,2.28,3710000.0
2020-02-25,2.32,2.3,2.36,2.27,1360000.0
2020-02-24,2.31,2.36,2.37,2.27,6670000.0
2020-02-21,2.38,2.41,2.41,2.37,3620000.0
2020-02-20,2.41,2.4,2.41,2.39,1980000.0
2020-02-19,2.4,2.4,2.42,2.39,2270000.0
2020-02-18,2.4,2.43,2.43,2.39,2390000.0
2020-02-17,2.43,2.39,2.43,2.39,988700.0
2020-02-14,2.39,2.42,2.42,2.39,1750000.0
2020-02-13,2.41,2.41,2.43,2.4,557700.0
2020-02-12,2.4,2.46,2.46,2.39,3330000.0
2020-02-11,2.45,2.45,2.46,2.41,831600.0
2020-02-10,2.43,2.46,2.46,2.42,799400.0
2020-02-07,2.47,2.41,2.47,2.4,1910000.0
2020-02-06,2.4,2.4,2.42,2.39,1540000.0
2020-02-05,2.41,2.41,2.43,2.38,1680000.0
2020-02-04,2.39,2.41,2.43,2.38,1410000.0
2020-02-03,2.41,2.42,2.42,2.39,2250000.0
2020-01-31,2.45,2.44,2.45,2.42,4330000.0
2020-01-30,2.44,2.43,2.45,2.42,1880000.0
2020-01-29,2.42,2.42,2.44,2.41,3150000.0
2020-01-28,2.42,2.46,2.46,2.42,4460000.0
2020-01-24,2.47,2.45,2.48,2.45,593800.0
2020-01-23,2.45,2.49,2.49,2.45,2550000.0
2020-01-22,2.49,2.53,2.54,2.48,5060000.0
2020-01-21,2.53,2.56,2.56,2.52,2400000.0
2020-01-20,2.55,2.56,2.57,2.55,1650000.0
2020-01-17,2.56,2.57,2.57,2.55,2670000.0
2020-01-16,2.57,2.59,2.59,2.56,2130000.0
2020-01-15,2.58,2.59,2.59,2.57,1370000.0
2020-01-14,2.58,2.58,2.61,2.57,2780000.0
2020-01-13,2.58,2.59,2.6,2.58,2180000.0
2020-01-10,2.59,2.59,2.6,2.58,1260000.0
2020-01-09,2.58,2.6,2.6,2.57,2470000.0
2020-01-08,2.58,2.61,2.61,2.58,2490000.0
2020-01-07,2.62,2.61,2.62,2.6,1620000.0
2020-01-06,2.6,2.62,2.62,2.6,2420000.0
2020-01-03,2.64,2.63,2.64,2.61,1930000.0
2020-01-02,2.62,2.63,2.64,2.61,1480000.0
2019-12-31,2.63,2.63,2.64,2.62,2060000.0
2019-12-30,2.63,2.63,2.65,2.62,1560000.0
2019-12-27,2.61,2.65,2.65,2.61,3380000.0
2019-12-26,2.65,2.65,2.66,2.63,1320000.0
2019-12-24,2.65,2.67,2.68,2.65,1010000.0
2019-12-23,2.67,2.62,2.67,2.61,1370000.0
2019-12-20,2.61,2.63,2.65,2.61,3430000.0
2019-12-19,2.63,2.63,2.65,2.61,1440000.0
2019-12-18,2.63,2.63,2.63,2.6,1240000.0
2019-12-17,2.62,2.58,2.62,2.57,1260000.0
2019-12-16,2.58,2.63,2.63,2.57,2810000.0
2019-12-13,2.62,2.6,2.62,2.58,2000000.0
2019-12-12,2.6,2.62,2.62,2.57,3520000.0
2019-12-11,2.66,2.63,2.66,2.63,3700000.0
2019-12-10,2.64,2.66,2.68,2.64,2260000.0
2019-12-09,2.65,2.69,2.71,2.65,2980000.0
2019-12-06,2.68,2.64,2.69,2.64,1190000.0
2019-12-05,2.64,2.66,2.68,2.64,2210000.0
2019-12-04,2.66,2.64,2.66,2.61,4680000.0
2019-12-03,2.64,2.67,2.68,2.64,4150000.0000000005
2019-12-02,2.69,2.7,2.71,2.67,2460000.0
2019-11-29,2.7,2.66,2.7,2.63,3410000.0
2019-11-28,2.65,2.71,2.72,2.65,6960000.0
2019-11-27,2.69,2.69,2.78,2.68,13480000.0
2019-11-26,2.66,2.65,2.74,2.63,92600000.0
2019-11-25,2.63,2.73,2.76,2.63,14440000.0
2019-11-22,2.72,2.79,2.8,2.72,11470000.0
2019-11-21,2.79,2.86,2.86,2.76,12320000.0
2019-11-20,2.87,2.87,2.89,2.85,3590000.0
2019-11-19,2.85,2.93,2.93,2.85,3590000.0
2019-11-18,2.93,2.93,2.93,2.88,4290000.0
2019-11-15,2.91,2.93,2.96,2.87,6670000.0
2019-11-14,2.92,2.85,2.95,2.85,7460000.0
2019-11-13,2.87,2.84,2.87,2.82,6040000.0
2019-11-12,2.85,2.86,2.87,2.82,5570000.0
2019-11-11,2.84,2.8,2.85,2.8,14810000.0
2019-11-08,2.78,2.9,2.91,2.71,21900000.0
2019-11-07,2.9,2.92,2.94,2.89,2910000.0
