Date,Price,Open,High,Low,Vol.
2020-03-13,13.42,13.88,13.88,13.42,187700.0
2020-03-12,14.14,14.28,14.54,14.12,286700.0
2020-03-11,14.62,14.56,14.8,14.36,122400.0
2020-03-10,14.56,14.3,14.8,14.0,135200.0
2020-03-09,14.4,14.8,14.8,14.12,290300.0
2020-03-06,14.96,15.16,15.16,14.88,48100.0
2020-03-05,15.18,15.1,15.26,15.1,49800.0
2020-03-04,15.2,15.3,15.34,15.14,60400.0
2020-03-03,15.44,14.98,15.54,14.98,44200.0
2020-03-02,14.98,15.1,15.28,14.8,192300.0
2020-02-28,15.3,15.6,15.6,15.12,85200.0
2020-02-27,15.7,15.7,15.8,15.58,75700.0
2020-02-26,15.7,15.12,15.7,15.12,67600.0
2020-02-25,15.48,15.2,15.58,15.2,88700.0
2020-02-24,15.5,15.5,15.74,15.38,163600.0
2020-02-21,15.6,15.4,15.72,15.4,145700.0
2020-02-20,15.4,15.4,15.5,15.32,129100.0
2020-02-19,15.34,15.4,15.4,15.3,314500.0
2020-02-18,15.2,15.1,15.4,15.1,251400.0
2020-02-17,15.0,14.88,15.0,14.8,242600.0
2020-02-14,14.88,14.7,14.88,14.7,55100.0
2020-02-13,14.78,14.8,14.82,14.72,156400.0
2020-02-12,14.8,14.92,14.92,14.76,68100.0
2020-02-11,14.92,14.8,15.18,14.78,159500.0
2020-02-10,14.8,14.48,14.88,14.4,53900.0
2020-02-07,14.3,14.38,14.4,14.28,117900.0
2020-02-06,14.24,14.38,14.38,14.2,105300.0
2020-02-05,14.06,13.98,14.24,13.98,288200.0
2020-02-04,13.96,13.96,14.1,13.96,75000.0
2020-02-03,13.92,14.3,14.3,13.88,120300.0
2020-01-31,14.4,14.36,14.6,14.22,143600.0
2020-01-30,14.62,14.5,14.88,14.44,81900.0
2020-01-29,14.5,14.36,14.6,14.34,153500.0
2020-01-28,14.34,14.7,14.7,14.26,118400.0
2020-01-24,14.86,15.1,15.1,14.8,54000.0
2020-01-23,15.74,15.66,15.86,15.66,118800.0
2020-01-22,15.64,15.6,15.66,15.6,56100.0
2020-01-21,15.54,15.76,15.86,15.46,154400.0
2020-01-20,15.8,15.86,15.9,15.78,82900.0
2020-01-17,15.86,15.84,16.02,15.84,46600.0
2020-01-16,15.84,15.94,15.94,15.8,51000.0
2020-01-15,15.76,15.76,15.86,15.72,81500.0
2020-01-14,15.76,15.62,16.04,15.54,76000.0
2020-01-13,15.54,15.54,15.66,15.38,115700.0
2020-01-10,15.2,15.66,15.68,15.17,162500.0
2020-01-09,15.58,15.76,15.92,15.32,113100.0
2020-01-08,15.66,15.94,16.14,15.66,79200.0
2020-01-07,16.2,16.65,16.65,15.9,67700.0
2020-01-06,16.57,16.75,16.81,16.57,25100.0
2020-01-03,16.75,16.61,16.87,16.61,121000.0
2020-01-02,16.45,16.24,16.45,16.22,103500.0
2019-12-31,16.14,15.98,16.16,15.98,32500.0
2019-12-30,15.98,15.66,16.08,15.66,57200.0
2019-12-27,15.66,15.17,15.66,15.17,25300.0
2019-12-26,15.26,15.18,15.26,15.17,15300.0
2019-12-24,15.17,15.07,15.17,15.07,10100.0
2019-12-23,15.17,15.17,15.17,14.87,35100.0
2019-12-20,15.09,14.83,15.17,14.81,88700.0
2019-12-19,14.73,14.77,14.81,14.69,230800.0
2019-12-18,14.67,14.73,14.73,14.67,18500.0
2019-12-17,14.73,14.75,14.77,14.67,15100.0
2019-12-16,14.75,14.75,14.75,14.67,29300.0
2019-12-13,14.57,14.65,14.65,14.57,25400.0
2019-12-12,14.55,14.47,14.55,14.41,48800.0
2019-12-11,14.47,14.47,14.49,14.45,102500.0
2019-12-10,14.47,14.51,14.53,14.41,39900.0
2019-12-09,14.53,14.49,14.67,14.49,80400.0
2019-12-06,14.49,14.45,14.49,14.45,115200.0
2019-12-05,14.43,14.39,14.43,14.33,20300.0
2019-12-04,14.37,14.37,14.41,14.35,257300.0
2019-12-03,14.45,14.31,14.49,14.29,135000.0
2019-12-02,14.39,14.55,14.55,14.37,135800.0
2019-11-29,14.45,14.47,14.65,14.43,40400.0
2019-11-28,14.47,14.49,14.77,14.25,730400.0
2019-11-27,13.88,13.74,13.88,13.74,49700.0
2019-11-26,13.78,13.84,13.84,13.76,32700.000000000004
2019-11-25,13.86,13.74,13.86,13.72,6200.0
2019-11-22,13.88,13.86,13.92,13.7,17000.0
2019-11-21,13.86,13.92,13.96,13.78,14500.0
2019-11-20,13.88,13.8,13.88,13.7,8200.0
2019-11-19,13.76,13.72,13.76,13.72,21200.0
2019-11-18,13.72,13.7,13.78,13.68,2800.0
2019-11-15,13.78,13.72,13.96,13.66,27400.0
2019-11-14,13.74,13.78,13.82,13.74,6300.0
2019-11-13,13.84,13.74,13.84,13.7,6100.0
2019-11-12,13.7,13.7,13.76,13.68,9300.0
2019-11-11,13.7,13.7,13.72,13.7,5400.0
2019-11-08,13.72,13.72,13.76,13.72,4200.0
2019-11-07,13.86,13.96,13.96,13.86,3400.0
2019-11-06,13.88,13.68,13.88,13.68,36800.0
2019-11-05,13.74,13.68,13.74,13.66,284100.0
2019-11-04,13.68,13.68,13.68,13.66,26800.0
2019-11-01,13.68,13.7,13.7,13.66,24800.0
2019-10-31,13.68,13.66,13.76,13.66,239700.0
2019-10-30,13.62,13.66,13.66,13.62,13800.0
2019-10-29,13.68,13.68,13.68,13.66,64599.99999999999
2019-10-25,13.68,13.68,13.68,13.64,9200.0
2019-10-24,13.68,13.68,13.7,13.66,10800.0
2019-10-23,13.68,13.94,13.94,13.66,7800.0
2019-10-22,13.72,13.74,13.74,13.66,7100.0
2019-10-21,13.88,13.88,13.96,13.68,9000.0
2019-10-18,13.68,13.78,13.8,13.68,60400.0
2019-10-17,13.78,13.84,13.84,13.7,2100.0
2019-10-16,13.68,13.9,13.9,13.68,8300.0
2019-10-15,13.76,13.86,13.86,13.76,24400.0
2019-10-14,13.68,13.88,13.88,13.68,18600.0
2019-10-11,13.84,14.04,14.04,13.76,7300.0
2019-10-10,13.88,13.86,14.04,13.68,7000.0
2019-10-09,14.0,14.05,14.05,14.0,1300.0
2019-10-08,13.78,13.78,13.86,13.74,10400.0
2019-10-07,13.74,13.58,14.07,13.58,119600.0
2019-10-04,13.68,13.58,13.68,13.54,329800.0
2019-10-03,13.58,13.62,13.62,13.58,4500.0
2019-10-02,13.64,13.68,13.74,13.64,3800.0
2019-10-01,13.7,13.68,13.72,13.68,27200.0
2019-09-30,13.72,13.74,13.74,13.7,12000.0
2019-09-27,13.76,13.98,13.98,13.74,23300.0
2019-09-26,13.88,13.98,13.98,13.88,19300.0
2019-09-25,13.98,14.09,14.09,13.98,8800.0
2019-09-24,14.17,14.13,14.21,14.13,54100.0
2019-09-23,14.17,14.17,14.17,14.17,1500.0
2019-09-20,14.17,14.49,14.67,14.17,7300.0
2019-09-19,14.17,14.17,14.25,14.17,1100.0
2019-09-18,14.17,14.27,14.27,14.07,3000.0
2019-09-17,14.45,14.33,14.57,14.27,5100.0
2019-09-13,14.17,14.37,14.37,14.17,10100.0
2019-09-12,14.37,14.23,14.37,14.19,9200.0
2019-09-11,14.41,14.43,14.43,14.39,3600.0
2019-09-10,14.43,14.47,14.53,14.39,9400.0
2019-09-06,14.47,14.67,14.67,14.47,4000.0
2019-09-05,14.67,14.77,14.77,14.57,3300.0
2019-09-04,14.57,14.85,14.85,14.57,11900.0
2019-09-03,14.63,14.67,14.85,14.55,4900.0
2019-08-30,14.65,14.55,14.83,14.55,53200.0
2019-08-29,14.33,14.37,14.43,14.25,10300.0
2019-08-28,14.37,14.43,14.45,14.37,24200.0
2019-08-27,14.45,14.05,14.45,14.05,1800.0
2019-08-26,14.29,14.45,14.47,14.29,4000.0
2019-08-23,14.47,13.86,14.55,13.78,102300.0
2019-08-22,13.68,13.58,13.68,13.58,3600.0
2019-08-21,13.84,13.18,14.0,13.18,21200.0
2019-08-20,13.06,13.08,13.08,13.06,7100.0
2019-08-19,13.04,13.14,13.18,13.04,12800.0
2019-08-16,13.12,13.2,13.22,13.08,61900.0
2019-08-15,13.24,13.34,13.58,13.24,44500.0
2019-08-14,13.38,13.48,13.68,13.38,32400.0
2019-08-13,13.42,13.42,13.74,13.4,30500.0
2019-08-09,13.52,13.62,13.86,13.52,58900.0
2019-08-08,13.6,13.58,14.0,13.58,41800.0
2019-08-07,13.58,13.56,13.88,13.52,22000.0
2019-08-06,13.54,13.56,13.78,13.54,43900.0
2019-08-05,13.56,14.0,14.0,13.56,25500.0
2019-08-02,13.58,13.68,13.68,13.58,33500.0
2019-08-01,13.78,13.68,13.78,13.66,43200.0
2019-07-31,13.78,13.98,13.98,13.78,9400.0
2019-07-29,13.92,13.9,13.98,13.8,15200.0
2019-07-26,13.9,13.88,13.92,13.68,38600.0
2019-07-25,13.7,13.7,13.72,13.68,37500.0
2019-07-24,13.7,13.7,13.84,13.68,20000.0
2019-07-23,13.68,13.68,13.68,13.68,14100.0
2019-07-22,13.7,13.68,13.7,13.68,4700.0
2019-07-19,13.68,13.68,13.74,13.68,7200.0
2019-07-18,13.84,13.76,13.84,13.74,1100.0
2019-07-17,13.86,13.78,13.86,13.78,1000.0
2019-07-16,13.78,13.78,13.8,13.68,6700.0
2019-07-15,13.78,13.68,13.78,13.68,14400.0
2019-07-12,13.68,13.72,13.72,13.68,31000.0
2019-07-11,13.72,13.5,13.82,13.5,13800.0
2019-07-10,13.72,13.5,13.84,13.5,16300.0
2019-07-09,13.86,13.86,13.86,13.78,1400.0
2019-07-08,13.7,13.68,13.7,13.68,3900.0
2019-07-05,13.7,13.78,13.8,13.68,4400.0
2019-07-04,13.8,13.7,13.8,13.7,5300.0
2019-07-03,13.7,13.7,13.7,13.68,7000.0
2019-07-02,13.68,13.7,13.7,13.68,6500.0
2019-07-01,13.78,13.88,13.88,13.78,8200.0
2019-06-28,13.88,13.88,13.98,13.88,6000.0
2019-06-27,13.68,13.68,13.68,13.66,12000.0
2019-06-26,13.64,13.68,13.68,13.64,11500.0
2019-06-25,13.68,13.7,13.7,13.64,54800.0
2019-06-24,13.88,13.88,13.88,13.88,9700.0
2019-06-21,13.88,13.88,14.0,13.8,208700.0
2019-06-20,13.88,13.74,13.98,13.74,367100.0
2019-06-19,13.86,13.76,13.86,13.76,10500.0
2019-06-18,13.7,13.86,13.86,13.7,30100.0
2019-06-17,13.68,13.78,13.8,13.68,23300.0
2019-06-14,13.76,13.78,13.8,13.72,8900.0
2019-06-13,13.68,13.76,13.76,13.58,10300.0
2019-06-12,13.7,13.7,13.72,13.64,24900.0
2019-06-11,13.72,13.68,13.74,13.66,26200.0
2019-06-10,13.68,13.68,13.78,13.68,15300.0
2019-06-07,13.64,13.4,13.64,13.38,8300.0
2019-06-03,13.28,13.6,13.66,13.28,16900.0
2019-05-31,13.6,13.56,13.66,13.56,17100.0
2019-05-30,13.6,13.46,13.62,13.46,20300.0
2019-05-29,13.48,13.38,13.48,13.28,2200.0
2019-05-28,13.26,13.38,13.38,13.26,600.0
2019-05-27,13.24,13.28,13.28,13.2,6600.0
2019-05-24,13.26,13.3,13.38,13.18,5200.0
2019-05-23,13.06,13.28,13.28,13.06,11800.0
2019-05-21,13.3,13.3,13.3,13.3,14500.0
2019-05-17,13.3,13.28,13.3,13.28,2200.0
2019-05-16,13.3,13.18,13.48,12.89,10200.0
2019-05-15,13.38,13.18,13.38,13.18,5400.0
2019-05-14,13.14,13.02,13.14,12.89,42900.0
2019-05-13,13.04,13.38,13.38,13.04,19400.0
2019-05-10,13.48,13.48,13.48,13.46,10000.0
2019-05-09,13.48,13.48,13.58,13.3,32700.000000000004
2019-05-08,13.48,13.48,13.58,13.48,2600.0
2019-05-07,13.48,13.48,13.48,13.48,800.0
2019-05-06,13.48,13.38,13.48,13.38,17900.0
2019-05-03,13.48,13.54,13.54,13.48,1400.0
2019-05-02,13.48,13.48,13.5,13.48,17900.0
2019-04-30,13.48,13.48,13.48,13.48,2400.0
2019-04-29,13.48,13.78,13.78,13.38,6900.0
2019-04-26,13.48,13.48,13.5,13.44,338000.0
2019-04-25,13.48,13.46,13.5,13.42,209700.0
2019-04-24,13.48,13.58,13.58,13.48,11300.0
2019-04-23,13.58,13.48,13.74,13.3,18300.0
2019-04-22,13.58,13.42,13.58,13.2,10200.0
2019-04-19,13.42,13.38,13.48,13.38,49500.0
2019-04-18,13.28,13.38,13.38,13.24,35300.0
2019-04-17,13.48,13.82,13.86,13.48,32800.0
2019-04-16,13.84,14.07,14.07,13.52,37300.0
2019-04-15,14.07,14.13,14.13,14.05,2800.0
2019-04-12,14.15,14.25,14.25,14.15,3300.0
2019-04-11,14.25,14.27,14.27,14.25,2600.0
2019-04-10,14.27,14.33,14.33,14.27,400.0
2019-04-08,14.35,14.37,14.37,14.35,7200.0
2019-04-05,14.37,14.37,14.37,14.37,300.0
2019-04-04,14.41,14.43,14.43,14.41,1200.0
2019-04-03,14.43,14.37,14.43,14.37,2700.0
2019-04-02,14.37,14.39,14.39,14.37,1500.0
