Date,Price,Open,High,Low,Vol.
2020-03-13,3.46,3.55,3.57,3.44,1250000.0
2020-03-12,3.6,3.7,3.7,3.55,72000.0
2020-03-11,3.7,3.63,3.7,3.63,268700.0
2020-03-10,3.64,3.6,3.65,3.6,1910000.0
2020-03-09,3.65,3.71,3.71,3.6,1260000.0
2020-03-06,3.72,3.78,3.78,3.72,21300.0
2020-03-05,3.72,3.71,3.72,3.71,6100.0
2020-03-04,3.71,3.73,3.79,3.69,173200.0
2020-03-03,3.73,3.78,3.78,3.7,300300.0
2020-03-02,3.73,3.78,3.78,3.69,165100.0
2020-02-28,3.78,3.76,3.81,3.74,197400.0
2020-02-27,3.76,3.75,3.77,3.75,99400.0
2020-02-26,3.75,3.75,3.9,3.75,59400.0
2020-02-25,3.77,3.75,3.78,3.72,1370000.0
2020-02-24,3.76,3.85,3.85,3.75,443100.0
2020-02-21,3.86,3.88,3.88,3.86,193000.0
2020-02-20,3.88,3.88,3.89,3.87,307800.0
2020-02-19,3.87,3.88,3.88,3.87,273100.0
2020-02-18,3.87,3.89,3.9,3.87,229000.0
2020-02-17,3.89,3.94,3.99,3.89,170000.0
2020-02-14,3.94,3.81,3.98,3.8,459400.0
2020-02-13,3.79,3.75,3.84,3.75,672200.0
2020-02-12,3.75,3.91,3.91,3.59,1030000.0
2020-02-11,3.9,3.9,3.99,3.88,840200.0
2020-02-10,3.95,3.97,3.99,3.94,600500.0
2020-02-07,3.9,4.01,4.01,3.9,873600.0
2020-02-06,3.88,3.88,3.91,3.87,2009999.9999999998
2020-02-05,3.86,3.82,3.87,3.8,1560000.0
2020-02-04,3.8,3.81,3.86,3.78,1180000.0
2020-02-03,3.79,3.92,3.95,3.79,1240000.0
2020-01-31,3.95,3.95,4.04,3.94,1060000.0
2020-01-30,3.95,3.98,3.98,3.94,1020000.0
2020-01-29,3.95,4.02,4.02,3.93,293600.0
2020-01-28,3.91,4.0,4.02,3.86,405600.0
2020-01-24,4.0,4.01,4.2,3.99,1250000.0
2020-01-23,4.01,4.07,4.13,4.01,2009999.9999999998
2020-01-22,4.06,4.2,4.2,4.04,940500.0
2020-01-21,4.2,4.07,4.3,4.06,745000.0
2020-01-20,4.07,4.2,4.2,4.07,600400.0
2020-01-17,4.2,4.18,4.23,4.18,268900.0
2020-01-16,4.18,4.4,4.4,4.18,2160000.0
2020-01-15,4.4,4.39,4.4,4.34,358000.0
2020-01-14,4.4,4.4,4.4,4.38,350400.0
2020-01-13,4.4,4.4,4.4,4.34,1260000.0
2020-01-10,4.4,4.4,4.4,4.36,2760000.0
2020-01-09,4.36,4.33,4.44,4.33,236800.0
2020-01-08,4.38,4.48,4.48,4.35,124100.0
2020-01-07,4.39,4.45,4.47,4.39,171700.0
2020-01-06,4.45,4.43,4.48,4.36,117100.0
2020-01-03,4.46,4.3,4.46,4.3,223100.0
2020-01-02,4.38,4.42,4.46,4.3,157400.0
2019-12-31,4.4,4.4,4.44,4.4,141200.0
2019-12-30,4.45,4.42,4.45,4.42,38800.0
2019-12-27,4.45,4.42,4.49,4.39,103400.0
2019-12-26,4.44,4.44,4.45,4.39,171700.0
2019-12-24,4.44,4.39,4.44,4.37,124300.0
2019-12-23,4.37,4.4,4.4,4.31,276700.0
2019-12-20,4.5,4.49,4.51,4.49,189600.0
2019-12-19,4.5,4.45,4.55,4.44,553000.0
2019-12-18,4.45,4.36,4.46,4.33,195000.0
2019-12-17,4.36,4.45,4.45,4.25,354100.0
2019-12-16,4.44,4.48,4.49,4.43,108500.0
2019-12-13,4.46,4.39,4.48,4.39,152800.0
2019-12-12,4.33,4.32,4.4,4.32,451000.0
2019-12-11,4.28,4.3,4.3,4.27,744800.0
2019-12-10,4.3,4.22,4.3,4.22,21400.0
2019-12-09,4.24,4.26,4.26,4.23,50200.0
2019-12-06,4.28,4.27,4.3,4.24,1460000.0
2019-12-05,4.27,4.28,4.28,4.27,29000.0
2019-12-04,4.27,4.3,4.3,4.24,2080000.0
2019-12-03,4.22,4.17,4.23,4.17,1170000.0
2019-12-02,4.18,4.18,4.19,4.16,327500.0
2019-11-29,4.16,4.19,4.19,4.1,83300.0
2019-11-28,4.2,4.16,4.22,4.06,104400.0
2019-11-27,4.18,4.17,4.22,4.17,200300.0
2019-11-26,4.17,4.25,4.33,4.15,196000.0
