Date,Price,Open,High,Low,Vol.
2020-03-13,0.205,0.215,0.22,0.205,10050000.0
2020-03-12,0.22,0.225,0.225,0.22,8970000.0
2020-03-11,0.225,0.23,0.235,0.225,18340000.0
2020-03-10,0.23,0.22,0.23,0.215,14270000.0
2020-03-09,0.225,0.23,0.235,0.215,20160000.0
2020-03-06,0.235,0.23,0.235,0.23,5100000.0
2020-03-05,0.235,0.23,0.235,0.23,3550000.0
2020-03-04,0.235,0.23,0.235,0.23,2250000.0
2020-03-03,0.235,0.23,0.235,0.22,8300000.000000001
2020-03-02,0.23,0.215,0.23,0.2,17280000.0
2020-02-28,0.215,0.23,0.235,0.215,31380000.0
2020-02-27,0.23,0.235,0.235,0.23,3830000.0
2020-02-26,0.235,0.23,0.235,0.23,14270000.0
2020-02-25,0.23,0.235,0.235,0.23,4500000.0
2020-02-24,0.235,0.235,0.24,0.23,20510000.0
2020-02-21,0.24,0.235,0.24,0.235,618800.0
2020-02-20,0.24,0.235,0.24,0.235,819100.0
2020-02-19,0.24,0.235,0.24,0.235,947100.0
2020-02-18,0.24,0.24,0.24,0.235,1300000.0
2020-02-17,0.24,0.24,0.24,0.235,1040000.0
2020-02-14,0.24,0.24,0.24,0.235,849000.0
2020-02-13,0.24,0.235,0.24,0.235,335700.0
2020-02-12,0.24,0.235,0.24,0.235,1340000.0
2020-02-11,0.24,0.235,0.24,0.235,3530000.0
2020-02-10,0.24,0.235,0.24,0.235,8020000.0
2020-02-07,0.235,0.235,0.24,0.235,2890000.0
2020-02-06,0.24,0.235,0.24,0.235,4610000.0
2020-02-05,0.235,0.24,0.24,0.235,3260000.0
2020-02-04,0.24,0.235,0.24,0.235,2640000.0
2020-02-03,0.24,0.235,0.24,0.235,5920000.0
2020-01-31,0.24,0.24,0.245,0.235,8130000.000000001
2020-01-30,0.24,0.24,0.245,0.235,3200000.0
2020-01-29,0.24,0.24,0.245,0.235,8330000.0
2020-01-28,0.24,0.235,0.24,0.235,2120000.0
2020-01-24,0.24,0.24,0.24,0.235,2460000.0
2020-01-23,0.24,0.245,0.245,0.24,1550000.0
2020-01-22,0.245,0.245,0.245,0.24,1240000.0
2020-01-21,0.24,0.24,0.245,0.24,6410000.0
2020-01-20,0.245,0.245,0.245,0.24,604900.0
2020-01-17,0.245,0.245,0.245,0.24,1690000.0
2020-01-16,0.24,0.245,0.245,0.24,2460000.0
2020-01-15,0.24,0.245,0.245,0.24,2900000.0
2020-01-14,0.24,0.245,0.245,0.24,1770000.0
2020-01-13,0.24,0.24,0.245,0.24,716500.0
2020-01-10,0.245,0.24,0.245,0.24,911400.0
2020-01-09,0.24,0.235,0.245,0.235,10140000.0
2020-01-08,0.235,0.245,0.245,0.235,9090000.0
2020-01-07,0.245,0.245,0.25,0.24,6360000.0
2020-01-06,0.245,0.25,0.25,0.245,1080000.0
2020-01-03,0.25,0.245,0.255,0.245,16350000.000000002
2020-01-02,0.245,0.25,0.25,0.24,4290000.0
2019-12-31,0.25,0.25,0.25,0.245,1710000.0
2019-12-30,0.245,0.245,0.25,0.24,13880000.0
2019-12-27,0.245,0.24,0.245,0.24,3060000.0
2019-12-26,0.24,0.24,0.245,0.24,285900.0
2019-12-24,0.24,0.24,0.245,0.24,145000.0
2019-12-23,0.245,0.24,0.245,0.24,551800.0
2019-12-20,0.24,0.245,0.245,0.24,1790000.0
2019-12-19,0.245,0.24,0.245,0.24,1280000.0
2019-12-18,0.24,0.245,0.245,0.24,616600.0
2019-12-17,0.245,0.245,0.245,0.24,1880000.0
2019-12-16,0.245,0.245,0.245,0.24,3380000.0
2019-12-13,0.245,0.245,0.245,0.24,2069999.9999999998
2019-12-12,0.24,0.24,0.245,0.235,7930000.0
2019-12-11,0.24,0.24,0.24,0.235,1840000.0
2019-12-10,0.24,0.24,0.24,0.235,1630000.0
2019-12-09,0.24,0.24,0.24,0.235,1160000.0
2019-12-06,0.24,0.24,0.24,0.235,4150000.0000000005
2019-12-05,0.24,0.24,0.24,0.235,6230000.0
2019-12-04,0.24,0.24,0.24,0.235,4540000.0
2019-12-03,0.24,0.235,0.24,0.235,1660000.0
2019-12-02,0.24,0.24,0.24,0.235,1090000.0
2019-11-29,0.24,0.235,0.24,0.235,8289999.999999999
2019-11-28,0.24,0.235,0.24,0.235,3070000.0
2019-11-27,0.235,0.235,0.24,0.235,3320000.0
2019-11-26,0.235,0.24,0.24,0.235,19830000.0
2019-11-25,0.24,0.24,0.24,0.235,2410000.0
2019-11-22,0.24,0.235,0.24,0.235,1390000.0
2019-11-21,0.24,0.235,0.24,0.235,3800000.0
2019-11-20,0.24,0.235,0.24,0.235,5430000.0
2019-11-19,0.24,0.24,0.24,0.235,1840000.0
2019-11-18,0.24,0.235,0.24,0.235,1060000.0
2019-11-15,0.24,0.235,0.24,0.235,6780000.0
