Date,Price,Open,High,Low,Vol.
2020-03-13,1.5,1.49,1.51,1.48,2220000.0
2020-03-12,1.53,1.53,1.54,1.49,4320000.0
2020-03-11,1.54,1.56,1.58,1.54,2790000.0
2020-03-10,1.55,1.59,1.6,1.55,4450000.0
2020-03-09,1.61,1.67,1.67,1.58,2650000.0
2020-03-06,1.69,1.75,1.76,1.68,2820000.0
2020-03-05,1.76,1.76,1.77,1.75,889100.0
2020-03-04,1.76,1.75,1.76,1.74,976800.0
2020-03-03,1.75,1.77,1.81,1.75,900400.0
2020-03-02,1.76,1.78,1.78,1.74,1360000.0
2020-02-28,1.78,1.75,1.78,1.73,1610000.0
2020-02-27,1.75,1.8,1.81,1.75,3280000.0
2020-02-26,1.79,1.8,1.81,1.78,2120000.0
2020-02-25,1.8,1.78,1.82,1.77,3530000.0
2020-02-24,1.79,1.8,1.82,1.77,3790000.0
2020-02-21,1.83,1.87,1.87,1.83,3970000.0
2020-02-20,1.87,1.88,1.88,1.84,2670000.0
2020-02-19,1.87,1.88,1.89,1.86,3000000.0
2020-02-18,1.88,1.92,1.93,1.88,1860000.0
2020-02-17,1.92,1.9,1.92,1.89,4040000.0
2020-02-14,1.89,1.92,1.92,1.89,7590000.0
2020-02-13,1.92,1.92,1.94,1.9,5550000.0
2020-02-12,1.91,1.98,1.99,1.9,2910000.0
2020-02-11,1.97,1.9,1.98,1.9,3580000.0
2020-02-10,1.9,1.87,1.92,1.87,2930000.0
2020-02-07,1.87,1.87,1.9,1.85,2260000.0
2020-02-06,1.86,1.86,1.91,1.85,2270000.0
2020-02-05,1.82,1.82,1.84,1.8,1190000.0
2020-02-04,1.82,1.8,1.86,1.79,4110000.0000000005
2020-02-03,1.8,1.84,1.84,1.74,4220000.0
2020-01-31,1.85,1.89,1.9,1.85,3450000.0
2020-01-30,1.88,1.88,1.89,1.87,2470000.0
2020-01-29,1.88,1.9,1.9,1.87,2130000.0
2020-01-28,1.88,1.92,1.92,1.86,2910000.0
2020-01-24,1.93,1.96,1.97,1.92,3870000.0
2020-01-23,1.96,1.98,2.0,1.96,10940000.0
2020-01-22,1.98,2.02,2.03,1.98,3500000.0
2020-01-21,2.02,2.04,2.04,2.0,5160000.0
2020-01-20,2.02,2.02,2.04,2.01,2550000.0
2020-01-17,2.01,2.03,2.03,2.01,1600000.0
2020-01-16,2.02,2.01,2.03,2.0,3790000.0
2020-01-15,2.01,2.04,2.05,2.0,4450000.0
2020-01-14,2.04,2.06,2.06,2.03,3460000.0
2020-01-13,2.05,2.06,2.07,2.04,1570000.0
2020-01-10,2.06,2.08,2.09,2.05,2980000.0
2020-01-09,2.09,2.05,2.12,2.05,4270000.0
2020-01-08,2.05,2.09,2.1,2.03,3450000.0
2020-01-07,2.1,2.03,2.12,2.03,1340000.0
2020-01-06,2.03,2.07,2.09,2.03,3200000.0
2020-01-03,2.07,2.06,2.09,2.05,5100000.0
2020-01-02,2.06,2.09,2.1,2.05,1600000.0
2019-12-31,2.1,2.12,2.13,2.08,1600000.0
2019-12-30,2.11,2.1,2.13,2.1,719400.0
2019-12-27,2.1,2.07,2.12,2.07,1040000.0
2019-12-26,2.06,2.05,2.07,2.05,164700.0
2019-12-24,2.05,2.05,2.07,2.04,384500.0
2019-12-23,2.05,2.03,2.06,2.02,879300.0
2019-12-20,2.02,2.04,2.07,2.02,1840000.0
2019-12-19,2.04,2.04,2.06,2.02,1810000.0
