Date,Price,Open,High,Low,Vol.
2020-03-13,4.0,4.0,4.0,4.0,
2020-03-12,4.0,4.0,4.0,4.0,2500.0
2020-03-10,4.2,4.2,4.2,4.2,5100.0
2020-03-09,4.2,4.38,4.38,4.2,5000.0
2020-03-05,4.5,4.5,4.5,4.5,7000.0
2020-03-04,4.5,4.31,4.5,4.3,2000.0
2020-03-03,4.32,4.32,4.32,4.32,3500.0
2020-03-02,4.32,4.32,4.32,4.32,1000.0
2020-02-28,4.65,4.65,4.65,4.65,1800.0
2020-02-27,4.65,4.89,4.89,4.65,200.0
2020-02-25,4.65,4.65,4.65,4.65,1000.0
2020-02-24,4.65,4.65,4.65,4.65,1200.0
2020-02-21,4.9,4.8,4.9,4.7,4700.0
2020-02-20,4.96,4.9,4.98,4.9,6300.0
2020-02-19,4.94,4.74,4.95,4.74,11800.0
2020-02-18,4.7,4.7,4.7,4.7,100.0
2020-02-17,4.65,4.6,4.65,4.6,5000.0
2020-02-14,4.65,4.64,4.65,4.6,12000.0
2020-02-10,4.64,4.6,4.64,4.6,3700.0
2020-02-07,4.64,4.5,4.64,4.5,1000.0
2020-02-06,4.59,4.6,4.6,4.5,3400.0
2020-02-05,4.3,4.3,4.3,4.3,900.0
2020-02-04,4.3,4.5,4.5,4.3,9000.0
2020-02-03,4.4,4.4,4.41,4.3,9000.0
2020-01-31,4.5,4.5,4.5,4.5,11500.0
2020-01-30,4.5,4.46,4.5,4.46,6100.0
2020-01-29,4.5,4.5,4.5,4.5,5000.0
2020-01-28,4.5,4.59,4.59,4.3,1100.0
2020-01-20,4.64,4.64,4.64,4.64,1000.0
2020-01-15,4.55,4.55,4.55,4.55,400.0
2020-01-14,4.6,4.6,4.6,4.6,1000.0
2020-01-10,4.55,4.56,4.56,4.55,1200.0
2020-01-09,4.55,4.55,4.55,4.55,400.0
2020-01-08,4.55,4.55,4.55,4.55,6200.0
2020-01-07,4.55,4.55,4.55,4.55,3000.0
2020-01-06,4.55,4.41,4.55,4.41,4900.0
2020-01-03,4.55,4.55,4.55,4.55,2000.0
2020-01-02,4.55,4.55,4.55,4.55,2100.0
2019-12-31,4.45,4.42,4.45,4.39,13100.0
2019-12-30,4.4,4.39,4.4,4.39,13800.0
2019-12-27,4.39,4.4,4.4,4.3,4000.0
2019-12-24,4.39,4.34,4.39,4.34,3000.0
2019-12-23,4.34,4.34,4.34,4.3,3000.0
2019-12-20,4.25,4.35,4.35,4.25,9000.0
2019-12-17,4.2,4.2,4.2,4.2,2000.0
2019-12-16,4.02,4.3,4.32,4.02,6800.0
2019-12-13,4.3,4.3,4.3,4.3,1000.0
2019-12-10,4.34,4.35,4.35,4.34,1100.0
2019-12-09,4.35,4.35,4.35,4.35,900.0
2019-12-06,4.35,4.35,4.35,4.35,100.0
2019-12-03,4.15,4.17,4.17,4.15,18000.0
2019-11-29,4.16,4.15,4.16,4.15,14000.0
2019-11-28,4.15,4.15,4.15,4.15,4000.0
2019-11-27,4.15,4.15,4.15,4.15,2000.0
2019-11-26,4.15,4.15,4.15,4.15,8100.0
2019-11-20,4.15,4.18,4.3,4.15,5500.0
2019-11-19,4.3,4.3,4.3,4.2,1300.0
2019-11-14,4.3,4.3,4.3,4.3,300.0
2019-11-13,4.05,4.1,4.1,4.05,3200.0
2019-11-12,4.05,4.0,4.15,4.0,8100.0
2019-11-11,4.15,4.0,4.15,3.98,18600.0
2019-11-08,4.22,4.22,4.22,4.22,3500.0
2019-11-06,4.25,4.24,4.25,4.24,800.0
2019-11-05,4.25,4.25,4.25,4.25,18000.0
2019-11-04,4.25,4.25,4.25,4.25,200.0
2019-11-01,3.99,4.0,4.0,3.99,10700.0
2019-10-31,3.98,3.98,3.98,3.98,42000.0
2019-10-30,3.98,3.98,3.98,3.98,17500.0
2019-10-29,3.98,4.1,4.1,3.98,4000.0
2019-10-25,3.98,4.0,4.0,3.98,26800.0
2019-10-23,4.0,4.0,4.0,4.0,3300.0
2019-10-22,4.05,4.02,4.05,4.02,7400.0
2019-10-21,4.0,4.0,4.0,4.0,1000.0
2019-10-18,4.0,3.98,4.0,3.98,3000.0
2019-10-17,3.96,3.98,3.98,3.96,5000.0
2019-10-16,3.95,4.0,4.0,3.95,12500.0
2019-10-14,3.95,3.98,3.98,3.95,18000.0
2019-10-11,3.98,3.98,3.98,3.91,4000.0
2019-10-10,3.98,3.95,4.0,3.95,9400.0
2019-10-09,3.94,3.93,3.94,3.86,13400.0
2019-10-08,3.86,3.9,3.93,3.86,13000.0
2019-10-07,3.8,3.86,3.89,3.8,26200.0
2019-10-04,3.85,3.85,3.85,3.85,5000.0
2019-10-03,3.94,3.88,3.94,3.88,5500.0
2019-10-02,3.9,3.86,3.9,3.86,5500.0
2019-10-01,3.86,3.86,3.86,3.85,2000.0
2019-09-30,3.75,3.75,3.75,3.75,5100.0
2019-09-27,3.77,3.75,3.82,3.71,24700.0
2019-09-26,3.8,3.85,3.88,3.8,30500.0
2019-09-25,3.81,3.7,3.83,3.7,13300.0
2019-09-24,3.8,3.8,3.8,3.8,3000.0
2019-09-23,3.8,3.66,3.82,3.66,20000.0
2019-09-20,3.66,3.75,3.75,3.55,87300.0
2019-09-19,3.66,3.72,3.72,3.66,29500.0
2019-09-18,3.75,3.82,3.82,3.75,40000.0
2019-09-17,3.81,3.87,3.95,3.81,40000.0
2019-09-13,3.86,3.77,4.06,3.75,13000.0
2019-09-12,3.75,3.77,3.77,3.75,63000.0
2019-09-11,3.78,3.78,3.78,3.78,35000.0
2019-09-10,3.78,3.81,3.84,3.78,90000.0
2019-09-06,3.81,3.84,3.84,3.81,80000.0
2019-09-05,3.85,3.9,3.9,3.85,60000.0
2019-09-04,3.89,3.89,3.89,3.89,54000.0
2019-09-03,3.89,3.91,3.91,3.89,50000.0
2019-08-30,3.91,3.98,3.98,3.91,50000.0
2019-08-29,3.95,3.98,3.98,3.95,93000.0
2019-08-28,3.98,4.0,4.0,3.98,31000.0
2019-08-27,4.03,4.06,4.06,4.01,35900.0
2019-08-26,4.04,4.04,4.04,4.04,200.0
2019-08-23,4.25,4.05,4.25,4.0,38100.0
2019-08-22,4.06,4.28,4.32,4.06,100800.0
2019-08-21,4.07,4.15,4.15,4.06,52700.0
2019-08-20,4.12,4.18,4.18,4.1,12000.0
2019-08-19,4.11,4.2,4.2,4.11,57000.0
2019-08-16,4.2,4.2,4.2,4.2,92000.0
2019-08-14,4.28,4.35,4.35,4.28,60200.0
2019-08-13,4.35,4.35,4.35,4.35,1000.0
2019-08-08,4.28,4.28,4.28,4.28,11300.0
2019-08-07,4.28,4.33,4.33,4.28,3200.0
2019-08-06,4.27,4.27,4.27,4.27,2000.0
2019-08-05,4.27,4.23,4.29,4.21,7500.0
2019-08-02,4.24,4.24,4.26,4.24,26900.0
2019-08-01,4.23,4.25,4.25,4.22,29600.0
2019-07-31,4.25,4.28,4.28,4.25,21600.0
2019-07-29,4.29,4.33,4.33,4.29,36100.0
2019-07-25,4.33,4.36,4.36,4.33,31000.0
2019-07-24,4.36,4.37,4.38,4.36,31000.0
2019-07-23,4.37,4.39,4.39,4.37,30000.0
2019-07-22,4.38,4.42,4.42,4.38,30600.0
2019-07-19,4.42,4.42,4.42,4.4,35000.0
2019-07-18,4.42,4.5,4.5,4.4,59300.0
2019-07-17,4.54,4.56,4.56,4.54,22200.0
2019-07-16,4.55,4.6,4.6,4.55,38100.0
2019-07-15,4.6,4.62,4.63,4.6,100500.0
2019-07-12,4.66,4.68,4.68,4.62,48400.0
2019-07-11,4.68,4.74,4.74,4.68,68000.0
2019-07-10,4.75,4.76,4.76,4.75,43000.0
2019-07-09,4.75,4.77,4.77,4.75,50000.0
2019-07-08,4.77,4.78,4.78,4.77,37000.0
2019-07-05,4.78,4.8,4.8,4.78,49000.0
2019-07-03,4.77,4.8,4.8,4.77,60000.0
2019-07-02,4.8,4.8,4.8,4.8,66000.0
2019-07-01,4.86,4.9,4.98,4.86,12300.0
2019-06-28,4.9,4.88,4.9,4.8,68100.0
2019-06-27,4.88,4.9,4.9,4.75,41000.0
2019-06-26,4.9,4.9,4.9,4.9,5000.0
2019-06-20,4.97,4.76,4.97,4.74,50700.0
2019-06-19,4.75,4.75,4.75,4.75,400.0
2019-06-18,4.98,4.73,4.98,4.71,23100.0
2019-06-17,4.75,4.8,4.8,4.75,50000.0
2019-06-14,4.8,4.8,4.85,4.8,40700.0
2019-06-13,4.85,4.9,4.9,4.85,31500.0
2019-06-12,4.9,4.91,4.93,4.9,27000.0
2019-06-10,5.06,4.98,5.06,4.88,3700.0
2019-06-07,4.98,4.98,4.98,4.94,9200.0
2019-06-03,4.9,4.96,4.96,4.9,2800.0
2019-05-31,4.96,4.96,4.96,4.96,1000.0
2019-05-30,4.96,4.96,4.96,4.96,1000.0
2019-05-29,4.96,4.86,4.96,4.86,13100.0
2019-05-27,4.82,4.82,4.82,4.82,2200.0
2019-05-17,4.92,4.92,4.92,4.92,100.0
2019-05-16,4.7,4.73,4.73,4.7,32000.0
2019-05-14,4.8,4.8,4.8,4.8,33800.0
2019-05-13,4.82,4.82,4.82,4.82,7000.0
