Date,Price,Open,High,Low,Vol.
2020-03-13,1.66,1.88,1.88,1.61,2360000.0
2020-03-12,1.92,2.01,2.01,1.92,1600000.0
2020-03-11,2.03,2.09,2.12,2.03,785900.0
2020-03-10,2.09,1.97,2.15,1.95,2300000.0
2020-03-09,2.0,2.16,2.16,1.95,2510000.0
2020-03-06,2.22,2.2,2.25,2.17,2210000.0
2020-03-05,2.24,2.12,2.29,2.1,4390000.0
2020-03-04,2.11,2.05,2.14,2.02,965800.0
2020-03-03,2.06,2.06,2.08,2.01,1570000.0
2020-03-02,2.05,1.94,2.07,1.88,3840000.0
2020-02-28,1.91,1.97,1.97,1.9,3100000.0
2020-02-27,1.98,1.99,1.99,1.94,3240000.0
2020-02-26,2.05,2.09,2.11,2.03,1150000.0
2020-02-25,2.1,1.98,2.17,1.98,3230000.0
2020-02-24,2.02,2.01,2.05,1.99,2300000.0
2020-02-21,2.02,2.03,2.04,1.99,3380000.0
2020-02-20,2.04,2.05,2.05,2.02,1980000.0
2020-02-19,2.05,2.07,2.09,2.02,1470000.0
2020-02-18,2.07,2.19,2.19,2.04,4650000.0
2020-02-17,2.19,2.21,2.22,2.17,513400.0
2020-02-14,2.19,2.17,2.24,2.17,2520000.0
2020-02-13,2.16,2.16,2.18,2.14,3220000.0
2020-02-12,2.17,2.18,2.18,2.15,296000.0
2020-02-11,2.18,2.2,2.21,2.14,1440000.0
2020-02-10,2.18,2.21,2.23,2.18,468500.0
2020-02-07,2.21,2.25,2.25,2.21,480400.0
2020-02-06,2.29,2.21,2.29,2.19,1500000.0
2020-02-05,2.21,2.25,2.25,2.21,1930000.0
2020-02-04,2.25,2.25,2.3,2.19,2029999.9999999998
2020-02-03,2.2,2.13,2.29,2.09,1400000.0
2020-01-31,2.16,2.22,2.29,2.16,473400.0
2020-01-30,2.25,2.29,2.3,2.25,783500.0
2020-01-29,2.3,2.2,2.3,2.15,1140000.0
2020-01-28,2.18,2.18,2.22,2.09,1190000.0
2020-01-24,2.19,2.21,2.23,2.18,607700.0
2020-01-23,2.21,2.25,2.25,2.21,804500.0
2020-01-22,2.25,2.25,2.28,2.24,928500.0
2020-01-21,2.26,2.28,2.29,2.26,511500.0
2020-01-20,2.27,2.28,2.29,2.27,453400.0
2020-01-17,2.28,2.29,2.29,2.27,395000.0
2020-01-16,2.28,2.27,2.28,2.26,1130000.0
2020-01-15,2.27,2.27,2.28,2.26,614100.0
2020-01-14,2.26,2.3,2.3,2.26,606600.0
2020-01-13,2.3,2.28,2.3,2.27,497500.0
2020-01-10,2.28,2.3,2.32,2.26,577400.0
2020-01-09,2.3,2.28,2.31,2.25,826100.0
2020-01-08,2.26,2.29,2.31,2.26,743000.0
2020-01-07,2.32,2.31,2.35,2.3,607600.0
2020-01-06,2.32,2.29,2.34,2.27,1140000.0
2020-01-03,2.3,2.31,2.32,2.29,1110000.0
2020-01-02,2.31,2.28,2.34,2.27,2430000.0
2019-12-31,2.27,2.34,2.34,2.26,2610000.0
2019-12-30,2.32,2.37,2.39,2.32,2340000.0
2019-12-27,2.36,2.38,2.39,2.36,754500.0
2019-12-26,2.37,2.38,2.4,2.36,1180000.0
2019-12-24,2.37,2.44,2.44,2.37,863800.0
2019-12-23,2.43,2.42,2.44,2.41,346300.0
2019-12-20,2.4,2.41,2.44,2.39,836000.0
2019-12-19,2.43,2.43,2.46,2.4,471000.0
2019-12-18,2.46,2.45,2.46,2.42,456000.0
2019-12-17,2.46,2.41,2.48,2.39,867600.0
2019-12-16,2.4,2.45,2.45,2.38,416900.0
2019-12-13,2.42,2.45,2.47,2.4,658200.0
2019-12-12,2.45,2.4,2.47,2.39,946400.0
2019-12-11,2.41,2.41,2.43,2.4,619800.0
2019-12-10,2.41,2.47,2.48,2.41,668700.0
2019-12-09,2.47,2.47,2.5,2.45,1040000.0
2019-12-06,2.42,2.38,2.48,2.37,951400.0
2019-12-05,2.38,2.37,2.42,2.37,517700.00000000006
2019-12-04,2.4,2.43,2.43,2.37,594300.0
2019-12-03,2.43,2.4,2.45,2.4,500000.0
2019-12-02,2.42,2.37,2.45,2.37,628500.0
2019-11-29,2.4,2.45,2.46,2.38,712700.0
2019-11-28,2.45,2.5,2.5,2.43,873900.0
2019-11-27,2.49,2.37,2.5,2.35,4080000.0
2019-11-26,2.35,2.33,2.35,2.32,687000.0
2019-11-25,2.35,2.34,2.35,2.32,335900.0
2019-11-22,2.34,2.36,2.37,2.34,559100.0
2019-11-21,2.36,2.31,2.37,2.31,1080000.0
2019-11-20,2.31,2.33,2.33,2.3,1090000.0
2019-11-19,2.33,2.27,2.34,2.27,1300000.0
2019-11-18,2.28,2.28,2.31,2.26,1130000.0
2019-11-15,2.28,2.34,2.35,2.28,1860000.0
2019-11-14,2.32,2.31,2.35,2.31,748800.0
2019-11-13,2.31,2.37,2.37,2.31,1690000.0
2019-11-12,2.35,2.34,2.37,2.34,1450000.0
2019-11-11,2.36,2.35,2.36,2.33,940400.0
2019-11-08,2.35,2.39,2.43,2.34,1760000.0
2019-11-07,2.39,2.38,2.41,2.38,1720000.0
2019-11-06,2.38,2.45,2.45,2.37,2980000.0
2019-11-05,2.44,2.38,2.45,2.38,1340000.0
2019-11-04,2.38,2.38,2.4,2.36,577000.0
2019-11-01,2.38,2.41,2.41,2.37,1720000.0
2019-10-31,2.42,2.36,2.42,2.36,630400.0
2019-10-30,2.37,2.4,2.4,2.35,1010000.0
2019-10-29,2.35,2.39,2.4,2.32,3370000.0
2019-10-25,2.38,2.44,2.46,2.38,660900.0
2019-10-24,2.44,2.36,2.52,2.36,28430000.0
2019-10-23,2.36,2.36,2.38,2.36,656200.0
2019-10-22,2.36,2.38,2.4,2.36,531100.0
2019-10-21,2.39,2.38,2.4,2.37,775300.0
2019-10-18,2.47,2.38,2.47,2.33,1640000.0
2019-10-17,2.37,2.41,2.41,2.37,739200.0
2019-10-16,2.41,2.44,2.44,2.41,305200.0
2019-10-15,2.43,2.43,2.44,2.41,426500.0
2019-10-14,2.43,2.44,2.46,2.42,1160000.0
2019-10-11,2.39,2.38,2.41,2.38,557800.0
2019-10-10,2.36,2.36,2.43,2.35,1200000.0
2019-10-09,2.36,2.4,2.41,2.36,443000.0
2019-10-08,2.4,2.51,2.57,2.4,1290000.0
2019-10-07,2.51,2.57,2.57,2.5,1060000.0
2019-10-04,2.6,2.61,2.63,2.55,440400.0
2019-10-03,2.59,2.72,2.72,2.58,2560000.0
2019-10-02,2.74,2.72,2.76,2.71,1710000.0
2019-10-01,2.74,2.73,2.8,2.69,3020000.0
2019-09-30,2.7,2.56,2.76,2.54,2049999.9999999998
2019-09-27,2.57,2.6,2.62,2.53,1170000.0
2019-09-26,2.57,2.53,2.59,2.51,1170000.0
2019-09-25,2.49,2.34,2.52,2.34,3560000.0
2019-09-24,2.33,2.34,2.39,2.31,1200000.0
2019-09-23,2.3,2.3,2.35,2.27,187300.0
2019-09-20,2.3,2.28,2.3,2.27,201300.0
2019-09-19,2.28,2.3,2.3,2.26,159700.0
2019-09-18,2.29,2.28,2.3,2.27,877100.0
2019-09-17,2.26,2.31,2.34,2.26,1040000.0
2019-09-13,2.33,2.33,2.33,2.31,133200.0
2019-09-12,2.31,2.32,2.34,2.31,467500.0
2019-09-11,2.31,2.36,2.36,2.31,253300.0
2019-09-10,2.33,2.34,2.34,2.32,193100.0
2019-09-06,2.34,2.34,2.36,2.32,749700.0
2019-09-05,2.32,2.31,2.34,2.31,882600.0
2019-09-04,2.3,2.3,2.35,2.3,1170000.0
2019-09-03,2.3,2.35,2.35,2.29,604400.0
2019-08-30,2.35,2.3,2.4,2.28,1370000.0
2019-08-29,2.27,2.3,2.35,2.26,1150000.0
2019-08-28,2.29,2.4,2.44,2.28,2750000.0
2019-08-27,2.38,2.31,2.47,2.29,5560000.0
2019-08-26,2.28,2.48,2.48,2.27,3060000.0
2019-08-23,2.5,2.55,2.55,2.47,1160000.0
2019-08-22,2.55,2.68,2.68,2.55,1300000.0
2019-08-21,2.68,2.71,2.73,2.67,1450000.0
2019-08-20,2.72,2.73,2.8,2.7,693700.0
2019-08-19,2.7,2.68,2.72,2.68,508000.0
2019-08-16,2.66,2.65,2.67,2.6,331800.0
2019-08-15,2.62,2.65,2.65,2.59,472100.0
2019-08-14,2.66,2.68,2.72,2.66,474500.0
2019-08-13,2.66,2.71,2.73,2.66,384800.0
2019-08-09,2.72,2.77,2.81,2.72,709000.0
2019-08-08,2.73,2.72,2.79,2.72,543900.0
2019-08-07,2.73,2.86,2.86,2.71,952500.0
2019-08-06,2.81,2.8,2.84,2.78,225400.0
2019-08-05,2.83,2.85,2.94,2.82,291700.0
2019-08-02,2.9,2.9,3.01,2.9,347500.0
2019-08-01,2.96,2.82,3.08,2.82,1940000.0
2019-07-31,2.84,2.83,2.88,2.8,2440000.0
2019-07-29,2.79,2.87,2.87,2.79,514200.00000000006
2019-07-26,2.89,2.82,2.89,2.77,1200000.0
2019-07-25,2.8,2.83,2.9,2.8,1300000.0
2019-07-24,2.86,2.92,2.97,2.75,4810000.0
2019-07-23,2.89,2.96,3.0,2.86,1520000.0
2019-07-22,2.96,2.99,2.99,2.95,687700.0
2019-07-19,2.99,2.99,3.01,2.99,39100.0
2019-07-18,2.99,2.98,3.0,2.96,955800.0
2019-07-17,3.0,3.0,3.01,2.99,379700.0
2019-07-16,3.0,3.01,3.05,3.0,1170000.0
2019-07-15,3.03,3.04,3.04,3.01,607000.0
2019-07-12,3.02,3.04,3.07,3.02,630000.0
2019-07-11,3.03,3.05,3.05,3.02,749300.0
2019-07-10,3.05,3.04,3.05,3.02,709300.0
2019-07-09,3.04,3.06,3.06,3.01,1420000.0
2019-07-08,3.05,3.05,3.09,3.04,457200.0
2019-07-05,3.04,3.07,3.09,3.04,80000.0
2019-07-04,3.05,3.08,3.11,3.04,662400.0
2019-07-03,3.08,3.1,3.1,3.08,385000.0
2019-07-02,3.12,3.11,3.12,3.07,261700.0
2019-07-01,3.13,3.04,3.14,3.03,1110000.0
2019-06-28,3.02,3.02,3.04,3.02,1020000.0
2019-06-27,3.02,3.03,3.04,3.01,598700.0
2019-06-26,3.03,3.04,3.05,3.01,1010000.0
2019-06-25,3.02,3.01,3.04,3.01,892900.0
2019-06-24,3.01,3.05,3.07,3.0,2960000.0
2019-06-21,3.09,3.07,3.11,3.05,1380000.0
2019-06-20,3.06,3.07,3.09,3.05,576600.0
2019-06-19,3.07,3.09,3.1,3.07,531600.0
2019-06-18,3.09,3.09,3.09,3.07,227500.0
2019-06-17,3.1,3.12,3.12,3.08,408600.0
2019-06-14,3.1,3.13,3.16,3.1,1060000.0
2019-06-13,3.13,3.1,3.13,3.08,1590000.0
2019-06-12,3.09,3.1,3.13,3.08,795400.0
2019-06-11,3.1,3.1,3.13,3.08,2340000.0
2019-06-10,3.09,3.05,3.1,3.05,616600.0
2019-06-07,3.05,3.06,3.1,3.03,644200.0
2019-06-04,3.09,3.05,3.09,3.04,80200.0
2019-06-03,3.04,3.09,3.09,3.04,185600.0
2019-05-31,3.09,3.13,3.13,3.04,1120000.0
2019-05-30,3.13,3.13,3.18,3.12,339900.0
2019-05-29,3.13,3.15,3.15,3.12,228200.0
2019-05-28,3.14,3.17,3.21,3.09,1700000.0
2019-05-27,3.2,3.03,3.25,3.01,2370000.0
2019-05-24,3.04,3.05,3.12,3.02,1010000.0
2019-05-23,3.15,3.01,3.17,2.99,2069999.9999999998
