Date,Price,Open,High,Low,Vol.
2020-03-13,2.99,3.1,3.1,2.83,9130000.0
2020-03-12,3.25,3.1,3.27,3.1,20000000.0
2020-03-11,3.25,3.1,3.3,3.09,17420000.0
2020-03-10,3.08,2.98,3.11,2.98,12910000.0
2020-03-09,3.03,3.0,3.1,2.76,31810000.0
2020-03-06,3.29,3.31,3.34,3.29,6980000.0
2020-03-05,3.34,3.33,3.34,3.31,4810000.0
2020-03-04,3.34,3.28,3.34,3.28,6250000.0
2020-03-03,3.29,3.32,3.34,3.19,17260000.0
2020-03-02,3.29,3.26,3.38,3.26,8000000.0
2020-02-28,3.34,3.38,3.38,3.3,17000000.0
2020-02-27,3.39,3.34,3.4,3.34,4900000.0
2020-02-26,3.36,3.31,3.38,3.3,9240000.0
2020-02-25,3.35,3.27,3.37,3.27,8850000.0
2020-02-24,3.32,3.35,3.4,3.27,8430000.0
2020-02-21,3.38,3.4,3.42,3.35,5670000.0
2020-02-20,3.41,3.4,3.45,3.39,12740000.0
2020-02-19,3.38,3.34,3.39,3.34,7450000.0
2020-02-18,3.35,3.38,3.38,3.34,15340000.0
2020-02-17,3.38,3.47,3.47,3.38,3820000.0
2020-02-14,3.45,3.41,3.47,3.41,8220000.000000001
2020-02-13,3.39,3.37,3.41,3.37,2430000.0
2020-02-12,3.4,3.36,3.41,3.33,5520000.0
2020-02-11,3.36,3.34,3.39,3.33,3540000.0
2020-02-10,3.36,3.42,3.42,3.32,7320000.0
2020-02-07,3.42,3.43,3.44,3.38,11770000.0
2020-02-06,3.44,3.38,3.46,3.38,6000000.0
2020-02-05,3.4,3.31,3.41,3.31,9900000.0
2020-02-04,3.31,3.25,3.34,3.25,6080000.0
2020-02-03,3.25,3.25,3.28,3.2,9490000.0
2020-01-31,3.27,3.26,3.3,3.26,10140000.0
2020-01-30,3.26,3.29,3.29,3.25,8880000.0
2020-01-29,3.27,3.24,3.28,3.24,10630000.0
2020-01-28,3.23,3.26,3.26,3.16,8860000.0
2020-01-24,3.29,3.35,3.36,3.26,3300000.0
2020-01-23,3.34,3.38,3.39,3.32,4480000.0
2020-01-22,3.38,3.4,3.4,3.38,3460000.0
2020-01-21,3.4,3.4,3.41,3.38,2300000.0
2020-01-20,3.39,3.41,3.43,3.37,4280000.0
2020-01-17,3.39,3.41,3.43,3.38,5760000.0
2020-01-16,3.42,3.4,3.44,3.4,4090000.0
2020-01-15,3.39,3.43,3.44,3.37,6050000.0
2020-01-14,3.44,3.45,3.45,3.39,6800000.0
2020-01-13,3.44,3.44,3.46,3.43,3950000.0
2020-01-10,3.44,3.46,3.47,3.43,1860000.0
2020-01-09,3.46,3.48,3.49,3.45,6620000.0
2020-01-08,3.47,3.52,3.52,3.46,4830000.0
2020-01-07,3.52,3.49,3.52,3.48,7760000.0
2020-01-06,3.48,3.5,3.5,3.44,3380000.0
2020-01-03,3.49,3.49,3.5,3.45,6830000.0
2020-01-02,3.48,3.46,3.49,3.45,725100.0
2019-12-31,3.45,3.45,3.47,3.45,2930000.0
2019-12-30,3.46,3.46,3.48,3.45,2069999.9999999998
2019-12-27,3.46,3.42,3.47,3.42,3140000.0
2019-12-26,3.44,3.42,3.45,3.42,969100.0
2019-12-24,3.46,3.45,3.47,3.44,2510000.0
2019-12-23,3.46,3.45,3.46,3.43,1810000.0
2019-12-20,3.44,3.41,3.45,3.41,4770000.0
2019-12-19,3.41,3.42,3.46,3.4,3180000.0
2019-12-18,3.41,3.4,3.44,3.39,3680000.0
2019-12-17,3.42,3.41,3.45,3.4,4620000.0
2019-12-16,3.4,3.42,3.43,3.38,3410000.0
2019-12-13,3.44,3.45,3.46,3.43,3520000.0
2019-12-12,3.41,3.39,3.44,3.39,9340000.0
2019-12-11,3.39,3.4,3.4,3.39,9140000.0
2019-12-10,3.4,3.42,3.44,3.4,8289999.999999999
2019-12-09,3.4,3.45,3.45,3.39,4940000.0
2019-12-06,3.45,3.39,3.45,3.39,3030000.0
2019-12-05,3.39,3.36,3.4,3.36,8580000.0
2019-12-04,3.38,3.4,3.41,3.33,11880000.0
2019-12-03,3.4,3.42,3.45,3.39,3280000.0
