Date,Price,Open,High,Low,Vol.
2020-03-13,1.59,1.8,1.84,1.56,6150000.0
2020-03-12,1.89,1.91,1.95,1.86,9290000.0
2020-03-11,1.99,2.06,2.07,1.94,7940000.0
2020-03-10,2.03,1.78,2.06,1.72,13650000.0
2020-03-09,1.8,2.12,2.12,1.78,8850000.0
2020-03-06,2.2,2.28,2.28,2.19,4760000.0
2020-03-05,2.28,2.23,2.3,2.23,4970000.0
2020-03-04,2.2,2.26,2.26,2.17,6030000.0
2020-03-03,2.26,2.35,2.35,2.25,2040000.0
2020-03-02,2.29,2.27,2.33,2.23,4880000.0
2020-02-28,2.27,2.27,2.31,2.15,4640000.0
2020-02-27,2.31,2.43,2.43,2.31,5990000.0
2020-02-26,2.43,2.42,2.46,2.4,3190000.0
2020-02-25,2.44,2.27,2.45,2.27,5450000.0
2020-02-24,2.35,2.35,2.41,2.3,6770000.0
2020-02-21,2.42,2.44,2.46,2.4,3550000.0
2020-02-20,2.44,2.45,2.49,2.42,2810000.0
2020-02-19,2.45,2.49,2.5,2.39,5350000.0
2020-02-18,2.49,2.49,2.53,2.32,10250000.0
2020-02-17,2.5,2.56,2.57,2.49,3080000.0
2020-02-14,2.53,2.51,2.59,2.51,3450000.0
2020-02-13,2.51,2.49,2.61,2.49,7340000.0
2020-02-12,2.49,2.51,2.54,2.48,4200000.0
2020-02-11,2.48,2.46,2.52,2.45,3090000.0
2020-02-10,2.46,2.48,2.52,2.44,3020000.0
2020-02-07,2.5,2.55,2.56,2.49,1910000.0
2020-02-06,2.53,2.44,2.55,2.44,4640000.0
2020-02-05,2.43,2.43,2.48,2.4,4300000.0
2020-02-04,2.4,2.44,2.52,2.35,8460000.0
2020-02-03,2.44,2.27,2.47,1.98,28020000.0
2020-01-31,2.34,2.5,2.52,2.27,8620000.0
2020-01-30,2.5,2.6,2.62,2.49,4120000.0
2020-01-29,2.6,2.56,2.6,2.54,2960000.0
2020-01-28,2.56,2.58,2.6,2.5,3890000.0
2020-01-24,2.62,2.65,2.68,2.61,799500.0
2020-01-23,2.65,2.61,2.67,2.6,4120000.0
2020-01-22,2.6,2.49,2.68,2.48,7360000.0
