Date,Price,Open,High,Low,Vol.
2020-03-13,2.4,2.47,2.47,2.37,15990000.0
2020-03-12,2.61,2.67,2.68,2.6,19360000.0
2020-03-11,2.7,2.67,2.73,2.67,15880000.0
2020-03-10,2.64,2.59,2.69,2.57,13370000.0
2020-03-09,2.62,2.69,2.69,2.62,24450000.0
2020-03-06,2.72,2.75,2.75,2.7,14350000.0
2020-03-05,2.75,2.76,2.78,2.74,16990000.0
2020-03-04,2.75,2.78,2.79,2.72,24110000.0
2020-03-03,2.79,2.81,2.82,2.76,18170000.0
2020-03-02,2.78,2.82,2.84,2.76,49610000.0
2020-02-28,2.89,2.94,2.96,2.88,43710000.0
2020-02-27,2.93,2.94,2.96,2.92,13000000.0
2020-02-26,2.93,2.94,2.96,2.92,18270000.0
2020-02-25,2.96,2.94,2.99,2.92,13200000.0
2020-02-24,2.95,2.98,2.99,2.93,29160000.0
2020-02-21,3.03,3.03,3.05,3.02,10420000.0
2020-02-20,3.03,3.04,3.05,3.02,10940000.0
2020-02-19,3.03,3.01,3.06,3.01,9880000.0
2020-02-18,3.01,3.01,3.03,3.0,8960000.0
2020-02-17,3.01,3.02,3.03,3.0,4660000.0
2020-02-14,3.02,3.0,3.03,2.99,7200000.0
2020-02-13,3.0,3.01,3.04,3.0,8350000.0
2020-02-12,3.02,3.0,3.05,2.99,12080000.0
2020-02-11,3.01,2.99,3.03,2.98,6370000.0
2020-02-10,2.97,3.01,3.02,2.97,8580000.0
2020-02-07,3.03,3.03,3.04,2.96,15550000.0
2020-02-06,3.03,2.96,3.06,2.96,17570000.0
2020-02-05,2.94,2.98,2.98,2.92,22480000.0
2020-02-04,2.97,3.01,3.03,2.96,20520000.0
2020-02-03,3.01,3.0,3.02,2.93,19300000.0
2020-01-31,3.02,3.08,3.1,3.02,17380000.0
2020-01-30,3.09,3.09,3.12,3.08,10060000.0
2020-01-29,3.08,3.04,3.11,3.04,10920000.0
2020-01-28,3.04,3.06,3.08,3.0,30090000.0
2020-01-24,3.15,3.22,3.22,3.14,12180000.0
2020-01-23,3.23,3.25,3.26,3.22,5640000.0
2020-01-22,3.26,3.3,3.31,3.22,9670000.0
2020-01-21,3.3,3.36,3.36,3.3,6740000.0
2020-01-20,3.36,3.36,3.38,3.34,4910000.0
2020-01-17,3.36,3.34,3.36,3.31,5840000.0
2020-01-16,3.34,3.33,3.35,3.32,5290000.0
2020-01-15,3.33,3.32,3.33,3.3,4730000.0
2020-01-14,3.32,3.32,3.33,3.29,4620000.0
2020-01-13,3.32,3.3,3.32,3.28,6010000.0
2020-01-10,3.27,3.29,3.32,3.26,6040000.0
2020-01-09,3.29,3.25,3.29,3.25,7900000.0
2020-01-08,3.24,3.27,3.28,3.2,12160000.0
2020-01-07,3.29,3.28,3.3,3.27,10900000.0
2020-01-06,3.28,3.3,3.31,3.25,7500000.0
2020-01-03,3.32,3.32,3.34,3.3,8920000.0
2020-01-02,3.31,3.29,3.33,3.29,5210000.0
2019-12-31,3.29,3.32,3.33,3.25,15800000.0
2019-12-30,3.31,3.27,3.33,3.27,12930000.0
2019-12-27,3.27,3.25,3.29,3.23,7870000.0
2019-12-26,3.25,3.23,3.25,3.23,2520000.0
2019-12-24,3.23,3.23,3.24,3.21,2720000.0
2019-12-23,3.22,3.21,3.23,3.2,6930000.0
2019-12-20,3.21,3.21,3.23,3.19,18370000.0
2019-12-19,3.22,3.22,3.24,3.21,7410000.0
2019-12-18,3.22,3.23,3.25,3.2,15440000.0
2019-12-17,3.23,3.22,3.24,3.2,7400000.0
2019-12-16,3.21,3.21,3.23,3.18,10940000.0
2019-12-13,3.2,3.2,3.22,3.19,7090000.0
2019-12-12,3.19,3.16,3.2,3.15,8160000.0
2019-12-11,3.15,3.18,3.19,3.15,3410000.0
2019-12-10,3.18,3.15,3.19,3.13,4830000.0
2019-12-09,3.14,3.18,3.21,3.14,6950000.0
2019-12-06,3.17,3.19,3.19,3.17,2900000.0
2019-12-05,3.2,3.16,3.22,3.16,10820000.0
2019-12-04,3.17,3.2,3.2,3.15,5470000.0
2019-12-03,3.19,3.22,3.22,3.18,5610000.0
2019-12-02,3.22,3.15,3.23,3.15,13360000.0
2019-11-29,3.14,3.17,3.18,3.13,9390000.0
2019-11-28,3.11,3.13,3.13,3.09,3130000.0
2019-11-27,3.13,3.11,3.14,3.09,4850000.0
2019-11-26,3.1,3.16,3.17,3.1,17260000.0
2019-11-25,3.15,3.2,3.2,3.15,7580000.0
2019-11-22,3.21,3.2,3.21,3.18,9250000.0
2019-11-21,3.22,3.21,3.22,3.15,7380000.0
2019-11-20,3.23,3.25,3.25,3.19,9140000.0
2019-11-19,3.25,3.22,3.25,3.21,4340000.0
