Date,Price,Open,High,Low,Vol.
2020-03-13,2.23,2.18,2.28,2.14,4360000.0
2020-03-12,2.47,2.8,2.8,2.47,8620000.0
2020-03-11,2.88,3.07,3.13,2.87,3060000.0
2020-03-10,3.0,2.65,3.05,2.62,5060000.0
2020-03-09,2.81,3.25,3.25,2.53,6560000.0
2020-03-06,3.37,3.43,3.48,3.33,1240000.0
2020-03-05,3.46,3.47,3.52,3.43,1340000.0
2020-03-04,3.43,3.39,3.52,3.34,2100000.0
2020-03-03,3.45,3.51,3.62,3.39,3570000.0
2020-03-02,3.39,3.23,3.4,3.11,5350000.0
2020-02-28,3.23,3.3,3.35,3.06,8960000.0
2020-02-27,3.41,3.68,3.68,3.35,5780000.0
2020-02-26,3.68,3.78,3.88,3.58,6460000.0
2020-02-25,3.79,3.28,3.81,3.2,6280000.0
2020-02-24,3.32,3.2,3.38,3.15,3570000.0
2020-02-21,3.42,3.29,3.47,3.23,3610000.0
2020-02-20,3.29,3.3,3.33,3.21,1580000.0
2020-02-19,3.29,3.26,3.35,3.26,1880000.0
2020-02-18,3.26,3.37,3.37,3.23,2950000.0
2020-02-17,3.37,3.44,3.49,3.36,2450000.0
2020-02-14,3.44,3.32,3.44,3.24,3770000.0
2020-02-13,3.34,3.35,3.44,3.3,4480000.0
2020-02-12,3.32,3.09,3.35,3.09,5480000.0
2020-02-11,3.08,2.98,3.09,2.98,2760000.0
2020-02-10,2.97,2.92,3.05,2.86,4340000.0
2020-02-07,2.95,2.88,2.98,2.88,2900000.0
2020-02-06,2.87,2.73,2.89,2.73,5240000.0
2020-02-05,2.7,2.66,2.71,2.65,2100000.0
2020-02-04,2.6,2.65,2.72,2.6,2840000.0
2020-02-03,2.58,2.49,2.64,2.31,4720000.0
2020-01-31,2.53,2.69,2.73,2.51,3440000.0
2020-01-30,2.68,2.8,2.8,2.68,2930000.0
2020-01-29,2.78,2.76,2.8,2.74,1430000.0
2020-01-28,2.73,2.79,2.82,2.73,2670000.0
2020-01-24,2.84,2.78,2.91,2.78,2610000.0
2020-01-23,2.78,2.63,2.78,2.63,2730000.0
2020-01-22,2.63,2.62,2.72,2.62,3340000.0
2020-01-21,2.59,2.56,2.62,2.53,2120000.0
2020-01-20,2.55,2.52,2.56,2.49,1870000.0
2020-01-17,2.51,2.56,2.62,2.5,6810000.0
2020-01-16,2.54,2.42,2.54,2.4,4490000.0
2020-01-15,2.4,2.45,2.45,2.39,675700.0
2020-01-14,2.43,2.41,2.47,2.39,1450000.0
2020-01-13,2.41,2.39,2.43,2.39,728700.0
