Date,Price,Open,High,Low,Vol.
2020-03-13,7.41,8.18,8.18,7.36,595900.0
2020-03-12,8.6,8.88,9.0,8.52,1140000.0
2020-03-11,8.94,8.98,9.11,8.9,307100.0
2020-03-10,8.98,8.88,9.07,8.82,805700.0
2020-03-09,8.98,8.9,9.13,8.9,600300.0
2020-03-06,9.26,9.43,9.48,9.25,269100.0
2020-03-05,9.45,9.56,9.56,9.36,457400.0
2020-03-04,9.58,9.17,9.58,9.12,510000.0
2020-03-03,9.13,9.09,9.14,8.97,310700.0
2020-03-02,9.0,8.96,9.13,8.86,518299.99999999994
2020-02-28,8.96,9.0,9.21,8.91,1730000.0
2020-02-27,9.34,9.0,9.34,8.94,322700.0
2020-02-26,9.0,9.05,9.12,8.8,724900.0
2020-02-25,9.18,9.21,9.39,9.05,762000.0
2020-02-24,9.3,9.3,9.37,9.2,211400.0
2020-02-21,9.32,9.38,9.47,9.27,591900.0
2020-02-20,9.4,9.39,9.49,9.39,169400.0
2020-02-19,9.49,9.52,9.52,9.45,71500.0
2020-02-18,9.5,9.4,9.5,9.39,26600.0
2020-02-17,9.4,9.43,9.52,9.38,104000.0
2020-02-14,9.44,9.52,9.52,9.44,48700.0
2020-02-13,9.51,9.41,9.6,9.41,160700.0
2020-02-12,9.5,9.41,9.9,9.41,551900.0
2020-02-11,9.51,9.35,9.64,9.35,245000.0
2020-02-10,9.35,9.41,9.41,9.25,338900.0
2020-02-07,9.41,9.43,9.56,9.41,197300.0
2020-02-06,9.44,9.4,9.58,9.31,425000.0
2020-02-05,9.37,9.47,9.47,9.31,643800.0
2020-02-04,9.47,9.54,9.54,9.4,488800.0
2020-02-03,9.5,9.65,9.71,9.5,445800.0
2020-01-31,9.73,9.8,9.84,9.68,977400.0
2020-01-30,9.78,9.8,9.8,9.72,441500.0
2020-01-29,9.8,9.74,9.83,9.67,379900.0
2020-01-28,9.8,9.83,9.96,9.73,236000.0
2020-01-24,9.85,9.9,9.9,9.85,5700.0
2020-01-23,9.9,9.86,9.9,9.82,233700.0
2020-01-22,9.88,9.96,9.96,9.85,76200.0
2020-01-21,9.9,9.9,9.9,9.88,38200.0
2020-01-20,9.9,9.96,9.96,9.88,42800.0
2020-01-17,9.95,9.93,9.95,9.91,169500.0
2020-01-16,9.93,9.93,9.95,9.86,198500.0
2020-01-15,9.95,9.83,9.95,9.77,283100.0
2020-01-14,9.83,9.88,9.89,9.77,376100.0
2020-01-13,9.86,9.9,9.91,9.85,276200.0
2020-01-10,9.88,9.9,9.92,9.88,169700.0
2020-01-09,9.9,9.95,9.97,9.9,372200.0
2020-01-08,9.92,9.96,9.96,9.82,49600.0
2020-01-07,9.98,9.9,9.99,9.9,358200.0
2020-01-06,9.9,9.92,10.04,9.9,296200.0
2020-01-03,9.98,10.04,10.08,9.95,388500.0
2020-01-02,9.98,9.89,10.02,9.88,451200.0
2019-12-31,9.98,9.92,9.98,9.76,567900.0
2019-12-30,9.98,9.93,9.98,9.87,1080000.0
2019-12-27,9.99,9.91,9.99,9.91,271900.0
2019-12-26,9.98,9.9,9.98,9.9,48600.0
2019-12-24,9.98,9.92,9.98,9.88,105100.0
2019-12-23,9.98,9.89,10.0,9.86,825100.0
2019-12-20,9.95,9.86,9.95,9.81,1050000.0
2019-12-19,9.88,9.89,9.9,9.83,283600.0
2019-12-18,9.89,9.82,9.89,9.81,701600.0
2019-12-17,9.88,9.83,9.89,9.8,597800.0
2019-12-16,9.87,9.81,9.89,9.81,352600.0
2019-12-13,9.91,9.89,9.91,9.81,418100.0
2019-12-12,9.88,9.78,9.88,9.78,203000.0
2019-12-11,9.88,9.84,9.9,9.81,184700.0
2019-12-10,9.85,9.79,9.85,9.77,359100.0
2019-12-09,9.85,9.71,9.85,9.71,258100.00000000003
2019-12-06,9.8,9.76,9.8,9.71,136500.0
2019-12-05,9.75,9.73,9.84,9.69,170000.0
2019-12-04,9.84,9.76,9.84,9.63,713400.0
2019-12-03,9.9,9.99,9.99,9.87,331100.0
2019-12-02,9.97,9.87,9.97,9.87,156100.0
2019-11-29,9.9,9.9,9.93,9.82,796700.0
2019-11-28,9.94,9.95,10.0,9.94,200900.0
2019-11-27,9.99,9.98,10.02,9.86,396500.0
2019-11-26,9.98,9.9,10.06,9.76,2610000.0
2019-11-25,9.96,9.94,10.06,9.94,211400.0
2019-11-22,9.93,9.94,10.26,9.89,652500.0
2019-11-21,9.93,9.9,9.94,9.86,379300.0
2019-11-20,9.95,9.88,9.95,9.86,189100.0
2019-11-19,9.95,9.85,9.95,9.84,974200.0
2019-11-18,9.91,9.9,9.95,9.85,171700.0
2019-11-15,9.9,9.83,9.9,9.83,155600.0
2019-11-14,9.89,9.95,9.95,9.8,733000.0
2019-11-13,9.9,9.91,9.91,9.77,648900.0
2019-11-12,9.92,9.91,9.98,9.85,240900.0
2019-11-11,9.89,9.86,9.92,9.81,442600.0
2019-11-08,9.9,9.99,10.0,9.9,376600.0
2019-11-07,9.98,9.92,9.98,9.86,406400.0
2019-11-06,9.9,9.97,9.99,9.9,308500.0
2019-11-05,9.98,9.98,10.0,9.93,492000.0
2019-11-04,9.98,9.97,9.99,9.91,274100.0
2019-11-01,9.92,9.9,9.96,9.87,550600.0
2019-10-31,9.98,9.88,10.0,9.88,537300.0
2019-10-30,9.97,9.88,9.99,9.86,243900.0
2019-10-29,9.95,9.8,9.95,9.8,609400.0
2019-10-25,9.9,9.89,9.94,9.8,96200.0
2019-10-24,9.94,9.94,9.95,9.86,302900.0
2019-10-23,9.94,9.93,9.94,9.86,249600.0
2019-10-22,9.93,9.91,9.94,9.88,540200.0
2019-10-21,9.9,9.9,9.93,9.8,129900.0
2019-10-18,9.85,9.83,9.94,9.83,216400.0
2019-10-17,9.91,9.83,9.94,9.83,331900.0
2019-10-16,9.93,9.83,9.94,9.79,383200.0
2019-10-15,9.83,9.85,9.85,9.78,245700.0
2019-10-14,9.85,9.73,9.85,9.73,163700.0
2019-10-11,9.8,9.72,9.8,9.72,96100.0
2019-10-10,9.77,9.72,9.78,9.72,97100.0
2019-10-09,9.77,9.73,9.8,9.72,186800.0
2019-10-08,9.8,9.77,9.8,9.7,126500.0
2019-10-07,9.8,9.8,9.85,9.78,90800.0
2019-10-04,9.8,9.79,9.88,9.78,86300.0
2019-10-03,9.8,9.83,9.86,9.78,380600.0
2019-10-02,9.85,9.91,9.91,9.82,385400.0
2019-10-01,9.93,9.81,9.93,9.81,86300.0
2019-09-30,9.86,9.87,9.89,9.78,481700.0
2019-09-27,9.86,9.8,9.87,9.76,485800.0
2019-09-26,9.86,9.78,9.86,9.78,364800.0
2019-09-25,9.85,9.85,9.86,9.78,169300.0
2019-09-24,9.85,9.79,9.87,9.77,364600.0
2019-09-23,9.85,9.8,9.85,9.76,212500.0
2019-09-20,9.89,9.85,9.9,9.76,1040000.0
2019-09-19,9.82,9.79,9.88,9.79,105000.0
2019-09-18,9.9,9.89,9.9,9.82,128800.00000000001
2019-09-17,9.9,9.91,9.91,9.79,606200.0
2019-09-13,9.9,9.78,9.9,9.72,212700.0
2019-09-12,9.77,9.89,9.93,9.76,204700.0
2019-09-11,9.89,9.7,9.89,9.67,376600.0
2019-09-10,9.7,9.78,9.86,9.7,427600.0
2019-09-06,9.75,9.84,9.84,9.75,74200.0
2019-09-05,9.75,9.89,9.89,9.75,196600.0
2019-09-04,9.9,9.68,9.9,9.68,381400.0
2019-09-03,9.8,9.92,9.95,9.76,399200.0
2019-08-30,9.92,9.79,9.94,9.74,789400.0
2019-08-29,9.9,9.63,9.94,9.57,446500.0
2019-08-28,9.61,9.57,9.61,9.45,331700.0
2019-08-27,9.5,9.66,9.68,9.5,1980000.0
2019-08-26,9.56,9.74,9.74,9.56,326500.0
2019-08-23,9.7,9.65,9.78,9.65,187400.0
2019-08-22,9.78,9.65,9.9,9.57,325900.0
2019-08-21,9.6,9.58,9.7,9.55,457900.0
2019-08-20,9.6,9.62,9.62,9.58,298000.0
2019-08-19,9.62,9.58,9.68,9.58,218000.0
2019-08-16,9.6,9.58,9.64,9.58,359800.0
2019-08-15,9.65,9.6,9.65,9.49,644200.0
2019-08-14,9.65,9.58,9.68,9.58,395200.0
2019-08-13,9.65,9.7,9.72,9.54,532000.0
