Date,Price,Open,High,Low,Vol.
2020-03-13,1.45,1.48,1.48,1.45,11600.0
2020-03-12,1.55,1.57,1.58,1.54,47700.0
2020-03-11,1.59,1.5,1.59,1.5,82000.0
2020-03-10,1.55,1.42,1.55,1.42,28000.0
2020-03-09,1.42,1.55,1.55,1.42,33000.0
2020-03-06,1.57,1.64,1.64,1.57,44100.0
2020-03-05,1.59,1.52,1.59,1.52,184900.0
2020-03-04,1.51,1.5,1.56,1.5,56000.0
2020-03-03,1.5,1.54,1.54,1.5,281900.0
2020-03-02,1.54,1.59,1.59,1.53,128500.0
2020-02-28,1.6,1.67,1.67,1.6,72700.0
2020-02-27,1.65,1.67,1.67,1.64,65300.0
2020-02-26,1.67,1.67,1.67,1.67,277800.0
2020-02-25,1.67,1.64,1.67,1.64,19600.0
2020-02-24,1.64,1.63,1.64,1.61,69200.0
2020-02-21,1.66,1.68,1.68,1.66,120400.0
2020-02-20,1.69,1.67,1.69,1.67,73100.0
2020-02-19,1.66,1.66,1.66,1.66,5000.0
2020-02-18,1.68,1.66,1.7,1.66,23200.0
2020-02-17,1.67,1.68,1.68,1.66,131800.0
2020-02-14,1.66,1.67,1.68,1.66,62600.0
2020-02-13,1.67,1.69,1.69,1.67,35000.0
2020-02-12,1.67,1.67,1.67,1.66,5000.0
2020-02-11,1.67,1.67,1.67,1.66,38500.0
2020-02-10,1.68,1.68,1.68,1.68,8300.0
2020-02-07,1.7,1.73,1.73,1.69,40100.0
2020-02-06,1.74,1.73,1.75,1.73,79400.0
2020-02-05,1.71,1.68,1.72,1.68,97400.0
2020-02-04,1.64,1.64,1.64,1.63,14500.0
2020-02-03,1.66,1.63,1.67,1.62,56200.0
2020-01-31,1.67,1.7,1.72,1.66,88000.0
2020-01-30,1.69,1.71,1.71,1.68,13100.0
2020-01-29,1.78,1.75,1.78,1.75,39200.0
2020-01-28,1.77,1.86,1.86,1.77,110000.0
2020-01-24,1.87,1.85,1.87,1.8,71500.0
2020-01-22,1.88,1.83,1.88,1.83,75300.0
2020-01-21,1.88,1.86,1.88,1.84,52600.0
2020-01-20,1.85,1.85,1.85,1.83,68300.0
2020-01-17,1.93,1.9,1.95,1.8,304600.0
2020-01-16,1.89,1.93,1.93,1.85,28800.0
2020-01-15,1.98,1.96,1.98,1.95,57000.0
2020-01-14,1.96,1.98,1.99,1.95,84700.0
2020-01-13,1.98,2.0,2.01,1.98,279100.0
2020-01-10,2.0,1.96,2.0,1.92,60500.0
2020-01-09,1.96,1.96,1.98,1.96,33100.0
2020-01-08,1.94,1.99,1.99,1.91,174800.0
2020-01-07,2.01,2.0,2.03,2.0,51700.0
2020-01-06,2.0,2.03,2.03,1.97,64599.99999999999
2020-01-03,2.07,2.09,2.1,2.07,86100.0
2020-01-02,2.07,2.12,2.12,2.04,125600.0
2019-12-31,2.13,2.14,2.14,2.11,111100.0
2019-12-30,2.14,2.05,2.14,2.05,290200.0
2019-12-27,2.03,1.95,2.05,1.95,219200.0
2019-12-26,2.0,2.0,2.0,2.0,116100.0
2019-12-23,2.01,2.0,2.02,2.0,45700.0
2019-12-20,2.0,1.98,2.05,1.98,276600.0
2019-12-19,1.96,1.97,1.97,1.95,36800.0
2019-12-18,1.96,1.95,1.98,1.95,26600.0
2019-12-17,1.98,1.95,1.99,1.95,67900.0
2019-12-16,1.96,1.96,1.96,1.93,88000.0
2019-12-13,1.96,2.0,2.0,1.96,24400.0
2019-12-12,2.03,1.97,2.03,1.95,228700.0
2019-12-11,1.98,1.98,1.99,1.92,265600.0
2019-12-10,2.0,1.95,2.0,1.94,701600.0
2019-12-09,1.92,1.85,1.96,1.85,497400.0
2019-12-06,1.81,1.76,1.82,1.75,530800.0
2019-12-05,1.73,1.68,1.79,1.68,417600.0
2019-12-04,1.69,1.65,1.7,1.65,50100.0
2019-12-03,1.7,1.72,1.72,1.66,144300.0
2019-12-02,1.74,1.74,1.74,1.73,93800.0
2019-11-29,1.74,1.73,1.78,1.73,49500.0
2019-11-28,1.73,1.74,1.76,1.73,39200.0
2019-11-27,1.74,1.74,1.74,1.73,59000.0
2019-11-26,1.75,1.77,1.77,1.75,252100.0
2019-11-25,1.73,1.8,1.9,1.73,308800.0
2019-11-22,1.81,1.7,1.86,1.68,465200.0
2019-11-21,1.68,1.62,1.7,1.62,241200.0
2019-11-20,1.6,1.58,1.6,1.55,131300.0
2019-11-19,1.54,1.54,1.56,1.53,67200.0
2019-11-18,1.54,1.55,1.55,1.54,9000.0
2019-11-14,1.56,1.55,1.56,1.55,64700.0
2019-11-13,1.54,1.54,1.55,1.54,31000.0
2019-11-12,1.53,1.56,1.56,1.52,71000.0
2019-11-11,1.54,1.54,1.55,1.54,107000.0
2019-11-08,1.53,1.52,1.53,1.52,47700.0
2019-11-07,1.52,1.5,1.52,1.5,44500.0
2019-11-06,1.52,1.54,1.54,1.48,114400.0
2019-11-05,1.53,1.48,1.54,1.48,90300.0
2019-11-04,1.47,1.45,1.5,1.45,63700.0
2019-11-01,1.45,1.46,1.47,1.45,38200.0
2019-10-31,1.46,1.46,1.47,1.44,80000.0
2019-10-30,1.45,1.44,1.45,1.44,50200.0
2019-10-29,1.44,1.43,1.44,1.43,38000.0
2019-10-25,1.44,1.43,1.44,1.43,24800.0
2019-10-24,1.43,1.42,1.43,1.42,56700.0
2019-10-23,1.45,1.43,1.45,1.43,38500.0
2019-10-22,1.43,1.43,1.43,1.43,16900.0
2019-10-21,1.44,1.46,1.46,1.43,25000.0
2019-10-18,1.48,1.48,1.48,1.47,91700.0
2019-10-17,1.47,1.47,1.47,1.47,19600.0
2019-10-16,1.47,1.47,1.47,1.47,103700.0
2019-10-15,1.46,1.46,1.46,1.46,15000.0
2019-10-14,1.47,1.45,1.47,1.45,200100.0
2019-10-11,1.48,1.46,1.48,1.46,57800.0
2019-10-10,1.46,1.45,1.46,1.45,52800.0
2019-10-09,1.46,1.48,1.48,1.45,29100.0
2019-10-08,1.46,1.45,1.46,1.45,67900.0
2019-10-07,1.46,1.45,1.46,1.45,70000.0
2019-10-04,1.45,1.45,1.45,1.45,34800.0
2019-10-03,1.45,1.44,1.45,1.44,36100.0
2019-10-02,1.44,1.43,1.46,1.43,98900.0
2019-10-01,1.43,1.44,1.44,1.43,37500.0
2019-09-30,1.43,1.45,1.45,1.43,39000.0
2019-09-27,1.43,1.43,1.43,1.43,37000.0
2019-09-26,1.42,1.42,1.42,1.42,1000.0
2019-09-25,1.43,1.43,1.44,1.43,41000.0
2019-09-24,1.43,1.43,1.43,1.43,18700.0
2019-09-23,1.43,1.41,1.43,1.41,25500.0
2019-09-20,1.41,1.41,1.41,1.41,2000.0
2019-09-19,1.41,1.41,1.41,1.41,21000.0
2019-09-18,1.41,1.43,1.44,1.41,38000.0
2019-09-17,1.43,1.42,1.44,1.42,87800.0
2019-09-12,1.41,1.42,1.42,1.41,18700.0
2019-09-11,1.45,1.45,1.45,1.45,5300.0
2019-09-10,1.45,1.43,1.45,1.42,9200.0
2019-09-06,1.41,1.41,1.41,1.41,12500.0
2019-09-05,1.41,1.4,1.41,1.4,1200.0
2019-09-04,1.4,1.45,1.45,1.4,2800.0
2019-09-03,1.45,1.45,1.45,1.45,3700.0
2019-08-30,1.45,1.45,1.45,1.45,11000.0
2019-08-29,1.45,1.47,1.47,1.45,44200.0
2019-08-27,1.48,1.48,1.48,1.48,5300.0
2019-08-26,1.47,1.47,1.47,1.47,2000.0
2019-08-23,1.5,1.48,1.5,1.48,19900.0
2019-08-21,1.48,1.46,1.49,1.46,81300.0
2019-08-20,1.46,1.48,1.5,1.46,46200.0
2019-08-16,1.48,1.48,1.49,1.48,110000.0
2019-08-14,1.48,1.48,1.48,1.48,23000.0
2019-08-13,1.48,1.47,1.48,1.47,54600.0
2019-08-09,1.47,1.48,1.5,1.47,47000.0
2019-08-08,1.48,1.48,1.48,1.47,19900.0
2019-08-07,1.48,1.48,1.48,1.47,53500.0
2019-08-02,1.52,1.5,1.52,1.5,9000.0
2019-08-01,1.52,1.53,1.53,1.52,33100.0
2019-07-31,1.55,1.55,1.55,1.55,11000.0
2019-07-29,1.55,1.57,1.57,1.55,29000.0
2019-07-26,1.6,1.56,1.6,1.56,21800.0
2019-07-25,1.58,1.58,1.58,1.58,3000.0
2019-07-24,1.58,1.57,1.6,1.57,29400.0
2019-07-23,1.56,1.58,1.58,1.56,51700.0
2019-07-22,1.56,1.56,1.57,1.56,19000.0
2019-07-19,1.56,1.59,1.6,1.56,33000.0
2019-07-18,1.55,1.58,1.58,1.55,10000.0
2019-07-17,1.57,1.58,1.59,1.55,13200.0
2019-07-16,1.59,1.56,1.59,1.56,7300.0
2019-07-15,1.5,1.57,1.57,1.5,64200.0
2019-07-12,1.57,1.57,1.57,1.57,2600.0
2019-07-11,1.58,1.58,1.59,1.58,17000.0
