Date,Price,Open,High,Low,Vol.
2020-03-13,13.42,14.02,14.02,13.0,2180000.0
2020-03-12,14.62,15.02,15.02,14.5,1650000.0
2020-03-11,15.06,15.08,15.14,15.0,753300.0
2020-03-10,15.08,14.84,15.3,14.84,1410000.0
2020-03-09,15.16,15.3,15.3,15.02,1260000.0
2020-03-06,15.54,15.64,15.64,15.4,796000.0
2020-03-05,15.64,15.86,15.86,15.48,686400.0
2020-03-04,15.86,16.2,16.2,15.32,1940000.0
2020-03-03,15.6,15.28,15.6,15.26,872200.0
2020-03-02,15.02,15.28,15.38,14.92,1330000.0
2020-02-28,15.3,15.1,15.4,15.1,2460000.0
2020-02-27,15.46,15.2,15.6,15.2,471300.0
2020-02-26,15.18,14.94,15.66,14.86,1410000.0
2020-02-25,15.12,15.0,15.26,14.92,778200.0
2020-02-24,15.06,15.1,15.18,14.96,2290000.0
2020-02-21,15.32,15.34,15.36,15.2,1120000.0
2020-02-20,15.38,15.4,15.4,15.28,717700.0
2020-02-19,15.34,15.3,15.38,15.14,721600.0
2020-02-18,15.3,15.16,15.42,15.16,518200.00000000006
2020-02-17,15.16,15.08,15.2,15.08,1410000.0
2020-02-14,15.08,15.16,15.28,14.96,2049999.9999999998
2020-02-13,15.14,15.54,15.62,15.14,1030000.0
2020-02-12,15.44,16.08,16.14,15.36,3160000.0
2020-02-11,16.14,16.14,16.32,16.06,617100.0
2020-02-10,16.16,16.2,16.2,16.06,401600.0
2020-02-07,16.1,16.02,16.2,16.02,1900000.0
2020-02-06,16.1,16.2,16.2,16.04,2960000.0
2020-02-05,15.98,15.9,16.02,15.76,2029999.9999999998
2020-02-04,16.0,15.9,16.18,15.72,2590000.0
2020-02-03,15.88,15.9,16.1,15.86,1560000.0
2020-01-31,16.0,15.76,16.34,15.74,3790000.0
2020-01-30,15.78,15.72,15.8,15.72,2740000.0
2020-01-29,15.8,15.86,15.86,15.74,2150000.0
2020-01-28,15.78,16.12,16.12,15.2,636300.0
