Date,Price,Open,High,Low,Vol.
2020-03-13,8.01,8.2,8.2,7.97,25200.0
2020-03-12,8.38,8.69,8.69,8.38,58800.0
2020-03-11,8.69,8.67,8.76,8.67,38700.0
2020-03-10,8.59,8.6,8.68,8.48,79900.0
2020-03-09,8.68,9.0,9.0,8.68,96800.0
2020-03-06,9.01,9.01,9.1,9.01,10400.0
2020-03-05,9.01,9.1,9.1,8.99,54100.0
2020-03-04,9.05,9.33,9.33,9.05,38000.0
2020-03-03,9.26,9.3,9.3,9.26,8500.0
2020-03-02,9.2,9.02,9.3,9.0,75400.0
2020-02-28,9.3,9.41,9.41,9.0,38800.0
2020-02-27,9.4,9.4,9.42,9.38,126600.0
2020-02-26,9.4,9.4,9.4,9.4,2400.0
2020-02-25,9.39,9.41,9.41,9.32,82800.0
2020-02-24,9.44,9.75,9.75,9.4,95800.0
2020-02-21,9.8,9.84,9.84,9.8,16600.0
2020-02-20,9.82,9.72,9.98,9.72,2700.0
2020-02-19,9.76,9.8,9.9,9.68,5100.0
2020-02-18,9.79,9.68,9.8,9.68,3500.0
2020-02-17,9.66,9.7,9.7,9.66,6900.0
2020-02-14,9.68,9.68,9.74,9.66,129500.0
2020-02-13,9.72,9.71,9.72,9.61,298700.0
2020-02-12,9.71,9.8,9.83,9.62,126000.0
2020-02-11,9.84,9.86,9.86,9.6,1800.0
2020-02-10,9.6,9.6,9.6,9.52,20100.0
2020-02-07,9.6,9.64,9.64,9.55,55900.0
2020-02-06,9.65,9.7,9.74,9.64,29800.0
2020-02-05,9.74,9.85,9.85,9.65,7500.0
2020-02-04,9.88,9.68,9.88,9.63,3700.0
2020-02-03,9.68,9.56,9.68,9.56,19700.0
2020-01-31,9.56,9.7,9.7,9.54,40200.0
2020-01-30,9.7,9.7,9.72,9.63,31000.0
2020-01-29,9.7,9.87,9.88,9.68,66200.0
2020-01-28,9.87,10.0,10.0,9.85,64599.99999999999
2020-01-24,10.08,10.2,10.2,10.08,2000.0
2020-01-23,10.16,10.2,10.2,10.08,102700.0
2020-01-22,10.12,10.2,10.2,10.1,14100.0
2020-01-21,10.18,10.22,10.24,10.16,4600.0
2020-01-20,10.24,10.3,10.3,10.16,69800.0
2020-01-17,10.3,10.2,10.3,10.12,16300.0
2020-01-16,10.2,10.2,10.2,10.2,2300.0
2020-01-15,10.2,10.12,10.2,10.12,300.0
2020-01-14,10.18,10.3,10.3,10.1,99800.0
2020-01-13,10.28,10.3,10.3,10.26,15900.0
2020-01-10,10.3,10.26,10.32,10.2,8100.0
2020-01-09,10.26,10.26,10.26,10.26,100.0
2020-01-08,10.32,10.2,10.36,10.18,47600.0
2020-01-07,10.4,10.42,10.42,10.4,3700.0
2020-01-06,10.42,10.4,10.42,10.4,900.0
2020-01-03,10.42,10.4,10.42,10.34,902800.0
2020-01-02,10.4,10.38,10.44,10.32,227100.0
2019-12-31,10.42,10.3,10.42,10.3,13600.0
2019-12-30,10.3,10.46,10.46,10.3,19000.0
2019-12-27,10.44,10.44,10.44,10.4,37300.0
2019-12-26,10.48,10.4,10.48,10.38,700.0
2019-12-24,10.4,10.46,10.46,10.3,93400.0
2019-12-23,10.2,10.18,10.46,10.18,1000.0
2019-12-20,10.36,10.06,10.46,10.0,67800.0
2019-12-19,10.36,10.48,10.48,10.2,21100.0
2019-12-18,10.48,10.4,10.48,10.4,128900.0
2019-12-17,10.4,10.08,10.46,10.08,147400.0
2019-12-16,10.4,10.28,10.48,10.28,3800.0
2019-12-13,10.32,10.3,10.38,10.3,2600.0
2019-12-12,10.28,10.14,10.28,10.14,3300.0
2019-12-11,10.14,10.0,10.16,10.0,31000.0
2019-12-10,9.98,10.2,10.5,9.9,67200.0
2019-12-09,10.5,10.4,10.56,10.3,64099.99999999999
2019-12-06,10.48,10.6,10.6,10.38,2100.0
2019-12-05,10.52,10.5,10.66,10.4,108500.0
2019-12-04,10.4,10.6,10.66,10.4,373700.0
2019-12-03,10.62,10.56,10.68,10.56,202300.0
2019-12-02,10.64,10.7,10.74,10.58,151400.0
2019-11-29,10.7,10.72,10.8,10.64,77500.0
2019-11-28,10.7,10.66,10.7,10.58,91200.0
2019-11-27,10.66,10.5,10.7,10.5,120000.0
2019-11-26,10.64,10.2,10.64,10.18,583100.0
2019-11-25,10.18,9.82,10.24,9.77,179200.0
2019-11-22,9.77,9.8,9.9,9.73,240400.0
