Date,Price,Open,High,Low,Vol.
2020-03-13,1.83,1.88,1.91,1.83,4870000.0
2020-03-12,1.9,1.93,1.93,1.89,6590000.0
2020-03-11,1.94,1.92,1.94,1.91,3390000.0
2020-03-10,1.92,1.9,1.94,1.89,5390000.0
2020-03-09,1.94,1.95,1.95,1.92,3840000.0
2020-03-06,1.94,1.95,1.95,1.94,669500.0
2020-03-05,1.95,1.94,1.95,1.94,1830000.0
2020-03-04,1.95,1.96,1.97,1.94,1570000.0
2020-03-03,1.94,1.95,1.96,1.94,778400.0
2020-03-02,1.95,1.96,1.96,1.93,2180000.0
2020-02-28,1.96,1.93,1.97,1.92,7690000.0
2020-02-27,1.95,1.94,1.95,1.93,444800.0
2020-02-26,1.94,1.96,1.96,1.94,54100.0
2020-02-25,1.96,1.92,1.96,1.92,7500000.0
2020-02-24,1.92,1.9,1.95,1.9,3000000.0
2020-02-21,1.9,1.92,1.93,1.9,2910000.0
2020-02-20,1.92,1.92,1.93,1.91,1040000.0
2020-02-19,1.93,1.93,1.94,1.92,2450000.0
2020-02-18,1.93,1.95,1.96,1.92,2140000.0
2020-02-17,1.96,1.99,1.99,1.94,2450000.0
2020-02-14,1.99,1.97,2.0,1.96,3690000.0
2020-02-13,1.98,1.98,2.0,1.95,3180000.0
2020-02-12,2.0,1.92,2.0,1.9,5440000.0
2020-02-11,1.92,1.92,1.92,1.9,2009999.9999999998
2020-02-10,1.92,1.92,1.92,1.91,162600.0
2020-02-07,1.92,1.91,1.93,1.9,1480000.0
2020-02-06,1.91,1.92,1.92,1.89,1930000.0
2020-02-05,1.92,1.9,1.92,1.9,792100.0
2020-02-04,1.91,1.91,1.92,1.89,3080000.0
2020-02-03,1.91,1.92,1.92,1.9,1280000.0
2020-01-31,1.92,1.92,1.93,1.91,1860000.0
2020-01-30,1.91,1.92,1.92,1.91,1120000.0
2020-01-29,1.92,1.92,1.93,1.89,1690000.0
2020-01-28,1.92,1.91,1.92,1.89,677400.0
2020-01-24,1.9,1.92,1.92,1.9,2089999.9999999998
2020-01-23,1.93,1.91,1.94,1.9,3310000.0
2020-01-22,1.95,1.89,1.96,1.89,2280000.0
2020-01-21,1.89,1.91,1.91,1.89,875600.0
2020-01-20,1.91,1.9,1.91,1.89,2850000.0
2020-01-17,1.91,1.9,1.91,1.89,5620000.0
2020-01-16,1.9,1.91,1.91,1.89,6060000.0
2020-01-15,1.91,1.89,1.91,1.88,1800000.0
2020-01-14,1.88,1.89,1.9,1.88,3730000.0
2020-01-13,1.89,1.9,1.9,1.88,3740000.0
2020-01-10,1.89,1.89,1.9,1.88,1720000.0
2020-01-09,1.89,1.89,1.89,1.88,2550000.0
2020-01-08,1.88,1.9,1.9,1.86,3110000.0
2020-01-07,1.89,1.91,1.91,1.89,1720000.0
2020-01-06,1.9,1.9,1.91,1.9,579100.0
2020-01-03,1.91,1.91,1.91,1.9,456500.0
2020-01-02,1.91,1.89,1.92,1.88,1170000.0
2019-12-31,1.89,1.91,1.91,1.89,1640000.0
2019-12-30,1.9,1.91,1.91,1.9,648900.0
2019-12-27,1.9,1.91,1.92,1.89,2800000.0
2019-12-26,1.91,1.92,1.92,1.91,1130000.0
2019-12-24,1.91,1.9,1.93,1.9,1390000.0
2019-12-23,1.9,1.91,1.91,1.9,781100.0
2019-12-20,1.91,1.92,1.92,1.9,1070000.0
2019-12-19,1.92,1.91,1.93,1.9,1130000.0
2019-12-18,1.9,1.9,1.91,1.9,1960000.0
2019-12-17,1.9,1.91,1.91,1.9,3900000.0
2019-12-16,1.91,1.92,1.93,1.9,661900.0
2019-12-13,1.92,1.92,1.93,1.9,2420000.0
2019-12-12,1.92,1.93,1.94,1.9,2930000.0
2019-12-11,1.93,1.94,1.94,1.92,3120000.0
2019-12-10,1.94,1.95,1.95,1.93,359700.0
2019-12-09,1.94,1.93,1.95,1.92,884800.0
2019-12-06,1.96,1.9,1.96,1.9,2200000.0
2019-12-05,1.9,1.91,1.92,1.9,7390000.0
2019-12-04,1.91,1.91,1.92,1.9,4050000.0
2019-12-03,1.92,1.92,1.92,1.9,1810000.0
2019-12-02,1.92,1.92,1.94,1.91,560000.0
2019-11-29,1.92,1.91,1.94,1.91,596200.0
2019-11-28,1.91,1.91,1.93,1.9,3410000.0
2019-11-27,1.9,1.97,1.97,1.9,1670000.0
2019-11-26,2.01,1.92,2.01,1.91,7390000.0
2019-11-25,1.92,1.92,1.93,1.91,1730000.0
2019-11-22,1.92,1.93,1.93,1.92,790700.0
2019-11-21,1.93,1.92,1.93,1.91,4870000.0
2019-11-20,1.92,1.91,1.92,1.9,2460000.0
2019-11-19,1.9,1.9,1.91,1.89,9840000.0
2019-11-18,1.9,1.91,1.92,1.9,2630000.0
2019-11-15,1.91,1.92,1.95,1.91,5910000.0
2019-11-14,1.92,1.91,1.93,1.91,2300000.0
2019-11-13,1.91,1.9,1.91,1.89,3570000.0
2019-11-12,1.9,1.9,1.9,1.89,4290000.0
2019-11-11,1.9,1.93,1.93,1.89,4300000.0
2019-11-08,1.91,1.91,1.92,1.9,3060000.0
2019-11-07,1.91,1.91,1.92,1.9,2840000.0
2019-11-06,1.91,1.9,1.92,1.9,2400000.0
2019-11-05,1.91,1.91,1.94,1.9,3330000.0
2019-11-04,1.91,1.92,1.92,1.91,2800000.0
2019-11-01,1.91,1.91,1.92,1.91,1400000.0
2019-10-31,1.91,1.93,1.93,1.91,2350000.0
2019-10-30,1.93,1.92,1.93,1.91,2240000.0
2019-10-29,1.92,1.95,1.95,1.91,2890000.0
2019-10-25,1.94,1.97,1.97,1.94,6780000.0
2019-10-24,1.97,1.97,1.98,1.96,1300000.0
2019-10-23,1.96,1.94,1.98,1.94,1190000.0
2019-10-22,1.94,1.97,1.97,1.94,1310000.0
2019-10-21,2.0,1.96,2.0,1.93,1620000.0
2019-10-18,1.94,1.92,1.96,1.92,2570000.0
2019-10-17,1.92,1.94,1.97,1.9,4730000.0
2019-10-16,1.93,1.96,1.98,1.93,2410000.0
2019-10-15,1.96,1.97,1.97,1.95,1220000.0
2019-10-14,1.96,2.0,2.0,1.96,1400000.0
2019-10-11,2.0,2.01,2.02,1.98,1350000.0
2019-10-10,2.01,2.01,2.02,2.0,3420000.0
2019-10-09,2.01,2.02,2.03,2.01,3800000.0
2019-10-08,2.02,2.03,2.04,2.01,4430000.0
