Date,Price,Open,High,Low,Vol.
2020-03-13,1.53,1.67,1.7,1.49,4500000.0
2020-03-12,1.77,1.85,1.85,1.77,8980000.0
2020-03-11,1.86,1.83,1.91,1.82,5940000.0
2020-03-10,1.8,1.84,1.86,1.76,7210000.0
2020-03-09,1.84,1.9,1.91,1.84,5840000.0
2020-03-06,1.94,2.06,2.06,1.93,7270000.0
2020-03-05,2.01,1.96,2.02,1.95,4160000.0
2020-03-04,1.96,1.88,1.98,1.88,4070000.0000000005
2020-03-03,1.9,1.89,1.91,1.85,3920000.0
2020-03-02,1.86,1.94,1.94,1.86,5270000.0
2020-02-28,1.92,1.94,1.97,1.86,6150000.0
2020-02-27,1.99,2.06,2.07,1.97,5860000.0
2020-02-26,2.04,2.09,2.11,2.04,4530000.0
2020-02-25,2.15,2.1,2.17,2.1,3950000.0
2020-02-24,2.16,2.17,2.18,2.04,8390000.0
2020-02-21,2.23,2.2,2.23,2.18,3480000.0
2020-02-20,2.22,2.27,2.28,2.19,3570000.0
2020-02-19,2.28,2.27,2.29,2.27,540700.0
2020-02-18,2.29,2.3,2.32,2.28,1630000.0
2020-02-17,2.3,2.3,2.33,2.28,6100000.0
2020-02-14,2.3,2.29,2.32,2.25,8130000.000000001
2020-02-13,2.29,2.25,2.31,2.19,8260000.0
2020-02-12,2.27,2.2,2.27,2.18,2330000.0
2020-02-11,2.19,2.16,2.2,2.14,1260000.0
2020-02-10,2.14,2.2,2.21,2.13,3210000.0
2020-02-07,2.2,2.18,2.2,2.16,1260000.0
2020-02-06,2.18,2.2,2.22,2.16,2480000.0
2020-02-05,2.2,2.15,2.2,2.12,2930000.0
2020-02-04,2.12,2.06,2.16,2.06,3070000.0
2020-02-03,2.05,2.12,2.14,2.04,4310000.0
2020-01-31,2.12,2.21,2.24,2.12,6410000.0
2020-01-30,2.21,2.25,2.26,2.2,2730000.0
2020-01-29,2.25,2.25,2.25,2.2,1670000.0
2020-01-28,2.24,2.28,2.28,2.22,1230000.0
2020-01-24,2.29,2.28,2.29,2.25,21000.0
2020-01-23,2.29,2.29,2.29,2.22,1640000.0
2020-01-22,2.3,2.25,2.3,2.22,1370000.0
2020-01-21,2.26,2.26,2.3,2.26,4120000.0
2020-01-20,2.26,2.21,2.26,2.19,1770000.0
2020-01-17,2.21,2.21,2.24,2.19,3850000.0
2020-01-16,2.22,2.21,2.22,2.19,2250000.0
2020-01-15,2.22,2.22,2.24,2.21,2840000.0
2020-01-14,2.22,2.23,2.23,2.2,2440000.0
2020-01-13,2.23,2.25,2.25,2.21,2680000.0
2020-01-10,2.24,2.25,2.25,2.23,1510000.0
2020-01-09,2.25,2.25,2.25,2.22,3560000.0
2020-01-08,2.25,2.26,2.26,2.22,3340000.0
2020-01-07,2.28,2.27,2.28,2.23,1550000.0
2020-01-06,2.26,2.22,2.28,2.19,3710000.0
2020-01-03,2.23,2.18,2.23,2.17,3340000.0
2020-01-02,2.16,2.17,2.18,2.15,110900.0
2019-12-31,2.17,2.14,2.17,2.13,1750000.0
