Date,Price,Open,High,Low,Vol.
2020-03-13,3.65,3.77,3.8,3.52,11610000.0
2020-03-12,3.92,4.0,4.0,3.79,7410000.0
2020-03-11,4.0,3.93,4.06,3.88,4030000.0000000005
2020-03-10,3.93,3.98,4.1,3.92,5690000.0
2020-03-09,3.94,4.15,4.15,3.85,14330000.0
2020-03-06,4.16,4.18,4.25,4.14,1820000.0
2020-03-05,4.2,4.22,4.24,4.18,1680000.0
2020-03-04,4.22,4.12,4.34,4.12,2190000.0
2020-03-03,4.21,4.19,4.25,4.14,1470000.0
2020-03-02,4.19,4.2,4.25,4.11,4610000.0
2020-02-28,4.24,4.17,4.28,4.08,3770000.0
2020-02-27,4.25,4.28,4.38,4.23,2720000.0
2020-02-26,4.28,4.2,4.33,4.2,3200000.0
2020-02-25,4.25,4.24,4.31,4.16,3870000.0
2020-02-24,4.3,4.31,4.34,4.27,2460000.0
2020-02-21,4.45,4.41,4.47,4.41,3730000.0
2020-02-20,4.46,4.51,4.51,4.4,1220000.0
2020-02-19,4.52,4.54,4.59,4.44,851400.0
2020-02-18,4.5,4.49,4.51,4.48,556100.0
2020-02-17,4.5,4.56,4.6,4.49,821200.0
2020-02-14,4.55,4.48,4.56,4.47,809800.0
2020-02-13,4.54,4.51,4.56,4.51,841100.0
2020-02-12,4.55,4.54,4.57,4.54,4010000.0
2020-02-11,4.54,4.52,4.58,4.48,1300000.0
2020-02-10,4.51,4.58,4.58,4.48,1790000.0
2020-02-07,4.5,4.49,4.52,4.46,1830000.0
2020-02-06,4.49,4.47,4.53,4.46,3710000.0
2020-02-05,4.45,4.46,4.5,4.45,6920000.0
2020-02-04,4.49,4.5,4.58,4.49,2880000.0
2020-02-03,4.49,4.46,4.52,4.46,4220000.0
2020-01-31,4.54,4.58,4.58,4.46,4019999.9999999995
2020-01-30,4.51,4.52,4.52,4.42,3090000.0
2020-01-29,4.52,4.48,4.59,4.48,3340000.0
2020-01-28,4.49,4.53,4.53,4.41,1180000.0
2020-01-24,4.58,4.57,4.58,4.57,1700.0
2020-01-23,4.59,4.56,4.6,4.56,2029999.9999999998
2020-01-22,4.6,4.64,4.64,4.58,618600.0
2020-01-21,4.67,4.6,4.67,4.6,3940000.0
2020-01-20,4.6,4.62,4.62,4.58,4360000.0
2020-01-17,4.63,4.6,4.65,4.59,6600000.0
2020-01-16,4.61,4.6,4.65,4.6,6060000.0
2020-01-15,4.68,4.7,4.7,4.66,4840000.0
2020-01-14,4.7,4.66,4.7,4.65,7680000.0
2020-01-13,4.66,4.73,4.76,4.66,4040000.0
2020-01-10,4.7,4.7,4.71,4.68,5660000.0
2020-01-09,4.7,4.66,4.74,4.66,4630000.0
2020-01-08,4.67,4.7,4.72,4.63,4120000.0
2020-01-07,4.72,4.73,4.76,4.7,4650000.0
2020-01-06,4.72,4.74,4.74,4.7,3680000.0
2020-01-03,4.74,4.7,4.78,4.69,12310000.0
2020-01-02,4.65,4.67,4.67,4.61,5280000.0
2019-12-31,4.61,4.71,4.74,4.58,2510000.0
2019-12-30,4.7,4.68,4.73,4.67,7260000.0
2019-12-27,4.72,4.62,4.76,4.62,2720000.0
2019-12-26,4.64,4.57,4.7,4.53,1400000.0
2019-12-24,4.56,4.59,4.6,4.49,3130000.0
2019-12-23,4.6,4.77,4.77,4.56,5810000.0
2019-12-20,4.82,4.55,4.82,4.55,7830000.0
2019-12-19,4.6,4.58,4.64,4.56,2870000.0
2019-12-18,4.64,4.62,4.64,4.55,8640000.0
2019-12-17,4.62,4.6,4.62,4.47,4560000.0
2019-12-16,4.55,4.5,4.6,4.5,1930000.0
2019-12-13,4.58,4.62,4.62,4.58,2440000.0
2019-12-12,4.58,4.5,4.62,4.5,4460000.0
2019-12-11,4.53,4.46,4.58,4.46,6120000.0
2019-12-10,4.56,4.53,4.58,4.52,4120000.0
2019-12-09,4.53,4.5,4.58,4.48,5810000.0
2019-12-06,4.48,4.4,4.5,4.39,4320000.0
2019-12-05,4.43,4.42,4.44,4.39,2400000.0
2019-12-04,4.4,4.32,4.47,4.31,4460000.0
2019-12-03,4.39,4.39,4.44,4.36,2540000.0
2019-12-02,4.39,4.26,4.4,4.26,3950000.0
2019-11-29,4.35,4.43,4.43,4.33,3400000.0
2019-11-28,4.44,4.43,4.46,4.43,1620000.0
2019-11-27,4.43,4.5,4.5,4.42,1500000.0
2019-11-26,4.45,4.4,4.47,4.4,6200000.0
2019-11-25,4.45,4.49,4.49,4.42,316500.0
2019-11-22,4.49,4.49,4.49,4.4,2440000.0
2019-11-21,4.49,4.43,4.51,4.36,3900000.0
2019-11-20,4.45,4.45,4.47,4.43,4980000.0
2019-11-19,4.43,4.36,4.45,4.36,938100.0
2019-11-18,4.42,4.4,4.45,4.4,1380000.0
2019-11-15,4.4,4.4,4.43,4.37,3830000.0
2019-11-14,4.4,4.4,4.43,4.34,1540000.0
2019-11-13,4.4,4.44,4.44,4.36,3250000.0
2019-11-12,4.45,4.4,4.45,4.39,6590000.0
2019-11-11,4.4,4.32,4.41,4.32,2830000.0
2019-11-08,4.34,4.33,4.36,4.33,1950000.0
2019-11-07,4.39,4.41,4.41,4.36,1070000.0
2019-11-06,4.43,4.45,4.45,4.41,1310000.0
2019-11-05,4.46,4.42,4.46,4.39,4690000.0
2019-11-04,4.42,4.4,4.42,4.36,2930000.0
2019-11-01,4.38,4.3,4.39,4.3,1130000.0
2019-10-31,4.37,4.28,4.38,4.28,3080000.0
2019-10-30,4.35,4.36,4.39,4.33,1120000.0
2019-10-29,4.33,4.3,4.34,4.29,2540000.0
2019-10-25,4.28,4.28,4.29,4.25,2060000.0
2019-10-24,4.25,4.25,4.27,4.2,2790000.0
2019-10-23,4.28,4.27,4.29,4.25,668900.0
2019-10-22,4.29,4.28,4.3,4.25,2570000.0
2019-10-21,4.25,4.25,4.27,4.22,1690000.0
2019-10-18,4.25,4.28,4.37,4.25,1120000.0
2019-10-17,4.4,4.25,4.43,4.25,961600.0
2019-10-16,4.33,4.22,4.4,4.22,1600000.0
2019-10-15,4.22,4.2,4.22,4.18,1190000.0
2019-10-14,4.2,4.25,4.25,4.18,1640000.0
2019-10-11,4.21,4.22,4.22,4.21,265000.0
2019-10-10,4.22,4.24,4.24,4.2,1750000.0
2019-10-09,4.23,4.26,4.27,4.22,1250000.0
2019-10-08,4.27,4.27,4.33,4.25,1390000.0
2019-10-07,4.27,4.28,4.3,4.26,412800.0
2019-10-04,4.3,4.3,4.33,4.26,241100.0
2019-10-03,4.28,4.26,4.31,4.25,1250000.0
2019-10-02,4.29,4.43,4.43,4.25,4160000.0
2019-10-01,4.43,4.42,4.44,4.41,257100.00000000003
2019-09-30,4.43,4.37,4.43,4.37,2550000.0
2019-09-27,4.39,4.37,4.44,4.37,741500.0
2019-09-26,4.42,4.39,4.42,4.35,1900000.0
2019-09-25,4.4,4.3,4.4,4.3,2000000.0
2019-09-24,4.35,4.36,4.42,4.32,2760000.0
2019-09-23,4.38,4.35,4.4,4.35,1530000.0
2019-09-20,4.4,4.4,4.42,4.38,9270000.0
2019-09-19,4.4,4.28,4.48,4.28,2150000.0
2019-09-18,4.42,4.4,4.44,4.36,1670000.0
2019-09-17,4.42,4.42,4.42,4.34,1590000.0
2019-09-13,4.41,4.4,4.42,4.35,1380000.0
2019-09-12,4.38,4.4,4.44,4.38,2290000.0
2019-09-11,4.4,4.35,4.41,4.3,2380000.0
2019-09-10,4.41,4.4,4.43,4.39,2690000.0
2019-09-06,4.4,4.39,4.42,4.35,1960000.0
2019-09-05,4.41,4.41,4.43,4.37,2500000.0
2019-09-04,4.4,4.42,4.42,4.34,1950000.0
2019-09-03,4.35,4.43,4.47,4.34,2089999.9999999998
2019-08-30,4.41,4.4,4.43,4.29,2500000.0
2019-08-29,4.36,4.24,4.43,4.22,1550000.0
2019-08-28,4.22,4.29,4.29,4.19,849500.0
2019-08-27,4.25,4.31,4.36,4.16,6930000.0
2019-08-26,4.33,4.32,4.38,4.25,3040000.0
