Date,Price,Open,High,Low,Vol.
2020-03-13,0.365,0.43,0.43,0.36,613600.0
2020-03-12,0.44,0.46,0.46,0.435,10810000.0
2020-03-11,0.46,0.455,0.46,0.45,8300000.000000001
2020-03-10,0.455,0.455,0.455,0.4,4620000.0
2020-03-09,0.46,0.495,0.5,0.455,11870000.0
2020-03-06,0.5,0.495,0.5,0.495,10300000.0
2020-03-05,0.5,0.5,0.505,0.495,8740000.0
2020-03-04,0.5,0.505,0.515,0.495,11640000.0
2020-03-03,0.505,0.51,0.515,0.5,7830000.0
2020-03-02,0.505,0.505,0.505,0.495,10060000.0
2020-02-28,0.505,0.515,0.52,0.5,12320000.0
2020-02-27,0.52,0.52,0.53,0.515,9380000.0
2020-02-26,0.52,0.52,0.53,0.51,8010000.0
2020-02-25,0.525,0.52,0.525,0.51,8170000.0
2020-02-24,0.525,0.525,0.535,0.51,7050000.0
2020-02-21,0.535,0.535,0.54,0.53,8100000.0
2020-02-20,0.535,0.53,0.54,0.53,9610000.0
2020-02-19,0.53,0.525,0.53,0.525,6140000.0
2020-02-18,0.525,0.53,0.535,0.525,6330000.0
2020-02-17,0.53,0.53,0.535,0.53,4560000.0
2020-02-14,0.53,0.525,0.54,0.525,5800000.0
2020-02-13,0.53,0.525,0.53,0.52,9060000.0
2020-02-12,0.525,0.525,0.53,0.52,4590000.0
2020-02-11,0.53,0.525,0.53,0.52,10580000.0
2020-02-10,0.525,0.52,0.525,0.52,8210000.000000001
2020-02-07,0.52,0.525,0.525,0.52,4590000.0
2020-02-06,0.525,0.525,0.53,0.52,10960000.0
2020-02-05,0.525,0.525,0.53,0.52,12810000.0
2020-02-04,0.525,0.525,0.53,0.52,8400000.0
2020-02-03,0.53,0.51,0.53,0.505,11540000.0
2020-01-31,0.51,0.53,0.53,0.5,12660000.0
2020-01-30,0.53,0.535,0.535,0.52,7610000.0
2020-01-29,0.53,0.53,0.535,0.525,9570000.0
2020-01-28,0.53,0.53,0.535,0.525,8109999.999999999
2020-01-24,0.535,0.535,0.545,0.53,4850000.0
2020-01-23,0.535,0.545,0.545,0.515,14870000.0
2020-01-22,0.545,0.54,0.55,0.54,5880000.0
2020-01-21,0.545,0.535,0.55,0.53,13030000.0
2020-01-20,0.535,0.535,0.545,0.53,12090000.0
2020-01-17,0.535,0.53,0.55,0.525,12330000.0
2020-01-16,0.53,0.545,0.57,0.51,21740000.0
2020-01-15,0.575,0.57,0.58,0.57,9040000.0
2020-01-14,0.575,0.59,0.595,0.57,11870000.0
2020-01-13,0.595,0.595,0.6,0.59,8530000.0
2020-01-10,0.595,0.6,0.605,0.575,18730000.0
2020-01-09,0.595,0.605,0.61,0.59,10840000.0
2020-01-08,0.605,0.605,0.605,0.59,6980000.0
2020-01-07,0.605,0.6,0.61,0.6,7660000.0
2020-01-06,0.6,0.57,0.605,0.57,14880000.0
2020-01-03,0.575,0.57,0.575,0.565,9100000.0
2020-01-02,0.57,0.565,0.57,0.565,1440000.0
2019-12-31,0.565,0.56,0.57,0.555,17170000.0
2019-12-30,0.56,0.56,0.56,0.55,10090000.0
2019-12-27,0.56,0.56,0.565,0.555,7990000.0
2019-12-26,0.56,0.555,0.56,0.55,9960000.0
2019-12-24,0.555,0.555,0.56,0.55,5080000.0
2019-12-23,0.555,0.545,0.56,0.545,10930000.0
2019-12-20,0.545,0.545,0.555,0.54,11670000.0
2019-12-19,0.55,0.55,0.555,0.545,12580000.0
2019-12-18,0.55,0.545,0.555,0.545,11150000.0
2019-12-17,0.545,0.545,0.55,0.54,9790000.0
2019-12-16,0.545,0.545,0.55,0.54,10290000.0
2019-12-13,0.545,0.545,0.55,0.54,10180000.0
2019-12-12,0.545,0.545,0.55,0.54,11640000.0
2019-12-11,0.545,0.545,0.55,0.54,13640000.0
2019-12-10,0.545,0.545,0.55,0.54,12670000.0
2019-12-09,0.55,0.545,0.55,0.54,17980000.0
2019-12-06,0.55,0.565,0.57,0.495,20480000.0
2019-12-05,0.56,0.555,0.565,0.555,15060000.0
2019-12-04,0.55,0.535,0.555,0.535,14830000.0
2019-12-03,0.535,0.535,0.54,0.53,10010000.0
2019-12-02,0.53,0.52,0.535,0.52,9210000.0
2019-11-29,0.52,0.51,0.525,0.505,16760000.000000002
2019-11-28,0.51,0.505,0.515,0.5,16840000.0
2019-11-27,0.505,0.495,0.505,0.495,10140000.0
2019-11-26,0.495,0.48,0.5,0.48,15170000.0
2019-11-25,0.485,0.475,0.485,0.47,6780000.0
2019-11-22,0.48,0.48,0.48,0.47,7570000.0
2019-11-21,0.48,0.48,0.485,0.465,6810000.0
2019-11-20,0.48,0.475,0.485,0.475,12860000.0
2019-11-19,0.475,0.47,0.48,0.46,21470000.0
2019-11-18,0.475,0.475,0.48,0.46,16390000.0
2019-11-15,0.475,0.465,0.475,0.46,19450000.0
2019-11-14,0.465,0.455,0.465,0.45,16520000.0
2019-11-13,0.455,0.445,0.455,0.445,16030000.000000002
2019-11-12,0.445,0.445,0.45,0.435,10810000.0
2019-11-11,0.445,0.44,0.445,0.44,9020000.0
2019-11-08,0.445,0.44,0.445,0.435,10680000.0
2019-11-07,0.44,0.435,0.44,0.43,7490000.0
2019-11-06,0.435,0.435,0.44,0.43,9380000.0
2019-11-05,0.435,0.435,0.44,0.43,6780000.0
2019-11-04,0.435,0.445,0.445,0.43,13890000.0
2019-11-01,0.445,0.43,0.445,0.43,10590000.0
2019-10-31,0.43,0.42,0.43,0.42,9190000.0
2019-10-30,0.42,0.405,0.42,0.4,22840000.0
2019-10-29,0.405,0.405,0.41,0.4,9020000.0
2019-10-25,0.405,0.395,0.405,0.39,7360000.0
2019-10-24,0.395,0.39,0.405,0.385,28510000.0
2019-10-23,0.39,0.38,0.39,0.37,24190000.0
2019-10-22,0.38,0.365,0.38,0.36,29280000.0
2019-10-21,0.36,0.365,0.37,0.36,20590000.0
2019-10-18,0.365,0.355,0.365,0.35,13980000.0
2019-10-17,0.355,0.345,0.355,0.345,12140000.0
2019-10-16,0.345,0.335,0.35,0.335,10880000.0
2019-10-15,0.335,0.325,0.34,0.325,10980000.0
2019-10-14,0.325,0.32,0.33,0.315,10300000.0
2019-10-11,0.325,0.325,0.325,0.315,10700000.0
2019-10-10,0.32,0.305,0.325,0.3,21300000.0
2019-10-09,0.305,0.295,0.305,0.295,17850000.0
2019-10-08,0.3,0.29,0.3,0.29,6010000.0
2019-10-07,0.295,0.295,0.3,0.29,5960000.0
2019-10-04,0.295,0.29,0.3,0.285,10940000.0
2019-10-03,0.295,0.28,0.295,0.28,6860000.0
2019-10-02,0.285,0.285,0.29,0.275,4000000.0
2019-10-01,0.285,0.27,0.285,0.26,9480000.0
2019-09-30,0.275,0.275,0.275,0.27,1740000.0
2019-09-27,0.275,0.275,0.28,0.27,2370000.0
2019-09-26,0.28,0.275,0.285,0.27,15650000.0
2019-09-25,0.275,0.275,0.275,0.27,3260000.0
2019-09-24,0.275,0.27,0.275,0.265,5490000.0
2019-09-23,0.27,0.275,0.28,0.27,2520000.0
2019-09-20,0.275,0.265,0.275,0.26,4010000.0
2019-09-19,0.265,0.26,0.265,0.255,3630000.0
2019-09-18,0.26,0.26,0.26,0.255,521299.99999999994
2019-09-17,0.26,0.25,0.26,0.245,3070000.0
2019-09-13,0.25,0.235,0.25,0.235,1760000.0
2019-09-12,0.24,0.23,0.24,0.23,1070000.0
2019-09-11,0.225,0.23,0.235,0.225,273000.0
2019-09-10,0.23,0.23,0.23,0.225,804200.0
2019-09-06,0.23,0.23,0.23,0.225,2480000.0
2019-09-05,0.225,0.22,0.225,0.215,2520000.0
2019-09-04,0.215,0.225,0.225,0.215,2560000.0
2019-09-03,0.225,0.235,0.235,0.22,1610000.0
2019-08-30,0.235,0.235,0.235,0.225,2570000.0
2019-08-29,0.235,0.245,0.25,0.235,1790000.0
2019-08-28,0.245,0.26,0.26,0.245,2530000.0
2019-08-27,0.265,0.26,0.265,0.255,1760000.0
2019-08-26,0.26,0.255,0.26,0.255,1190000.0
2019-08-23,0.26,0.26,0.265,0.26,2320000.0
2019-08-22,0.26,0.265,0.265,0.26,1420000.0
2019-08-21,0.26,0.265,0.265,0.26,2320000.0
2019-08-20,0.265,0.26,0.265,0.255,1880000.0
2019-08-19,0.26,0.255,0.26,0.255,1550000.0
2019-08-16,0.255,0.26,0.26,0.255,1240000.0
2019-08-15,0.26,0.255,0.265,0.255,1810000.0
2019-08-14,0.26,0.26,0.265,0.255,1760000.0
2019-08-13,0.26,0.26,0.265,0.255,1640000.0
