Date,Price,Open,High,Low,Vol.
2020-03-13,4.0,4.05,4.05,3.95,147200.0
2020-03-12,4.14,4.18,4.18,4.14,125400.0
2020-03-11,4.22,4.22,4.48,4.22,8000.0
2020-03-10,4.32,4.18,4.32,4.18,54300.0
2020-03-09,4.18,4.2,4.23,4.14,104800.0
2020-03-06,4.39,4.4,4.4,4.32,14500.0
2020-03-05,4.43,4.4,4.43,4.39,24200.0
2020-03-04,4.42,4.42,4.42,4.42,800.0
2020-03-03,4.42,4.3,4.42,4.3,21100.0
2020-03-02,4.5,4.34,4.58,4.23,59000.0
2020-02-28,4.42,4.44,4.55,4.42,11300.0
2020-02-27,4.54,4.6,4.6,4.54,18400.0
2020-02-26,4.54,4.54,4.54,4.54,500.0
2020-02-25,4.62,4.52,4.62,4.52,46600.0
2020-02-24,4.59,4.5,4.59,4.5,30400.0
2020-02-21,4.6,4.5,4.6,4.5,6200.0
2020-02-20,4.61,4.53,4.61,4.51,140000.0
2020-02-19,4.6,4.53,4.6,4.53,27500.0
2020-02-18,4.53,4.52,4.55,4.52,9000.0
2020-02-17,4.56,4.53,4.56,4.53,6200.0
2020-02-14,4.53,4.49,4.54,4.48,101100.0
2020-02-13,4.51,4.46,4.51,4.42,33900.0
2020-02-12,4.46,4.48,4.48,4.45,21800.0
2020-02-11,4.48,4.48,4.5,4.48,62200.0
2020-02-10,4.48,4.47,4.5,4.47,51400.0
2020-02-07,4.5,4.5,4.5,4.5,2500.0
2020-02-06,4.5,4.46,4.52,4.46,33300.0
2020-02-05,4.44,4.44,4.5,4.44,80800.0
2020-02-04,4.4,4.5,4.5,4.4,6200.0
2020-01-31,4.5,4.58,4.58,4.5,600.0
2020-01-30,4.52,4.56,4.56,4.52,83100.0
2020-01-29,4.57,4.49,4.57,4.49,53200.0
2020-01-28,4.53,4.53,4.53,4.53,14100.0
2020-01-23,4.54,4.55,4.59,4.54,5500.0
2020-01-22,4.6,4.6,4.61,4.59,68000.0
2020-01-21,4.6,4.6,4.6,4.6,15500.0
2020-01-20,4.6,4.6,4.61,4.59,39100.0
2020-01-17,4.61,4.6,4.61,4.6,5200.0
2020-01-16,4.61,4.6,4.61,4.6,27200.0
2020-01-15,4.6,4.6,4.6,4.6,22900.0
2020-01-14,4.61,4.61,4.61,4.61,10700.0
2020-01-13,4.6,4.6,4.6,4.58,90900.0
2020-01-10,4.6,4.6,4.6,4.6,10100.0
2020-01-09,4.6,4.6,4.6,4.6,59300.0
2020-01-08,4.58,4.58,4.58,4.58,14000.0
2020-01-07,4.6,4.6,4.6,4.52,75700.0
2020-01-06,4.6,4.56,4.6,4.56,21200.0
2020-01-03,4.67,4.6,4.71,4.6,16500.0
2020-01-02,4.69,4.61,4.69,4.6,10900.0
2019-12-31,4.7,4.6,4.7,4.51,29000.0
2019-12-30,4.61,4.61,4.63,4.6,20900.0
2019-12-27,4.6,4.58,4.6,4.58,6300.0
2019-12-26,4.6,4.6,4.6,4.6,9000.0
2019-12-24,4.6,4.62,4.62,4.6,24100.0
2019-12-23,4.6,4.61,4.61,4.6,32000.0
2019-12-20,4.68,4.6,4.68,4.6,28000.0
2019-12-18,4.66,4.64,4.68,4.64,4200.0
2019-12-17,4.68,4.68,4.68,4.68,500.0
2019-12-16,4.67,4.69,4.69,4.67,1300.0
2019-12-13,4.68,4.67,4.68,4.67,15600.0
2019-12-12,4.67,4.65,4.7,4.65,54900.0
2019-12-11,4.62,4.65,4.65,4.58,43900.0
2019-12-06,4.65,4.58,4.65,4.58,70200.0
2019-12-05,4.62,4.6,4.65,4.58,60500.0
2019-12-04,4.58,4.57,4.62,4.56,59000.0
2019-12-03,4.57,4.57,4.59,4.46,73200.0
2019-12-02,4.41,4.55,4.55,4.41,9600.0
2019-11-29,4.6,4.6,4.6,4.6,9100.0
2019-11-28,4.6,4.57,4.6,4.55,29500.0
2019-11-27,4.57,4.57,4.57,4.57,54500.0
2019-11-26,4.57,4.57,4.58,4.57,34200.0
2019-11-25,4.57,4.57,4.57,4.56,25500.0
2019-11-22,4.56,4.55,4.58,4.55,18000.0
2019-11-21,4.57,4.57,4.57,4.57,4000.0
2019-11-20,4.57,4.56,4.57,4.55,8900.0
2019-11-19,4.57,4.58,4.58,4.57,300.0
2019-11-18,4.6,4.64,4.64,4.55,58100.0
2019-11-15,4.6,4.58,4.61,4.57,42400.0
2019-11-14,4.6,4.55,4.6,4.55,59500.0
2019-11-13,4.56,4.58,4.58,4.56,500.0
2019-11-12,4.6,4.55,4.6,4.55,59600.0
2019-11-11,4.55,4.55,4.55,4.55,13800.0
2019-11-08,4.55,4.56,4.56,4.52,37000.0
2019-11-07,4.56,4.54,4.56,4.54,4000.0
2019-11-06,4.54,4.53,4.55,4.52,91200.0
2019-11-05,4.55,4.52,4.55,4.52,36000.0
2019-11-04,4.57,4.51,4.58,4.51,32500.0
2019-11-01,4.56,4.45,4.56,4.43,75600.0
2019-10-31,4.45,4.46,4.5,4.45,6900.0
2019-10-30,4.43,4.44,4.48,4.43,3600.0
2019-10-29,4.5,4.43,4.56,4.42,17700.0
2019-10-24,4.6,4.6,4.6,4.5,12800.0
2019-10-23,4.66,4.66,4.66,4.66,1500.0
2019-10-22,4.66,4.66,4.66,4.66,1000.0
