Date,Price,Open,High,Low,Vol.
2020-03-13,5.04,5.1,5.32,4.86,3640000.0
2020-03-12,5.3,5.15,5.42,5.14,10170000.0
2020-03-11,5.12,5.06,5.14,5.02,2510000.0
2020-03-10,5.07,5.1,5.18,5.06,2210000.0
2020-03-09,5.11,5.04,5.15,4.86,3360000.0
2020-03-06,5.03,4.95,5.13,4.95,9540000.0
2020-03-05,4.94,4.86,4.95,4.86,3710000.0
2020-03-04,4.85,4.81,4.87,4.75,3970000.0
2020-03-03,4.78,4.8,4.87,4.75,1430000.0
2020-03-02,4.8,4.7,4.86,4.66,1940000.0
2020-02-28,4.8,4.83,4.88,4.75,3430000.0
2020-02-27,4.89,4.88,4.9,4.83,1150000.0
2020-02-26,4.9,4.78,4.91,4.78,1890000.0
2020-02-25,4.78,4.65,4.85,4.65,3620000.0
2020-02-24,4.64,4.64,4.69,4.54,5470000.0
2020-02-21,4.65,4.6,4.7,4.6,2350000.0
2020-02-20,4.61,4.56,4.62,4.55,3940000.0
2020-02-19,4.6,4.72,4.72,4.58,2040000.0
2020-02-18,4.72,4.83,4.83,4.7,1920000.0
2020-02-17,4.81,4.86,4.87,4.79,1140000.0
2020-02-14,4.88,4.86,4.88,4.86,3430000.0
2020-02-13,4.86,4.87,4.88,4.85,1620000.0
2020-02-12,4.86,4.81,4.9,4.81,2000000.0
2020-02-11,4.8,4.77,4.82,4.77,2690000.0
2020-02-10,4.77,4.75,4.8,4.71,3080000.0
2020-02-07,4.65,4.68,4.78,4.65,3870000.0
2020-02-06,4.67,4.69,4.7,4.63,5900000.0
2020-02-05,4.68,4.81,4.83,4.67,7350000.0
2020-02-04,4.81,4.8,4.88,4.79,4650000.0
2020-02-03,4.8,4.91,4.93,4.75,5140000.0
2020-01-31,4.9,4.86,4.98,4.86,3620000.0
2020-01-30,4.85,4.94,4.95,4.8,3320000.0
2020-01-29,4.9,5.02,5.04,4.87,8540000.0
2020-01-28,5.01,5.0,5.18,4.95,9690000.0
2020-01-24,4.75,4.64,4.79,4.64,6030000.0
2020-01-23,4.64,4.77,4.78,4.59,4170000.0
2020-01-22,4.68,4.6,4.83,4.56,10220000.0
2020-01-21,4.47,4.23,4.5,4.23,7370000.0
2020-01-20,4.23,4.2,4.24,4.17,705600.0
2020-01-17,4.2,4.17,4.2,4.14,405400.0
2020-01-16,4.16,4.2,4.2,4.15,79500.0
