Date,Price,Open,High,Low,Vol.
2020-03-13,2.64,2.77,2.77,2.64,110900.0
2020-03-12,2.84,2.95,2.95,2.83,225500.0
2020-03-11,2.98,3.01,3.03,2.95,182900.0
2020-03-10,3.01,2.9,3.08,2.9,662700.0
2020-03-09,3.1,3.21,3.35,3.0,190800.0
2020-03-06,3.42,3.34,3.48,3.3,111400.0
2020-03-05,3.34,3.36,3.36,3.32,114700.0
2020-03-04,3.35,3.36,3.36,3.3,87400.0
2020-03-03,3.36,3.29,3.36,3.26,130699.99999999999
2020-03-02,3.3,3.23,3.3,3.22,44200.0
2020-02-28,3.22,3.4,3.4,3.21,1710000.0
2020-02-27,3.42,3.4,3.48,3.38,316700.0
2020-02-26,3.4,3.42,3.48,3.4,267400.0
2020-02-25,3.47,3.31,3.52,3.31,600500.0
2020-02-24,3.31,3.66,3.66,3.3,891400.0
2020-02-21,3.71,3.59,3.85,3.51,1190000.0
2020-02-20,3.62,3.54,3.68,3.54,902800.0
2020-02-19,3.54,3.59,3.59,3.53,146700.0
2020-02-18,3.57,3.53,3.6,3.5,634600.0
2020-02-17,3.61,3.57,3.61,3.51,794100.0
2020-02-14,3.57,3.47,3.7,3.47,1050000.0
2020-02-13,3.45,3.43,3.48,3.4,261000.0
2020-02-12,3.41,3.37,3.42,3.34,253200.0
2020-02-11,3.35,3.35,3.35,3.31,74200.0
2020-02-10,3.3,3.34,3.34,3.3,76200.0
2020-02-07,3.3,3.34,3.34,3.23,60300.0
2020-02-06,3.33,3.35,3.36,3.32,166500.0
2020-02-05,3.25,3.24,3.29,3.24,33900.0
2020-02-04,3.3,3.18,3.3,3.18,16600.0
2020-02-03,3.29,3.25,3.3,3.22,73200.0
2020-01-31,3.2,3.3,3.3,3.15,185300.0
2020-01-30,3.4,3.4,3.41,3.4,20000.0
2020-01-29,3.4,3.27,3.4,3.27,4400.0
2020-01-28,3.29,3.2,3.29,3.2,34000.0
2020-01-24,3.3,3.3,3.3,3.3,5000.0
2020-01-23,3.35,3.35,3.35,3.35,2000.0
2020-01-22,3.44,3.35,3.45,3.3,58100.0
2020-01-21,3.37,3.46,3.46,3.36,11600.0
2020-01-20,3.46,3.45,3.64,3.45,24400.0
2020-01-17,3.55,3.4,3.55,3.39,220400.0
2020-01-16,3.47,3.25,3.48,3.25,294900.0
2020-01-15,3.28,3.0,3.28,3.0,184000.0
2020-01-14,3.0,2.99,3.06,2.99,170200.0
2020-01-13,2.98,3.0,3.0,2.98,53400.0
2020-01-10,3.0,3.0,3.0,3.0,8700.0
2020-01-09,3.0,2.95,3.0,2.95,25500.0
2020-01-08,2.95,2.99,2.99,2.95,19500.0
2020-01-07,3.0,2.93,3.04,2.93,44800.0
2020-01-06,3.04,2.96,3.04,2.95,10500.0
2020-01-03,3.0,2.96,3.09,2.96,12300.0
2020-01-02,2.99,2.95,2.99,2.91,21800.0
2019-12-31,2.95,2.95,2.99,2.88,16900.0
2019-12-30,2.95,2.87,2.95,2.85,142800.0
2019-12-27,2.92,2.92,2.93,2.9,44800.0
2019-12-26,2.94,2.97,2.97,2.92,40400.0
2019-12-24,2.96,2.96,2.96,2.88,20800.0
2019-12-23,2.98,2.93,2.99,2.9,67900.0
2019-12-20,2.95,2.98,3.04,2.9,20100.0
2019-12-19,2.98,3.0,3.0,2.94,27100.0
2019-12-18,3.0,2.98,3.1,2.98,6000.0
2019-12-17,2.95,2.94,2.95,2.91,10000.0
2019-12-16,2.95,2.96,2.96,2.92,24200.0
2019-12-13,2.96,2.92,3.2,2.92,34100.0
2019-12-12,2.94,2.94,2.95,2.94,42400.0
2019-12-11,2.96,2.96,2.98,2.96,17800.0
2019-12-10,2.98,3.0,3.15,2.98,47000.0
2019-12-09,3.0,3.0,3.0,3.0,21400.0
2019-12-06,2.95,3.04,3.04,2.95,9400.0
2019-12-05,3.0,3.0,3.0,2.9,24300.0
2019-12-04,3.0,3.07,3.07,3.0,3200.0
2019-12-03,3.07,3.18,3.18,3.07,16300.0
2019-12-02,3.2,3.2,3.2,3.2,6600.0
2019-11-29,3.2,3.19,3.2,3.17,41200.0
2019-11-28,3.22,3.17,3.26,3.17,15600.0
2019-11-27,3.28,3.27,3.28,3.27,12300.0
2019-11-26,3.29,3.21,3.29,3.21,28300.0
2019-11-25,3.21,3.22,3.3,3.21,21600.0
2019-11-22,3.21,3.28,3.28,3.21,2100.0
2019-11-21,3.3,3.25,3.3,3.24,10300.0
2019-11-20,3.3,3.28,3.3,3.28,22000.0
2019-11-19,3.28,3.2,3.3,3.2,29400.0
2019-11-18,3.25,3.25,3.25,3.22,4400.0
2019-11-15,3.22,3.25,3.25,3.22,8000.0
2019-11-14,3.26,3.21,3.26,3.21,25800.0
2019-11-13,3.26,3.27,3.27,3.18,7400.0
2019-11-12,3.22,3.1,3.27,3.1,25400.0
2019-11-11,3.22,3.15,3.22,3.15,22000.0
