Date,Price,Open,High,Low,Vol.
2020-03-13,4.36,4.4,4.41,4.36,191700.0
2020-03-12,4.45,4.43,4.45,4.41,583400.0
2020-03-11,4.46,4.48,4.49,4.43,178900.0
2020-03-10,4.43,4.36,4.48,4.36,44400.0
2020-03-09,4.36,4.45,4.45,4.36,39000.0
2020-03-06,4.52,4.52,4.52,4.42,18100.0
2020-03-05,4.49,4.52,4.52,4.48,21800.0
2020-03-04,4.49,4.52,4.52,4.4,656600.0
2020-03-03,4.52,4.51,4.53,4.5,258600.00000000003
2020-03-02,4.51,4.5,4.51,4.48,151300.0
2020-02-28,4.5,4.53,4.53,4.5,250400.0
2020-02-27,4.53,4.5,4.53,4.5,44600.0
2020-02-26,4.52,4.45,4.54,4.45,54200.0
2020-02-25,4.45,4.44,4.48,4.44,132800.0
2020-02-24,4.45,4.6,4.6,4.34,560000.0
2020-02-21,4.66,4.67,4.67,4.66,111700.0
2020-02-20,4.66,4.71,4.71,4.66,19500.0
2020-02-19,4.7,4.73,4.74,4.65,487200.0
2020-02-18,4.73,4.7,4.74,4.7,1050000.0
2020-02-17,4.73,4.73,4.74,4.73,151300.0
2020-02-14,4.72,4.72,4.73,4.72,141900.0
2020-02-13,4.72,4.72,4.73,4.71,116900.0
2020-02-12,4.71,4.71,4.72,4.71,101600.0
2020-02-11,4.71,4.72,4.73,4.68,105900.0
2020-02-10,4.72,4.72,4.72,4.72,5800.0
2020-02-07,4.72,4.7,4.72,4.7,45400.0
2020-02-06,4.69,4.68,4.69,4.68,13500.0
2020-02-05,4.69,4.67,4.69,4.65,241500.0
2020-02-04,4.65,4.68,4.68,4.65,10600.0
2020-02-03,4.65,4.68,4.68,4.62,30800.0
2020-01-31,4.69,4.69,4.69,4.69,100.0
2020-01-30,4.65,4.64,4.66,4.63,23500.0
2020-01-29,4.72,4.65,4.72,4.65,2500.0
2020-01-28,4.72,4.63,4.72,4.63,4000.0
2020-01-24,4.7,4.7,4.7,4.7,1000.0
2020-01-23,4.7,4.71,4.71,4.66,357100.0
2020-01-22,4.71,4.7,4.71,4.7,35300.0
2020-01-21,4.7,4.7,4.7,4.7,16900.0
2020-01-20,4.7,4.7,4.72,4.7,46900.0
2020-01-17,4.7,4.7,4.75,4.69,270300.0
2020-01-16,4.71,4.66,4.71,4.62,245800.0
2020-01-15,4.72,4.72,4.73,4.72,29000.0
2020-01-14,4.72,4.72,4.72,4.61,20200.0
2020-01-13,4.7,4.7,4.7,4.7,5000.0
2020-01-10,4.66,4.66,4.66,4.65,21700.0
2020-01-09,4.66,4.7,4.7,4.62,264700.0
2020-01-08,4.66,4.7,4.7,4.61,17300.0
2020-01-07,4.66,4.65,4.69,4.62,9000.0
2020-01-06,4.61,4.59,4.74,4.59,12200.0
2020-01-03,4.7,4.6,4.7,4.6,14600.0
2020-01-02,4.65,4.69,4.7,4.61,6500.0
2019-12-31,4.59,4.65,4.65,4.59,30000.0
2019-12-30,4.6,4.59,4.6,4.59,19600.0
2019-12-26,4.59,4.58,4.6,4.58,31300.0
2019-12-24,4.6,4.57,4.6,4.54,92200.0
2019-12-23,4.53,4.7,4.7,4.53,37300.0
2019-12-20,4.56,4.7,4.7,4.55,600.0
2019-12-19,4.56,4.56,4.56,4.56,500.0
2019-12-18,4.55,4.57,4.57,4.55,17700.0
2019-12-17,4.6,4.51,4.61,4.51,24700.0
2019-12-16,4.6,4.7,4.7,4.51,137100.0
2019-12-12,4.72,4.7,4.72,4.6,20700.0
2019-12-11,4.68,4.62,4.68,4.62,73300.0
2019-12-10,4.6,4.62,4.62,4.6,19200.0
2019-12-09,4.65,4.77,4.77,4.55,145000.0
2019-12-06,4.72,4.8,4.8,4.71,21000.0
2019-12-05,4.8,4.87,4.87,4.77,19500.0
2019-12-04,4.95,4.66,4.95,4.62,552600.0
2019-12-03,4.7,4.7,4.7,4.6,277500.0
2019-12-02,4.62,4.68,4.7,4.62,90100.0
2019-11-29,4.61,4.54,4.68,4.54,40400.0
2019-11-28,4.5,4.5,4.58,4.5,34700.0
2019-11-27,4.5,4.51,4.51,4.46,427000.0
2019-11-26,4.47,4.5,4.51,4.46,201300.0
2019-11-25,4.46,4.46,4.46,4.46,27300.0
2019-11-22,4.46,4.47,4.47,4.46,58900.0
2019-11-21,4.47,4.47,4.47,4.44,105600.0
2019-11-20,4.47,4.5,4.5,4.46,110900.0
2019-11-19,4.5,4.5,4.5,4.49,9800.0
2019-11-18,4.49,4.49,4.49,4.48,15400.0
2019-11-15,4.49,4.49,4.49,4.49,100.0
2019-11-14,4.49,4.51,4.51,4.49,251000.0
2019-11-13,4.51,4.51,4.52,4.5,115200.0
2019-11-12,4.51,4.52,4.53,4.5,363300.0
2019-11-11,4.51,4.5,4.52,4.5,301300.0
2019-11-08,4.48,4.5,4.51,4.48,370100.0
2019-11-07,4.5,4.5,4.5,4.46,339800.0
2019-11-06,4.49,4.5,4.56,4.48,711400.0
2019-11-05,4.5,4.53,4.53,4.48,448200.0
2019-11-04,4.54,4.55,4.55,4.52,479300.0
2019-11-01,4.54,4.7,4.7,4.54,215200.0
2019-10-31,4.61,4.63,4.64,4.6,13600.0
2019-10-30,4.7,4.7,4.71,4.54,332900.0
2019-10-29,4.71,4.72,4.72,4.7,82700.0
2019-10-25,4.72,4.73,4.75,4.72,16900.0
2019-10-24,4.73,4.75,4.75,4.73,26400.0
2019-10-23,4.75,4.78,4.78,4.74,52600.0
2019-10-22,4.75,4.75,4.78,4.75,12800.0
2019-10-21,4.75,4.76,4.76,4.75,8500.0
2019-10-18,4.77,4.76,4.79,4.76,13800.0
2019-10-17,4.8,4.77,4.8,4.77,8900.0
2019-10-16,4.78,4.78,4.8,4.77,58300.0
2019-10-15,4.83,4.82,4.83,4.77,55500.0
2019-10-14,4.81,4.75,4.87,4.74,941500.0
2019-10-11,4.66,4.6,4.75,4.58,100000.0
2019-10-10,4.57,4.5,4.6,4.5,194200.0
2019-10-09,4.42,4.43,4.5,4.42,11100.0
2019-10-07,4.42,4.42,4.42,4.42,100.0
2019-10-04,4.5,4.5,4.51,4.38,120000.0
2019-10-03,4.45,4.45,4.45,4.45,900.0
2019-10-02,4.45,4.43,4.45,4.43,3100.0
2019-10-01,4.5,4.5,4.5,4.5,1000.0
2019-09-30,4.51,4.5,4.51,4.48,337900.0
2019-09-26,4.53,4.54,4.54,4.53,1400.0
2019-09-25,4.53,4.5,4.55,4.43,100500.0
2019-09-23,4.57,4.55,4.58,4.55,5700.0
2019-09-20,4.55,4.54,4.58,4.53,18900.0
2019-09-19,4.54,4.51,4.55,4.4,1030000.0
2019-09-18,4.52,4.52,4.52,4.5,11600.0
2019-09-17,4.6,4.55,4.6,4.55,64200.0
2019-09-13,4.53,4.52,4.55,4.52,20900.0
2019-09-12,4.56,4.55,4.6,4.5,34300.0
2019-09-11,4.56,4.6,4.61,4.56,29200.0
2019-09-10,4.63,4.64,4.7,4.57,15200.0
2019-09-06,4.66,4.64,4.66,4.61,7600.0
2019-09-05,4.61,4.64,4.64,4.55,4700.0
2019-09-04,4.64,4.7,4.7,4.6,93800.0
2019-08-30,4.71,4.74,4.8,4.64,29000.0
2019-08-29,4.74,4.7,4.74,4.61,5300.0
2019-08-27,4.7,4.63,4.7,4.55,1360000.0
2019-08-26,4.6,4.6,4.6,4.6,100.0
2019-08-23,4.58,4.53,4.58,4.53,370300.0
2019-08-22,4.52,4.52,4.55,4.47,234300.0
2019-08-21,4.47,4.44,4.47,4.4,41300.0
2019-08-20,4.44,4.39,4.45,4.38,208000.0
2019-08-19,4.37,4.35,4.41,4.35,774100.0
2019-08-16,4.35,4.35,4.38,4.32,307900.0
