Date,Price,Open,High,Low,Vol.
2020-03-13,1.32,1.35,1.35,1.3,1670000.0
2020-03-12,1.39,1.45,1.45,1.39,2650000.0
2020-03-11,1.45,1.48,1.5,1.45,3570000.0
2020-03-10,1.46,1.44,1.52,1.43,5030000.0
2020-03-09,1.44,1.58,1.58,1.44,4390000.0
2020-03-06,1.58,1.63,1.64,1.57,1080000.0
2020-03-05,1.63,1.66,1.68,1.63,1050000.0
2020-03-04,1.66,1.6,1.68,1.58,983500.0
2020-03-03,1.6,1.64,1.64,1.57,833000.0
2020-03-02,1.56,1.56,1.59,1.5,1010000.0
2020-02-28,1.58,1.64,1.65,1.58,3000000.0
2020-02-27,1.65,1.7,1.72,1.65,2590000.0
2020-02-26,1.7,1.7,1.73,1.69,1150000.0
2020-02-25,1.72,1.69,1.74,1.67,1440000.0
2020-02-24,1.71,1.75,1.75,1.7,2970000.0
2020-02-21,1.78,1.78,1.8,1.76,1530000.0
2020-02-20,1.78,1.77,1.81,1.77,1540000.0
2020-02-19,1.77,1.78,1.78,1.76,1930000.0
2020-02-18,1.77,1.82,1.84,1.76,3840000.0
2020-02-17,1.82,1.82,1.86,1.8,4770000.0
2020-02-14,1.81,1.82,1.84,1.79,4400000.0
2020-02-13,1.81,1.9,1.91,1.8,3520000.0
2020-02-12,1.87,1.77,1.93,1.76,10050000.0
2020-02-11,1.76,1.76,1.78,1.75,2100000.0
2020-02-10,1.77,1.8,1.81,1.76,1740000.0
2020-02-07,1.8,1.83,1.83,1.79,2360000.0
2020-02-06,1.83,1.81,1.84,1.81,1370000.0
2020-02-05,1.81,1.86,1.86,1.79,2440000.0
2020-02-04,1.84,1.93,1.94,1.83,3040000.0
2020-02-03,1.93,1.99,1.99,1.89,2590000.0
2020-01-31,2.05,2.24,2.24,2.05,4610000.0
2020-01-30,2.23,2.16,2.37,2.15,4630000.0
2020-01-29,2.16,2.18,2.18,2.14,819900.0
2020-01-28,2.18,2.22,2.22,2.18,877700.0
2020-01-24,2.25,2.22,2.25,2.22,99600.0
2020-01-23,2.23,2.25,2.26,2.21,313100.0
2020-01-22,2.25,2.25,2.25,2.23,244400.0
2020-01-21,2.25,2.3,2.3,2.25,1330000.0
2020-01-20,2.31,2.29,2.31,2.29,194500.0
2020-01-17,2.31,2.32,2.32,2.3,485600.0
2020-01-16,2.34,2.35,2.35,2.32,180500.0
2020-01-15,2.35,2.35,2.36,2.33,308200.0
2020-01-14,2.35,2.37,2.37,2.35,283900.0
2020-01-13,2.38,2.37,2.39,2.37,131600.0
2020-01-10,2.38,2.39,2.4,2.37,128100.0
2020-01-09,2.39,2.34,2.39,2.34,132800.0
2020-01-08,2.34,2.37,2.38,2.32,468300.0
2020-01-07,2.38,2.38,2.4,2.37,154200.0
2020-01-06,2.38,2.4,2.4,2.37,373400.0
2020-01-03,2.41,2.48,2.48,2.41,882800.0
2020-01-02,2.48,2.43,2.5,2.43,1070000.0
2019-12-31,2.41,2.4,2.43,2.39,1700000.0
2019-12-30,2.4,2.37,2.43,2.36,379300.0
2019-12-27,2.38,2.35,2.39,2.35,282200.0
2019-12-26,2.37,2.37,2.37,2.36,143900.0
2019-12-24,2.37,2.36,2.39,2.34,207800.0
2019-12-23,2.37,2.36,2.38,2.36,85200.0
2019-12-20,2.38,2.38,2.38,2.35,280800.0
2019-12-19,2.35,2.37,2.38,2.34,139200.0
2019-12-18,2.36,2.38,2.38,2.35,219700.0
2019-12-17,2.35,2.39,2.4,2.34,468400.0
2019-12-16,2.41,2.33,2.41,2.33,684100.0
2019-12-13,2.32,2.32,2.44,2.29,1470000.0
2019-12-12,2.3,2.28,2.32,2.26,217100.0
2019-12-11,2.28,2.24,2.3,2.24,253700.0
2019-12-10,2.24,2.25,2.26,2.24,174700.0
2019-12-09,2.23,2.24,2.25,2.23,524300.0
2019-12-06,2.25,2.27,2.27,2.24,202500.0
2019-12-05,2.26,2.25,2.28,2.25,282100.0
2019-12-04,2.25,2.28,2.28,2.24,873200.0
2019-12-03,2.29,2.33,2.33,2.28,719300.0
2019-12-02,2.33,2.32,2.35,2.32,276900.0
2019-11-29,2.32,2.34,2.34,2.3,477600.0
2019-11-28,2.34,2.42,2.42,2.3,1230000.0
2019-11-27,2.42,2.42,2.43,2.41,66800.0
2019-11-26,2.42,2.41,2.44,2.41,271300.0
2019-11-25,2.41,2.43,2.44,2.41,399200.0
2019-11-22,2.44,2.43,2.44,2.43,2510000.0
2019-11-21,2.44,2.45,2.45,2.42,1960000.0
2019-11-20,2.45,2.46,2.46,2.44,280700.0
2019-11-19,2.46,2.46,2.46,2.44,226400.0
2019-11-18,2.46,2.44,2.46,2.44,154500.0
2019-11-15,2.44,2.45,2.45,2.44,227700.0
2019-11-14,2.45,2.45,2.46,2.45,171000.0
2019-11-13,2.46,2.46,2.46,2.45,530700.0
2019-11-12,2.46,2.45,2.47,2.44,310700.0
2019-11-11,2.44,2.45,2.46,2.43,646000.0
2019-11-08,2.44,2.44,2.47,2.43,814300.0
2019-11-07,2.44,2.45,2.45,2.43,485300.0
2019-11-06,2.44,2.46,2.46,2.43,1220000.0
2019-11-05,2.44,2.46,2.47,2.43,904700.0
2019-11-04,2.44,2.45,2.46,2.41,679300.0
2019-11-01,2.45,2.46,2.47,2.43,653400.0
2019-10-31,2.48,2.51,2.55,2.48,869800.0
2019-10-30,2.48,2.51,2.51,2.46,754300.0
2019-10-29,2.51,2.5,2.52,2.5,240600.0
