Date,Price,Open,High,Low,Vol.
2020-03-13,2.08,2.12,2.2,1.98,10530000.0
2020-03-12,2.31,2.43,2.55,2.28,9540000.0
2020-03-11,2.53,2.66,2.72,2.5,9800000.0
2020-03-10,2.64,2.25,2.65,2.24,13600000.0
2020-03-09,2.32,2.62,2.73,2.3,13350000.0
2020-03-06,2.8,2.84,2.96,2.77,7340000.0
2020-03-05,2.87,2.8,2.93,2.79,7960000.0
2020-03-04,2.8,2.73,2.85,2.67,7810000.0
2020-03-03,2.77,2.92,2.94,2.73,8140000.000000001
2020-03-02,2.8,2.68,2.8,2.58,10350000.0
2020-02-28,2.68,2.68,2.75,2.5,23420000.0
2020-02-27,2.8,2.93,2.93,2.74,11950000.0
2020-02-26,2.95,2.96,3.11,2.93,12780000.0
2020-02-25,2.97,2.61,2.98,2.61,15800000.0
2020-02-24,2.67,2.5,2.85,2.5,16059999.999999998
2020-02-21,2.69,2.36,2.81,2.36,29620000.0
2020-02-20,2.31,2.21,2.32,2.17,7110000.0
2020-02-19,2.21,2.07,2.21,2.04,7740000.0
2020-02-18,2.07,2.08,2.08,2.01,2940000.0
2020-02-17,2.06,1.97,2.06,1.97,3600000.0
2020-02-14,1.97,1.99,1.99,1.97,691400.0
2020-02-13,1.99,2.0,2.02,1.99,1460000.0
2020-02-12,1.98,1.96,2.01,1.95,1700000.0
2020-02-11,1.96,1.97,2.0,1.95,1330000.0
2020-02-10,1.95,1.99,2.01,1.95,2110000.0
2020-02-07,2.01,2.01,2.03,1.98,1410000.0
2020-02-06,2.02,1.98,2.03,1.98,2420000.0
2020-02-05,1.96,2.01,2.02,1.96,1180000.0
2020-02-04,1.98,1.94,1.99,1.94,3060000.0
2020-02-03,1.92,1.78,1.92,1.75,6350000.0
2020-01-31,1.85,1.99,2.03,1.8,7240000.0
2020-01-30,1.98,2.07,2.07,1.98,2550000.0
2020-01-29,2.07,2.01,2.07,2.01,1640000.0
2020-01-28,2.0,1.98,2.04,1.95,3870000.0
2020-01-24,2.08,2.07,2.08,2.05,823800.0
2020-01-23,2.06,2.02,2.08,2.0,2520000.0
2020-01-22,2.01,2.02,2.04,1.99,1740000.0
2020-01-21,2.01,1.97,2.05,1.96,4800000.0
2020-01-20,1.96,1.95,1.98,1.94,1430000.0
2020-01-17,1.94,1.97,1.98,1.94,1840000.0
2020-01-16,1.94,1.91,2.0,1.9,5560000.0
2020-01-15,1.89,1.91,1.93,1.88,649300.0
2020-01-14,1.91,1.92,1.94,1.9,1820000.0
2020-01-13,1.91,1.84,1.92,1.84,3150000.0
