Date,Price,Open,High,Low,Vol.
2020-03-13,0.99,0.995,1.02,0.985,49250000.0
2020-03-12,1.07,1.1,1.1,1.04,40740000.0
2020-03-11,1.12,1.08,1.13,1.07,79990000.0
2020-03-10,1.08,1.01,1.08,0.995,63170000.0
2020-03-09,1.03,1.12,1.12,0.99,102540000.0
2020-03-06,1.14,1.16,1.16,1.13,35910000.0
2020-03-05,1.17,1.19,1.19,1.16,22520000.0
2020-03-04,1.19,1.15,1.2,1.14,44920000.0
2020-03-03,1.16,1.23,1.24,1.14,69070000.0
2020-03-02,1.2,1.25,1.28,1.16,127580000.0
2020-02-28,1.12,1.11,1.15,1.06,62770000.0
2020-02-27,1.12,1.17,1.2,1.11,85410000.0
2020-02-26,1.18,1.22,1.24,1.18,60770000.0
2020-02-25,1.23,1.18,1.26,1.17,54380000.0
2020-02-24,1.22,1.4,1.41,1.14,214140000.0
2020-02-21,1.3,1.29,1.3,1.28,24130000.0
2020-02-20,1.29,1.28,1.31,1.25,86800000.0
2020-02-19,1.23,1.24,1.26,1.21,67140000.0
2020-02-18,1.24,1.33,1.33,1.21,117440000.0
2020-02-17,1.33,1.38,1.39,1.32,39010000.0
2020-02-14,1.37,1.35,1.42,1.33,119800000.0
2020-02-13,1.35,1.33,1.37,1.32,55590000.0
2020-02-12,1.32,1.32,1.36,1.3,106300000.0
2020-02-11,1.33,1.16,1.37,1.15,281000000.0
2020-02-10,1.16,1.14,1.16,1.11,47220000.0
2020-02-07,1.15,1.14,1.15,1.11,40770000.0
2020-02-06,1.14,1.11,1.14,1.11,17790000.0
2020-02-05,1.11,1.09,1.12,1.08,16600000.000000002
2020-02-04,1.08,1.08,1.11,1.08,18250000.0
2020-02-03,1.08,1.01,1.09,0.99,27620000.0
2020-01-31,1.04,1.08,1.1,1.03,28750000.0
2020-01-30,1.09,1.1,1.11,1.08,8630000.0
2020-01-29,1.11,1.1,1.11,1.09,10900000.0
2020-01-28,1.1,1.12,1.12,1.09,24530000.0
