Date,Price,Open,High,Low,Vol.
2020-03-13,5.75,5.43,5.87,5.43,3710000.0
2020-03-12,5.94,5.89,6.0,5.58,5240000.0
2020-03-11,5.89,5.77,6.05,5.76,4320000.0
2020-03-10,5.74,5.6,5.84,5.58,3740000.0
2020-03-09,5.76,5.98,5.98,5.73,2390000.0
2020-03-06,6.01,6.16,6.18,5.96,4720000.0
2020-03-05,6.22,6.23,6.23,6.15,964100.0
2020-03-04,6.23,6.22,6.26,6.13,2450000.0
2020-03-03,6.22,6.41,6.45,6.18,4810000.0
2020-03-02,6.35,6.58,6.58,6.3,5230000.0
2020-02-28,6.59,6.61,6.73,6.54,6700000.0
2020-02-27,6.85,6.7,6.89,6.7,3160000.0
2020-02-26,6.8,6.51,6.85,6.5,5600000.0
2020-02-25,6.77,6.55,6.79,6.52,1610000.0
2020-02-24,6.58,6.67,6.68,6.46,3170000.0
2020-02-21,6.75,6.86,6.86,6.7,3740000.0
2020-02-20,6.88,7.0,7.01,6.85,4080000.0
2020-02-19,7.05,7.0,7.05,6.91,1600000.0
2020-02-18,7.02,7.0,7.06,7.0,391400.0
2020-02-17,7.0,7.03,7.04,6.98,644600.0
2020-02-14,7.0,7.05,7.05,6.85,1250000.0
2020-02-13,7.0,7.08,7.08,6.94,1350000.0
2020-02-12,7.15,6.86,7.2,6.86,2550000.0
2020-02-11,6.87,6.88,6.92,6.84,2360000.0
2020-02-10,6.9,7.04,7.04,6.82,1900000.0
2020-02-07,7.0,7.0,7.14,6.94,2260000.0
2020-02-06,7.04,6.97,7.09,6.97,1540000.0
2020-02-05,6.94,6.8,6.98,6.78,6440000.0
2020-02-04,6.8,6.74,6.8,6.63,9510000.0
2020-02-03,6.63,6.74,6.76,6.58,15550000.0
2020-01-31,6.74,6.84,6.88,6.51,5940000.0
2020-01-30,6.87,6.65,6.91,6.64,3420000.0
2020-01-29,6.68,6.43,6.71,6.4,4390000.0
2020-01-28,6.37,6.7,6.7,6.18,9160000.0
2020-01-24,6.83,6.88,6.99,6.77,4030000.0000000005
2020-01-23,6.86,6.75,6.86,6.71,1820000.0
2020-01-22,6.76,6.98,7.08,6.7,5000000.0
2020-01-21,6.99,7.01,7.02,6.97,1220000.0
2020-01-20,7.01,7.13,7.14,7.01,664400.0
2020-01-17,7.09,7.14,7.19,7.08,654900.0
2020-01-16,7.15,7.09,7.19,7.04,1820000.0
2020-01-15,7.09,7.05,7.09,6.98,1890000.0
2020-01-14,7.0,7.02,7.05,6.97,1560000.0
2020-01-13,7.0,7.07,7.07,6.96,2670000.0
2020-01-10,7.05,6.98,7.12,6.93,5620000.0
2020-01-09,6.98,7.14,7.23,6.94,6630000.0
2020-01-08,7.12,7.23,7.23,7.02,6040000.0
