Date,Price,Open,High,Low,Vol.
2020-03-13,4.41,4.5,4.52,4.34,1530000.0
2020-03-12,4.74,4.84,4.84,4.67,1470000.0
2020-03-11,4.88,4.9,4.9,4.79,1410000.0
2020-03-10,4.84,4.4,4.87,4.39,2490000.0
2020-03-09,4.68,5.04,5.04,4.5,1770000.0
2020-03-06,5.14,5.15,5.15,5.1,624500.0
2020-03-05,5.18,5.13,5.22,5.13,244000.0
2020-03-04,5.15,5.05,5.18,5.02,849500.0
2020-03-03,5.09,5.06,5.16,5.0,1080000.0
2020-03-02,5.05,5.09,5.1,4.84,1950000.0
2020-02-28,5.12,5.15,5.23,5.03,1810000.0
2020-02-27,5.28,5.43,5.44,5.26,712300.0
2020-02-26,5.43,5.55,5.6,5.4,3480000.0
2020-02-25,5.3,5.22,5.31,5.17,1120000.0
2020-02-24,5.3,5.29,5.31,5.13,2440000.0
2020-02-21,5.37,5.35,5.39,5.32,404600.0
2020-02-20,5.33,5.34,5.34,5.3,257899.99999999997
2020-02-19,5.33,5.3,5.33,5.25,300500.0
2020-02-18,5.3,5.39,5.39,5.24,392200.0
2020-02-17,5.32,5.25,5.38,5.25,387200.0
2020-02-14,5.31,5.3,5.31,5.25,503900.0
2020-02-13,5.3,5.38,5.38,5.28,923800.0
2020-02-12,5.36,5.36,5.37,5.34,290700.0
2020-02-11,5.36,5.37,5.4,5.32,400900.0
2020-02-10,5.36,5.35,5.4,5.32,390800.0
2020-02-07,5.41,5.46,5.5,5.38,170700.0
2020-02-06,5.43,5.46,5.5,5.36,510000.0
2020-02-05,5.41,5.26,5.48,5.23,954300.0
2020-02-04,5.26,5.2,5.28,5.16,342400.0
2020-02-03,5.21,5.14,5.28,4.98,1390000.0
2020-01-31,5.2,5.3,5.3,5.11,1380000.0
2020-01-30,5.3,5.28,5.31,5.25,372400.0
2020-01-29,5.28,5.17,5.28,5.17,424700.0
2020-01-28,5.19,5.25,5.25,5.11,960400.0
2020-01-24,5.28,5.29,5.32,5.27,205100.0
2020-01-23,5.29,5.35,5.4,5.26,820500.0
2020-01-22,5.36,5.5,5.5,5.23,965200.0
2020-01-21,5.5,5.56,5.56,5.5,477700.0
2020-01-20,5.56,5.5,5.59,5.49,983000.0
2020-01-17,5.49,5.46,5.5,5.46,898300.0
2020-01-16,5.46,5.48,5.49,5.41,999100.0
2020-01-15,5.47,5.42,5.5,5.42,566100.0
2020-01-14,5.46,5.41,5.53,5.38,949900.0
2020-01-13,5.41,5.42,5.49,5.39,685800.0
2020-01-10,5.43,5.13,5.49,5.13,3180000.0
2020-01-09,5.13,5.14,5.14,5.1,426700.0
2020-01-08,5.13,5.08,5.13,5.07,1170000.0
2020-01-07,5.14,5.14,5.14,5.11,1050000.0
2020-01-06,5.14,5.15,5.15,5.07,721000.0
2020-01-03,5.15,5.15,5.15,5.09,1340000.0
2020-01-02,5.14,5.12,5.16,5.12,734700.0
2019-12-31,5.11,5.07,5.11,5.07,1000000.0
2019-12-30,5.05,5.05,5.06,5.03,899800.0
2019-12-27,5.0,4.94,5.01,4.92,1050000.0
2019-12-26,4.93,4.93,4.94,4.91,340400.0
2019-12-24,4.93,4.94,4.95,4.92,352100.0
2019-12-23,4.94,4.92,4.94,4.9,316300.0
2019-12-20,4.92,4.92,4.92,4.9,253100.0
2019-12-19,4.93,4.94,4.95,4.91,167900.0
2019-12-18,4.94,4.94,4.96,4.93,424200.0
2019-12-17,4.93,4.96,4.96,4.91,125500.0
2019-12-16,4.96,4.93,4.96,4.93,212600.0
2019-12-13,4.93,4.96,4.96,4.91,98400.0
2019-12-12,4.96,4.92,4.96,4.89,500600.0
2019-12-11,4.9,4.77,4.9,4.72,604200.0
2019-12-10,4.72,4.76,4.76,4.72,184300.0
2019-12-09,4.76,4.77,4.77,4.75,151100.0
2019-12-06,4.76,4.7,4.79,4.7,425200.0
2019-12-05,4.69,4.69,4.7,4.66,581800.0
2019-12-04,4.69,4.71,4.71,4.65,251000.0
2019-12-03,4.72,4.69,4.73,4.69,254800.0
2019-12-02,4.73,4.7,4.75,4.69,287000.0
2019-11-29,4.7,4.7,4.77,4.68,278000.0
2019-11-28,4.77,4.74,4.78,4.73,250300.0
2019-11-27,4.75,4.78,4.78,4.74,190600.0
2019-11-26,4.78,4.78,4.79,4.77,207100.0
2019-11-25,4.78,4.78,4.82,4.77,678500.0
2019-11-22,4.78,4.79,4.79,4.77,104600.0
2019-11-21,4.8,4.78,4.81,4.78,319100.0
2019-11-20,4.81,4.81,4.82,4.75,245100.0
2019-11-19,4.81,4.67,4.83,4.56,2020000.0
2019-11-18,4.75,4.78,4.79,4.74,120600.0
