Date,Price,Open,High,Low,Vol.
2020-03-13,0.805,0.865,0.865,0.79,1090000.0
2020-03-12,0.865,0.89,0.89,0.865,662300.0
2020-03-11,0.91,0.885,0.91,0.885,583600.0
2020-03-10,0.875,0.87,0.9,0.865,2860000.0
2020-03-09,0.885,0.93,0.93,0.88,1220000.0
2020-03-06,0.935,0.95,0.95,0.93,260899.99999999997
2020-03-05,0.935,0.93,0.935,0.93,196000.0
2020-03-04,0.935,0.93,0.935,0.93,108800.0
2020-03-03,0.94,0.93,0.94,0.925,275300.0
2020-03-02,0.94,0.93,0.945,0.92,674900.0
2020-02-28,0.93,0.96,0.96,0.925,1590000.0
2020-02-27,0.96,0.98,0.98,0.96,150600.0
2020-02-26,0.965,0.955,0.965,0.955,142100.0
2020-02-25,0.965,0.955,0.965,0.955,320500.0
2020-02-24,0.96,0.97,0.97,0.955,935100.0
2020-02-21,0.98,0.975,0.985,0.975,232000.0
2020-02-20,0.97,0.975,0.98,0.97,264600.0
2020-02-19,0.975,0.97,0.985,0.97,390700.0
2020-02-18,0.975,0.975,0.98,0.975,130000.0
2020-02-17,0.98,0.98,0.98,0.975,128500.0
2020-02-14,0.975,0.98,0.98,0.975,106300.0
2020-02-13,0.975,0.975,0.98,0.975,188100.0
2020-02-12,0.97,0.985,0.985,0.97,125900.0
2020-02-11,0.98,0.965,0.985,0.965,148200.0
2020-02-10,0.97,0.975,0.98,0.97,122100.0
2020-02-07,0.98,0.98,0.99,0.975,114600.0
2020-02-06,0.99,0.98,0.995,0.965,240700.0
2020-02-05,0.965,0.97,0.97,0.96,357800.0
2020-02-04,0.97,0.97,0.98,0.965,185500.0
2020-02-03,0.96,0.955,0.965,0.945,385900.0
2020-01-31,0.96,1.01,1.01,0.96,1300000.0
2020-01-30,1.0,1.01,1.02,1.0,776800.0
2020-01-29,1.02,0.995,1.02,0.99,310400.0
2020-01-28,0.995,1.0,1.0,0.99,617100.0
2020-01-24,1.02,1.01,1.02,1.01,422000.0
2020-01-23,1.01,0.995,1.01,0.995,824600.0
2020-01-22,0.995,0.99,1.0,0.99,490900.0
2020-01-21,0.99,1.0,1.0,0.99,586400.0
2020-01-20,1.0,1.01,1.01,0.995,230000.0
2020-01-17,1.0,1.01,1.01,0.99,1180000.0
2020-01-16,1.01,1.01,1.01,1.0,381600.0
2020-01-15,1.02,1.01,1.02,1.0,1010000.0
2020-01-14,1.01,1.02,1.02,1.0,280900.0
2020-01-13,1.02,1.01,1.02,1.0,333200.0
2020-01-10,1.01,1.01,1.02,1.0,339600.0
2020-01-09,1.01,1.0,1.02,1.0,493800.0
2020-01-08,0.995,1.01,1.01,0.995,1770000.0
2020-01-07,1.03,1.01,1.03,1.01,405400.0
2020-01-06,1.02,1.03,1.03,1.01,636900.0
2020-01-03,1.04,1.03,1.04,1.02,359800.0
2020-01-02,1.04,1.03,1.04,1.02,346800.0
2019-12-31,1.04,1.03,1.04,1.02,1230000.0
2019-12-30,1.03,1.03,1.04,1.01,1300000.0
2019-12-27,1.04,1.03,1.04,1.01,572000.0
2019-12-26,1.03,1.03,1.05,1.02,702700.0
2019-12-24,1.03,1.01,1.03,1.0,1850000.0
2019-12-23,1.01,0.99,1.01,0.99,2450000.0
2019-12-20,0.99,0.98,0.99,0.975,1330000.0
2019-12-19,0.98,0.95,0.99,0.95,1240000.0
2019-12-18,0.95,0.94,0.95,0.935,814500.0
2019-12-17,0.94,0.94,0.94,0.935,247300.0
2019-12-16,0.935,0.935,0.945,0.935,133900.0
2019-12-13,0.935,0.94,0.945,0.935,482900.0
2019-12-12,0.945,0.945,0.945,0.94,174700.0
2019-12-11,0.94,0.935,0.94,0.93,265000.0
2019-12-10,0.94,0.94,0.94,0.93,311700.0
2019-12-09,0.935,0.93,0.94,0.93,263000.0
2019-12-06,0.93,0.935,0.935,0.93,250400.0
2019-12-05,0.935,0.935,0.935,0.91,506100.0
2019-12-04,0.935,0.935,0.94,0.93,589700.0
2019-12-03,0.93,0.94,0.94,0.93,310300.0
2019-12-02,0.935,0.945,0.945,0.935,909100.0
2019-11-29,0.94,0.945,0.945,0.94,429500.0
2019-11-28,0.95,0.95,0.95,0.945,381800.0
2019-11-27,0.95,0.95,0.955,0.945,2240000.0
2019-11-26,0.945,0.95,0.975,0.945,1400000.0
2019-11-25,0.945,0.935,0.945,0.935,307300.0
2019-11-22,0.935,0.94,0.94,0.935,264600.0
2019-11-21,0.935,0.95,0.95,0.935,409600.0
2019-11-20,0.945,0.945,0.95,0.945,268900.0
2019-11-19,0.94,0.945,0.945,0.94,158500.0
2019-11-18,0.945,0.945,0.95,0.94,265400.0
2019-11-15,0.945,0.95,0.95,0.94,350700.0
2019-11-14,0.95,0.95,0.95,0.945,404400.0
2019-11-13,0.95,0.95,0.95,0.945,573200.0
2019-11-12,0.95,0.955,0.955,0.945,992000.0
2019-11-11,0.955,0.955,0.955,0.95,130900.0
2019-11-08,0.955,0.96,0.96,0.95,195400.0
2019-11-07,0.96,0.955,0.965,0.95,320100.0
2019-11-06,0.95,0.955,0.955,0.95,547800.0
