Date,Price,Open,High,Low,Vol.
2020-03-13,15.78,16.34,16.34,15.7,1740000.0
2020-03-12,17.58,17.2,17.6,17.18,1330000.0
2020-03-11,17.68,17.1,17.8,17.1,665300.0
2020-03-10,17.08,17.52,17.74,17.08,586000.0
2020-03-09,17.7,17.6,17.78,17.32,926900.0
2020-03-06,17.74,18.16,18.16,17.7,524100.0
2020-03-05,18.16,18.2,18.32,18.0,360500.0
2020-03-04,18.42,18.5,18.56,18.22,479100.0
2020-03-03,18.42,18.34,18.48,18.24,677700.0
2020-03-02,18.28,18.04,18.46,18.02,942500.0
2020-02-28,18.1,17.62,18.22,17.62,1400000.0
2020-02-27,18.3,18.12,18.3,17.88,528300.0
2020-02-26,17.86,17.74,18.16,17.52,871100.0
2020-02-25,17.9,17.94,18.0,17.8,788100.0
2020-02-24,17.94,18.1,18.1,17.8,374600.0
2020-02-21,18.5,18.06,18.7,18.06,471400.0
2020-02-20,18.32,18.38,18.54,17.96,296500.0
2020-02-19,18.66,18.5,18.66,18.44,157100.0
2020-02-18,18.7,18.52,18.7,18.52,38700.0
2020-02-17,18.66,18.74,18.74,18.56,61600.0
2020-02-14,18.74,18.52,18.76,18.52,269500.0
2020-02-13,18.6,18.68,18.68,18.48,936300.0
2020-02-12,18.74,18.6,18.74,18.6,350400.0
2020-02-11,18.7,18.5,19.5,18.44,547100.0
2020-02-10,18.68,18.38,18.7,18.38,693700.0
2020-02-07,18.68,18.6,18.7,18.52,269400.0
2020-02-06,18.7,18.64,18.76,18.6,331900.0
2020-02-05,18.76,18.6,18.86,18.6,552500.0
2020-02-04,18.76,18.88,18.88,18.6,1760000.0
2020-02-03,18.56,18.42,18.58,18.42,668500.0
2020-01-31,18.62,18.42,18.8,18.42,1330000.0
2020-01-30,18.66,18.5,18.7,18.4,741100.0
2020-01-29,18.68,18.34,18.8,18.32,535400.0
2020-01-28,18.62,18.78,18.78,18.5,515700.00000000006
2020-01-24,18.62,18.54,18.68,18.54,60700.0
2020-01-23,18.7,18.7,18.72,18.64,325700.0
