Date,Price,Open,High,Low,Vol.
2020-03-13,1.68,1.7,1.7,1.6,1070000.0
2020-03-12,1.71,1.72,1.73,1.7,4400000.0
2020-03-11,1.75,1.73,1.76,1.72,1430000.0
2020-03-10,1.73,1.72,1.75,1.72,292300.0
2020-03-09,1.73,1.76,1.76,1.71,224900.0
2020-03-06,1.77,1.75,1.77,1.73,148200.0
2020-03-05,1.74,1.75,1.76,1.74,40300.0
2020-03-04,1.75,1.74,1.79,1.73,1660000.0
2020-03-03,1.72,1.73,1.75,1.71,1740000.0
2020-03-02,1.72,1.79,1.79,1.71,627100.0
2020-02-28,1.8,1.71,1.8,1.7,1930000.0
2020-02-27,1.71,1.72,1.72,1.71,86900.0
2020-02-26,1.72,1.73,1.73,1.71,105200.0
2020-02-25,1.72,1.73,1.73,1.72,15300.0
2020-02-24,1.74,1.75,1.75,1.72,47400.0
2020-02-21,1.75,1.78,1.78,1.75,75000.0
2020-02-20,1.78,1.75,1.78,1.74,2330000.0
2020-02-19,1.75,1.76,1.76,1.73,5100000.0
2020-02-18,1.76,1.73,1.76,1.72,4530000.0
2020-02-17,1.73,1.8,1.8,1.73,143700.0
2020-02-14,1.8,1.72,1.82,1.71,1850000.0
2020-02-13,1.73,1.73,1.73,1.7,1240000.0
2020-02-12,1.73,1.71,1.74,1.71,10310000.0
2020-02-11,1.72,1.71,1.73,1.7,233600.0
2020-02-10,1.71,1.72,1.72,1.71,83000.0
2020-02-07,1.72,1.68,1.72,1.67,1300000.0
2020-02-06,1.73,1.73,1.73,1.71,3420000.0
2020-02-05,1.72,1.71,1.72,1.7,2770000.0
2020-02-04,1.71,1.72,1.72,1.69,985700.0
2020-02-03,1.72,1.71,1.72,1.7,561300.0
2020-01-31,1.71,1.72,1.72,1.7,417700.0
2020-01-30,1.71,1.71,1.72,1.7,3590000.0
2020-01-29,1.71,1.74,1.74,1.71,3320000.0
2020-01-28,1.74,1.74,1.74,1.72,747400.0
2020-01-24,1.74,1.74,1.75,1.74,106300.0
2020-01-23,1.73,1.73,1.74,1.73,97300.0
2020-01-22,1.72,1.73,1.74,1.7,5080000.0
2020-01-21,1.73,1.74,1.74,1.72,157000.0
2020-01-20,1.73,1.74,1.74,1.72,1870000.0
2020-01-17,1.74,1.76,1.76,1.73,215700.0
2020-01-16,1.74,1.74,1.75,1.73,162400.0
2020-01-15,1.74,1.74,1.74,1.73,55800.0
2020-01-14,1.73,1.74,1.74,1.73,248800.0
2020-01-13,1.73,1.75,1.76,1.73,72500.0
2020-01-10,1.74,1.73,1.75,1.73,161100.0
2020-01-09,1.73,1.73,1.74,1.73,196100.0
2020-01-08,1.73,1.74,1.74,1.72,1170000.0
2020-01-07,1.74,1.75,1.75,1.73,115100.0
2020-01-06,1.75,1.75,1.75,1.74,62600.0
2020-01-03,1.75,1.75,1.76,1.73,323400.0
2020-01-02,1.75,1.74,1.75,1.73,67900.0
2019-12-31,1.74,1.76,1.76,1.74,164600.0
2019-12-30,1.75,1.74,1.75,1.73,59700.0
2019-12-27,1.74,1.75,1.75,1.73,1040000.0
2019-12-26,1.74,1.77,1.77,1.74,752400.0
2019-12-24,1.77,1.75,1.77,1.75,552000.0
2019-12-23,1.77,1.77,1.77,1.75,186600.0
2019-12-20,1.79,1.75,1.79,1.72,445600.0
2019-12-19,1.74,1.79,1.79,1.73,964400.0
2019-12-18,1.76,1.78,1.78,1.75,97400.0
2019-12-17,1.78,1.8,1.8,1.77,158000.0
2019-12-16,1.77,1.8,1.8,1.75,82500.0
2019-12-13,1.77,1.78,1.8,1.76,378000.0
2019-12-12,1.77,1.75,1.78,1.75,146200.0
2019-12-11,1.75,1.75,1.77,1.74,1850000.0
2019-12-10,1.76,1.78,1.78,1.74,53800.0
2019-12-09,1.77,1.74,1.79,1.73,148200.0
2019-12-06,1.73,1.74,1.76,1.73,902500.0
2019-12-05,1.74,1.76,1.76,1.72,638000.0
2019-12-04,1.75,1.8,1.8,1.74,450000.0
