Date,Price,Open,High,Low,Vol.
2020-03-13,3.46,3.74,3.81,3.43,5220000.0
2020-03-12,4.12,4.09,4.2,3.86,7120000.0
2020-03-11,4.2,4.36,4.43,4.2,3970000.0
2020-03-10,4.35,4.2,4.38,4.12,5870000.0
2020-03-09,4.3,4.7,4.75,4.26,4580000.0
2020-03-06,4.86,4.98,5.07,4.83,4010000.0
2020-03-05,4.92,4.86,4.94,4.86,2580000.0
2020-03-04,4.84,4.68,4.85,4.59,2640000.0
2020-03-03,4.75,4.75,4.83,4.71,4150000.0000000005
2020-03-02,4.63,4.59,4.67,4.48,4770000.0
2020-02-28,4.59,4.71,4.77,4.45,5860000.0
2020-02-27,4.7,4.85,4.94,4.67,4980000.0
2020-02-26,4.83,4.94,5.04,4.8,2800000.0
2020-02-25,4.94,4.89,5.02,4.86,2440000.0
2020-02-24,4.98,5.0,5.16,4.94,4850000.0
2020-02-21,5.21,5.05,5.25,5.03,3890000.0
2020-02-20,5.02,5.07,5.09,5.01,1530000.0
2020-02-19,5.0,4.97,5.07,4.95,1210000.0
2020-02-18,4.97,5.12,5.13,4.94,2110000.0
2020-02-17,5.12,5.12,5.14,5.08,624300.0
2020-02-14,5.1,5.07,5.15,5.05,602600.0
2020-02-13,5.07,5.01,5.17,4.99,3500000.0
2020-02-12,5.0,5.0,5.01,4.97,1240000.0
2020-02-11,4.95,5.05,5.11,4.92,2440000.0
2020-02-10,5.02,5.08,5.12,5.02,932100.0
2020-02-07,5.1,5.14,5.17,5.05,1410000.0
2020-02-06,5.12,4.99,5.17,4.99,4120000.0
2020-02-05,4.96,4.94,4.98,4.92,2620000.0
2020-02-04,4.9,4.93,4.96,4.87,2320000.0
2020-02-03,4.85,4.79,4.95,4.63,9240000.0
2020-01-31,4.9,5.03,5.09,4.87,5110000.0
2020-01-30,5.03,5.19,5.3,5.02,2590000.0
2020-01-29,5.18,5.25,5.25,5.17,1600000.0
2020-01-28,5.25,5.35,5.4,5.25,2710000.0
2020-01-24,5.46,5.36,5.47,5.33,2060000.0
2020-01-23,5.37,5.35,5.58,5.34,3840000.0
2020-01-22,5.29,5.4,5.4,5.28,3660000.0
2020-01-21,5.38,5.08,5.51,5.08,4610000.0
2020-01-20,5.06,4.72,5.15,4.72,4330000.0
2020-01-17,4.73,4.69,4.8,4.66,3750000.0
2020-01-16,4.65,4.66,4.71,4.62,1790000.0
2020-01-15,4.66,4.65,4.66,4.55,1540000.0
2020-01-14,4.67,4.7,4.7,4.65,1540000.0
2020-01-13,4.66,4.7,4.74,4.64,1390000.0
2020-01-10,4.69,4.62,4.71,4.62,2260000.0
2020-01-09,4.61,4.64,4.64,4.59,2310000.0
2020-01-08,4.61,4.56,4.64,4.55,3340000.0
2020-01-07,4.63,4.57,4.63,4.57,1380000.0
2020-01-06,4.58,4.63,4.63,4.55,335700.0
2020-01-03,4.63,4.57,4.73,4.55,2100000.0
2020-01-02,4.52,4.6,4.6,4.51,428700.0
2019-12-31,4.54,4.6,4.6,4.54,184400.0
2019-12-30,4.6,4.65,4.66,4.6,503500.0
2019-12-27,4.63,4.59,4.64,4.58,2480000.0
2019-12-26,4.58,4.57,4.6,4.53,193300.0
2019-12-24,4.54,4.57,4.59,4.52,435600.0
2019-12-23,4.57,4.6,4.6,4.55,558500.0
2019-12-20,4.58,4.58,4.63,4.54,811400.0
2019-12-19,4.55,4.66,4.67,4.51,642600.0
2019-12-18,4.61,4.57,4.67,4.57,2290000.0
2019-12-17,4.57,4.5,4.59,4.5,1440000.0
2019-12-16,4.51,4.46,4.53,4.45,1480000.0
2019-12-13,4.45,4.39,4.46,4.38,1260000.0
2019-12-12,4.36,4.35,4.4,4.35,455800.0
2019-12-11,4.35,4.39,4.42,4.35,455700.0
2019-12-10,4.4,4.35,4.43,4.34,842300.0
2019-12-09,4.35,4.35,4.37,4.33,2170000.0
2019-12-06,4.34,4.37,4.42,4.33,1350000.0
2019-12-05,4.37,4.34,4.4,4.34,2190000.0
2019-12-04,4.34,4.39,4.43,4.31,2210000.0
2019-12-03,4.39,4.4,4.49,4.38,2790000.0
2019-12-02,4.41,4.5,4.56,4.34,5980000.0
2019-11-29,4.48,3.99,4.56,3.74,136970000.0
2019-11-28,4.69,4.7,4.73,4.68,1150000.0
2019-11-27,4.7,4.67,4.73,4.66,1320000.0
2019-11-26,4.72,4.73,4.76,4.65,6680000.0
2019-11-25,4.72,4.72,4.8,4.63,1980000.0
2019-11-22,4.72,4.71,4.83,4.7,2850000.0
2019-11-21,4.7,4.69,4.7,4.64,2420000.0
2019-11-20,4.69,4.66,4.7,4.66,1310000.0
2019-11-19,4.7,4.72,4.73,4.69,2970000.0
2019-11-18,4.7,4.66,4.72,4.6,1930000.0
2019-11-15,4.65,4.6,4.66,4.59,1510000.0
2019-11-14,4.6,4.58,4.64,4.55,2620000.0
2019-11-13,4.58,4.64,4.64,4.55,1750000.0
2019-11-12,4.61,4.63,4.64,4.57,2780000.0
2019-11-11,4.6,4.7,4.7,4.57,5580000.0
2019-11-08,4.71,4.86,4.86,4.65,7080000.0
2019-11-07,4.75,4.75,4.8,4.73,2860000.0
2019-11-06,4.74,4.79,4.79,4.73,1240000.0
2019-11-05,4.78,4.73,4.78,4.7,1620000.0
2019-11-04,4.7,4.69,4.75,4.66,1850000.0
2019-11-01,4.65,4.6,4.68,4.6,1440000.0
2019-10-31,4.61,4.6,4.67,4.51,1260000.0
2019-10-30,4.6,4.69,4.69,4.6,1850000.0
2019-10-29,4.65,4.7,4.7,4.55,3620000.0
2019-10-25,4.68,4.74,4.74,4.62,3320000.0
2019-10-24,4.77,4.79,4.79,4.7,515100.0
2019-10-23,4.74,4.77,4.83,4.72,761500.0
2019-10-22,4.77,4.76,4.85,4.76,1190000.0
2019-10-21,4.76,4.67,4.78,4.67,1940000.0
2019-10-18,4.66,4.6,4.74,4.55,1900000.0
2019-10-17,4.57,4.68,4.68,4.53,873300.0
2019-10-16,4.67,4.65,4.73,4.62,2720000.0
2019-10-15,4.66,4.72,4.73,4.63,2100000.0
2019-10-14,4.69,4.58,4.73,4.58,3790000.0
2019-10-11,4.52,4.41,4.56,4.41,5540000.0
2019-10-10,4.41,4.49,4.57,4.41,6850000.0
2019-10-09,4.52,4.75,4.75,4.49,8189999.999999999
2019-10-08,4.77,4.82,4.88,4.73,1620000.0
2019-10-07,4.8,4.8,4.92,4.8,3120000.0
2019-10-04,4.8,4.69,4.85,4.69,2060000.0
2019-10-03,4.68,4.47,4.7,4.42,2460000.0
2019-10-02,4.49,4.42,4.54,4.39,2060000.0
2019-10-01,4.43,4.44,4.46,4.39,749900.0
2019-09-30,4.44,4.49,4.74,4.37,3640000.0
2019-09-27,4.49,4.29,4.5,4.26,2610000.0
2019-09-26,4.27,4.36,4.38,4.27,3480000.0
2019-09-25,4.38,4.36,4.38,4.27,2720000.0
2019-09-24,4.4,4.28,4.4,4.22,3300000.0
2019-09-23,4.27,4.25,4.27,4.19,2490000.0
2019-09-20,4.27,4.15,4.27,4.11,3640000.0
2019-09-19,4.14,4.02,4.16,4.0,3620000.0
2019-09-18,4.02,3.87,4.02,3.86,3260000.0
2019-09-17,3.86,3.99,3.99,3.86,1110000.0
2019-09-13,3.97,3.87,4.0,3.87,4280000.0
2019-09-12,3.86,3.7,3.92,3.66,4320000.0
2019-09-11,3.68,3.68,3.73,3.66,581600.0
2019-09-10,3.68,3.66,3.69,3.65,337300.0
2019-09-06,3.66,3.72,3.75,3.65,1430000.0
2019-09-05,3.7,3.62,3.7,3.62,1420000.0
2019-09-04,3.62,3.52,3.64,3.51,759200.0
2019-09-03,3.53,3.5,3.55,3.48,307100.0
2019-08-30,3.49,3.48,3.54,3.46,465700.0
2019-08-29,3.49,3.51,3.55,3.48,1030000.0
2019-08-28,3.52,3.49,3.58,3.49,1990000.0
2019-08-27,3.49,3.64,3.67,3.49,1210000.0
2019-08-26,3.61,3.6,3.63,3.52,953300.0
2019-08-23,3.64,3.65,3.66,3.62,1460000.0
2019-08-22,3.65,3.7,3.71,3.63,2870000.0
2019-08-21,3.69,3.71,3.72,3.64,2380000.0
2019-08-20,3.7,3.68,3.77,3.65,5060000.0
2019-08-19,3.68,3.69,3.72,3.62,5860000.0
2019-08-16,3.65,3.59,3.7,3.56,2740000.0
2019-08-15,3.58,3.49,3.59,3.44,1290000.0
2019-08-14,3.55,3.55,3.58,3.52,1590000.0
2019-08-13,3.5,3.52,3.57,3.49,2890000.0
2019-08-09,3.53,3.58,3.61,3.53,1810000.0
2019-08-08,3.57,3.51,3.58,3.49,1790000.0
2019-08-07,3.49,3.5,3.54,3.45,1730000.0
2019-08-06,3.5,3.28,3.5,3.22,4110000.0000000005
2019-08-05,3.4,3.44,3.44,3.28,2970000.0
2019-08-02,3.44,3.46,3.49,3.44,989300.0
2019-08-01,3.51,3.49,3.55,3.44,1190000.0
2019-07-31,3.51,3.55,3.57,3.44,1510000.0
2019-07-29,3.56,3.62,3.62,3.55,626500.0
2019-07-26,3.55,3.54,3.63,3.54,765100.0
2019-07-25,3.54,3.67,3.67,3.53,2100000.0
2019-07-24,3.67,3.67,3.76,3.63,1890000.0
2019-07-23,3.67,3.51,3.72,3.51,3590000.0
2019-07-22,3.5,3.34,3.52,3.33,3450000.0
2019-07-19,3.33,3.34,3.35,3.31,1210000.0
2019-07-18,3.32,3.34,3.34,3.26,3520000.0
2019-07-17,3.35,3.38,3.38,3.31,1920000.0
2019-07-16,3.38,3.38,3.44,3.35,2690000.0
2019-07-15,3.37,3.3,3.38,3.28,2150000.0
2019-07-12,3.28,3.3,3.33,3.27,2029999.9999999998
2019-07-11,3.29,3.35,3.35,3.26,1600000.0
2019-07-10,3.31,3.35,3.39,3.31,3270000.0
2019-07-09,3.33,3.17,3.36,3.16,4870000.0
2019-07-08,3.17,3.12,3.23,3.05,2740000.0
2019-07-05,3.12,3.12,3.14,3.1,1200000.0
2019-07-04,3.12,3.02,3.12,3.02,3510000.0
2019-07-03,3.0,3.02,3.03,2.99,2060000.0
2019-07-02,3.0,2.99,3.04,2.98,2410000.0
2019-07-01,2.99,2.99,3.05,2.96,3150000.0
2019-06-28,2.88,2.89,2.91,2.86,756100.0
2019-06-27,2.9,2.91,2.93,2.86,3620000.0
2019-06-26,2.88,2.85,2.95,2.8,2069999.9999999998
2019-06-25,2.85,2.85,2.87,2.8,1460000.0
2019-06-24,2.87,2.89,2.93,2.83,938100.0
2019-06-21,2.89,2.89,2.93,2.88,1760000.0
2019-06-20,2.91,2.79,2.93,2.79,2550000.0
2019-06-19,2.79,2.81,2.85,2.79,674550.0
2019-06-18,2.8,2.77,2.8,2.77,641850.0
2019-06-17,2.77,2.77,2.78,2.75,1020000.0
2019-06-14,2.77,2.82,2.85,2.77,1200000.0
2019-06-13,2.82,2.83,2.89,2.81,1130000.0
2019-06-12,2.83,2.78,2.85,2.76,1870000.0
2019-06-11,2.74,2.77,2.78,2.73,1870000.0
2019-06-10,2.75,2.77,2.79,2.75,3100000.0
2019-06-07,2.75,2.77,2.78,2.75,753300.0
2019-06-04,2.73,2.73,2.75,2.73,295350.0
2019-06-03,2.74,2.75,2.75,2.69,766050.0
2019-05-31,2.77,2.75,2.81,2.75,628650.0
2019-05-30,2.75,2.69,2.77,2.69,1360000.0
2019-05-29,2.69,2.69,2.71,2.68,2490000.0
2019-05-28,2.7,2.67,2.73,2.67,1770000.0
2019-05-27,2.67,2.69,2.7,2.66,2540000.0
2019-05-24,2.7,2.69,2.73,2.69,1930000.0
2019-05-23,2.72,2.73,2.77,2.7,2450000.0
2019-05-21,2.73,2.87,2.87,2.7,5060000.0
2019-05-17,2.89,2.89,2.93,2.88,1870000.0
2019-05-16,2.87,2.94,2.95,2.84,5960000.0
2019-05-15,2.8,2.71,2.83,2.71,5530000.0
2019-05-14,2.67,2.63,2.72,2.58,3370000.0
2019-05-13,2.67,2.74,2.81,2.66,2400000.0
2019-05-10,2.73,2.79,2.82,2.72,2420000.0
2019-05-09,2.79,2.83,2.83,2.77,2350000.0
2019-05-08,2.83,2.71,2.86,2.68,2840000.0
2019-05-07,2.77,2.67,2.8,2.67,2660000.0
2019-05-06,2.65,2.79,2.79,2.63,4520000.0
