Date,Price,Open,High,Low,Vol.
2020-03-13,4.32,4.33,4.46,4.16,8260000.0
2020-03-12,4.65,4.54,4.7,4.45,10010000.0
2020-03-11,4.72,4.45,4.79,4.38,13620000.0
2020-03-10,4.35,4.3,4.63,4.24,15700000.0
2020-03-09,4.4,5.35,5.35,4.4,25780000.0
2020-03-06,5.65,5.64,5.66,5.53,3860000.0
2020-03-05,5.66,5.58,5.69,5.57,4810000.0
2020-03-04,5.5,5.27,5.57,5.25,7010000.0
2020-03-03,5.3,5.27,5.38,5.25,12050000.0
2020-03-02,5.21,5.35,5.35,5.1,8029999.999999999
2020-02-28,5.4,5.71,5.75,5.37,17290000.0
2020-02-27,5.8,5.85,6.03,5.74,11280000.0
2020-02-26,5.85,6.31,6.48,5.7,20720000.0
2020-02-25,6.4,6.3,6.44,6.25,11040000.0
2020-02-24,6.36,6.33,6.4,6.17,10200000.0
2020-02-21,6.45,6.52,6.53,6.43,4330000.0
2020-02-20,6.55,6.55,6.6,6.52,5940000.0
2020-02-19,6.54,6.46,6.55,6.46,2400000.0
2020-02-18,6.48,6.5,6.53,6.46,3180000.0
2020-02-17,6.55,6.5,6.67,6.43,4360000.0
2020-02-14,6.5,6.48,6.5,6.39,3960000.0
2020-02-13,6.5,6.52,6.52,6.42,3660000.0
2020-02-12,6.52,6.67,6.67,6.5,3920000.0
2020-02-11,6.66,6.42,6.66,6.41,4770000.0
2020-02-10,6.39,6.44,6.44,6.26,2300000.0
2020-02-07,6.45,6.5,6.52,6.4,3730000.0
2020-02-06,6.5,6.43,6.54,6.43,4320000.0
2020-02-05,6.43,6.44,6.49,6.3,5330000.0
2020-02-04,6.44,6.16,6.6,6.16,4900000.0
2020-02-03,6.16,6.16,6.3,6.0,6510000.0
2020-01-31,6.19,6.41,6.43,6.19,11790000.0
2020-01-30,6.45,6.58,6.58,6.41,4530000.0
2020-01-29,6.58,6.64,6.64,6.55,2290000.0
2020-01-28,6.64,6.9,6.9,6.5,5590000.0
2020-01-24,6.92,6.93,7.02,6.76,1870000.0
2020-01-23,6.93,6.99,6.99,6.88,6780000.0
2020-01-22,6.96,6.99,7.1,6.9,5030000.0
2020-01-21,6.99,7.04,7.04,6.99,2650000.0
2020-01-20,7.03,7.03,7.05,7.01,3070000.0
2020-01-17,7.03,7.04,7.08,6.99,2160000.0
2020-01-16,7.06,7.03,7.07,6.96,1920000.0
2020-01-15,7.03,7.03,7.13,7.01,3350000.0
2020-01-14,7.09,7.1,7.14,7.03,3980000.0
2020-01-13,7.1,7.23,7.25,7.05,2710000.0
2020-01-10,7.24,7.36,7.36,7.16,2220000.0
2020-01-09,7.31,7.42,7.45,7.21,3250000.0
2020-01-08,7.47,7.53,7.53,7.39,5680000.0
2020-01-07,7.57,7.45,7.58,7.36,2060000.0
2020-01-06,7.45,7.45,7.46,7.32,1700000.0
2020-01-03,7.46,7.43,7.51,7.35,3060000.0
2020-01-02,7.4,7.35,7.48,7.35,1600000.0
2019-12-31,7.35,7.35,7.4,7.27,5180000.0
2019-12-30,7.4,7.36,7.44,7.36,2410000.0
2019-12-27,7.36,7.31,7.42,7.31,904300.0
2019-12-26,7.38,7.44,7.44,7.33,632300.0
2019-12-24,7.37,7.45,7.45,7.33,1580000.0
2019-12-23,7.45,7.57,7.57,7.42,3290000.0
2019-12-20,7.62,7.29,7.62,7.26,6200000.0
2019-12-19,7.36,7.23,7.42,7.21,4390000.0
2019-12-18,7.38,7.22,7.38,7.16,2230000.0
2019-12-17,7.24,7.29,7.29,7.15,4340000.0
2019-12-16,7.24,7.2,7.29,7.12,2170000.0
2019-12-13,7.2,7.06,7.22,7.01,4099999.9999999995
2019-12-12,7.03,6.99,7.08,6.99,1820000.0
2019-12-11,6.99,6.99,7.04,6.96,3690000.0
2019-12-10,7.0,7.02,7.04,6.96,4230000.0
2019-12-09,7.05,7.1,7.1,7.04,3130000.0
2019-12-06,7.1,7.14,7.15,7.09,2320000.0
2019-12-05,7.14,7.1,7.15,6.98,4030000.0000000005
2019-12-04,7.1,6.98,7.1,6.95,3770000.0
2019-12-03,7.04,7.02,7.06,6.82,4830000.0
2019-12-02,7.1,7.04,7.14,7.0,4240000.0
2019-11-29,7.06,7.1,7.14,7.01,4930000.0
2019-11-28,7.1,7.13,7.17,7.1,2880000.0
2019-11-27,7.13,7.11,7.17,7.0,1300000.0
2019-11-26,7.05,7.1,7.11,7.0,17180000.0
2019-11-25,7.08,7.11,7.11,6.96,3110000.0
2019-11-22,7.11,7.03,7.15,6.99,14360000.0
2019-11-21,7.01,7.2,7.2,7.0,9150000.0
2019-11-20,7.21,7.4,7.4,7.2,4960000.0
2019-11-19,7.36,7.43,7.43,7.23,3670000.0
2019-11-18,7.36,7.4,7.41,7.3,4620000.0
2019-11-15,7.44,7.4,7.48,7.38,3330000.0
2019-11-14,7.4,7.34,7.42,7.2,5940000.0
2019-11-13,7.38,7.8,7.8,7.33,19210000.0
2019-11-12,7.8,7.7,7.8,7.63,4580000.0
2019-11-11,7.71,7.65,7.75,7.65,2930000.0
2019-11-08,7.65,7.52,7.73,7.52,3130000.0
2019-11-07,7.6,7.64,7.64,7.53,5990000.0
