Date,Price,Open,High,Low,Vol.
2020-03-13,5.09,5.23,5.25,4.95,3800000.0
2020-03-12,5.5,5.43,5.55,5.34,7070000.0
2020-03-11,5.58,5.55,5.6,5.54,4840000.0
2020-03-10,5.54,5.4,5.58,5.4,7370000.0
2020-03-09,5.47,5.64,5.66,5.43,6680000.0
2020-03-06,5.7,5.71,5.72,5.66,6680000.0
2020-03-05,5.71,5.77,5.77,5.66,2820000.0
2020-03-04,5.71,5.57,5.77,5.57,4620000.0
2020-03-03,5.64,5.51,5.69,5.51,3730000.0
2020-03-02,5.49,5.51,5.61,5.45,5220000.0
2020-02-28,5.55,5.56,5.59,5.51,14660000.0
2020-02-27,5.61,5.56,5.62,5.54,5270000.0
2020-02-26,5.58,5.53,5.63,5.53,3750000.0
2020-02-25,5.56,5.43,5.61,5.42,5700000.0
2020-02-24,5.5,5.62,5.66,5.38,11010000.0
2020-02-21,5.71,5.65,5.74,5.63,1630000.0
2020-02-20,5.67,5.69,5.72,5.67,5380000.0
2020-02-19,5.75,5.67,5.75,5.67,7720000.0
2020-02-18,5.7,5.7,5.7,5.68,7490000.0
2020-02-17,5.67,5.71,5.71,5.64,7330000.0
2020-02-14,5.71,5.64,5.71,5.6,2000000.0
2020-02-13,5.64,5.64,5.67,5.62,5560000.0
2020-02-12,5.61,5.73,5.78,5.55,7440000.0
2020-02-11,5.72,5.73,5.74,5.69,5500000.0
2020-02-10,5.7,5.79,5.79,5.67,3840000.0
2020-02-07,5.75,5.72,5.77,5.7,2089999.9999999998
2020-02-06,5.76,5.74,5.81,5.7,8830000.0
2020-02-05,5.7,5.72,5.73,5.67,3720000.0
2020-02-04,5.71,5.72,5.73,5.67,4280000.0
2020-02-03,5.69,5.69,5.77,5.66,4320000.0
2020-01-31,5.69,5.75,5.83,5.67,8500000.0
2020-01-30,5.73,5.73,5.76,5.69,5650000.0
2020-01-29,5.75,5.72,5.81,5.71,6400000.0
2020-01-28,5.74,5.75,5.8,5.67,2190000.0
2020-01-24,5.85,5.81,5.88,5.81,1340000.0
2020-01-23,5.81,5.89,5.89,5.77,2680000.0
2020-01-22,5.84,5.81,5.95,5.8,5810000.0
2020-01-21,5.84,5.81,5.88,5.79,2800000.0
2020-01-20,5.85,5.81,5.87,5.79,1820000.0
2020-01-17,5.84,5.8,5.86,5.8,5330000.0
2020-01-16,5.81,5.77,5.83,5.77,5190000.0
2020-01-15,5.81,5.84,5.86,5.77,4670000.0
2020-01-14,5.82,5.81,5.87,5.78,4059999.9999999995
2020-01-13,5.85,5.84,5.86,5.8,1660000.0
2020-01-10,5.85,5.84,5.86,5.78,1950000.0
2020-01-09,5.79,5.84,5.88,5.73,3610000.0
2020-01-08,5.84,5.92,5.92,5.81,1990000.0
2020-01-07,5.93,5.69,5.98,5.69,3060000.0
2020-01-06,5.74,5.75,5.79,5.69,1140000.0
2020-01-03,5.75,5.71,5.82,5.71,3210000.0
2020-01-02,5.74,5.78,5.78,5.72,1050000.0
2019-12-31,5.78,5.77,5.82,5.74,1860000.0
2019-12-30,5.8,5.84,5.86,5.78,1970000.0
2019-12-27,5.84,5.74,5.84,5.74,1560000.0
2019-12-26,5.77,5.76,5.77,5.74,622000.0
2019-12-24,5.77,5.78,5.78,5.73,3480000.0
2019-12-23,5.77,5.75,5.8,5.75,2360000.0
2019-12-20,5.75,5.82,5.82,5.72,7310000.0
