Date,Price,Open,High,Low,Vol.
2020-03-13,0.89,0.95,0.95,0.875,3940000.0
2020-03-12,1.01,1.02,1.03,1.0,1690000.0
2020-03-11,1.06,1.05,1.08,1.05,4500000.0
2020-03-10,1.06,1.05,1.07,1.03,5240000.0
2020-03-09,1.07,1.12,1.12,1.05,5370000.0
2020-03-06,1.14,1.16,1.17,1.13,3980000.0
2020-03-05,1.16,1.17,1.19,1.16,1540000.0
2020-03-04,1.16,1.18,1.18,1.15,2870000.0
2020-03-03,1.19,1.23,1.23,1.18,3570000.0
2020-03-02,1.2,1.26,1.26,1.2,5160000.0
2020-02-28,1.27,1.26,1.27,1.21,6410000.0
2020-02-27,1.28,1.27,1.29,1.26,1390000.0
2020-02-26,1.28,1.27,1.29,1.26,1670000.0
2020-02-25,1.28,1.26,1.32,1.25,5280000.0
2020-02-24,1.27,1.3,1.31,1.27,6110000.0
2020-02-21,1.33,1.36,1.37,1.33,4290000.0
2020-02-20,1.36,1.36,1.37,1.34,2610000.0
2020-02-19,1.35,1.38,1.38,1.34,2069999.9999999998
2020-02-18,1.38,1.37,1.38,1.33,3550000.0
2020-02-17,1.37,1.36,1.37,1.34,1960000.0
2020-02-14,1.35,1.34,1.36,1.32,2230000.0
2020-02-13,1.33,1.31,1.35,1.31,3870000.0
2020-02-12,1.31,1.31,1.33,1.29,2790000.0
2020-02-11,1.31,1.34,1.34,1.3,1440000.0
2020-02-10,1.34,1.3,1.34,1.29,1840000.0
2020-02-07,1.31,1.3,1.31,1.27,2570000.0
2020-02-06,1.3,1.3,1.32,1.27,1940000.0
2020-02-05,1.29,1.27,1.3,1.27,3950000.0
2020-02-04,1.27,1.22,1.27,1.22,10020000.0
2020-02-03,1.21,1.3,1.3,1.2,15960000.0
2020-01-31,1.31,1.41,1.42,1.31,9690000.0
2020-01-30,1.41,1.43,1.43,1.39,5270000.0
2020-01-29,1.42,1.43,1.43,1.41,3370000.0
2020-01-28,1.42,1.47,1.47,1.4,6980000.0
2020-01-24,1.49,1.49,1.49,1.45,1120000.0
2020-01-23,1.49,1.48,1.49,1.45,2210000.0
2020-01-22,1.48,1.46,1.49,1.45,6520000.0
2020-01-21,1.46,1.51,1.51,1.44,5740000.0
2020-01-20,1.5,1.5,1.51,1.49,5460000.0
2020-01-17,1.5,1.49,1.51,1.48,3970000.0
2020-01-16,1.49,1.54,1.54,1.48,5620000.0
2020-01-15,1.54,1.55,1.56,1.53,3060000.0
2020-01-14,1.56,1.55,1.56,1.53,3040000.0
2020-01-13,1.56,1.56,1.57,1.54,2520000.0
2020-01-10,1.56,1.57,1.58,1.55,2430000.0
2020-01-09,1.56,1.53,1.57,1.53,3570000.0
2020-01-08,1.53,1.53,1.55,1.51,4240000.0
2020-01-07,1.54,1.5,1.55,1.5,2029999.9999999998
2020-01-06,1.5,1.5,1.51,1.47,1440000.0
2020-01-03,1.5,1.51,1.53,1.48,2540000.0
2020-01-02,1.5,1.58,1.58,1.48,12660000.0
2019-12-31,1.6,1.61,1.63,1.58,7210000.0
2019-12-30,1.61,1.57,1.62,1.56,5710000.0
2019-12-27,1.56,1.51,1.59,1.5,8430000.0
2019-12-26,1.51,1.5,1.52,1.48,2510000.0
2019-12-24,1.5,1.52,1.52,1.47,2530000.0
2019-12-23,1.51,1.5,1.51,1.47,5330000.0
2019-12-20,1.49,1.46,1.51,1.46,11220000.0
2019-12-19,1.45,1.41,1.45,1.41,6090000.0
2019-12-18,1.4,1.36,1.41,1.35,5040000.0
2019-12-17,1.36,1.37,1.38,1.33,5030000.0
2019-12-16,1.37,1.37,1.38,1.35,2300000.0
2019-12-13,1.36,1.4,1.4,1.36,3640000.0
2019-12-12,1.39,1.35,1.4,1.35,8430000.0
2019-12-11,1.35,1.32,1.35,1.32,2260000.0
2019-12-10,1.33,1.31,1.34,1.31,2240000.0
2019-12-09,1.31,1.34,1.34,1.31,1920000.0
2019-12-06,1.34,1.31,1.34,1.3,2360000.0
2019-12-05,1.32,1.33,1.33,1.28,5790000.0
2019-12-04,1.32,1.33,1.34,1.31,2790000.0
2019-12-03,1.34,1.33,1.36,1.31,5200000.0
2019-12-02,1.33,1.3,1.34,1.29,5060000.0
2019-11-29,1.3,1.3,1.31,1.27,2860000.0
2019-11-28,1.3,1.32,1.33,1.29,5000000.0
2019-11-27,1.32,1.28,1.32,1.27,14890000.0
2019-11-26,1.27,1.26,1.31,1.24,137540000.0
2019-11-25,1.25,1.28,1.3,1.25,17880000.0
2019-11-22,1.28,1.37,1.37,1.28,22720000.0
2019-11-21,1.37,1.4,1.4,1.34,8580000.0
2019-11-20,1.4,1.39,1.41,1.38,4710000.0
2019-11-19,1.4,1.41,1.41,1.38,5530000.0
2019-11-18,1.41,1.41,1.41,1.38,3730000.0
2019-11-15,1.41,1.42,1.44,1.38,8840000.0
2019-11-14,1.41,1.36,1.43,1.33,17200000.0
2019-11-13,1.35,1.35,1.36,1.31,10130000.0
2019-11-12,1.35,1.33,1.36,1.3,14740000.0
2019-11-11,1.31,1.31,1.34,1.3,5860000.0
2019-11-08,1.32,1.39,1.39,1.27,30350000.0
2019-11-07,1.37,1.41,1.42,1.34,6880000.0
2019-11-06,1.41,1.43,1.45,1.37,6580000.0
2019-11-05,1.43,1.36,1.45,1.31,13460000.0
2019-11-04,1.35,1.26,1.35,1.25,12640000.0
2019-11-01,1.25,1.21,1.25,1.21,6360000.0
2019-10-31,1.21,1.22,1.22,1.18,10300000.0
2019-10-30,1.22,1.21,1.24,1.18,10220000.0
2019-10-29,1.21,1.27,1.27,1.21,5350000.0
2019-10-25,1.26,1.26,1.27,1.23,4540000.0
2019-10-24,1.26,1.25,1.26,1.22,5080000.0
2019-10-23,1.25,1.25,1.28,1.23,4540000.0
2019-10-22,1.26,1.24,1.26,1.2,11030000.0
2019-10-21,1.24,1.26,1.29,1.22,8620000.0
2019-10-18,1.25,1.33,1.34,1.25,10310000.0
2019-10-17,1.33,1.33,1.37,1.32,4030000.0000000005
2019-10-16,1.32,1.34,1.34,1.31,6630000.0
2019-10-15,1.34,1.33,1.35,1.32,3700000.0
2019-10-14,1.33,1.35,1.38,1.32,4000000.0
2019-10-11,1.32,1.32,1.34,1.32,1100000.0
2019-10-10,1.32,1.32,1.33,1.31,2980000.0
2019-10-09,1.32,1.36,1.37,1.31,2780000.0
2019-10-08,1.36,1.35,1.39,1.34,3220000.0
2019-10-07,1.35,1.37,1.38,1.35,6970000.0
2019-10-04,1.36,1.38,1.39,1.36,1870000.0
2019-10-03,1.36,1.37,1.37,1.35,951900.0
2019-10-02,1.38,1.37,1.4,1.34,667900.0
2019-10-01,1.37,1.36,1.37,1.33,2770000.0
2019-09-30,1.36,1.41,1.41,1.36,2870000.0
2019-09-27,1.41,1.47,1.47,1.41,4260000.0
2019-09-26,1.46,1.45,1.48,1.44,2690000.0
2019-09-25,1.44,1.45,1.45,1.44,2950000.0
2019-09-24,1.44,1.45,1.47,1.44,4090000.0
2019-09-23,1.46,1.44,1.46,1.43,3160000.0
2019-09-20,1.44,1.47,1.47,1.43,3770000.0
2019-09-19,1.47,1.47,1.48,1.43,2760000.0
2019-09-18,1.47,1.49,1.5,1.45,1530000.0
2019-09-17,1.49,1.46,1.49,1.45,2930000.0
2019-09-13,1.46,1.43,1.49,1.43,3030000.0
2019-09-12,1.43,1.41,1.44,1.39,3620000.0
2019-09-11,1.4,1.41,1.43,1.39,3290000.0
2019-09-10,1.41,1.43,1.44,1.39,2720000.0
2019-09-06,1.43,1.44,1.46,1.42,1770000.0
2019-09-05,1.44,1.48,1.49,1.43,2400000.0
2019-09-04,1.47,1.49,1.5,1.47,1570000.0
2019-09-03,1.47,1.56,1.58,1.47,2610000.0
2019-08-30,1.56,1.49,1.56,1.47,2260000.0
2019-08-29,1.47,1.54,1.56,1.47,1760000.0
2019-08-28,1.53,1.61,1.61,1.53,1880000.0
2019-08-27,1.62,1.6,1.65,1.59,2620000.0
2019-08-26,1.59,1.63,1.63,1.57,2700000.0
2019-08-23,1.65,1.67,1.67,1.63,1750000.0
2019-08-22,1.67,1.65,1.68,1.65,1120000.0
2019-08-21,1.66,1.67,1.69,1.66,1770000.0
2019-08-20,1.67,1.65,1.69,1.64,2400000.0
2019-08-19,1.65,1.66,1.7,1.64,2530000.0
2019-08-16,1.66,1.64,1.68,1.61,2540000.0
2019-08-15,1.67,1.75,1.75,1.63,4290000.0
2019-08-14,1.76,1.79,1.82,1.76,3720000.0
2019-08-13,1.79,1.84,1.84,1.79,3450000.0
