Date,Price,Open,High,Low,Vol.
2020-03-13,0.095,0.1,0.105,0.095,122780000.0
2020-03-12,0.105,0.11,0.11,0.1,101780000.0
2020-03-11,0.12,0.115,0.125,0.11,308400000.0
2020-03-10,0.11,0.105,0.115,0.105,276490000.0
2020-03-09,0.105,0.1,0.12,0.085,565830000.0
2020-03-06,0.16,0.165,0.17,0.16,76270000.0
2020-03-05,0.175,0.17,0.175,0.165,45530000.0
2020-03-04,0.165,0.17,0.17,0.165,48680000.0
2020-03-03,0.175,0.17,0.175,0.165,139550000.0
2020-03-02,0.16,0.175,0.175,0.16,267350000.00000003
2020-02-28,0.185,0.19,0.19,0.175,221860000.0
2020-02-27,0.2,0.21,0.21,0.2,118740000.0
2020-02-26,0.21,0.215,0.22,0.21,171120000.0
2020-02-25,0.225,0.225,0.23,0.22,84230000.0
2020-02-24,0.23,0.23,0.235,0.225,77250000.0
2020-02-21,0.235,0.24,0.24,0.235,13140000.0
2020-02-20,0.24,0.24,0.245,0.235,42800000.0
2020-02-19,0.24,0.245,0.25,0.235,107540000.0
2020-02-18,0.24,0.24,0.245,0.235,36130000.0
2020-02-17,0.24,0.24,0.245,0.235,57150000.0
2020-02-14,0.235,0.235,0.24,0.235,14690000.0
2020-02-13,0.235,0.24,0.24,0.235,21900000.0
2020-02-12,0.235,0.24,0.24,0.235,14120000.0
2020-02-11,0.24,0.24,0.245,0.235,27240000.0
2020-02-10,0.24,0.24,0.245,0.235,30280000.0
2020-02-07,0.24,0.24,0.245,0.235,27700000.0
2020-02-06,0.24,0.24,0.245,0.24,50140000.0
2020-02-05,0.235,0.235,0.24,0.235,34330000.0
2020-02-04,0.235,0.24,0.245,0.235,70110000.0
2020-02-03,0.245,0.24,0.245,0.225,149030000.0
2020-01-31,0.245,0.255,0.26,0.245,142040000.0
2020-01-30,0.255,0.26,0.26,0.255,13400000.0
2020-01-29,0.26,0.26,0.26,0.255,16000000.0
2020-01-28,0.255,0.26,0.265,0.255,65629999.99999999
2020-01-24,0.27,0.265,0.27,0.26,19940000.0
2020-01-23,0.27,0.265,0.27,0.265,44350000.0
2020-01-22,0.265,0.27,0.27,0.265,16649999.999999998
2020-01-21,0.265,0.265,0.27,0.265,24140000.0
2020-01-20,0.265,0.27,0.27,0.265,10510000.0
2020-01-17,0.265,0.275,0.28,0.265,122680000.0
2020-01-16,0.27,0.275,0.275,0.27,9230000.0
2020-01-15,0.275,0.28,0.28,0.27,38160000.0
2020-01-14,0.275,0.285,0.29,0.275,62670000.0
2020-01-13,0.29,0.29,0.295,0.285,48340000.0
2020-01-10,0.29,0.28,0.29,0.275,77470000.0
2020-01-09,0.28,0.28,0.285,0.275,60540000.0
2020-01-08,0.28,0.29,0.29,0.28,108390000.0
2020-01-07,0.28,0.29,0.29,0.28,127600000.0
2020-01-06,0.29,0.28,0.295,0.28,195170000.0
2020-01-03,0.275,0.275,0.285,0.275,105700000.0
2020-01-02,0.275,0.27,0.28,0.27,81410000.0
2019-12-31,0.27,0.27,0.275,0.265,46550000.0
2019-12-30,0.27,0.275,0.28,0.27,56940000.0
2019-12-27,0.275,0.265,0.28,0.26,114820000.0
2019-12-26,0.26,0.265,0.27,0.26,75210000.0
2019-12-24,0.26,0.265,0.265,0.26,7390000.0
2019-12-23,0.265,0.26,0.27,0.26,72890000.0
2019-12-20,0.265,0.265,0.27,0.26,33159999.999999996
2019-12-19,0.265,0.265,0.27,0.26,30470000.0
2019-12-18,0.265,0.26,0.27,0.26,60910000.0
2019-12-17,0.26,0.265,0.27,0.26,22630000.0
2019-12-16,0.26,0.265,0.27,0.26,30200000.0
2019-12-13,0.265,0.26,0.27,0.26,58970000.0
2019-12-12,0.26,0.26,0.265,0.255,75260000.0
2019-12-11,0.26,0.26,0.265,0.26,40760000.0
