Date,Price,Open,High,Low,Vol.
2020-03-13,1.66,1.72,1.72,1.63,10190000.0
2020-03-12,1.85,1.9,1.91,1.85,11600000.0
2020-03-11,1.93,1.91,1.96,1.9,6640000.0
2020-03-10,1.92,1.91,1.96,1.9,6600000.0
2020-03-09,1.9,1.98,1.99,1.86,6470000.0
2020-03-06,2.02,2.0,2.02,1.97,4510000.0
2020-03-05,2.0,2.02,2.04,1.96,11550000.0
2020-03-04,2.01,2.0,2.05,1.99,8480000.0
2020-03-03,2.0,1.97,2.02,1.96,7660000.0
2020-03-02,1.96,2.0,2.02,1.95,3140000.0
2020-02-28,2.0,1.99,2.02,1.97,11400000.0
2020-02-27,2.02,2.0,2.02,1.98,3970000.0
2020-02-26,1.99,1.99,2.0,1.96,13760000.0
2020-02-25,2.0,1.99,2.04,1.98,13750000.0
2020-02-24,1.99,2.04,2.07,1.98,18780000.0
2020-02-21,2.1,2.15,2.16,2.1,5190000.0
2020-02-20,2.15,2.17,2.19,2.15,6090000.0
2020-02-19,2.17,2.18,2.18,2.15,3920000.0
2020-02-18,2.18,2.17,2.19,2.16,3450000.0
2020-02-17,2.17,2.19,2.23,2.16,4280000.0
2020-02-14,2.2,2.22,2.22,2.18,4970000.0
2020-02-13,2.22,2.2,2.22,2.19,4250000.0
2020-02-12,2.21,2.17,2.21,2.17,9480000.0
2020-02-11,2.2,2.16,2.2,2.16,5900000.0
2020-02-10,2.16,2.19,2.21,2.16,4260000.0
2020-02-07,2.22,2.21,2.22,2.19,6310000.0
2020-02-06,2.2,2.19,2.21,2.19,7500000.0
2020-02-05,2.18,2.16,2.21,2.16,9250000.0
2020-02-04,2.15,2.13,2.17,2.12,5160000.0
2020-02-03,2.13,2.14,2.21,2.13,4960000.0
2020-01-31,2.18,2.19,2.21,2.16,10160000.0
2020-01-30,2.2,2.14,2.22,2.14,5260000.0
2020-01-29,2.15,2.19,2.19,2.14,3160000.0
2020-01-28,2.18,2.21,2.21,2.16,4170000.0
2020-01-24,2.25,2.23,2.25,2.22,328000.0
2020-01-23,2.22,2.26,2.27,2.21,4400000.0
2020-01-22,2.26,2.24,2.29,2.23,3160000.0
2020-01-21,2.24,2.25,2.29,2.24,5830000.0
2020-01-20,2.25,2.25,2.29,2.24,13920000.0
2020-01-17,2.26,2.22,2.27,2.22,15600000.0
2020-01-16,2.22,2.23,2.23,2.2,10270000.0
2020-01-15,2.23,2.24,2.24,2.2,5510000.0
2020-01-14,2.23,2.22,2.24,2.2,13200000.0
2020-01-13,2.22,2.23,2.24,2.19,4480000.0
2020-01-10,2.22,2.26,2.27,2.21,8920000.0
2020-01-09,2.25,2.25,2.26,2.24,9920000.0
2020-01-08,2.23,2.24,2.25,2.21,8000000.0
2020-01-07,2.26,2.23,2.27,2.22,4010000.0
2020-01-06,2.23,2.22,2.24,2.2,2540000.0
2020-01-03,2.24,2.25,2.25,2.22,4030000.0000000005
2020-01-02,2.24,2.22,2.26,2.22,4460000.0
2019-12-31,2.22,2.28,2.29,2.22,7090000.0
2019-12-30,2.29,2.3,2.31,2.28,3830000.0
2019-12-27,2.31,2.29,2.31,2.27,5120000.0
2019-12-26,2.28,2.3,2.3,2.28,313000.0
2019-12-24,2.3,2.29,2.31,2.29,854500.0
2019-12-23,2.29,2.29,2.31,2.27,3540000.0
2019-12-20,2.3,2.28,2.3,2.27,8670000.0
2019-12-19,2.29,2.31,2.31,2.27,3310000.0
2019-12-18,2.3,2.28,2.3,2.26,6270000.0
2019-12-17,2.28,2.3,2.33,2.26,7820000.0
2019-12-16,2.3,2.29,2.32,2.28,3670000.0
2019-12-13,2.3,2.34,2.36,2.29,6330000.0
2019-12-12,2.33,2.31,2.35,2.29,7140000.0
2019-12-11,2.3,2.34,2.35,2.3,3730000.0
2019-12-10,2.34,2.38,2.38,2.33,4090000.0
2019-12-09,2.38,2.34,2.38,2.33,3160000.0
2019-12-06,2.37,2.36,2.37,2.32,4050000.0
2019-12-05,2.34,2.32,2.38,2.3,9850000.0
2019-12-04,2.3,2.29,2.31,2.28,4030000.0000000005
2019-12-03,2.28,2.3,2.3,2.27,2950000.0
2019-12-02,2.3,2.26,2.3,2.25,3640000.0
2019-11-29,2.25,2.31,2.31,2.25,8100000.0
2019-11-28,2.3,2.3,2.32,2.28,5580000.0
2019-11-27,2.3,2.31,2.35,2.29,11140000.0
2019-11-26,2.31,2.31,2.32,2.29,12960000.0
2019-11-25,2.3,2.34,2.34,2.3,3970000.0
2019-11-22,2.35,2.35,2.36,2.32,2870000.0
2019-11-21,2.35,2.37,2.37,2.28,5820000.0
2019-11-20,2.36,2.38,2.38,2.35,4400000.0
2019-11-19,2.35,2.34,2.37,2.34,7490000.0
2019-11-18,2.35,2.34,2.38,2.32,2850000.0
2019-11-15,2.36,2.33,2.38,2.32,4670000.0
2019-11-14,2.34,2.34,2.36,2.33,3430000.0
2019-11-13,2.36,2.35,2.36,2.32,3590000.0
2019-11-12,2.34,2.31,2.35,2.29,4750000.0
2019-11-11,2.31,2.28,2.31,2.27,3410000.0
2019-11-08,2.29,2.33,2.35,2.29,5600000.0
2019-11-07,2.35,2.28,2.38,2.27,5490000.0
2019-11-06,2.28,2.31,2.32,2.27,3290000.0
2019-11-05,2.31,2.29,2.33,2.29,4220000.0
2019-11-04,2.3,2.29,2.32,2.27,2450000.0
2019-11-01,2.29,2.27,2.29,2.24,4910000.0
2019-10-31,2.27,2.27,2.29,2.25,4090000.0
2019-10-30,2.27,2.29,2.29,2.24,9520000.0
2019-10-29,2.26,2.3,2.31,2.24,6600000.0
2019-10-25,2.29,2.29,2.31,2.27,1950000.0
2019-10-24,2.29,2.3,2.32,2.28,3210000.0
2019-10-23,2.3,2.3,2.31,2.28,2880000.0
2019-10-22,2.32,2.3,2.33,2.28,4410000.0
2019-10-21,2.3,2.3,2.3,2.29,615300.0
2019-10-18,2.29,2.3,2.3,2.26,15740000.0
2019-10-17,2.29,2.3,2.31,2.27,5440000.0
2019-10-16,2.3,2.28,2.3,2.27,3750000.0
2019-10-15,2.29,2.29,2.3,2.25,5450000.0
2019-10-14,2.28,2.29,2.29,2.25,3010000.0
2019-10-11,2.26,2.26,2.28,2.24,4930000.0
2019-10-10,2.28,2.28,2.29,2.23,6110000.0
2019-10-09,2.29,2.25,2.29,2.23,10950000.0
2019-10-08,2.25,2.25,2.27,2.23,2960000.0
2019-10-07,2.25,2.28,2.3,2.23,1490000.0
2019-10-04,2.29,2.27,2.3,2.26,4410000.0
2019-10-03,2.29,2.27,2.3,2.25,3320000.0
2019-10-02,2.28,2.27,2.3,2.26,3790000.0
2019-10-01,2.3,2.26,2.3,2.24,7710000.0
2019-09-30,2.25,2.25,2.28,2.21,4139999.9999999995
2019-09-27,2.3,2.29,2.31,2.28,3400000.0
2019-09-26,2.28,2.28,2.29,2.26,3000000.0
2019-09-25,2.26,2.32,2.32,2.25,5560000.0
2019-09-24,2.3,2.28,2.33,2.28,6130000.0
2019-09-23,2.29,2.3,2.31,2.27,2850000.0
2019-09-20,2.29,2.29,2.36,2.28,16360000.0
2019-09-19,2.3,2.35,2.35,2.28,7110000.0
2019-09-18,2.33,2.35,2.35,2.31,2140000.0
2019-09-17,2.34,2.37,2.38,2.31,10440000.0
2019-09-13,2.33,2.3,2.34,2.3,5940000.0
2019-09-12,2.31,2.31,2.34,2.29,10870000.0
2019-09-11,2.31,2.33,2.35,2.29,7900000.0
2019-09-10,2.33,2.34,2.38,2.29,9760000.0
2019-09-06,2.29,2.26,2.3,2.26,8270000.0
2019-09-05,2.26,2.27,2.31,2.25,8199999.999999999
2019-09-04,2.29,2.26,2.29,2.24,8460000.0
2019-09-03,2.26,2.27,2.29,2.22,10270000.0
2019-08-30,2.28,2.24,2.29,2.21,8920000.0
2019-08-29,2.22,2.191,2.23,2.18,7710000.0
2019-08-28,2.191,2.111,2.22,2.111,15090000.0
2019-08-27,2.101,2.081,2.101,2.071,9160000.0
2019-08-26,2.081,2.091,2.091,2.031,8500000.0
2019-08-23,2.131,2.091,2.131,2.091,2870000.0
2019-08-22,2.091,2.081,2.111,2.061,8170000.0
2019-08-21,2.081,2.101,2.111,2.071,4350000.0
2019-08-20,2.101,2.141,2.141,2.091,5420000.0
2019-08-19,2.131,2.151,2.18,2.131,3380000.0
2019-08-16,2.151,2.161,2.171,2.131,6340000.0
2019-08-15,2.161,2.151,2.161,2.121,10210000.0
2019-08-14,2.161,2.161,2.18,2.141,4350000.0
2019-08-13,2.141,2.161,2.18,2.141,3820000.0
2019-08-09,2.18,2.151,2.21,2.151,3520000.0
2019-08-08,2.151,2.141,2.171,2.131,3040000.0
2019-08-07,2.131,2.161,2.161,2.111,5330000.0
2019-08-06,2.151,2.091,2.171,2.091,5250000.0
2019-08-05,2.131,2.121,2.141,2.091,5820000.0
2019-08-02,2.131,2.141,2.151,2.121,6710000.0
2019-08-01,2.151,2.18,2.18,2.131,3900000.0
2019-07-31,2.18,2.161,2.191,2.131,9440000.0
2019-07-29,2.171,2.18,2.21,2.161,2910000.0
2019-07-26,2.18,2.171,2.21,2.161,3590000.0
2019-07-25,2.18,2.171,2.191,2.161,998000.0
2019-07-24,2.171,2.18,2.191,2.171,7000000.0
2019-07-23,2.171,2.22,2.22,2.171,6580000.0
2019-07-22,2.23,2.23,2.24,2.191,2550000.0
2019-07-19,2.24,2.22,2.27,2.2,3170000.0
2019-07-18,2.22,2.2,2.24,2.171,1990000.0
2019-07-17,2.191,2.25,2.25,2.171,5720000.0
2019-07-16,2.24,2.28,2.28,2.23,8700000.0
2019-07-15,2.29,2.3,2.3,2.25,3900000.0
2019-07-12,2.28,2.3,2.31,2.27,4250000.0
2019-07-11,2.3,2.33,2.33,2.29,7530000.0
2019-07-10,2.33,2.32,2.34,2.31,8580000.0
2019-07-09,2.32,2.31,2.33,2.28,5060000.0
2019-07-08,2.3,2.32,2.32,2.28,5990000.0
2019-07-05,2.32,2.29,2.33,2.28,6890000.0
2019-07-04,2.3,2.29,2.31,2.28,7810000.0
2019-07-03,2.3,2.26,2.3,2.25,8770000.0
2019-07-02,2.25,2.29,2.3,2.25,9580000.0
2019-07-01,2.27,2.27,2.28,2.26,4200000.0
2019-06-28,2.25,2.28,2.29,2.25,2350000.0
2019-06-27,2.29,2.27,2.31,2.26,6100000.0
2019-06-26,2.27,2.28,2.29,2.26,2680000.0
2019-06-25,2.28,2.27,2.28,2.26,801000.0
2019-06-24,2.27,2.27,2.31,2.27,2220000.0
2019-06-21,2.29,2.28,2.3,2.27,10090000.0
2019-06-20,2.27,2.26,2.31,2.25,6190000.0
2019-06-19,2.28,2.29,2.3,2.26,5800000.0
2019-06-18,2.29,2.28,2.29,2.23,4980000.0
2019-06-17,2.27,2.29,2.29,2.25,2560000.0
