Date,Price,Open,High,Low,Vol.
2020-03-13,4.15,4.14,4.32,3.99,12390000.0
2020-03-12,4.46,4.6,4.6,4.36,7380000.0
2020-03-11,4.61,4.47,4.72,4.47,6900000.0
2020-03-10,4.45,4.4,4.75,4.3,12450000.0
2020-03-09,4.4,4.72,4.8,4.26,13370000.0
2020-03-06,4.87,4.75,4.88,4.75,2100000.0
2020-03-05,4.84,4.78,4.88,4.78,5220000.0
2020-03-04,4.83,4.79,4.84,4.75,3200000.0
2020-03-03,4.8,4.8,4.85,4.74,3790000.0
2020-03-02,4.73,4.8,4.95,4.71,9220000.0
2020-02-28,4.96,4.89,4.99,4.86,10300000.0
2020-02-27,5.0,5.02,5.04,4.92,2690000.0
2020-02-26,5.02,4.82,5.04,4.78,3880000.0
2020-02-25,4.96,4.86,5.01,4.81,2080000.0
2020-02-24,4.9,4.7,4.94,4.7,4090000.0
2020-02-21,5.05,5.11,5.17,5.0,2550000.0
2020-02-20,5.11,5.09,5.18,5.01,2089999.9999999998
2020-02-19,5.07,5.19,5.19,5.05,1960000.0
2020-02-18,5.19,5.21,5.21,5.15,4160000.0
2020-02-17,5.21,5.2,5.26,5.07,2170000.0
2020-02-14,5.29,5.22,5.29,5.22,3130000.0
2020-02-13,5.22,5.21,5.22,5.19,752700.0
2020-02-12,5.21,5.2,5.21,5.18,4580000.0
2020-02-11,5.21,5.17,5.26,5.17,2440000.0
2020-02-10,5.17,5.21,5.22,5.15,4300000.0
2020-02-07,5.22,5.2,5.22,5.16,2960000.0
2020-02-06,5.19,5.12,5.19,5.12,5640000.0
2020-02-05,5.1,5.1,5.11,4.98,6960000.0
2020-02-04,5.08,5.02,5.1,5.01,6240000.0
2020-02-03,4.99,4.95,5.07,4.84,5310000.0
2020-01-31,5.07,4.93,5.15,4.93,17340000.0
2020-01-30,5.0,4.95,5.01,4.84,6680000.0
2020-01-29,4.99,4.99,5.06,4.98,9700000.0
2020-01-28,4.99,5.13,5.13,4.93,14400000.0
2020-01-24,5.28,5.28,5.29,5.26,226700.0
2020-01-23,5.29,5.3,5.3,5.28,3840000.0
2020-01-22,5.31,5.28,5.35,5.28,7150000.0
2020-01-21,5.3,5.33,5.35,5.29,5950000.0
2020-01-20,5.28,5.3,5.32,5.27,2830000.0
2020-01-17,5.31,5.27,5.33,5.27,7610000.0
2020-01-16,5.3,5.25,5.35,5.25,4200000.0
2020-01-15,5.3,5.32,5.36,5.23,4000000.0
2020-01-14,5.3,5.37,5.41,5.22,3190000.0
2020-01-13,5.42,5.45,5.45,5.4,1250000.0
2020-01-10,5.45,5.41,5.45,5.37,1310000.0
2020-01-09,5.45,5.4,5.48,5.4,2490000.0
2020-01-08,5.43,5.46,5.46,5.36,4280000.0
2020-01-07,5.48,5.4,5.49,5.37,6240000.0
2020-01-06,5.38,5.49,5.49,5.35,1720000.0
2020-01-03,5.5,5.52,5.52,5.47,5210000.0
2020-01-02,5.5,5.45,5.52,5.45,6230000.0
2019-12-31,5.45,5.47,5.5,5.41,4059999.9999999995
2019-12-30,5.56,5.49,5.63,5.44,10280000.0
2019-12-27,5.46,5.37,5.48,5.34,4170000.0
2019-12-26,5.39,5.4,5.4,5.38,1110000.0
2019-12-24,5.37,5.42,5.42,5.32,663500.0
2019-12-23,5.39,5.4,5.44,5.38,2180000.0
2019-12-20,5.35,5.3,5.4,5.25,5760000.0
2019-12-19,5.35,5.27,5.37,5.27,2140000.0
2019-12-18,5.37,5.4,5.4,5.34,7100000.0
2019-12-17,5.35,5.4,5.4,5.14,2780000.0
2019-12-16,5.33,5.25,5.37,5.25,2390000.0
2019-12-13,5.33,5.32,5.45,5.32,5260000.0
2019-12-12,5.3,5.25,5.32,5.25,10620000.0
2019-12-11,5.3,5.24,5.31,5.2,13520000.0
2019-12-10,5.28,5.3,5.32,5.28,5220000.0
2019-12-09,5.3,5.29,5.32,5.25,7310000.0
2019-12-06,5.28,5.1,5.3,5.1,7030000.0
2019-12-05,5.15,5.07,5.15,5.07,7590000.0
2019-12-04,5.07,5.02,5.14,4.96,2490000.0
2019-12-03,5.12,5.14,5.14,5.1,3810000.0
