Date,Price,Open,High,Low,Vol.
2020-03-13,1.42,1.51,1.51,1.4,9650000.0
2020-03-12,1.62,1.74,1.74,1.6,9900000.0
2020-03-11,1.75,1.74,1.76,1.73,2780000.0
2020-03-10,1.74,1.72,1.75,1.71,6140000.0
2020-03-09,1.74,1.75,1.76,1.72,5670000.0
2020-03-06,1.78,1.77,1.78,1.76,1920000.0
2020-03-05,1.77,1.75,1.78,1.75,2750000.0
2020-03-04,1.75,1.71,1.78,1.71,3160000.0
2020-03-03,1.72,1.73,1.74,1.71,7940000.0
2020-03-02,1.71,1.75,1.75,1.71,6490000.0
2020-02-28,1.77,1.78,1.79,1.75,6650000.0
2020-02-27,1.8,1.79,1.8,1.79,1070000.0
2020-02-26,1.79,1.77,1.8,1.76,4019999.9999999995
2020-02-25,1.78,1.73,1.78,1.73,3840000.0
2020-02-24,1.75,1.81,1.81,1.74,8690000.0
2020-02-21,1.83,1.82,1.83,1.79,2900000.0
2020-02-20,1.81,1.8,1.83,1.79,4490000.0
2020-02-19,1.79,1.79,1.81,1.78,1850000.0
2020-02-18,1.79,1.8,1.81,1.79,2420000.0
2020-02-17,1.8,1.8,1.83,1.79,4960000.0
2020-02-14,1.8,1.8,1.81,1.79,3540000.0
2020-02-13,1.79,1.76,1.8,1.76,8119999.999999999
2020-02-12,1.77,1.78,1.79,1.77,9350000.0
2020-02-11,1.78,1.76,1.78,1.75,4099999.9999999995
2020-02-10,1.76,1.78,1.8,1.76,4050000.0
2020-02-07,1.78,1.78,1.8,1.78,1860000.0
2020-02-06,1.78,1.8,1.8,1.78,1290000.0
2020-02-05,1.8,1.78,1.81,1.77,3010000.0
2020-02-04,1.78,1.79,1.8,1.77,3930000.0
2020-02-03,1.79,1.78,1.79,1.77,6460000.0
2020-01-31,1.8,1.8,1.8,1.78,2560000.0
2020-01-30,1.8,1.8,1.8,1.77,3100000.0
2020-01-29,1.8,1.76,1.8,1.75,5010000.0
2020-01-28,1.75,1.78,1.79,1.75,2860000.0
2020-01-24,1.8,1.79,1.8,1.77,1160000.0
2020-01-23,1.8,1.8,1.8,1.78,2830000.0
2020-01-22,1.8,1.8,1.81,1.79,3210000.0
2020-01-21,1.8,1.8,1.81,1.79,2170000.0
2020-01-20,1.8,1.8,1.81,1.79,3210000.0
2020-01-17,1.8,1.83,1.83,1.8,1900000.0
2020-01-16,1.82,1.8,1.83,1.79,2630000.0
2020-01-15,1.8,1.82,1.83,1.8,2450000.0
2020-01-14,1.81,1.83,1.83,1.8,2340000.0
2020-01-13,1.82,1.83,1.83,1.82,1590000.0
2020-01-10,1.83,1.82,1.83,1.81,2280000.0
2020-01-09,1.83,1.84,1.85,1.83,1740000.0
2020-01-08,1.83,1.86,1.86,1.81,3450000.0
2020-01-07,1.85,1.85,1.87,1.84,3450000.0
2020-01-06,1.84,1.83,1.85,1.81,2100000.0
2020-01-03,1.83,1.81,1.84,1.8,1740000.0
2020-01-02,1.82,1.8,1.82,1.8,2800000.0
2019-12-31,1.8,1.79,1.81,1.79,5040000.0
2019-12-30,1.8,1.81,1.82,1.79,2220000.0
2019-12-27,1.81,1.82,1.82,1.79,2880000.0
2019-12-26,1.82,1.8,1.82,1.79,1470000.0
2019-12-24,1.81,1.79,1.81,1.79,1410000.0
2019-12-23,1.8,1.8,1.81,1.79,2940000.0
2019-12-20,1.8,1.79,1.81,1.78,3680000.0
2019-12-19,1.79,1.8,1.8,1.78,1910000.0
2019-12-18,1.8,1.8,1.8,1.79,1290000.0
2019-12-17,1.8,1.83,1.83,1.76,5780000.0
2019-12-16,1.82,1.79,1.82,1.79,1880000.0
2019-12-13,1.79,1.78,1.79,1.77,3220000.0
2019-12-12,1.77,1.76,1.78,1.76,3840000.0
2019-12-11,1.76,1.76,1.78,1.75,3390000.0
2019-12-10,1.76,1.76,1.77,1.74,3750000.0
2019-12-09,1.76,1.78,1.78,1.75,3100000.0
2019-12-06,1.77,1.78,1.79,1.77,1680000.0
2019-12-05,1.78,1.77,1.78,1.76,1540000.0
2019-12-04,1.76,1.76,1.78,1.75,1290000.0
2019-12-03,1.76,1.76,1.77,1.75,2320000.0
2019-12-02,1.77,1.76,1.77,1.76,423500.0
2019-11-29,1.76,1.77,1.78,1.73,2100000.0
2019-11-28,1.77,1.77,1.78,1.76,1290000.0
2019-11-27,1.78,1.79,1.79,1.75,2220000.0
2019-11-26,1.79,1.77,1.79,1.75,5330000.0
2019-11-25,1.77,1.78,1.79,1.76,823600.0
2019-11-22,1.78,1.78,1.79,1.77,2820000.0
2019-11-21,1.77,1.78,1.78,1.76,1680000.0
2019-11-20,1.78,1.75,1.78,1.74,606700.0
2019-11-19,1.75,1.75,1.77,1.74,3170000.0
2019-11-18,1.76,1.78,1.79,1.76,1730000.0
2019-11-15,1.77,1.78,1.8,1.77,3070000.0
2019-11-14,1.78,1.79,1.8,1.77,2930000.0
2019-11-13,1.79,1.82,1.83,1.78,1830000.0
2019-11-12,1.82,1.8,1.84,1.8,3340000.0
2019-11-11,1.8,1.76,1.8,1.76,3040000.0
2019-11-08,1.76,1.8,1.8,1.76,3560000.0
2019-11-07,1.8,1.79,1.81,1.76,4230000.0
2019-11-06,1.8,1.7,1.8,1.7,5320000.0
2019-11-05,1.7,1.7,1.71,1.69,3600000.0
2019-11-04,1.69,1.7,1.71,1.69,2250000.0
2019-11-01,1.69,1.7,1.7,1.69,1160000.0
2019-10-31,1.7,1.7,1.71,1.69,6330000.0
2019-10-30,1.69,1.69,1.71,1.69,657600.0
2019-10-29,1.7,1.69,1.72,1.69,2060000.0
2019-10-25,1.69,1.69,1.72,1.67,5820000.0
2019-10-24,1.69,1.68,1.69,1.67,7910000.0
2019-10-23,1.67,1.69,1.69,1.67,2380000.0
2019-10-22,1.69,1.68,1.7,1.68,1960000.0
2019-10-21,1.69,1.7,1.71,1.68,3630000.0
2019-10-18,1.71,1.7,1.71,1.68,4190000.0000000005
2019-10-17,1.69,1.69,1.72,1.68,10160000.0
2019-10-16,1.69,1.69,1.7,1.68,4220000.0
2019-10-15,1.69,1.68,1.69,1.67,3620000.0
2019-10-14,1.68,1.69,1.7,1.68,4300000.0
2019-10-11,1.68,1.7,1.7,1.67,5400000.0
2019-10-10,1.69,1.7,1.7,1.68,3090000.0
2019-10-09,1.69,1.68,1.7,1.67,4540000.0
2019-10-08,1.68,1.68,1.69,1.67,4820000.0
2019-10-07,1.69,1.69,1.69,1.68,2040000.0
2019-10-04,1.69,1.69,1.69,1.68,5720000.0
2019-10-03,1.69,1.69,1.71,1.68,2330000.0
2019-10-02,1.7,1.7,1.72,1.69,3680000.0
2019-10-01,1.7,1.7,1.71,1.68,4450000.0
2019-09-30,1.703,1.663,1.703,1.653,3460000.0
2019-09-27,1.663,1.683,1.693,1.663,2690000.0
2019-09-26,1.683,1.703,1.703,1.673,3610000.0
2019-09-25,1.723,1.673,1.723,1.663,3830000.0
2019-09-24,1.673,1.673,1.693,1.663,3240000.0
2019-09-23,1.673,1.663,1.673,1.644,1930000.0
2019-09-20,1.673,1.634,1.673,1.624,5270000.0
2019-09-19,1.634,1.624,1.634,1.614,3050000.0
2019-09-18,1.624,1.624,1.634,1.614,3320000.0
2019-09-17,1.634,1.624,1.634,1.604,3470000.0
2019-09-13,1.624,1.624,1.634,1.614,1470000.0
2019-09-12,1.624,1.614,1.634,1.604,2900000.0
2019-09-11,1.614,1.614,1.624,1.594,4590000.0
2019-09-10,1.624,1.614,1.634,1.604,4330000.0
2019-09-06,1.624,1.624,1.624,1.604,3230000.0
2019-09-05,1.614,1.594,1.614,1.594,3720000.0
2019-09-04,1.594,1.614,1.634,1.594,2089999.9999999998
2019-09-03,1.614,1.614,1.634,1.594,4620000.0
2019-08-30,1.634,1.604,1.634,1.594,1370000.0
2019-08-29,1.604,1.604,1.614,1.584,3740000.0
2019-08-28,1.594,1.574,1.604,1.574,5230000.0
2019-08-27,1.554,1.594,1.604,1.554,4270000.0
2019-08-26,1.604,1.604,1.604,1.594,996570.0
2019-08-23,1.624,1.584,1.634,1.574,2230000.0
2019-08-22,1.594,1.584,1.594,1.574,2940000.0
2019-08-21,1.584,1.574,1.594,1.574,1150000.0
2019-08-20,1.584,1.574,1.594,1.574,2009999.9999999998
2019-08-19,1.584,1.584,1.594,1.554,6710000.0
2019-08-16,1.584,1.574,1.584,1.574,2900000.0
2019-08-15,1.564,1.545,1.584,1.545,3420000.0
2019-08-14,1.574,1.614,1.624,1.574,5330000.0
2019-08-13,1.624,1.584,1.624,1.554,2850000.0
2019-08-09,1.584,1.604,1.624,1.584,7810000.0
2019-08-08,1.604,1.604,1.614,1.594,2230000.0
2019-08-07,1.594,1.604,1.604,1.594,1290000.0
2019-08-06,1.604,1.564,1.604,1.535,4660000.0
2019-08-05,1.574,1.604,1.614,1.574,4280000.0
2019-08-02,1.614,1.634,1.634,1.604,3400000.0
2019-08-01,1.634,1.644,1.653,1.624,6980000.0
2019-07-31,1.644,1.644,1.653,1.624,5640000.0
2019-07-29,1.644,1.663,1.663,1.644,3110000.0
2019-07-26,1.663,1.644,1.663,1.644,4050000.0
2019-07-25,1.644,1.634,1.644,1.634,3820000.0
2019-07-24,1.634,1.634,1.644,1.624,6310000.0
2019-07-23,1.634,1.644,1.644,1.624,4050000.0
2019-07-22,1.634,1.653,1.663,1.634,4380000.0
2019-07-19,1.653,1.663,1.663,1.653,1700000.0
