Date,Price,Open,High,Low,Vol.
2020-03-13,1.79,1.83,1.83,1.76,1850000.0
2020-03-12,1.85,1.9,1.9,1.84,3590000.0
2020-03-11,1.9,1.89,1.91,1.88,1730000.0
2020-03-10,1.88,1.85,1.89,1.85,3250000.0
2020-03-09,1.88,1.88,1.88,1.84,2710000.0
2020-03-06,1.89,1.89,1.9,1.88,303700.0
2020-03-05,1.89,1.88,1.9,1.88,544300.0
2020-03-04,1.88,1.86,1.89,1.86,640100.0
2020-03-03,1.86,1.85,1.87,1.85,4030000.0000000005
2020-03-02,1.85,1.89,1.89,1.85,2069999.9999999998
2020-02-28,1.9,1.88,1.9,1.86,4910000.0
2020-02-27,1.9,1.89,1.9,1.88,2950000.0
2020-02-26,1.9,1.9,1.92,1.89,6540000.0
2020-02-25,1.89,1.89,1.91,1.88,4980000.0
2020-02-24,1.9,1.89,1.9,1.87,1450000.0
2020-02-21,1.9,1.89,1.91,1.88,947200.0
2020-02-20,1.89,1.9,1.9,1.88,902300.0
2020-02-19,1.9,1.9,1.9,1.89,543400.0
2020-02-18,1.9,1.9,1.91,1.89,6040000.0
2020-02-17,1.9,1.9,1.91,1.89,4179999.9999999995
2020-02-14,1.9,1.88,1.92,1.88,7490000.0
2020-02-13,1.88,1.85,1.89,1.85,4830000.0
2020-02-12,1.85,1.83,1.86,1.81,6390000.0
2020-02-11,1.83,1.82,1.83,1.8,2710000.0
2020-02-10,1.82,1.8,1.83,1.79,2240000.0
2020-02-07,1.8,1.78,1.82,1.78,6690000.0
2020-02-06,1.78,1.78,1.8,1.78,2390000.0
2020-02-05,1.78,1.79,1.79,1.76,4750000.0
2020-02-04,1.78,1.79,1.8,1.78,1660000.0
2020-02-03,1.79,1.81,1.81,1.79,1260000.0
2020-01-31,1.82,1.81,1.84,1.8,5210000.0
2020-01-30,1.8,1.81,1.81,1.78,6000000.0
2020-01-29,1.8,1.82,1.82,1.78,3900000.0
2020-01-28,1.82,1.84,1.84,1.8,940000.0
2020-01-24,1.84,1.83,1.84,1.82,383800.0
2020-01-23,1.84,1.84,1.84,1.82,3160000.0
2020-01-22,1.83,1.81,1.84,1.81,7760000.0
2020-01-21,1.81,1.83,1.83,1.81,1850000.0
2020-01-20,1.83,1.83,1.83,1.82,3200000.0
2020-01-17,1.83,1.84,1.84,1.82,417300.0
2020-01-16,1.84,1.83,1.85,1.83,1230000.0
2020-01-15,1.82,1.83,1.84,1.82,844500.0
2020-01-14,1.82,1.84,1.85,1.82,2650000.0
2020-01-13,1.83,1.84,1.86,1.83,1070000.0
2020-01-10,1.84,1.85,1.85,1.83,5880000.0
2020-01-09,1.84,1.84,1.85,1.83,3070000.0
2020-01-08,1.84,1.84,1.85,1.83,4190000.0000000005
2020-01-07,1.84,1.84,1.86,1.83,2770000.0
2020-01-06,1.84,1.84,1.85,1.84,2790000.0
2020-01-03,1.85,1.84,1.85,1.82,1700000.0
2020-01-02,1.84,1.83,1.84,1.82,405700.0
2019-12-31,1.82,1.84,1.84,1.82,2260000.0
2019-12-30,1.84,1.85,1.85,1.84,184900.0
2019-12-27,1.85,1.83,1.85,1.82,2240000.0
2019-12-26,1.82,1.83,1.83,1.82,3040000.0
2019-12-24,1.83,1.83,1.83,1.81,376400.0
2019-12-23,1.83,1.8,1.83,1.79,4530000.0
2019-12-20,1.79,1.8,1.82,1.78,4210000.0
2019-12-19,1.8,1.81,1.82,1.78,8550000.0
2019-12-18,1.8,1.81,1.82,1.8,2730000.0
2019-12-17,1.81,1.83,1.84,1.81,3720000.0
2019-12-16,1.82,1.85,1.85,1.82,2220000.0
2019-12-13,1.84,1.85,1.85,1.83,2069999.9999999998
2019-12-12,1.85,1.86,1.87,1.83,5760000.0
2019-12-11,1.86,1.85,1.87,1.85,1810000.0
