Date,Price,Open,High,Low,Vol.
2020-03-13,9.06,9.3,9.3,9.0,324300.0
2020-03-12,9.45,9.5,9.73,9.44,926500.0
2020-03-11,9.48,9.5,9.64,9.42,595200.0
2020-03-10,9.41,9.5,9.55,9.41,326400.0
2020-03-09,9.55,9.7,9.74,9.45,331000.0
2020-03-06,9.79,9.52,9.81,9.52,773900.0
2020-03-05,9.84,9.88,9.91,9.8,858500.0
2020-03-04,9.89,9.85,10.0,9.73,1380000.0
2020-03-03,9.76,9.4,9.9,9.4,1620000.0
2020-03-02,9.39,9.3,9.45,9.3,622500.0
2020-02-28,9.33,9.21,9.33,9.12,296400.0
2020-02-27,9.35,9.33,9.45,9.32,197800.0
2020-02-26,9.33,9.4,9.49,9.3,184000.0
2020-02-25,9.49,9.2,9.5,9.2,119100.0
2020-02-24,9.21,9.34,9.39,9.15,61800.0
2020-02-21,9.41,9.4,9.48,9.25,119000.0
2020-02-20,9.4,9.45,9.45,9.35,87200.0
2020-02-19,9.45,9.4,9.45,9.34,867100.0
2020-02-18,9.4,9.4,9.51,9.21,879200.0
2020-02-17,9.32,9.3,9.32,9.29,455600.0
2020-02-14,9.3,9.28,9.32,9.28,431000.0
2020-02-13,9.3,9.23,9.31,9.23,745500.0
2020-02-12,9.27,9.2,9.27,9.2,301000.0
2020-02-11,9.18,9.12,9.19,9.12,167300.0
2020-02-10,9.12,9.15,9.16,9.1,412100.0
2020-02-07,9.25,9.25,9.29,9.24,250900.0
2020-02-06,9.25,9.14,9.26,9.14,95500.0
2020-02-05,9.25,9.2,9.25,9.14,155700.0
2020-02-04,9.22,9.23,9.24,9.21,381200.0
2020-02-03,9.27,9.28,9.31,9.25,955400.0
2020-01-31,9.27,9.18,9.29,9.18,714100.0
2020-01-30,9.25,9.25,9.26,9.21,461700.0
2020-01-29,9.25,9.0,9.28,8.95,183900.0
2020-01-28,9.0,9.2,9.2,9.0,227300.0
2020-01-24,9.2,9.2,9.2,9.2,1000.0
2020-01-23,9.2,9.18,9.2,9.1,37000.0
2020-01-22,9.2,9.18,9.26,9.18,102500.0
2020-01-21,9.24,9.14,9.29,9.14,47400.0
2020-01-20,9.14,9.15,9.25,9.14,23200.0
2020-01-17,9.28,9.29,9.3,9.25,26700.0
2020-01-16,9.16,9.16,9.3,9.12,52000.0
2020-01-15,9.2,9.26,9.27,9.17,50900.0
2020-01-14,9.3,9.19,9.3,9.16,97500.0
2020-01-13,9.1,9.2,9.2,9.1,13300.0
2020-01-10,9.23,9.12,9.23,9.1,286900.0
2020-01-09,9.11,9.1,9.18,9.1,248600.0
2020-01-08,9.12,9.35,9.35,9.1,205300.0
2020-01-07,9.35,9.2,9.35,9.2,42800.0
2020-01-06,9.27,9.27,9.27,9.2,151900.0
2020-01-03,9.2,9.22,9.23,9.18,1700000.0
