Date,Price,Open,High,Low,Vol.
2020-03-13,6.05,6.3,6.5,6.0,11820000.0
2020-03-12,6.51,6.4,6.69,6.39,24650000.0
2020-03-11,6.28,6.14,6.31,6.1,17220000.0
2020-03-10,6.1,6.08,6.2,6.04,17740000.0
2020-03-09,6.11,6.04,6.14,5.9,18150000.0
2020-03-06,6.0,5.73,6.08,5.73,36380000.0
2020-03-05,5.73,5.7,5.77,5.69,9600000.0
2020-03-04,5.7,5.72,5.78,5.61,27600000.0
2020-03-03,5.7,5.75,5.85,5.62,6500000.0
2020-03-02,5.6,5.63,5.7,5.49,8010000.0
2020-02-28,5.64,5.68,5.74,5.62,12750000.0
2020-02-27,5.69,5.7,5.78,5.68,6540000.0
2020-02-26,5.68,5.6,5.72,5.6,14020000.0
2020-02-25,5.62,5.42,5.67,5.4,24500000.0
2020-02-24,5.44,5.25,5.51,5.12,24370000.0
2020-02-21,5.29,5.26,5.45,5.26,13210000.0
2020-02-20,5.3,5.4,5.42,5.26,16390000.0
2020-02-19,5.43,5.64,5.64,5.37,14950000.0
2020-02-18,5.65,5.68,5.7,5.63,5130000.0
2020-02-17,5.68,5.86,5.89,5.65,9750000.0
2020-02-14,5.85,5.85,5.88,5.84,8119999.999999999
2020-02-13,5.86,5.85,5.89,5.81,4700000.0
2020-02-12,5.85,5.77,5.89,5.75,23970000.0
2020-02-11,5.72,5.75,5.78,5.72,10530000.0
2020-02-10,5.74,5.73,5.77,5.7,12060000.0
2020-02-07,5.66,5.65,5.75,5.62,9640000.0
2020-02-06,5.62,5.65,5.67,5.58,19210000.0
2020-02-05,5.65,5.7,5.72,5.58,26170000.0
2020-02-04,5.7,5.78,5.83,5.67,17860000.0
2020-02-03,5.78,5.84,5.93,5.71,15520000.0
2020-01-31,5.85,5.89,5.97,5.85,19290000.0
2020-01-30,5.89,5.9,5.92,5.73,27600000.0
2020-01-29,5.84,6.0,6.02,5.6,38760000.0
2020-01-28,6.0,5.88,6.1,5.81,32530000.0
2020-01-24,5.54,5.38,5.61,5.38,16950000.0
2020-01-23,5.36,5.46,5.52,5.3,24630000.0
2020-01-22,5.43,5.22,5.46,5.22,46200000.0
2020-01-21,5.11,4.84,5.16,4.84,33280000.0
2020-01-20,4.82,4.76,4.83,4.76,5010000.0
2020-01-17,4.76,4.7,4.76,4.7,10410000.0
2020-01-16,4.71,4.75,4.75,4.68,3650000.0
2020-01-15,4.8,4.66,4.8,4.63,2170000.0
2020-01-14,4.66,4.67,4.68,4.63,1110000.0
2020-01-13,4.64,4.62,4.67,4.59,1580000.0
2020-01-10,4.62,4.59,4.62,4.55,1360000.0
2020-01-09,4.58,4.66,4.68,4.57,3070000.0
2020-01-08,4.61,4.64,4.68,4.61,3460000.0
2020-01-07,4.65,4.65,4.7,4.62,3470000.0
2020-01-06,4.66,4.67,4.67,4.6,890100.0
2020-01-03,4.67,4.66,4.72,4.6,2220000.0
2020-01-02,4.65,4.7,4.73,4.61,1520000.0
2019-12-31,4.7,4.73,4.73,4.69,3630000.0
2019-12-30,4.75,4.77,4.77,4.73,1050000.0
2019-12-27,4.76,4.76,4.78,4.72,3780000.0
2019-12-26,4.75,4.79,4.79,4.74,643600.0
2019-12-24,4.79,4.76,4.8,4.72,1130000.0
2019-12-23,4.77,4.81,4.81,4.72,1470000.0
2019-12-20,4.81,4.81,4.81,4.75,5750000.0
2019-12-19,4.81,4.8,4.81,4.75,6210000.0
2019-12-18,4.79,4.7,4.83,4.7,9850000.0
2019-12-17,4.66,4.45,4.66,4.41,5700000.0
2019-12-16,4.45,4.41,4.46,4.36,2250000.0
2019-12-13,4.39,4.49,4.49,4.35,1450000.0
2019-12-12,4.44,4.48,4.5,4.44,831900.0
2019-12-11,4.45,4.41,4.5,4.41,844600.0
2019-12-10,4.41,4.35,4.44,4.35,1040000.0
2019-12-09,4.33,4.44,4.45,4.33,961600.0
2019-12-06,4.41,4.41,4.48,4.41,1120000.0
2019-12-05,4.4,4.38,4.44,4.38,714100.0
2019-12-04,4.37,4.41,4.41,4.37,1900000.0
2019-12-03,4.42,4.53,4.53,4.38,3360000.0
2019-12-02,4.49,4.54,4.54,4.49,817900.0
2019-11-29,4.5,4.59,4.59,4.43,3270000.0
2019-11-28,4.59,4.61,4.61,4.51,1740000.0
2019-11-27,4.61,4.59,4.62,4.57,1860000.0
2019-11-26,4.59,4.59,4.6,4.54,5070000.0
2019-11-25,4.59,4.6,4.6,4.58,1470000.0
2019-11-22,4.6,4.55,4.62,4.55,2320000.0
2019-11-21,4.6,4.6,4.6,4.53,1690000.0
2019-11-20,4.6,4.6,4.62,4.56,1710000.0
2019-11-19,4.59,4.55,4.61,4.52,4560000.0
2019-11-18,4.55,4.51,4.55,4.5,1080000.0
2019-11-15,4.51,4.51,4.55,4.51,2009999.9999999998
2019-11-14,4.5,4.45,4.5,4.42,2400000.0
2019-11-13,4.45,4.4,4.45,4.36,1510000.0
2019-11-12,4.4,4.41,4.41,4.36,1580000.0
2019-11-11,4.41,4.36,4.44,4.36,1880000.0
2019-11-08,4.35,4.41,4.44,4.33,3010000.0
2019-11-07,4.41,4.37,4.41,4.34,2780000.0
2019-11-06,4.37,4.5,4.5,4.35,3590000.0
2019-11-05,4.5,4.53,4.53,4.49,2810000.0
2019-11-04,4.52,4.41,4.55,4.41,4920000.0
2019-11-01,4.4,4.37,4.4,4.34,2230000.0
2019-10-31,4.35,4.4,4.43,4.35,1340000.0
2019-10-30,4.4,4.4,4.41,4.38,3060000.0
2019-10-29,4.37,4.4,4.4,4.33,1960000.0
2019-10-25,4.36,4.39,4.39,4.35,306400.0
2019-10-24,4.38,4.39,4.4,4.34,863600.0
2019-10-23,4.39,4.35,4.39,4.33,1180000.0
2019-10-22,4.35,4.36,4.37,4.33,1530000.0
2019-10-21,4.36,4.34,4.36,4.32,1860000.0
2019-10-18,4.33,4.34,4.35,4.31,1010000.0
2019-10-17,4.34,4.3,4.35,4.3,2520000.0
2019-10-16,4.29,4.25,4.3,4.25,2830000.0
2019-10-15,4.25,4.27,4.3,4.21,5730000.0
2019-10-14,4.27,4.31,4.37,4.26,3700000.0
2019-10-11,4.29,4.31,4.31,4.27,3400000.0
2019-10-10,4.31,4.37,4.38,4.29,5110000.0
2019-10-09,4.37,4.48,4.48,4.33,7450000.0
2019-10-08,4.47,4.54,4.54,4.43,3900000.0
2019-10-07,4.49,4.48,4.56,4.46,4580000.0
2019-10-04,4.48,4.5,4.52,4.45,3460000.0
2019-10-03,4.48,4.49,4.5,4.48,1610000.0
2019-10-02,4.49,4.47,4.52,4.46,4300000.0
2019-10-01,4.49,4.46,4.53,4.42,3370000.0
2019-09-30,4.45,4.58,4.61,4.45,5560000.0
2019-09-27,4.57,4.72,4.74,4.57,4010000.0
2019-09-26,4.72,4.72,4.75,4.61,4890000.0
2019-09-25,4.73,4.73,4.74,4.71,4740000.0
2019-09-24,4.73,4.7,4.75,4.7,1900000.0
2019-09-23,4.75,4.73,4.75,4.72,7290000.0
2019-09-20,4.75,4.75,4.75,4.7,6170000.0
2019-09-19,4.74,4.79,4.79,4.71,2390000.0
2019-09-18,4.78,4.78,4.79,4.72,3060000.0
2019-09-17,4.79,4.77,4.79,4.74,2340000.0
2019-09-13,4.79,4.78,4.79,4.75,3180000.0
2019-09-12,4.79,4.76,4.8,4.74,3770000.0
2019-09-11,4.75,4.75,4.77,4.72,6540000.0
2019-09-10,4.72,4.71,4.75,4.7,3460000.0
2019-09-06,4.71,4.71,4.73,4.69,1800000.0
2019-09-05,4.71,4.71,4.72,4.67,3610000.0
2019-09-04,4.69,4.7,4.72,4.68,2530000.0
2019-09-03,4.71,4.75,4.78,4.7,2340000.0
2019-08-30,4.75,4.67,4.75,4.67,4059999.9999999995
2019-08-29,4.67,4.65,4.68,4.61,2110000.0
2019-08-28,4.66,4.65,4.66,4.62,3000000.0
2019-08-27,4.68,4.66,4.68,4.6,4280000.0
2019-08-26,4.66,4.7,4.7,4.62,4110000.0000000005
2019-08-23,4.75,4.58,4.75,4.57,3490000.0
2019-08-22,4.58,4.5,4.61,4.5,2340000.0
2019-08-21,4.5,4.5,4.54,4.48,1630000.0
2019-08-20,4.5,4.52,4.58,4.48,1860000.0
2019-08-19,4.52,4.48,4.55,4.48,1470000.0
2019-08-16,4.47,4.46,4.49,4.46,1310000.0
2019-08-15,4.49,4.48,4.49,4.45,1790000.0
2019-08-14,4.5,4.51,4.53,4.49,3190000.0
