Date,Price,Open,High,Low,Vol.
2020-03-13,2.3,2.38,2.38,2.26,1190000.0
2020-03-12,2.45,2.65,2.69,2.43,2990000.0
2020-03-11,2.71,2.85,2.87,2.68,2670000.0
2020-03-10,2.87,2.8,2.9,2.75,1910000.0
2020-03-09,2.82,2.97,2.98,2.82,2000000.0
2020-03-06,2.99,3.03,3.05,2.92,2520000.0
2020-03-05,3.03,3.04,3.05,2.98,905300.0
2020-03-04,3.02,3.03,3.1,2.91,587000.0
2020-03-03,3.04,3.15,3.15,2.95,721700.0
2020-03-02,3.11,3.16,3.16,2.95,2400000.0
2020-02-28,3.16,3.3,3.36,3.16,3610000.0
2020-02-27,3.23,3.35,3.4,3.2,1050000.0
2020-02-26,3.34,3.5,3.62,3.33,1300000.0
2020-02-25,3.51,3.57,3.66,3.51,1940000.0
2020-02-24,3.6,3.82,3.82,3.57,1830000.0
2020-02-21,3.83,3.95,3.95,3.76,945800.0
2020-02-20,3.95,3.97,3.98,3.95,128000.0
2020-02-19,3.98,4.0,4.04,3.96,91400.0
2020-02-18,3.95,3.97,3.99,3.95,179900.0
2020-02-17,3.96,4.15,4.16,3.95,269700.0
2020-02-14,4.05,4.08,4.13,4.05,166700.0
2020-02-13,4.1,4.1,4.1,4.08,73100.0
2020-02-12,4.1,4.19,4.19,4.09,128600.0
2020-02-11,4.1,4.12,4.18,4.08,1300000.0
2020-02-10,4.1,4.1,4.16,4.1,231100.0
2020-02-07,4.08,4.16,4.16,4.08,4019999.9999999995
2020-02-06,4.16,4.1,4.21,4.1,1200000.0
2020-02-05,4.06,4.02,4.06,4.02,76000.0
2020-02-04,4.01,3.91,4.02,3.91,333800.0
2020-02-03,3.9,3.86,3.91,3.8,587100.0
2020-01-31,3.92,3.91,3.95,3.88,867100.0
2020-01-30,3.92,3.98,3.98,3.9,375000.0
2020-01-29,3.98,3.97,4.04,3.97,571600.0
2020-01-28,3.97,4.21,4.21,3.95,507200.0
2020-01-24,4.21,4.19,4.21,4.14,49000.0
2020-01-23,4.19,4.23,4.23,4.19,49500.0
2020-01-22,4.23,4.25,4.26,4.22,147600.0
2020-01-21,4.26,4.26,4.27,4.25,176600.0
2020-01-20,4.26,4.35,4.36,4.26,163700.0
2020-01-17,4.31,4.35,4.35,4.29,65300.0
2020-01-16,4.28,4.35,4.35,4.27,279700.0
2020-01-15,4.31,4.36,4.36,4.3,520200.00000000006
2020-01-14,4.36,4.4,4.4,4.35,303400.0
2020-01-13,4.4,4.39,4.43,4.37,268500.0
2020-01-10,4.41,4.45,4.45,4.41,10800.0
