Date,Price,Open,High,Low,Vol.
2020-03-13,1.86,1.99,1.99,1.85,269100.0
2020-03-12,2.05,2.05,2.06,2.01,371500.0
2020-03-11,2.06,2.06,2.06,2.05,63000.0
2020-03-10,2.05,1.96,2.06,1.96,501500.0
2020-03-09,2.01,2.1,2.1,2.0,184400.0
2020-03-06,2.18,2.15,2.21,2.11,1240000.0
2020-03-05,2.18,2.18,2.25,2.13,1220000.0
2020-03-04,2.11,2.13,2.13,2.1,38600.0
2020-03-03,2.13,2.11,2.16,2.11,69000.0
2020-03-02,2.05,2.01,2.1,1.98,261399.99999999997
2020-02-28,2.01,2.1,2.1,1.7,1320000.0
2020-02-27,2.11,2.19,2.2,2.11,1410000.0
2020-02-26,2.21,2.21,2.21,2.18,330100.0
2020-02-25,2.2,2.17,2.23,2.17,53600.0
2020-02-24,2.19,2.18,2.22,2.16,31500.0
2020-02-21,2.22,2.21,2.23,2.21,64599.99999999999
2020-02-20,2.22,2.22,2.23,2.2,20500.0
2020-02-19,2.2,2.2,2.22,2.19,182700.0
2020-02-18,2.2,2.25,2.25,2.17,366300.0
2020-02-17,2.24,2.23,2.3,2.22,84600.0
2020-02-14,2.22,2.22,2.22,2.21,34700.0
2020-02-13,2.19,2.22,2.22,2.19,268300.0
2020-02-12,2.21,2.21,2.22,2.2,61900.0
2020-02-11,2.21,2.2,2.22,2.19,68000.0
2020-02-10,2.17,2.21,2.22,2.17,102400.0
2020-02-07,2.21,2.24,2.27,2.21,19000.0
2020-02-06,2.23,2.23,2.27,2.23,19300.0
2020-02-05,2.2,2.19,2.25,2.19,34500.0
2020-02-04,2.18,2.22,2.22,2.18,31300.0
2020-02-03,2.22,2.2,2.22,2.13,181200.0
2020-01-31,2.21,2.26,2.27,2.2,97900.0
2020-01-30,2.29,2.35,2.35,2.29,50800.0
2020-01-29,2.35,2.35,2.37,2.35,4400.0
2020-01-28,2.34,2.37,2.37,2.34,62200.0
2020-01-24,2.43,2.43,2.44,2.39,24100.0
2020-01-23,2.43,2.44,2.48,2.42,165400.0
2020-01-22,2.44,2.38,2.44,2.37,89200.0
2020-01-21,2.41,2.44,2.44,2.4,27500.0
2020-01-20,2.44,2.49,2.5,2.44,88500.0
2020-01-17,2.49,2.46,2.49,2.46,79100.0
2020-01-16,2.46,2.48,2.49,2.46,121600.0
2020-01-15,2.49,2.49,2.49,2.43,161300.0
2020-01-14,2.49,2.42,2.51,2.42,264800.0
2020-01-13,2.42,2.37,2.46,2.36,168800.0
2020-01-10,2.35,2.28,2.38,2.26,290700.0
2020-01-09,2.24,2.23,2.27,2.23,94900.0
