Date,Price,Open,High,Low,Vol.
2020-03-13,25.0,25.48,25.48,24.7,24200.0
2020-03-12,25.7,25.7,25.7,25.64,20900.0
2020-03-11,25.8,25.8,25.82,25.76,40500.0
2020-03-10,25.76,25.74,26.38,25.74,28400.0
2020-03-09,25.8,26.0,26.0,25.74,260000.0
2020-03-06,26.02,26.52,26.52,26.0,31400.0
2020-03-05,26.12,26.36,26.36,26.08,15300.0
2020-03-04,26.08,26.2,26.2,26.02,76500.0
2020-03-03,26.08,26.24,26.24,26.04,134700.0
2020-03-02,26.2,26.2,26.4,26.12,30800.0
2020-02-28,26.24,26.4,26.4,26.2,31900.0
2020-02-27,26.4,26.68,26.68,26.36,73500.0
2020-02-26,26.4,26.6,26.7,26.38,61200.0
2020-02-25,26.4,26.36,26.6,26.36,174800.0
2020-02-24,26.36,26.38,26.38,26.1,75100.0
2020-02-21,26.4,26.6,26.6,26.4,7200.0
2020-02-20,26.4,26.66,26.66,26.4,2200.0
2020-02-19,26.38,26.6,26.6,26.38,23000.0
2020-02-18,26.4,26.4,26.6,26.4,18100.0
2020-02-17,26.4,26.4,26.4,26.4,3800.0
2020-02-14,26.3,26.3,26.3,26.3,21100.0
2020-02-13,26.2,26.2,26.4,26.12,3600.0
2020-02-12,26.3,26.5,26.5,26.3,1300.0
2020-02-11,26.3,26.4,26.76,26.3,6500.0
2020-02-10,26.28,26.36,26.36,26.14,15800.0
2020-02-07,26.1,26.42,26.42,26.1,1300.0
2020-02-06,26.38,26.46,26.46,26.2,32100.0
2020-02-05,26.3,26.06,26.3,26.06,1300.0
2020-02-04,26.38,26.0,26.4,26.0,1000000.0
2020-02-03,26.1,26.1,26.2,26.1,107700.0
2020-01-31,26.1,26.1,26.12,26.1,336000.0
2020-01-30,26.1,26.3,26.3,26.1,50300.0
2020-01-29,26.26,26.3,26.3,26.26,2800.0
2020-01-28,26.2,26.08,26.26,25.9,5200.0
2020-01-24,26.1,26.28,26.28,26.1,500.0
2020-01-23,26.28,26.28,26.28,26.28,100.0
2020-01-22,26.0,26.1,26.1,26.0,61200.0
2020-01-21,26.2,26.28,26.28,26.2,2000.0
2020-01-20,25.96,25.92,26.18,25.92,5100.0
2020-01-17,26.3,26.0,26.3,26.0,6100.0
2020-01-16,26.04,26.1,26.1,26.04,6800.0
2020-01-15,26.12,26.2,26.2,26.12,17700.0
2020-01-14,26.2,26.22,26.22,26.14,18200.0
2020-01-13,26.28,26.22,26.4,26.22,15400.0
2020-01-10,26.14,26.7,26.7,26.12,7300.0
2020-01-09,26.1,26.1,26.1,26.1,500100.0
2020-01-08,26.06,26.2,26.2,26.06,5300.0
2020-01-07,26.2,26.3,26.3,26.2,10600.0
2020-01-06,26.2,26.2,26.2,26.12,23600.0
2020-01-03,26.2,26.1,26.58,26.1,32100.0
2020-01-02,26.0,26.28,26.3,26.0,50100.0
2019-12-31,26.28,26.4,26.6,26.28,10600.0
2019-12-30,26.1,26.38,27.0,26.1,34100.0
2019-12-27,26.38,26.4,26.4,26.32,32500.0
2019-12-26,26.26,26.28,26.4,26.26,6100.0
2019-12-24,26.26,26.2,26.26,26.2,1400.0
2019-12-23,26.7,26.2,26.84,26.1,7700.0
2019-12-20,25.84,26.28,26.28,25.84,4800.0
2019-12-19,26.0,26.0,26.02,26.0,2100.0
2019-12-18,26.08,26.08,26.12,26.08,8900.0
2019-12-17,26.28,26.28,26.28,26.28,100.0
2019-12-16,26.0,26.18,26.2,25.66,6600.0
2019-12-13,26.18,26.32,26.32,25.8,4100.0
2019-12-12,25.8,26.3,26.32,25.8,8700.0
2019-12-11,26.32,26.0,26.32,25.7,10700.0
2019-12-10,26.2,26.34,26.34,26.04,5300.0
2019-12-09,26.24,26.3,26.32,26.12,32299.999999999996
2019-12-06,26.1,26.1,26.3,26.08,1010000.0
2019-12-05,26.0,26.1,26.1,26.0,1000.0
