Date,Price,Open,High,Low,Vol.
2020-03-13,1.54,1.63,1.69,1.45,20350000.0
2020-03-12,1.87,2.08,2.09,1.83,22950000.0
2020-03-11,2.19,2.38,2.44,2.18,9710000.0
2020-03-10,2.36,2.13,2.37,2.1,11920000.0
2020-03-09,2.2,2.6,2.6,2.2,12550000.0
2020-03-06,2.68,2.72,2.8,2.67,9690000.0
2020-03-05,2.64,2.69,2.72,2.62,2410000.0
2020-03-04,2.66,2.63,2.71,2.59,4470000.0
2020-03-03,2.67,2.86,2.86,2.62,6090000.0
2020-03-02,2.74,2.57,2.77,2.43,12030000.0
2020-02-28,2.57,2.64,2.72,2.51,9660000.0
2020-02-27,2.75,2.89,2.89,2.59,11510000.0
2020-02-26,2.89,2.9,3.01,2.85,5770000.0
2020-02-25,2.91,2.8,2.93,2.77,5720000.0
2020-02-24,2.86,2.9,2.99,2.83,8460000.0
2020-02-21,3.05,2.95,3.09,2.91,6790000.0
2020-02-20,2.97,3.03,3.04,2.96,1690000.0
2020-02-19,2.97,2.96,3.04,2.95,3510000.0
2020-02-18,2.92,3.07,3.08,2.9,6380000.0
2020-02-17,3.07,3.14,3.18,3.06,2850000.0
2020-02-14,3.13,3.18,3.18,3.13,2440000.0
2020-02-13,3.19,3.2,3.23,3.13,2780000.0
2020-02-12,3.16,3.23,3.25,3.04,6180000.0
2020-02-11,3.2,3.24,3.39,3.19,7310000.0
2020-02-10,3.17,3.04,3.22,3.0,9370000.0
2020-02-07,2.95,2.95,2.97,2.85,4750000.0
2020-02-06,2.93,2.92,2.99,2.92,4980000.0
2020-02-05,2.89,2.76,2.89,2.75,6620000.0
2020-02-04,2.72,2.67,2.77,2.66,4520000.0
2020-02-03,2.63,2.48,2.68,2.39,14580000.0
2020-01-31,2.58,2.85,2.91,2.58,8279999.999999999
2020-01-30,2.84,2.79,2.92,2.74,3480000.0
2020-01-29,2.79,2.74,2.79,2.73,1350000.0
2020-01-28,2.7,2.79,2.79,2.7,4139999.9999999995
2020-01-24,2.79,2.75,2.79,2.7,2240000.0
2020-01-23,2.69,2.67,2.72,2.67,1840000.0
2020-01-22,2.65,2.45,2.65,2.45,3390000.0
2020-01-21,2.43,2.4,2.43,2.37,1710000.0
2020-01-20,2.39,2.4,2.42,2.37,2020000.0
2020-01-17,2.37,2.35,2.4,2.35,3490000.0
2020-01-16,2.34,2.26,2.35,2.25,6050000.0
2020-01-15,2.25,2.15,2.25,2.12,5100000.0
2020-01-14,2.14,2.15,2.15,2.1,1420000.0
2020-01-13,2.15,2.15,2.17,2.14,1980000.0
2020-01-10,2.14,2.15,2.17,2.13,2500000.0
2020-01-09,2.14,2.11,2.15,2.11,2580000.0
2020-01-08,2.09,2.12,2.12,1.97,5760000.0
2020-01-07,2.12,2.08,2.14,2.08,1740000.0
2020-01-06,2.08,2.12,2.12,2.06,2960000.0
2020-01-03,2.12,2.15,2.17,2.11,1620000.0
2020-01-02,2.14,2.14,2.17,2.13,1270000.0
2019-12-31,2.13,2.13,2.15,2.11,1760000.0
2019-12-30,2.13,2.16,2.21,2.13,4600000.0
2019-12-27,2.15,2.11,2.16,2.11,1790000.0
2019-12-26,2.09,2.06,2.19,2.06,5860000.0
2019-12-24,2.05,1.99,2.05,1.97,4130000.0
2019-12-23,1.99,1.92,2.0,1.91,6500000.0
2019-12-20,1.91,1.9,1.92,1.89,706200.0
2019-12-19,1.89,1.92,1.93,1.88,1120000.0
2019-12-18,1.91,1.93,1.96,1.9,3400000.0
2019-12-17,1.92,1.84,1.95,1.83,8990000.0
2019-12-16,1.83,1.84,1.85,1.83,681600.0
2019-12-13,1.83,1.85,1.85,1.83,1590000.0
2019-12-12,1.83,1.83,1.85,1.82,2080000.0
2019-12-11,1.83,1.83,1.85,1.81,793900.0
2019-12-10,1.81,1.87,1.88,1.8,3380000.0
2019-12-09,1.86,1.84,1.89,1.84,6240000.0
2019-12-06,1.83,1.75,1.84,1.74,5410000.0
2019-12-05,1.74,1.75,1.78,1.74,2750000.0
2019-12-04,1.73,1.72,1.74,1.72,1780000.0
2019-12-03,1.74,1.77,1.77,1.73,2800000.0
2019-12-02,1.77,1.78,1.83,1.76,2820000.0
2019-11-29,1.78,1.85,1.85,1.75,2510000.0
2019-11-28,1.84,1.85,1.87,1.83,1980000.0
2019-11-27,1.85,1.82,1.88,1.8,5370000.0
2019-11-26,1.8,1.71,1.83,1.71,3910000.0
2019-11-25,1.71,1.74,1.74,1.69,1440000.0
2019-11-22,1.74,1.76,1.76,1.69,3480000.0
2019-11-21,1.76,1.82,1.82,1.76,3820000.0
2019-11-20,1.81,1.81,1.83,1.8,3050000.0
2019-11-19,1.81,1.85,1.85,1.79,3010000.0
2019-11-18,1.83,1.85,1.86,1.82,5120000.0
2019-11-15,1.79,1.79,1.86,1.77,4750000.0
2019-11-14,1.78,1.93,1.96,1.75,10490000.0
