Date,Price,Open,High,Low,Vol.
2020-03-13,0.15,0.155,0.165,0.145,74150000.0
2020-03-12,0.17,0.175,0.18,0.165,65500000.0
2020-03-11,0.185,0.175,0.195,0.17,216620000.0
2020-03-10,0.17,0.165,0.17,0.155,151530000.0
2020-03-09,0.155,0.22,0.22,0.145,461590000.0
2020-03-06,0.3,0.29,0.31,0.285,27720000.0
2020-03-05,0.295,0.28,0.295,0.28,16500000.0
2020-03-04,0.28,0.28,0.285,0.28,14480000.0
2020-03-03,0.285,0.275,0.29,0.275,33600000.0
2020-03-02,0.265,0.28,0.285,0.25,48440000.0
2020-02-28,0.3,0.315,0.315,0.29,32490000.000000004
2020-02-27,0.32,0.33,0.33,0.32,23010000.0
2020-02-26,0.33,0.33,0.34,0.325,26670000.0
2020-02-25,0.34,0.325,0.345,0.32,15490000.0
2020-02-24,0.325,0.335,0.335,0.325,18510000.0
2020-02-21,0.345,0.345,0.35,0.345,11380000.0
2020-02-20,0.35,0.345,0.35,0.335,18960000.0
2020-02-19,0.34,0.335,0.345,0.335,13270000.0
2020-02-18,0.335,0.345,0.345,0.335,16920000.0
2020-02-17,0.345,0.345,0.35,0.34,8230000.0
2020-02-14,0.34,0.35,0.35,0.34,6570000.0
2020-02-13,0.35,0.345,0.35,0.34,19040000.0
2020-02-12,0.345,0.345,0.345,0.34,10590000.0
2020-02-11,0.34,0.34,0.35,0.335,13020000.0
2020-02-10,0.34,0.35,0.35,0.335,16320000.0
2020-02-07,0.35,0.355,0.355,0.345,9220000.0
2020-02-06,0.355,0.355,0.36,0.345,32229999.999999996
2020-02-05,0.35,0.345,0.355,0.345,22010000.0
2020-02-04,0.345,0.345,0.355,0.345,9950000.0
2020-02-03,0.35,0.33,0.375,0.32,52670000.0
2020-01-31,0.345,0.355,0.355,0.34,28050000.0
2020-01-30,0.355,0.355,0.36,0.35,8580000.0
2020-01-29,0.355,0.35,0.36,0.35,11300000.0
2020-01-28,0.35,0.355,0.355,0.34,16300000.0
2020-01-24,0.36,0.365,0.37,0.36,7570000.0
2020-01-23,0.365,0.37,0.37,0.365,8279999.999999999
2020-01-22,0.37,0.375,0.375,0.37,17940000.0
2020-01-21,0.375,0.37,0.38,0.37,21310000.0
2020-01-20,0.37,0.37,0.375,0.365,8010000.0
2020-01-17,0.37,0.38,0.385,0.365,27290000.0
2020-01-16,0.38,0.38,0.38,0.375,7940000.0
2020-01-15,0.38,0.38,0.38,0.37,25910000.0
2020-01-14,0.38,0.385,0.39,0.375,29320000.0
2020-01-13,0.385,0.395,0.395,0.38,22030000.0
2020-01-10,0.395,0.39,0.395,0.385,22130000.0
2020-01-09,0.39,0.39,0.395,0.38,34010000.0
2020-01-08,0.395,0.395,0.4,0.39,89090000.0
2020-01-07,0.385,0.395,0.4,0.385,29160000.0
2020-01-06,0.4,0.39,0.41,0.385,132229999.99999999
2020-01-03,0.385,0.385,0.395,0.375,78160000.0
2020-01-02,0.385,0.38,0.39,0.38,43950000.0
2019-12-31,0.38,0.38,0.385,0.38,20320000.0
2019-12-30,0.38,0.38,0.385,0.38,16000000.0
2019-12-27,0.38,0.38,0.39,0.375,63470000.0
2019-12-26,0.375,0.375,0.385,0.375,11360000.0
2019-12-24,0.375,0.39,0.39,0.375,15770000.0
2019-12-23,0.385,0.38,0.39,0.375,44740000.0
2019-12-20,0.375,0.38,0.38,0.375,11940000.0
2019-12-19,0.38,0.38,0.38,0.375,21670000.0
2019-12-18,0.38,0.385,0.385,0.38,22510000.0
2019-12-17,0.38,0.385,0.385,0.38,29780000.0
2019-12-16,0.38,0.38,0.385,0.38,19060000.0
2019-12-13,0.38,0.365,0.38,0.36,72530000.0
2019-12-12,0.365,0.375,0.38,0.355,39760000.0
2019-12-11,0.365,0.37,0.375,0.365,9850000.0
2019-12-10,0.365,0.365,0.37,0.36,37780000.0
2019-12-09,0.365,0.375,0.375,0.365,13280000.0
2019-12-06,0.375,0.39,0.39,0.375,37990000.0
2019-12-05,0.39,0.39,0.395,0.385,28390000.0
2019-12-04,0.39,0.39,0.39,0.38,13050000.0
2019-12-03,0.39,0.39,0.395,0.385,34530000.0
2019-12-02,0.385,0.385,0.395,0.385,25280000.0
2019-11-29,0.385,0.39,0.39,0.38,40420000.0
