Date,Price,Open,High,Low,Vol.
2020-03-13,7.55,7.62,7.63,7.51,315600.0
2020-03-12,7.8,8.0,8.0,7.62,256700.0
2020-03-11,8.05,8.0,8.12,8.0,42600.0
2020-03-10,8.0,7.61,8.01,7.61,51300.0
2020-03-09,7.94,8.15,8.15,7.5,136300.0
2020-03-06,8.27,8.29,8.35,8.25,111100.0
2020-03-05,8.29,8.2,8.29,8.18,78000.0
2020-03-04,8.19,8.35,8.35,8.17,235900.0
2020-03-03,8.35,8.27,8.4,8.27,640900.0
2020-03-02,8.27,8.24,8.29,8.24,624900.0
2020-02-28,8.4,8.6,8.6,8.28,636600.0
2020-02-27,8.67,8.78,8.78,8.65,107800.0
2020-02-26,8.8,8.81,8.84,8.79,208300.0
2020-02-25,8.82,8.76,8.84,8.73,130699.99999999999
2020-02-24,8.79,8.88,8.88,8.79,606700.0
2020-02-21,8.92,8.8,8.95,8.78,141400.0
2020-02-20,8.8,8.82,8.85,8.75,658900.0
2020-02-19,8.8,8.75,8.88,8.75,231500.0
2020-02-18,8.8,8.89,8.89,8.75,305700.0
2020-02-17,8.9,8.95,9.06,8.87,184900.0
2020-02-14,8.95,9.0,9.01,8.81,479700.0
2020-02-13,8.98,9.08,9.08,8.97,235900.0
2020-02-12,9.08,9.1,9.1,9.05,68900.0
2020-02-11,9.1,9.0,9.14,9.0,371000.0
2020-02-10,9.01,9.26,9.26,8.96,170700.0
2020-02-07,9.26,9.4,9.5,9.11,154800.0
2020-02-06,9.4,9.41,9.42,9.39,260600.00000000003
2020-02-05,9.37,9.1,9.4,9.1,36400.0
2020-02-04,9.18,9.06,9.29,9.06,117400.0
2020-02-03,9.06,9.06,9.16,8.8,681200.0
2020-01-31,9.3,9.28,9.38,9.28,735000.0
2020-01-30,9.41,9.56,9.56,9.4,147500.0
2020-01-29,9.57,9.18,9.57,9.18,751500.0
2020-01-28,9.2,9.18,9.23,9.12,132200.0
2020-01-24,9.3,9.3,9.33,9.29,222100.0
2020-01-23,9.33,9.25,9.37,9.24,1480000.0
2020-01-22,9.24,9.3,9.3,9.09,407300.0
2020-01-21,9.32,9.04,9.32,9.04,397900.0
2020-01-20,9.32,9.1,9.42,9.1,710200.0
2020-01-17,9.07,9.03,9.11,8.91,1200000.0
2020-01-16,9.01,8.9,9.12,8.72,2029999.9999999998
2020-01-15,8.9,8.4,9.05,8.4,1120000.0
2020-01-14,8.43,8.45,8.48,8.43,83500.0
2020-01-13,8.5,8.28,8.55,8.28,573700.0
2020-01-10,8.29,8.0,8.29,8.0,261700.0
2020-01-09,8.0,8.0,8.01,8.0,78900.0
