Date,Price,Open,High,Low,Vol.
2020-03-13,0.995,1.01,1.01,0.98,2940000.0
2020-03-12,1.07,1.18,1.18,1.06,1880000.0
2020-03-11,1.18,1.21,1.21,1.18,1420000.0
2020-03-10,1.21,1.22,1.22,1.2,1330000.0
2020-03-09,1.24,1.26,1.26,1.23,2200000.0
2020-03-06,1.28,1.29,1.3,1.28,1050000.0
2020-03-05,1.29,1.29,1.29,1.28,235600.0
2020-03-04,1.28,1.32,1.32,1.28,1660000.0
2020-03-03,1.31,1.31,1.33,1.31,1230000.0
2020-03-02,1.31,1.35,1.35,1.31,1020000.0
2020-02-28,1.38,1.29,1.38,1.28,2009999.9999999998
2020-02-27,1.3,1.3,1.31,1.29,819900.0
2020-02-26,1.3,1.31,1.31,1.29,507200.0
2020-02-25,1.3,1.29,1.31,1.28,1340000.0
2020-02-24,1.3,1.31,1.32,1.3,1110000.0
2020-02-21,1.32,1.32,1.34,1.32,662500.0
2020-02-20,1.32,1.34,1.34,1.32,169100.0
2020-02-19,1.33,1.34,1.34,1.32,791700.0
2020-02-18,1.34,1.33,1.34,1.33,588700.0
2020-02-17,1.34,1.35,1.35,1.33,994100.0
2020-02-14,1.35,1.34,1.37,1.33,2480000.0
2020-02-13,1.34,1.36,1.36,1.34,1510000.0
2020-02-12,1.36,1.38,1.4,1.35,1120000.0
2020-02-11,1.37,1.35,1.37,1.34,625900.0
2020-02-10,1.36,1.35,1.37,1.34,1100000.0
2020-02-07,1.34,1.33,1.35,1.33,810400.0
2020-02-06,1.33,1.34,1.35,1.33,411700.0
2020-02-05,1.33,1.36,1.36,1.33,401300.0
2020-02-04,1.35,1.32,1.35,1.32,480700.0
2020-02-03,1.32,1.34,1.35,1.31,843100.0
2020-01-31,1.36,1.35,1.36,1.34,1980000.0
2020-01-30,1.36,1.36,1.37,1.36,1340000.0
2020-01-29,1.36,1.36,1.36,1.33,1720000.0
2020-01-28,1.36,1.37,1.37,1.36,1560000.0
2020-01-24,1.38,1.4,1.4,1.37,1230000.0
2020-01-23,1.41,1.44,1.44,1.4,402800.0
2020-01-22,1.43,1.43,1.44,1.41,460600.0
2020-01-21,1.43,1.41,1.45,1.4,2020000.0
2020-01-20,1.41,1.4,1.43,1.37,2770000.0
2020-01-17,1.38,1.38,1.39,1.37,1480000.0
2020-01-16,1.37,1.38,1.38,1.35,854900.0
2020-01-15,1.38,1.35,1.38,1.35,579900.0
2020-01-14,1.35,1.36,1.37,1.35,965600.0
2020-01-13,1.35,1.36,1.37,1.35,968900.0
2020-01-10,1.35,1.35,1.36,1.34,1000000.0
2020-01-09,1.35,1.36,1.37,1.34,1610000.0
2020-01-08,1.35,1.38,1.38,1.35,2590000.0
2020-01-07,1.38,1.4,1.4,1.38,1370000.0
2020-01-06,1.38,1.39,1.4,1.38,707300.0
2020-01-03,1.39,1.43,1.44,1.38,3650000.0
2020-01-02,1.42,1.43,1.44,1.42,938800.0
2019-12-31,1.42,1.42,1.44,1.41,1260000.0
2019-12-30,1.42,1.43,1.43,1.41,1200000.0
2019-12-27,1.43,1.43,1.44,1.42,383000.0
2019-12-26,1.43,1.44,1.45,1.42,231900.0
2019-12-24,1.44,1.42,1.45,1.42,738500.0
2019-12-23,1.42,1.42,1.43,1.41,1050000.0
2019-12-20,1.41,1.43,1.43,1.41,625100.0
2019-12-19,1.41,1.42,1.44,1.41,599900.0
2019-12-18,1.42,1.44,1.44,1.42,1160000.0
2019-12-17,1.44,1.45,1.46,1.43,657200.0
2019-12-16,1.44,1.45,1.46,1.44,499700.0
2019-12-13,1.44,1.45,1.46,1.44,649900.0
2019-12-12,1.46,1.47,1.48,1.45,909200.0
2019-12-11,1.47,1.49,1.49,1.46,355100.0
2019-12-10,1.49,1.47,1.49,1.46,437700.0
2019-12-09,1.47,1.51,1.51,1.46,403000.0
2019-12-06,1.49,1.5,1.5,1.47,1150000.0
2019-12-05,1.5,1.53,1.54,1.49,1080000.0
2019-12-04,1.53,1.47,1.53,1.46,1040000.0
2019-12-03,1.47,1.47,1.48,1.46,850600.0
2019-12-02,1.47,1.51,1.51,1.46,1020000.0
2019-11-29,1.5,1.57,1.57,1.5,2029999.9999999998
2019-11-28,1.59,1.59,1.59,1.56,1200000.0
2019-11-27,1.59,1.53,1.59,1.53,642500.0
2019-11-26,1.56,1.53,1.58,1.51,622300.0
2019-11-25,1.52,1.56,1.56,1.52,153400.0
2019-11-22,1.53,1.55,1.55,1.53,79500.0
2019-11-21,1.51,1.56,1.56,1.51,361700.0
2019-11-20,1.53,1.54,1.56,1.53,238300.0
2019-11-19,1.56,1.53,1.57,1.53,675000.0
2019-11-18,1.56,1.61,1.61,1.54,288500.0
2019-11-15,1.61,1.61,1.61,1.6,125800.0
2019-11-14,1.61,1.61,1.62,1.6,177900.0
2019-11-13,1.61,1.61,1.63,1.6,361000.0
2019-11-12,1.61,1.62,1.62,1.6,231900.0
2019-11-11,1.6,1.6,1.63,1.59,305600.0
2019-11-08,1.62,1.63,1.63,1.59,306500.0
2019-11-07,1.62,1.61,1.62,1.59,149900.0
2019-11-06,1.6,1.58,1.61,1.58,123600.0
2019-11-05,1.61,1.61,1.63,1.6,228900.0
2019-11-04,1.62,1.65,1.65,1.61,517200.00000000006
2019-11-01,1.65,1.65,1.66,1.63,451200.0
2019-10-31,1.66,1.63,1.66,1.63,313300.0
2019-10-30,1.64,1.66,1.66,1.63,66900.0
2019-10-29,1.64,1.65,1.65,1.62,350300.0
2019-10-25,1.63,1.63,1.64,1.62,195200.0
2019-10-24,1.64,1.62,1.65,1.62,335500.0
2019-10-23,1.63,1.63,1.64,1.61,212200.0
2019-10-22,1.63,1.62,1.64,1.62,300300.0
2019-10-21,1.62,1.61,1.63,1.61,399500.0
2019-10-18,1.61,1.58,1.63,1.58,1750000.0
2019-10-17,1.57,1.56,1.57,1.53,797500.0
2019-10-16,1.56,1.54,1.56,1.52,615100.0
2019-10-15,1.54,1.53,1.54,1.52,197600.0
2019-10-14,1.53,1.51,1.54,1.51,903300.0
2019-10-11,1.52,1.53,1.54,1.51,647100.0
2019-10-10,1.52,1.52,1.53,1.5,619900.0
2019-10-09,1.51,1.51,1.53,1.48,678000.0
2019-10-08,1.51,1.53,1.53,1.51,128199.99999999999
2019-10-07,1.52,1.51,1.54,1.51,450500.0
2019-10-04,1.53,1.52,1.53,1.5,1580000.0
2019-10-03,1.51,1.51,1.53,1.49,5370000.0
2019-10-02,1.52,1.49,1.52,1.47,1140000.0
2019-10-01,1.5,1.46,1.5,1.45,1640000.0
2019-09-30,1.46,1.48,1.48,1.45,332500.0
2019-09-27,1.47,1.47,1.47,1.46,1020000.0
2019-09-26,1.47,1.5,1.5,1.46,1150000.0
2019-09-25,1.49,1.5,1.5,1.48,901200.0
2019-09-24,1.51,1.48,1.51,1.48,551300.0
2019-09-23,1.48,1.51,1.51,1.48,382800.0
2019-09-20,1.51,1.49,1.51,1.47,355600.0
2019-09-19,1.48,1.5,1.5,1.47,688900.0
2019-09-18,1.48,1.5,1.5,1.48,139700.0
2019-09-17,1.51,1.51,1.52,1.5,727900.0
2019-09-13,1.51,1.53,1.53,1.51,281200.0
2019-09-12,1.5,1.51,1.54,1.49,1170000.0
2019-09-11,1.51,1.52,1.56,1.5,323000.0
2019-09-10,1.53,1.53,1.54,1.52,403100.0
2019-09-06,1.54,1.51,1.54,1.49,504800.0
2019-09-05,1.5,1.48,1.51,1.48,318500.0
2019-09-04,1.47,1.47,1.48,1.46,298900.0
2019-09-03,1.47,1.48,1.48,1.45,804700.0
2019-08-30,1.45,1.47,1.51,1.45,2610000.0
2019-08-29,1.46,1.54,1.54,1.46,3020000.0
2019-08-28,1.54,1.65,1.65,1.54,4139999.9999999995
2019-08-27,1.65,1.69,1.71,1.62,1620000.0
2019-08-26,1.67,1.71,1.72,1.65,2040000.0
2019-08-23,1.75,1.71,1.76,1.7,765400.0
2019-08-22,1.73,1.74,1.74,1.69,841600.0
2019-08-21,1.72,1.71,1.74,1.69,507300.0
2019-08-20,1.72,1.67,1.79,1.67,1670000.0
2019-08-19,1.67,1.63,1.67,1.61,677400.0
2019-08-16,1.63,1.6,1.63,1.59,415300.0
2019-08-15,1.6,1.56,1.61,1.56,1940000.0
2019-08-14,1.64,1.61,1.64,1.61,251500.0
2019-08-13,1.6,1.63,1.63,1.6,505700.0
2019-08-09,1.63,1.61,1.64,1.59,882700.0
2019-08-08,1.6,1.63,1.63,1.58,836700.0
2019-08-07,1.63,1.65,1.65,1.61,503300.0
2019-08-06,1.63,1.57,1.64,1.55,655600.0
2019-08-05,1.59,1.62,1.62,1.58,865700.0
2019-08-02,1.62,1.7,1.7,1.58,5000000.0
2019-08-01,1.7,1.7,1.72,1.65,3960000.0
2019-07-31,1.73,1.75,1.75,1.71,1650000.0
2019-07-29,1.75,1.81,1.81,1.73,1080000.0
2019-07-26,1.8,1.77,1.81,1.75,1280000.0
2019-07-25,1.77,1.79,1.79,1.76,827100.0
2019-07-24,1.78,1.78,1.79,1.77,1720000.0
2019-07-23,1.76,1.8,1.8,1.76,1640000.0
2019-07-22,1.77,1.81,1.83,1.76,1240000.0
2019-07-19,1.79,1.72,1.81,1.72,1520000.0
2019-07-18,1.74,1.74,1.77,1.71,681300.0
2019-07-17,1.74,1.73,1.74,1.7,684100.0
2019-07-16,1.74,1.69,1.74,1.69,380300.0
2019-07-15,1.71,1.72,1.72,1.69,383100.0
2019-07-12,1.7,1.73,1.75,1.7,866000.0
2019-07-11,1.73,1.73,1.74,1.71,673900.0
2019-07-10,1.74,1.75,1.76,1.71,747800.0
2019-07-09,1.74,1.7,1.77,1.7,1390000.0
2019-07-08,1.71,1.69,1.72,1.69,792100.0
2019-07-05,1.68,1.69,1.7,1.67,439600.0
2019-07-04,1.69,1.7,1.72,1.67,1950000.0
2019-07-03,1.7,1.73,1.73,1.69,622300.0
2019-07-02,1.71,1.68,1.72,1.66,778800.0
2019-07-01,1.68,1.72,1.72,1.66,1060000.0
2019-06-28,1.69,1.72,1.72,1.67,1250000.0
2019-06-27,1.73,1.72,1.75,1.69,874300.0
2019-06-26,1.74,1.72,1.75,1.68,1490000.0
2019-06-25,1.71,1.66,1.73,1.64,2720000.0
2019-06-24,1.65,1.68,1.69,1.64,2290000.0
2019-06-21,1.68,1.74,1.77,1.66,2860000.0
2019-06-20,1.74,1.6,1.78,1.6,5870000.0
2019-06-19,1.6,1.56,1.62,1.56,2110000.0
2019-06-18,1.56,1.56,1.58,1.55,1290000.0
2019-06-17,1.56,1.56,1.57,1.55,1090000.0
2019-06-14,1.56,1.57,1.58,1.55,1550000.0
2019-06-13,1.57,1.52,1.58,1.51,3970000.0
2019-06-12,1.56,1.57,1.58,1.55,2570000.0
2019-06-11,1.56,1.53,1.58,1.51,793700.0
2019-06-10,1.52,1.5,1.55,1.49,845900.0
2019-06-07,1.49,1.48,1.51,1.48,601400.0
2019-06-04,1.48,1.5,1.5,1.48,248500.0
2019-06-03,1.49,1.5,1.51,1.49,695600.0
2019-05-31,1.51,1.53,1.55,1.5,1300000.0
2019-05-30,1.52,1.45,1.53,1.45,868700.0
2019-05-29,1.47,1.46,1.48,1.46,296900.0
2019-05-28,1.49,1.42,1.49,1.42,951400.0
2019-05-27,1.42,1.41,1.43,1.41,617800.0
2019-05-24,1.41,1.42,1.42,1.4,164700.0
2019-05-23,1.4,1.42,1.42,1.38,1480000.0
2019-05-21,1.42,1.44,1.45,1.4,705000.0
2019-05-17,1.45,1.44,1.45,1.43,41400.0
2019-05-16,1.43,1.43,1.44,1.43,188000.0
2019-05-15,1.43,1.43,1.44,1.42,208100.0
2019-05-14,1.42,1.42,1.44,1.41,778700.0
2019-05-13,1.42,1.46,1.46,1.42,1590000.0
2019-05-10,1.46,1.44,1.47,1.43,806300.0
2019-05-09,1.45,1.43,1.46,1.42,703800.0
2019-05-08,1.45,1.42,1.45,1.41,310600.0
2019-05-07,1.43,1.41,1.44,1.41,296000.0
2019-05-06,1.43,1.43,1.43,1.41,715100.0
2019-05-03,1.43,1.42,1.44,1.41,259000.0
2019-05-02,1.42,1.44,1.45,1.42,405800.0
2019-04-30,1.44,1.44,1.45,1.43,432800.0
2019-04-29,1.44,1.44,1.44,1.43,601800.0
2019-04-26,1.44,1.46,1.46,1.43,582600.0
2019-04-25,1.46,1.46,1.46,1.45,224700.0
2019-04-24,1.46,1.45,1.46,1.43,701900.0
2019-04-23,1.45,1.44,1.45,1.43,548400.0
2019-04-22,1.45,1.43,1.45,1.43,278700.0
2019-04-19,1.42,1.43,1.44,1.42,400800.0
2019-04-18,1.41,1.44,1.44,1.41,128400.0
2019-04-17,1.42,1.43,1.44,1.41,511700.0
2019-04-16,1.43,1.44,1.44,1.42,952300.0
2019-04-15,1.44,1.45,1.47,1.43,844500.0
2019-04-12,1.45,1.47,1.47,1.43,472200.0
2019-04-11,1.44,1.47,1.48,1.43,896100.0
2019-04-10,1.47,1.47,1.49,1.45,360900.0
