Date,Price,Open,High,Low,Vol.
2020-03-13,12.42,13.06,13.06,12.42,73400.0
2020-03-12,13.22,13.04,13.22,13.02,68000.0
2020-03-11,13.46,13.5,13.5,13.44,194600.0
2020-03-10,13.46,12.5,13.46,12.5,191700.0
2020-03-09,13.58,13.5,13.7,13.22,250300.0
2020-03-06,13.84,13.9,13.9,13.68,74700.0
2020-03-05,13.68,13.76,13.8,13.68,4000.0
2020-03-04,13.76,13.42,13.76,13.42,13200.0
2020-03-03,13.6,13.8,13.8,13.46,27000.0
2020-03-02,14.0,13.5,14.0,13.46,53100.0
2020-02-28,13.8,13.9,14.14,13.8,272300.0
2020-02-27,14.08,14.0,14.2,14.0,36400.0
2020-02-26,14.0,13.8,14.0,13.76,28000.0
2020-02-25,13.88,13.6,13.88,13.5,32700.000000000004
2020-02-24,13.64,13.9,13.9,13.42,58500.0
2020-02-21,13.9,14.2,14.22,13.9,39900.0
2020-02-20,14.26,13.72,14.38,13.68,114800.0
2020-02-19,13.78,13.5,13.88,13.5,19500.0
2020-02-18,13.5,13.26,13.78,13.26,394500.0
2020-02-17,13.28,13.22,13.38,13.22,513600.0
2020-02-14,13.22,13.34,13.38,13.22,319700.0
2020-02-13,13.32,12.9,13.38,12.9,242500.0
2020-02-12,12.9,13.0,13.1,12.84,472200.0
2020-02-11,13.2,13.08,13.2,12.86,289900.0
2020-02-10,13.14,13.1,13.2,13.1,11400.0
2020-02-07,13.22,13.28,13.3,13.2,296500.0
2020-02-06,13.3,12.88,13.3,12.88,133700.0
2020-02-05,12.9,12.9,12.94,12.88,205100.0
2020-02-04,12.9,13.0,13.0,12.86,101800.0
2020-02-03,13.0,12.9,13.0,12.66,83600.0
2020-01-31,12.98,13.32,13.4,12.98,28400.0
2020-01-30,13.32,13.36,13.38,13.22,11800.0
2020-01-29,13.32,13.1,13.42,13.1,115300.0
2020-01-28,13.26,13.06,13.4,13.06,940900.0
2020-01-24,13.06,12.98,13.38,12.98,15900.0
2020-01-23,13.0,13.04,13.04,12.98,296600.0
2020-01-22,13.06,12.9,13.28,12.9,218700.0
2020-01-21,12.9,13.3,13.3,12.84,311200.0
2020-01-20,13.38,13.28,13.46,13.2,321600.0
2020-01-17,13.3,13.4,13.44,13.24,60400.0
2020-01-16,13.42,13.56,13.56,13.36,157600.0
2020-01-15,13.64,13.32,13.64,13.2,93600.0
2020-01-14,13.5,13.54,13.8,13.46,132600.0
2020-01-13,13.5,13.8,13.9,13.5,279400.0
2020-01-10,13.8,13.9,13.9,13.72,71900.0
2020-01-09,13.86,13.72,13.98,13.72,187100.0
2020-01-08,13.62,13.9,13.9,13.6,94800.0
2020-01-07,13.9,13.96,14.0,13.0,128199.99999999999
2020-01-06,14.0,14.0,14.1,13.98,350900.0
2020-01-03,14.0,14.0,14.12,13.96,378500.0
2020-01-02,14.0,14.14,14.22,13.96,500700.0
2019-12-31,14.14,14.24,14.26,14.14,78800.0
