Date,Price,Open,High,Low,Vol.
2020-03-13,0.81,0.85,0.85,0.795,34220000.0
2020-03-12,0.89,0.95,0.955,0.89,30540000.0
2020-03-11,0.975,0.97,0.995,0.97,14620000.0
2020-03-10,0.97,0.985,1.01,0.965,31760000.0
2020-03-09,0.99,1.04,1.04,0.99,37370000.0
2020-03-06,1.05,1.08,1.1,1.05,26140000.0
2020-03-05,1.1,1.09,1.13,1.08,35510000.0
2020-03-04,1.07,1.03,1.08,1.02,31070000.0
2020-03-03,1.02,1.05,1.06,1.02,33710000.0
2020-03-02,1.03,1.01,1.06,0.98,51800000.0
2020-02-28,1.0,1.1,1.1,1.0,76690000.0
2020-02-27,1.11,1.14,1.15,1.11,26560000.0
2020-02-26,1.14,1.13,1.15,1.12,27760000.0
2020-02-25,1.15,1.1,1.16,1.1,32350000.0
2020-02-24,1.1,1.13,1.15,1.1,57560000.0
2020-02-21,1.16,1.19,1.19,1.16,14260000.0
2020-02-20,1.19,1.16,1.19,1.16,30040000.0
2020-02-19,1.15,1.18,1.18,1.15,31520000.0
2020-02-18,1.19,1.19,1.19,1.16,36330000.0
2020-02-17,1.19,1.22,1.23,1.18,20570000.0
2020-02-14,1.2,1.19,1.23,1.17,47940000.0
2020-02-13,1.17,1.19,1.2,1.16,30610000.0
2020-02-12,1.2,1.23,1.23,1.16,76170000.0
2020-02-11,1.23,1.26,1.27,1.23,41920000.0
2020-02-10,1.26,1.26,1.28,1.23,56330000.0
2020-02-07,1.31,1.24,1.31,1.23,106110000.0
2020-02-06,1.23,1.19,1.26,1.17,133229999.99999999
2020-02-05,1.16,1.15,1.24,1.12,192530000.0
2020-02-04,1.15,1.26,1.26,1.12,134840000.0
2020-02-03,1.28,1.35,1.35,1.27,57670000.0
2020-01-31,1.43,1.45,1.45,1.4,20420000.0
2020-01-30,1.44,1.5,1.5,1.44,13740000.0
2020-01-29,1.48,1.51,1.52,1.47,11020000.0
2020-01-28,1.5,1.5,1.52,1.4,25630000.0
2020-01-24,1.56,1.61,1.62,1.54,8820000.0
2020-01-23,1.61,1.62,1.62,1.6,7630000.0
2020-01-22,1.61,1.63,1.64,1.61,7420000.0
2020-01-21,1.63,1.65,1.65,1.62,6780000.0
2020-01-20,1.63,1.66,1.66,1.63,5660000.0
2020-01-17,1.65,1.68,1.68,1.64,8820000.0
2020-01-16,1.68,1.67,1.68,1.66,2580000.0
2020-01-15,1.66,1.68,1.69,1.66,3310000.0
2020-01-14,1.68,1.72,1.72,1.68,4070000.0000000005
2020-01-13,1.72,1.73,1.73,1.69,5810000.0
2020-01-10,1.71,1.72,1.72,1.68,4070000.0000000005
2020-01-09,1.69,1.65,1.7,1.64,5430000.0
2020-01-08,1.64,1.65,1.66,1.63,8890000.0
2020-01-07,1.66,1.68,1.68,1.66,3370000.0
2020-01-06,1.68,1.69,1.69,1.66,6060000.0
2020-01-03,1.69,1.69,1.72,1.69,8140000.000000001
2020-01-02,1.69,1.71,1.71,1.69,4170000.0
2019-12-31,1.7,1.7,1.72,1.7,3180000.0
2019-12-30,1.7,1.72,1.73,1.7,5540000.0
2019-12-27,1.71,1.72,1.73,1.7,3430000.0
2019-12-26,1.72,1.71,1.73,1.7,1440000.0
2019-12-24,1.72,1.73,1.73,1.7,3640000.0
2019-12-23,1.74,1.74,1.75,1.72,5870000.0
2019-12-20,1.72,1.75,1.75,1.7,6770000.0
2019-12-19,1.75,1.8,1.8,1.75,6270000.0
2019-12-18,1.78,1.76,1.79,1.74,8480000.0
2019-12-17,1.75,1.7,1.78,1.69,15010000.0
2019-12-16,1.69,1.67,1.72,1.65,8760000.0
2019-12-13,1.65,1.65,1.67,1.64,9390000.0
2019-12-12,1.65,1.67,1.67,1.65,4400000.0
2019-12-11,1.66,1.66,1.68,1.64,9430000.0
2019-12-10,1.66,1.68,1.68,1.65,9470000.0
2019-12-09,1.68,1.7,1.72,1.68,4460000.0
2019-12-06,1.69,1.67,1.7,1.66,6430000.0
2019-12-05,1.67,1.66,1.69,1.66,3340000.0
2019-12-04,1.67,1.67,1.69,1.66,5060000.0
2019-12-03,1.67,1.69,1.69,1.67,4930000.0
2019-12-02,1.69,1.7,1.72,1.67,8020000.0
2019-11-29,1.69,1.72,1.72,1.68,4900000.0
2019-11-28,1.71,1.71,1.72,1.67,12010000.0
