Date,Price,Open,High,Low,Vol.
2020-03-13,3.66,3.7,3.72,3.5,7490000.0
2020-03-12,3.94,3.95,3.96,3.93,6900000.0
2020-03-11,3.96,3.99,4.02,3.94,8150000.0
2020-03-10,3.99,3.94,4.06,3.94,7590000.0
2020-03-09,3.98,3.97,4.03,3.9,3780000.0
2020-03-06,4.0,4.05,4.07,3.98,5790000.0
2020-03-05,4.04,4.05,4.08,4.02,3100000.0
2020-03-04,4.04,4.03,4.08,4.03,2950000.0
2020-03-03,4.07,4.09,4.11,4.04,3290000.0
2020-03-02,4.06,4.15,4.15,4.01,5250000.0
2020-02-28,4.18,4.09,4.21,4.09,7310000.0
2020-02-27,4.2,4.16,4.22,4.11,2830000.0
2020-02-26,4.15,4.15,4.23,4.14,7150000.0
2020-02-25,4.21,4.11,4.25,4.1,4830000.0
2020-02-24,4.14,4.16,4.23,4.03,11320000.0
2020-02-21,4.25,4.26,4.37,4.24,3950000.0
2020-02-20,4.25,4.28,4.3,4.23,1280000.0
2020-02-19,4.27,4.33,4.34,4.25,1060000.0
2020-02-18,4.33,4.33,4.35,4.32,290600.0
2020-02-17,4.33,4.33,4.4,4.3,1810000.0
2020-02-14,4.4,4.35,4.4,4.33,3200000.0
2020-02-13,4.38,4.36,4.38,4.33,2900000.0
2020-02-12,4.36,4.36,4.44,4.32,5430000.0
2020-02-11,4.37,4.34,4.4,4.31,2540000.0
2020-02-10,4.3,4.39,4.39,4.28,3550000.0
2020-02-07,4.35,4.32,4.36,4.29,3540000.0
2020-02-06,4.38,4.37,4.39,4.35,2930000.0
2020-02-05,4.37,4.38,4.43,4.28,6830000.0
2020-02-04,4.35,4.21,4.39,4.21,3580000.0
2020-02-03,4.2,4.25,4.28,4.18,4380000.0
2020-01-31,4.3,4.26,4.31,4.22,5530000.0
2020-01-30,4.3,4.3,4.33,4.26,4170000.0
2020-01-29,4.3,4.21,4.38,4.19,2940000.0
2020-01-28,4.2,4.2,4.26,4.16,651300.0
2020-01-24,4.23,4.24,4.26,4.21,964800.0
2020-01-23,4.26,4.27,4.3,4.23,1120000.0
2020-01-22,4.22,4.28,4.32,4.21,3760000.0
2020-01-21,4.27,4.52,4.52,4.26,5230000.0
2020-01-20,4.51,4.6,4.6,4.47,3260000.0
2020-01-17,4.6,4.33,4.76,4.28,29920000.0
2020-01-16,4.36,4.2,4.38,4.17,5970000.0
2020-01-15,4.16,4.16,4.17,4.14,3460000.0
2020-01-14,4.17,4.16,4.2,4.12,2670000.0
2020-01-13,4.18,4.17,4.21,4.16,3490000.0
2020-01-10,4.17,4.23,4.23,4.15,2310000.0
2020-01-09,4.25,4.22,4.25,4.21,1830000.0
2020-01-08,4.21,4.27,4.28,4.16,3490000.0
2020-01-07,4.36,4.16,4.39,4.15,2530000.0
2020-01-06,4.16,4.2,4.2,4.13,1120000.0
2020-01-03,4.2,4.17,4.2,4.16,9280000.0
2020-01-02,4.15,4.14,4.18,4.13,4099999.9999999995
2019-12-31,4.14,4.2,4.21,4.14,3960000.0
2019-12-30,4.21,4.22,4.23,4.18,3130000.0
2019-12-27,4.22,4.22,4.23,4.2,4040000.0
2019-12-26,4.21,4.22,4.22,4.18,2910000.0
2019-12-24,4.2,4.26,4.26,4.2,374700.0
2019-12-23,4.25,4.2,4.25,4.2,1670000.0
2019-12-20,4.22,4.19,4.23,4.17,7700000.0
2019-12-19,4.2,4.2,4.24,4.18,2700000.0
2019-12-18,4.25,4.24,4.25,4.16,1380000.0
