Date,Price,Open,High,Low,Vol.
2020-03-13,10.76,11.28,11.28,10.66,1730000.0
2020-03-12,11.44,11.66,11.66,11.4,1100000.0
2020-03-11,11.78,11.72,11.96,11.72,498900.0
2020-03-10,11.7,11.4,12.1,11.4,1470000.0
2020-03-09,11.68,12.4,12.4,11.34,2790000.0
2020-03-06,12.5,12.6,12.74,12.5,976500.0
2020-03-05,12.64,13.16,13.16,12.58,1770000.0
2020-03-04,13.22,13.16,13.44,12.96,2370000.0
2020-03-03,13.2,12.62,13.38,12.52,3530000.0
2020-03-02,12.36,12.5,13.1,12.3,5840000.0
2020-02-28,12.44,14.28,14.28,12.44,13530000.0
2020-02-27,14.52,14.78,14.88,14.44,1920000.0
2020-02-26,14.86,14.24,15.0,14.2,2800000.0
2020-02-25,14.64,13.62,14.82,13.58,3500000.0
2020-02-24,13.96,13.8,14.3,13.68,2860000.0
2020-02-21,14.34,13.2,14.4,13.16,6300000.0
2020-02-20,12.7,12.32,12.76,12.16,2250000.0
2020-02-19,12.2,12.14,12.38,12.08,1200000.0
2020-02-18,12.14,12.1,12.34,12.0,1520000.0
2020-02-17,12.0,11.62,12.02,11.62,1760000.0
2020-02-14,11.8,11.58,11.86,11.32,3640000.0
2020-02-13,11.6,12.16,12.16,11.5,4099999.9999999995
2020-02-12,12.32,12.36,12.44,12.1,645300.0
2020-02-11,12.32,12.46,12.5,12.28,666500.0
2020-02-10,12.34,12.26,12.62,12.0,1050000.0
2020-02-07,12.26,11.82,12.38,11.82,1970000.0
2020-02-06,11.72,11.5,11.88,11.28,1010000.0
2020-02-05,11.46,11.44,11.48,11.18,662300.0
2020-02-04,11.4,11.48,11.72,11.34,1140000.0
2020-02-03,11.4,11.42,11.58,11.08,1050000.0
2020-01-31,11.78,11.98,12.22,11.4,1790000.0
2020-01-30,12.0,11.9,12.18,11.36,4380000.0
2020-01-29,11.62,10.4,11.8,10.32,7970000.0
2020-01-28,10.32,11.0,11.0,10.22,3170000.0
2020-01-24,11.14,11.88,11.88,11.0,3280000.0
2020-01-23,11.94,12.08,12.34,11.84,1420000.0
2020-01-22,12.04,11.98,12.36,11.82,2310000.0
2020-01-21,11.98,12.7,12.7,11.7,3190000.0
2020-01-20,12.7,13.7,13.72,12.62,3270000.0
2020-01-17,13.7,14.04,14.16,13.62,1210000.0
2020-01-16,14.04,14.86,14.86,14.04,2150000.0
2020-01-15,14.86,15.1,15.12,14.8,355400.0
2020-01-14,15.06,15.1,15.2,15.02,209600.0
2020-01-13,15.14,15.16,15.16,15.06,123000.0
2020-01-10,15.16,15.3,15.3,15.08,259700.0
2020-01-09,15.22,15.0,15.22,15.0,192100.0
2020-01-08,15.0,15.12,15.16,15.0,190900.0
2020-01-07,15.16,15.12,15.2,15.12,167200.0
2020-01-06,15.14,15.2,15.2,14.92,148800.0
2020-01-03,15.18,15.3,15.32,15.02,190700.0
2020-01-02,15.2,15.2,15.22,15.12,954400.0
2019-12-31,15.08,15.52,15.6,15.08,321600.0
2019-12-30,15.44,15.36,15.64,15.36,168100.0
2019-12-27,15.3,15.4,15.4,15.3,75000.0
2019-12-26,15.34,15.32,15.5,15.16,36000.0
2019-12-24,15.3,15.5,15.66,15.3,81600.0
2019-12-23,15.5,15.04,15.58,14.9,217700.0
2019-12-20,15.04,14.8,15.2,14.78,289600.0
2019-12-19,14.94,15.02,15.02,14.74,169400.0
2019-12-18,15.06,15.4,15.4,15.0,288400.0
2019-12-17,15.36,14.68,15.54,14.6,1490000.0
2019-12-16,14.58,14.62,14.7,14.54,287200.0
2019-12-13,14.62,15.08,15.08,14.6,675200.0
2019-12-12,14.9,15.1,15.26,14.86,503400.0
2019-12-11,15.1,15.5,15.5,15.1,605500.0
2019-12-10,15.4,15.64,15.7,15.38,231200.0
2019-12-09,15.6,15.7,15.84,15.6,161300.0
2019-12-06,15.66,15.6,15.7,15.6,99500.0
2019-12-05,15.6,15.6,15.76,15.56,241900.0
2019-12-04,15.62,15.7,15.76,15.54,679400.0
2019-12-03,15.7,16.0,16.0,15.56,650300.0
2019-12-02,16.0,16.34,16.38,16.0,398600.0
2019-11-29,16.3,16.28,16.4,16.22,293800.0
2019-11-28,16.3,16.5,16.5,16.3,329500.0
2019-11-27,16.58,16.6,16.66,16.46,326800.0
2019-11-26,16.58,16.54,16.62,16.4,965600.0
2019-11-25,16.54,16.7,17.16,16.5,406700.0
2019-11-22,16.7,16.28,16.86,16.22,407800.0
2019-11-21,16.24,16.38,16.38,16.22,259399.99999999997
2019-11-20,16.32,16.44,16.58,16.32,238800.0
2019-11-19,16.4,16.5,16.5,16.24,484300.0
2019-11-18,16.5,16.94,16.96,16.26,1150000.0
2019-11-15,17.0,17.18,17.26,16.92,692100.0
2019-11-14,17.18,17.5,17.52,17.1,767600.0
2019-11-13,17.56,17.66,17.66,17.5,393000.0
2019-11-12,17.82,17.78,17.88,17.74,1150000.0
2019-11-11,17.7,17.88,17.88,17.6,947300.0
2019-11-08,17.7,17.7,17.78,17.6,740800.0
2019-11-07,17.6,17.7,17.84,17.5,695000.0
2019-11-06,17.64,17.62,18.0,17.5,740900.0
2019-11-05,17.68,18.0,18.32,17.68,744100.0
2019-11-04,18.16,18.7,18.7,17.92,546900.0
2019-11-01,18.5,18.6,18.68,18.3,938000.0
2019-10-31,18.82,18.68,18.88,18.6,417800.0
2019-10-30,18.68,18.9,19.0,18.68,114400.0
2019-10-29,18.94,18.82,19.14,18.6,309300.0
2019-10-25,18.8,19.2,19.38,18.8,637800.0
2019-10-24,19.38,19.34,19.46,19.2,496700.0
2019-10-23,19.66,19.74,19.78,19.4,159800.0
2019-10-22,19.74,19.5,19.74,19.22,375300.0
2019-10-21,19.56,19.82,19.9,19.38,310000.0
2019-10-18,19.82,19.7,20.0,19.28,901500.0
2019-10-17,19.7,20.42,21.12,19.22,1220000.0
2019-10-16,20.2,19.0,20.2,19.0,2049999.9999999998
2019-10-15,18.8,17.8,19.26,17.8,1260000.0
2019-10-14,17.6,17.4,17.64,17.26,1420000.0
2019-10-11,17.24,17.28,17.44,17.22,617200.0
2019-10-10,17.28,17.68,17.68,17.26,893100.0
2019-10-09,17.62,17.7,17.72,17.5,637900.0
2019-10-08,17.78,18.3,18.3,17.64,1060000.0
2019-10-07,18.26,18.3,18.3,18.24,221100.0
2019-10-04,18.3,18.3,18.3,18.2,514900.0
2019-10-03,18.3,18.58,18.58,18.24,607900.0
2019-10-02,18.6,18.88,18.92,18.52,330200.0
2019-10-01,18.9,18.9,19.0,18.86,278100.0
2019-09-30,18.94,18.84,19.14,18.74,436600.0
2019-09-27,18.84,19.22,19.22,18.84,496400.0
2019-09-26,19.2,19.42,19.62,19.2,306300.0
2019-09-25,19.42,19.36,19.46,19.2,314700.0
2019-09-24,19.46,19.4,19.52,19.16,289700.0
2019-09-23,19.42,19.68,20.02,19.36,214200.0
2019-09-20,19.68,20.0,20.0,19.6,609100.0
2019-09-19,20.0,20.22,20.24,19.84,556500.0
2019-09-18,20.32,20.46,20.46,20.04,301500.0
2019-09-17,20.22,21.5,21.5,20.02,767000.0
2019-09-13,21.5,19.86,21.52,19.84,1240000.0
2019-09-12,19.8,18.9,19.9,18.9,981400.0
2019-09-11,18.8,18.7,19.04,18.5,451300.0
2019-09-10,18.7,19.14,19.2,18.56,355500.0
2019-09-06,19.1,18.4,19.16,18.4,610800.0
2019-09-05,18.4,19.08,19.18,18.34,1150000.0
2019-09-04,19.04,19.5,19.6,19.04,705600.0
2019-09-03,19.48,19.74,20.08,19.48,499600.0
2019-08-30,19.72,19.62,19.9,19.56,817500.0
2019-08-29,19.5,20.1,20.14,19.48,718600.0
2019-08-28,20.06,20.08,20.26,19.96,362800.0
2019-08-27,20.06,20.52,20.74,20.02,950300.0
2019-08-26,20.52,21.0,21.0,20.52,362000.0
2019-08-23,21.1,21.72,21.8,21.0,522000.0
2019-08-22,21.7,22.02,22.14,21.62,269200.0
2019-08-21,22.02,22.04,22.06,22.0,176400.0
2019-08-20,22.04,22.1,22.2,22.02,289500.0
2019-08-19,22.04,22.28,22.42,22.02,329500.0
2019-08-16,22.26,22.62,22.62,22.2,364100.0
2019-08-15,22.64,22.8,22.8,22.62,223100.0
2019-08-14,22.9,23.0,23.08,22.8,354500.0
2019-08-13,22.8,23.08,23.08,22.8,499000.0
2019-08-09,23.0,22.68,23.14,22.54,386100.0
2019-08-08,22.5,22.5,22.68,22.42,422500.0
2019-08-07,22.62,22.6,22.86,22.6,285400.0
2019-08-06,22.5,22.5,22.82,22.3,373700.0
2019-08-05,22.54,22.62,22.96,22.54,277600.0
2019-08-02,22.66,22.54,22.86,22.4,352200.0
2019-08-01,22.6,22.58,23.2,22.58,1700000.0
2019-07-31,22.58,23.66,23.66,22.2,3160000.0
2019-07-29,23.82,26.3,26.3,23.82,1490000.0
2019-07-26,26.2,29.2,29.2,26.2,1800000.0
2019-07-25,29.6,30.04,30.1,29.5,615300.0
2019-07-24,30.08,29.9,30.2,29.9,232000.0
2019-07-23,29.98,29.9,30.1,29.88,512500.0
2019-07-22,29.92,30.44,30.44,29.82,295800.0
2019-07-19,30.44,30.0,30.6,30.0,310800.0
2019-07-18,30.2,30.02,30.28,30.0,145100.0
2019-07-17,30.0,30.64,30.64,30.0,108300.0
2019-07-16,30.64,30.48,31.0,30.22,439200.0
2019-07-15,30.5,29.5,30.5,29.48,144400.0
2019-07-12,29.48,29.28,29.96,29.28,452400.0
2019-07-11,29.58,29.38,29.8,29.06,151900.0
2019-07-10,29.1,29.0,29.5,29.0,242100.0
2019-07-09,29.44,29.06,29.44,29.0,228100.0
2019-07-08,29.06,29.08,29.5,28.9,155100.0
2019-07-05,29.08,29.2,29.26,28.8,49700.0
2019-07-04,29.18,28.8,29.18,28.8,134700.0
2019-07-03,28.8,28.56,28.8,28.56,120100.0
2019-07-02,28.94,28.98,29.1,28.7,145500.0
2019-07-01,28.92,28.8,29.1,28.8,236300.0
2019-06-28,28.8,29.0,29.4,28.56,350400.0
2019-06-27,29.1,29.34,29.48,29.0,101400.0
2019-06-26,29.5,29.0,29.98,28.8,450800.0
2019-06-25,29.06,28.56,29.18,28.3,250000.0
2019-06-24,28.6,27.5,28.6,27.48,330600.0
2019-06-21,27.5,27.44,27.92,27.42,336100.0
