Date,Price,Open,High,Low,Vol.
2020-03-13,14.1,14.56,14.56,14.0,13000.0
2020-03-12,14.66,14.9,14.9,14.66,22300.0
2020-03-11,15.06,14.9,15.06,14.7,6600.0
2020-03-10,15.0,15.0,15.0,14.9,6000.0
2020-03-09,15.0,15.32,15.5,14.7,29100.0
2020-03-06,15.5,15.38,15.5,15.36,11000.0
2020-03-05,15.42,15.5,15.78,15.4,11500.0
2020-03-04,15.5,15.42,15.5,15.42,17600.0
2020-03-03,15.46,15.32,15.5,15.32,23000.0
2020-03-02,15.9,16.16,16.16,15.9,1300.0
2020-02-28,15.52,15.94,15.94,15.52,1400.0
2020-02-27,15.94,15.9,16.0,15.56,4600.0
2020-02-26,16.3,15.9,16.3,15.9,5300.0
2020-02-25,15.82,15.82,15.82,15.82,1000.0
2020-02-24,15.82,16.1,16.1,15.82,13700.0
2020-02-21,16.2,16.1,16.2,16.1,4200.0
2020-02-20,16.0,16.0,16.0,16.0,6700.0
2020-02-19,16.02,16.2,16.2,16.02,5500.0
2020-02-18,16.2,16.2,16.22,16.2,3300.0
2020-02-17,16.22,16.2,16.22,16.2,800.0
2020-02-14,16.1,16.2,16.2,16.1,26300.0
2020-02-13,16.2,16.26,16.26,16.16,2800.0
2020-02-12,16.26,16.3,16.3,16.26,17300.0
2020-02-11,16.3,16.3,16.3,16.3,1300.0
2020-02-10,16.58,16.58,16.58,16.58,1000.0
2020-02-06,16.38,16.32,16.38,16.3,19900.0
2020-02-05,16.3,16.2,16.32,16.2,46300.0
2020-02-04,16.2,16.32,16.32,16.0,9000.0
2020-02-03,16.28,16.1,16.32,16.0,9500.0
2020-01-31,16.32,16.32,16.32,16.32,10000.0
2020-01-30,16.32,16.6,16.6,16.32,7700.0
2020-01-29,16.6,17.3,17.3,16.6,1600.0
2020-01-28,16.68,16.7,16.7,16.68,900.0
2020-01-23,17.14,17.38,17.38,17.1,14100.0
2020-01-22,17.12,17.32,17.32,17.12,1000.0
2020-01-21,17.1,17.1,17.12,17.1,3000.0
2020-01-20,17.32,17.12,17.32,17.12,2000.0
2020-01-17,17.12,17.14,17.38,17.12,36900.0
2020-01-16,17.38,17.14,17.38,17.08,6300.0
2020-01-15,17.12,17.1,17.2,17.1,2100.0
2020-01-14,17.42,17.58,17.6,17.2,9900.0
2020-01-10,17.42,17.12,17.42,17.1,5800.0
2020-01-09,17.6,17.5,17.6,17.5,300.0
2020-01-08,17.48,16.82,17.48,16.8,900.0
2020-01-07,17.6,17.6,17.66,17.6,10700.0
2020-01-06,17.6,17.08,17.68,17.08,9400.0
2020-01-03,17.6,17.46,17.6,17.46,8700.0
2020-01-02,17.46,17.44,17.46,17.44,8500.0
2019-12-31,17.44,17.5,17.5,16.98,202900.0
2019-12-30,17.52,17.4,17.52,17.32,11300.0
2019-12-27,17.4,17.36,17.5,17.36,37500.0
2019-12-26,17.3,17.2,17.3,17.18,14000.0
2019-12-24,17.18,17.12,17.2,17.12,17600.0
2019-12-23,17.1,17.14,17.16,17.0,5200.0
2019-12-20,16.9,16.82,16.96,16.82,900.0
2019-12-18,17.12,17.1,17.12,17.08,67200.0
2019-12-17,17.0,17.1,17.1,16.94,160500.0
2019-12-16,17.1,17.0,17.16,17.0,24400.0
2019-12-13,17.0,16.8,17.0,16.78,21800.0
2019-12-12,16.6,16.42,16.7,16.42,30600.0
2019-12-11,16.4,16.18,16.4,16.18,36900.0
2019-12-10,16.16,16.14,16.18,16.1,114900.0
2019-12-09,16.14,15.88,16.14,15.88,132400.0
2019-12-06,15.84,15.8,15.88,15.7,43400.0
