Date,Price,Open,High,Low,Vol.
2020-03-13,5.2,5.23,5.23,5.1,1320000.0
2020-03-12,5.28,5.27,5.35,5.21,1090000.0
2020-03-11,5.29,5.28,5.33,5.27,2520000.0
2020-03-10,5.25,5.2,5.28,5.16,1630000.0
2020-03-09,5.23,5.4,5.4,5.21,3190000.0
2020-03-06,5.41,5.48,5.48,5.4,388700.0
2020-03-05,5.49,5.48,5.5,5.46,418000.0
2020-03-04,5.46,5.44,5.47,5.44,559400.0
2020-03-03,5.44,5.5,5.57,5.43,618300.0
2020-03-02,5.47,5.48,5.48,5.43,870100.0
2020-02-28,5.51,5.5,5.51,5.42,1210000.0
2020-02-27,5.52,5.54,5.57,5.5,289800.0
2020-02-26,5.54,5.5,5.59,5.49,724200.0
2020-02-25,5.5,5.41,5.58,5.41,837500.0
2020-02-24,5.49,5.51,5.56,5.45,2660000.0
2020-02-21,5.57,5.57,5.58,5.51,418800.0
2020-02-20,5.57,5.57,5.64,5.55,921800.0
2020-02-19,5.56,5.63,5.65,5.56,5750000.0
2020-02-18,5.63,5.67,5.67,5.61,1040000.0
2020-02-17,5.75,5.73,5.76,5.72,698400.0
2020-02-14,5.69,5.66,5.71,5.66,832300.0
2020-02-13,5.66,5.62,5.67,5.61,483900.0
2020-02-12,5.6,5.74,5.74,5.59,1820000.0
2020-02-11,5.72,5.79,5.79,5.72,678100.0
2020-02-10,5.79,5.84,5.84,5.76,216000.0
2020-02-07,5.86,5.8,5.86,5.74,396000.0
2020-02-06,5.75,5.83,5.83,5.75,545200.0
2020-02-05,5.75,5.6,5.77,5.6,1330000.0
2020-02-04,5.59,5.5,5.63,5.5,1070000.0
2020-02-03,5.45,5.5,5.51,5.4,3070000.0
2020-01-31,5.55,5.71,5.72,5.54,2790000.0
2020-01-30,5.68,5.85,5.87,5.68,1470000.0
2020-01-29,5.86,5.83,5.89,5.82,741500.0
2020-01-28,5.78,5.97,5.97,5.78,1830000.0
2020-01-24,5.97,6.01,6.01,5.97,354300.0
2020-01-23,6.01,6.05,6.05,6.0,504600.0
2020-01-22,6.05,6.03,6.05,6.02,423200.0
2020-01-21,6.02,6.05,6.06,6.02,424000.0
2020-01-20,6.05,6.05,6.08,6.05,169600.0
2020-01-17,6.06,6.05,6.08,6.05,294000.0
2020-01-16,6.05,6.05,6.06,6.03,407500.0
2020-01-15,6.06,6.05,6.06,6.04,459500.0
2020-01-14,6.06,6.07,6.11,6.05,782900.0
2020-01-13,6.06,6.11,6.11,6.06,236300.0
2020-01-10,6.11,6.06,6.11,6.05,650500.0
2020-01-09,6.06,6.07,6.14,6.06,82700.0
2020-01-08,6.06,6.07,6.08,6.02,607300.0
2020-01-07,6.11,6.1,6.11,6.04,327900.0
2020-01-06,6.08,6.15,6.15,6.08,117600.0
2020-01-03,6.15,6.1,6.16,6.09,711100.0
2020-01-02,6.09,6.09,6.11,6.08,242400.0
2019-12-31,6.09,6.15,6.15,6.08,305800.0
2019-12-30,6.15,6.16,6.18,6.15,235500.0
2019-12-27,6.16,6.11,6.17,6.1,740900.0
2019-12-26,6.11,6.12,6.12,6.1,232100.0
2019-12-24,6.1,6.11,6.12,6.08,379200.0
2019-12-23,6.11,6.06,6.11,6.04,623100.0
2019-12-20,6.03,6.08,6.09,6.03,1020000.0
2019-12-19,6.08,6.08,6.12,6.04,471100.0
2019-12-18,6.05,6.08,6.08,6.04,261899.99999999997
2019-12-17,6.08,6.02,6.08,6.01,1100000.0
