Date,Price,Open,High,Low,Vol.
2020-03-13,4.0,4.13,4.16,3.96,21420000.0
2020-03-12,4.27,4.35,4.36,4.26,18840000.0
2020-03-11,4.39,4.4,4.52,4.38,20490000.0
2020-03-10,4.35,4.2,4.41,4.2,37000000.0
2020-03-09,4.2,4.4,4.4,4.2,25160000.0
2020-03-06,4.44,4.48,4.49,4.41,18580000.0
2020-03-05,4.5,4.55,4.6,4.5,23510000.0
2020-03-04,4.54,4.5,4.61,4.5,25460000.0
2020-03-03,4.5,4.66,4.66,4.44,36340000.0
2020-03-02,4.6,4.7,4.72,4.59,34190000.0
2020-02-28,4.82,4.84,4.86,4.73,28490000.0
2020-02-27,4.86,4.92,4.92,4.8,18550000.0
2020-02-26,4.91,4.85,4.97,4.84,18620000.0
2020-02-25,4.9,4.83,4.93,4.81,13370000.0
2020-02-24,4.86,4.9,4.93,4.81,29120000.0
2020-02-21,5.0,4.96,5.0,4.94,7420000.0
2020-02-20,4.98,4.94,4.99,4.94,7880000.0
2020-02-19,4.95,4.97,4.97,4.92,6250000.0
2020-02-18,4.96,4.91,4.96,4.88,9500000.0
2020-02-17,4.92,4.88,4.93,4.88,5770000.0
2020-02-14,4.87,4.89,4.91,4.86,7710000.0
2020-02-13,4.88,4.96,4.96,4.86,17530000.0
2020-02-12,4.95,5.11,5.15,4.94,30200000.0
2020-02-11,5.08,5.08,5.13,5.06,9860000.0
2020-02-10,5.07,5.13,5.13,5.05,8900000.0
2020-02-07,5.15,5.02,5.15,5.01,11260000.0
2020-02-06,5.02,4.99,5.06,4.97,8960000.0
2020-02-05,4.98,4.93,4.99,4.88,12920000.0
2020-02-04,4.92,4.86,4.93,4.85,10750000.0
2020-02-03,4.85,4.9,4.93,4.85,8880000.0
2020-01-31,4.93,4.95,5.0,4.89,20800000.0
2020-01-30,4.95,4.99,5.0,4.93,13180000.0
2020-01-29,4.99,4.96,5.02,4.95,14230000.0
2020-01-28,4.96,5.0,5.04,4.96,13850000.0
2020-01-24,5.06,5.05,5.08,5.04,8420000.0
2020-01-23,5.05,5.02,5.08,5.02,4640000.0
2020-01-22,5.03,5.14,5.17,4.99,20130000.0
2020-01-21,5.13,5.13,5.14,5.11,3000000.0
2020-01-20,5.12,5.16,5.18,5.12,2780000.0
2020-01-17,5.16,5.17,5.18,5.14,7310000.0
2020-01-16,5.17,5.18,5.18,5.15,3010000.0
2020-01-15,5.18,5.19,5.22,5.14,5690000.0
2020-01-14,5.18,5.21,5.23,5.13,7220000.0
2020-01-13,5.2,5.21,5.22,5.17,4280000.0
2020-01-10,5.2,5.24,5.25,5.2,5870000.0
2020-01-09,5.24,5.2,5.24,5.19,5850000.0
2020-01-08,5.17,5.24,5.25,5.15,4840000.0
2020-01-07,5.29,5.22,5.29,5.2,6630000.0
2020-01-06,5.22,5.21,5.22,5.16,5330000.0
2020-01-03,5.22,5.21,5.24,5.21,5870000.0
2020-01-02,5.2,5.18,5.22,5.17,5340000.0
2019-12-31,5.15,5.31,5.31,5.15,9760000.0
2019-12-30,5.31,5.28,5.31,5.26,5410000.0
2019-12-27,5.3,5.26,5.3,5.24,4099999.9999999995
2019-12-26,5.25,5.27,5.32,5.25,942600.0
2019-12-24,5.29,5.27,5.34,5.25,2200000.0
2019-12-23,5.27,5.27,5.31,5.22,4320000.0
2019-12-20,5.27,5.39,5.4,5.23,11900000.0
2019-12-19,5.33,5.3,5.35,5.26,6160000.0
2019-12-18,5.33,5.22,5.33,5.21,8560000.0
2019-12-17,5.22,5.25,5.27,5.2,9810000.0
2019-12-16,5.26,5.22,5.28,5.21,4400000.0
2019-12-13,5.25,5.2,5.27,5.18,7340000.0
2019-12-12,5.18,5.17,5.2,5.14,13330000.0
2019-12-11,5.17,5.14,5.19,5.13,5870000.0
2019-12-10,5.14,5.18,5.18,5.13,5340000.0
2019-12-09,5.18,5.2,5.2,5.14,7060000.0
2019-12-06,5.2,5.18,5.21,5.16,7710000.0
2019-12-05,5.18,5.15,5.2,5.12,6180000.0
2019-12-04,5.15,5.15,5.15,5.07,8780000.0
2019-12-03,5.15,5.19,5.19,5.12,8460000.0
2019-12-02,5.19,5.2,5.23,5.18,3570000.0
2019-11-29,5.18,5.24,5.25,5.18,8359999.999999999
2019-11-28,5.23,5.24,5.26,5.19,6320000.0
2019-11-27,5.25,5.27,5.29,5.21,7520000.0
2019-11-26,5.27,5.34,5.37,5.27,22360000.0
2019-11-25,5.34,5.3,5.36,5.29,6050000.0
2019-11-22,5.37,5.35,5.37,5.32,4870000.0
2019-11-21,5.38,5.35,5.38,5.29,7810000.0
2019-11-20,5.38,5.37,5.38,5.32,6200000.0
2019-11-19,5.38,5.3,5.38,5.29,4650000.0
2019-11-18,5.35,5.22,5.35,5.2,5220000.0
2019-11-15,5.22,5.19,5.25,5.19,6440000.0
2019-11-14,5.2,5.2,5.24,5.18,6070000.0
2019-11-13,5.2,5.31,5.31,5.19,7270000.0
2019-11-12,5.29,5.36,5.38,5.26,6150000.0
2019-11-11,5.36,5.4,5.4,5.34,11270000.0
2019-11-08,5.4,5.3,5.4,5.28,13460000.0
2019-11-07,5.3,5.3,5.34,5.28,9260000.0
2019-11-06,5.32,5.34,5.34,5.27,7510000.0
2019-11-05,5.33,5.25,5.33,5.23,17460000.0
2019-11-04,5.25,5.25,5.27,5.18,10420000.0
2019-11-01,5.26,5.26,5.28,5.21,11090000.0
2019-10-31,5.25,5.08,5.32,5.08,28870000.0
2019-10-30,5.09,5.08,5.12,5.03,15130000.0
2019-10-29,5.03,4.98,5.1,4.98,21850000.0
2019-10-25,4.95,4.96,4.99,4.95,7120000.0
2019-10-24,4.98,4.97,5.0,4.93,11560000.0
2019-10-23,4.94,4.95,4.96,4.92,5280000.0
2019-10-22,4.96,4.98,4.98,4.95,5120000.0
2019-10-21,4.98,4.97,4.98,4.92,3730000.0
2019-10-18,5.0,4.97,5.0,4.95,8080000.0
2019-10-17,4.97,4.97,4.99,4.92,7710000.0
2019-10-16,4.98,4.9,4.98,4.9,7940000.0
2019-10-15,4.93,4.92,4.97,4.91,6300000.0
2019-10-14,4.92,4.9,4.95,4.89,7500000.0
2019-10-11,4.86,4.86,4.9,4.85,3850000.0
2019-10-10,4.86,4.86,4.89,4.83,5440000.0
2019-10-09,4.85,4.88,4.89,4.84,8340000.0
2019-10-08,4.9,4.86,4.94,4.86,6410000.0
2019-10-07,4.86,4.86,4.87,4.83,3440000.0
2019-10-04,4.86,4.91,4.91,4.82,6070000.0
2019-10-03,5.01,5.01,5.05,5.0,6370000.0
2019-10-02,5.02,5.04,5.04,5.0,4460000.0
2019-10-01,5.05,5.03,5.06,5.02,3230000.0
2019-09-30,5.03,5.02,5.06,5.02,4280000.0
2019-09-27,5.01,5.06,5.08,5.01,3280000.0
2019-09-26,5.06,5.06,5.08,5.04,9150000.0
2019-09-25,5.06,5.04,5.06,5.02,4830000.0
2019-09-24,5.04,5.05,5.06,5.02,13810000.0
2019-09-23,5.04,5.03,5.04,5.0,13050000.0
2019-09-20,5.02,5.03,5.04,5.0,22990000.0
2019-09-19,5.04,5.03,5.04,5.0,5520000.0
2019-09-18,5.01,5.01,5.02,4.99,5480000.0
2019-09-17,5.0,5.05,5.05,4.98,13410000.0
2019-09-13,5.02,5.02,5.03,4.99,8690000.0
2019-09-12,5.0,5.03,5.06,5.0,8700000.0
2019-09-11,5.03,5.02,5.06,5.01,8520000.0
2019-09-10,5.0,5.03,5.07,5.0,7790000.0
2019-09-06,5.03,5.07,5.07,5.0,8020000.0
2019-09-05,5.07,5.07,5.09,5.05,11510000.0
2019-09-04,5.07,5.02,5.08,5.02,7340000.0
2019-09-03,5.04,5.08,5.09,5.03,8289999.999999999
2019-08-30,5.06,5.0,5.07,5.0,12850000.0
2019-08-29,4.94,5.03,5.03,4.94,7290000.0
2019-08-28,4.98,5.05,5.07,4.98,9450000.0
2019-08-27,5.05,5.07,5.07,5.03,9950000.0
2019-08-26,5.06,5.03,5.06,5.02,7200000.0
2019-08-23,5.07,5.06,5.09,5.05,3670000.0
2019-08-22,5.06,5.08,5.09,5.06,7190000.0
2019-08-21,5.07,5.15,5.17,5.07,5300000.0
2019-08-20,5.18,5.05,5.18,5.04,9050000.0
2019-08-19,5.04,5.07,5.09,5.04,3950000.0
2019-08-16,5.07,5.04,5.07,5.03,7140000.0
2019-08-15,5.05,5.03,5.07,5.02,7130000.0
2019-08-14,5.09,5.04,5.13,5.03,6320000.0
2019-08-13,5.0,5.03,5.06,5.0,6270000.0
2019-08-09,5.04,5.07,5.09,5.04,8380000.000000001
2019-08-08,5.06,5.06,5.08,5.04,5740000.0
2019-08-07,5.06,5.07,5.07,5.03,6480000.0
2019-08-06,5.06,5.01,5.13,4.98,10570000.0
2019-08-05,5.03,5.09,5.1,5.03,13110000.0
2019-08-02,5.08,5.07,5.12,5.05,9590000.0
2019-08-01,5.08,5.06,5.09,5.05,13930000.0
2019-07-31,5.08,5.09,5.14,5.07,20080000.0
2019-07-29,5.09,5.14,5.16,5.09,10560000.0
2019-07-26,5.14,5.17,5.17,5.14,7080000.0
2019-07-25,5.17,5.17,5.19,5.16,10730000.0
2019-07-24,5.17,5.19,5.21,5.16,5240000.0
2019-07-23,5.19,5.2,5.21,5.16,4510000.0
2019-07-22,5.2,5.24,5.24,5.15,3800000.0
2019-07-19,5.24,5.17,5.24,5.15,8369999.999999999
2019-07-18,5.15,5.16,5.18,5.14,9370000.0
2019-07-17,5.15,5.16,5.17,5.13,7530000.0
2019-07-16,5.16,5.18,5.19,5.13,9420000.0
2019-07-15,5.18,5.21,5.21,5.15,5310000.0
2019-07-12,5.2,5.34,5.38,5.18,42810000.0
2019-07-11,5.34,5.33,5.37,5.31,3660000.0
2019-07-10,5.33,5.35,5.38,5.3,7220000.0
2019-07-09,5.35,5.4,5.41,5.32,7650000.0
2019-07-08,5.38,5.37,5.38,5.31,4420000.0
2019-07-05,5.37,5.3,5.37,5.29,4200000.0
2019-07-04,5.3,5.35,5.37,5.29,5470000.0
2019-07-03,5.36,5.43,5.44,5.32,6930000.0
2019-07-02,5.44,5.41,5.45,5.4,11410000.0
2019-07-01,5.41,5.4,5.42,5.38,9710000.0
2019-06-28,5.38,5.33,5.38,5.32,8279999.999999999
2019-06-27,5.35,5.35,5.4,5.32,12420000.0
2019-06-26,5.38,5.33,5.38,5.32,4800000.0
2019-06-25,5.34,5.3,5.34,5.27,14370000.0
2019-06-24,5.28,5.24,5.31,5.24,9090000.0
2019-06-21,5.23,5.24,5.35,5.23,10730000.0
2019-06-20,5.23,5.24,5.26,5.21,8840000.0
2019-06-19,5.26,5.23,5.28,5.22,6710000.0
2019-06-18,5.23,5.25,5.26,5.2,5460000.0
2019-06-17,5.25,5.3,5.3,5.25,8170000.0
