Date,Price,Open,High,Low,Vol.
2020-03-13,22.92,23.92,23.92,21.72,644700.0
2020-03-12,24.64,27.02,27.1,24.64,959700.0
2020-03-11,27.84,27.34,27.98,27.3,605000.0
2020-03-10,27.18,27.5,28.36,27.18,478900.0
2020-03-09,27.94,29.0,29.0,27.8,558600.0
2020-03-06,29.28,29.18,29.7,29.1,642400.0
2020-03-05,29.88,29.44,30.26,28.9,841300.0
2020-03-04,29.3,29.6,29.76,28.5,546800.0
2020-03-03,29.6,29.64,30.0,28.94,1470000.0
2020-03-02,28.88,30.28,30.28,28.2,2850000.0
2020-02-28,31.84,33.0,33.0,30.4,14510000.0
2020-02-27,33.58,35.76,36.0,32.8,1750000.0
2020-02-26,35.76,36.66,37.16,35.04,1670000.0
2020-02-25,37.2,34.6,37.28,33.62,3170000.0
2020-02-24,34.96,37.2,38.34,32.7,2590000.0
2020-02-21,38.94,38.02,39.26,37.9,759100.0
2020-02-20,38.04,37.02,38.36,37.02,1260000.0
2020-02-19,37.3,36.48,37.48,36.1,1210000.0
2020-02-18,36.5,36.0,36.58,36.0,713600.0
2020-02-17,36.2,36.8,36.8,35.62,804400.0
2020-02-14,36.0,36.7,36.86,35.84,1590000.0
2020-02-13,35.66,33.74,37.18,33.74,3670000.0
2020-02-12,33.4,33.68,33.8,33.36,103000.0
2020-02-11,33.68,33.32,33.86,33.02,300600.0
2020-02-10,32.9,33.4,33.6,32.9,196400.0
2020-02-07,33.32,33.5,33.6,33.18,320900.0
2020-02-06,33.5,33.24,33.58,33.02,174900.0
2020-02-05,33.02,32.82,33.26,32.5,248900.0
2020-02-04,32.82,32.12,33.34,32.12,357600.0
2020-02-03,32.5,32.68,32.86,32.0,394500.0
2020-01-31,32.7,32.78,33.26,32.48,503200.0
2020-01-30,32.78,32.2,32.92,32.0,469400.0
2020-01-29,32.0,31.0,32.86,30.9,483800.0
2020-01-28,31.12,32.0,32.0,31.08,210400.0
2020-01-24,32.0,30.38,34.0,30.38,524600.0
2020-01-23,30.5,30.46,30.5,30.0,219700.0
2020-01-22,30.54,29.8,30.8,29.72,198800.0
2020-01-21,30.0,30.4,30.5,29.9,85000.0
2020-01-20,30.16,30.2,30.22,29.8,133600.0
2020-01-17,30.2,30.1,30.2,29.82,187300.0
2020-01-16,29.84,30.0,30.0,29.8,220000.0
2020-01-15,30.0,30.12,30.14,29.74,80300.0
2020-01-14,30.1,29.7,30.1,29.66,174800.0
2020-01-13,29.7,30.18,30.18,29.68,108800.0
2020-01-10,30.18,30.28,30.3,30.06,103300.0
2020-01-09,30.3,30.4,30.54,30.16,247400.0
2020-01-08,30.4,30.7,30.7,29.76,317300.0
2020-01-07,30.7,30.3,31.0,30.3,387600.0
2020-01-06,30.42,30.48,30.88,30.18,176500.0
2020-01-03,30.48,29.78,30.6,29.7,378900.0
2020-01-02,29.68,29.0,29.8,29.0,93100.0
2019-12-31,29.4,29.54,29.74,29.28,98300.0
2019-12-30,29.28,29.3,29.6,29.28,283600.0
2019-12-27,29.3,28.86,29.38,28.72,210700.0
2019-12-26,28.86,28.5,28.9,28.48,59800.0
2019-12-24,28.5,28.7,28.7,28.4,48000.0
2019-12-23,28.7,28.48,28.78,28.34,77300.0
2019-12-20,28.48,28.22,28.48,28.14,91800.0
2019-12-19,28.22,28.0,28.24,28.0,42800.0
2019-12-18,28.0,27.7,28.0,27.7,173300.0
2019-12-17,27.7,27.82,27.84,27.66,116300.0
2019-12-16,27.7,27.82,27.86,27.54,55700.0
2019-12-13,27.6,27.5,27.7,27.4,126200.0
2019-12-12,27.7,27.74,27.8,27.4,142900.0
2019-12-11,27.8,27.64,27.8,27.64,89900.0
2019-12-10,27.64,27.7,27.86,27.64,41700.0
2019-12-09,27.86,27.64,28.14,27.64,51800.0
2019-12-06,27.58,27.74,28.2,27.54,120100.0
2019-12-05,27.74,27.76,27.9,27.44,48500.0
2019-12-04,27.78,27.78,27.8,27.5,258500.0
2019-12-03,27.8,27.08,27.8,27.08,90800.0
2019-12-02,27.34,27.34,27.4,27.28,31700.0
2019-11-29,27.34,27.28,27.42,27.26,90700.0
2019-11-28,27.26,27.8,27.8,27.0,191700.0
2019-11-27,27.7,27.3,27.7,27.3,94000.0
2019-11-26,27.0,27.7,27.78,27.0,199700.0
2019-11-25,27.5,28.14,28.22,27.42,98400.0
2019-11-22,28.02,28.36,28.36,28.02,8400.0
2019-11-21,28.3,28.12,28.46,28.02,180800.0
2019-11-20,28.12,28.2,28.4,28.02,25400.0
2019-11-19,28.1,28.1,28.26,28.0,13000.0
2019-11-18,28.28,28.2,28.28,28.02,71100.0
2019-11-15,28.2,28.04,28.5,28.04,71600.0
2019-11-14,28.2,28.02,28.36,28.0,170200.0
2019-11-13,28.1,28.0,28.28,28.0,148700.0
2019-11-12,28.24,28.28,28.28,27.76,81800.0
2019-11-11,28.28,28.2,28.28,27.8,144300.0
2019-11-08,28.2,28.32,28.32,27.74,102500.0
2019-11-07,28.32,27.88,28.32,27.86,241300.0
2019-11-06,27.8,27.38,28.0,27.38,162600.0
2019-11-05,27.68,27.52,27.7,27.52,81100.0
2019-11-04,27.5,27.62,27.68,27.34,58400.0
2019-11-01,27.34,27.58,27.88,27.32,96300.0
2019-10-31,27.74,27.38,27.82,27.3,186200.0
2019-10-30,27.38,27.26,27.38,27.06,105100.0
2019-10-29,27.02,26.8,27.3,26.8,174100.0
2019-10-25,26.8,26.7,26.98,26.64,68000.0
2019-10-24,26.92,26.5,26.94,26.3,104700.0
2019-10-23,26.5,26.98,26.98,26.22,110500.0
2019-10-22,26.76,26.5,26.94,26.3,99300.0
2019-10-21,26.26,26.1,26.5,25.9,209600.0
2019-10-18,26.0,27.0,27.0,26.0,167400.0
2019-10-17,27.14,27.18,27.2,27.1,35100.0
2019-10-16,27.2,27.22,27.36,27.18,152400.0
2019-10-15,27.18,27.6,27.6,27.1,112600.0
2019-10-14,27.32,27.5,27.66,27.28,16400.0
2019-10-11,27.38,27.5,27.5,27.1,186200.0
2019-10-10,27.5,27.4,27.5,27.38,133700.0
2019-10-09,27.36,27.78,27.78,27.1,84400.0
2019-10-08,27.8,26.6,27.8,26.6,489400.0
2019-10-07,26.6,26.14,26.6,26.1,120800.0
2019-10-04,26.14,26.2,26.24,26.12,43500.0
2019-10-03,26.1,26.28,26.28,25.96,149700.0
2019-10-02,26.1,26.26,26.28,26.02,21500.0
2019-10-01,26.28,26.26,26.28,26.2,5100.0
2019-09-30,26.26,25.9,26.28,25.86,43800.0
2019-09-27,25.98,26.0,26.2,25.82,90600.0
2019-09-26,26.3,25.8,26.3,25.42,115500.0
2019-09-25,25.8,25.34,25.98,25.32,126600.0
2019-09-24,25.32,25.16,25.7,25.16,93000.0
2019-09-23,25.32,25.26,25.48,25.26,16100.000000000002
2019-09-20,25.5,25.14,25.5,25.0,135200.0
2019-09-19,25.14,25.2,25.3,25.12,6100.0
2019-09-18,25.12,25.4,25.42,25.12,304300.0
2019-09-17,25.06,25.5,25.5,25.02,162200.0
2019-09-13,25.48,25.28,25.48,25.28,15500.0
2019-09-12,25.2,25.2,25.5,25.0,307600.0
2019-09-11,25.3,25.72,25.72,25.2,211100.0
2019-09-10,25.72,25.84,26.28,25.72,146800.0
2019-09-06,26.0,26.0,26.16,25.82,31800.0
2019-09-05,25.98,26.12,26.3,25.98,78200.0
2019-09-04,25.86,26.08,26.08,25.6,155600.0
2019-09-03,26.0,25.94,26.3,25.92,188400.0
2019-08-30,25.9,25.74,26.36,25.7,669600.0
2019-08-29,25.7,25.66,25.86,25.6,289300.0
2019-08-28,25.66,25.2,25.96,25.2,153700.0
2019-08-27,25.92,25.86,25.96,25.72,119800.0
2019-08-26,25.86,24.88,25.92,24.52,229900.0
2019-08-23,24.92,24.88,24.98,24.7,116600.0
2019-08-22,24.82,24.62,24.84,24.62,201700.0
2019-08-21,24.64,24.28,24.76,24.28,134600.0
2019-08-20,24.14,24.16,24.4,24.0,202600.0
2019-08-19,24.12,23.94,24.12,23.8,114200.0
2019-08-16,23.94,24.2,24.24,23.9,96100.0
2019-08-15,24.04,23.94,24.36,23.9,128300.00000000001
2019-08-14,24.52,23.9,24.62,23.72,85700.0
2019-08-13,23.8,23.9,23.9,23.6,127200.0
2019-08-09,23.82,24.1,24.6,23.82,99300.0
2019-08-08,24.0,23.84,24.06,23.8,50900.0
2019-08-07,23.84,23.72,23.9,23.72,100400.0
2019-08-06,23.66,23.8,23.8,23.42,195300.0
2019-08-05,23.86,24.28,24.28,23.84,45200.0
2019-08-02,24.3,23.9,24.5,23.9,72400.0
2019-08-01,23.9,24.12,24.32,23.82,74400.0
2019-07-31,24.1,24.5,24.5,24.04,86400.0
2019-07-29,24.54,24.88,24.9,24.5,10800.0
2019-07-26,24.66,24.66,24.88,24.66,31200.0
2019-07-25,24.66,24.7,24.9,24.66,93000.0
2019-07-24,24.8,24.8,24.96,24.7,60500.0
2019-07-23,24.8,24.7,25.0,24.64,123300.0
2019-07-22,24.8,24.8,24.9,24.64,111500.0
2019-07-19,24.7,24.72,24.78,24.7,136500.0
2019-07-18,24.72,24.7,24.76,24.62,28900.0
2019-07-17,24.6,24.3,24.78,24.26,131900.0
2019-07-16,24.66,24.56,25.0,24.5,883200.0
2019-07-15,24.5,24.62,24.76,24.44,66100.0
2019-07-12,24.62,24.62,24.78,24.62,115000.0
2019-07-11,24.62,24.8,24.92,24.62,30900.0
2019-07-10,24.72,25.1,25.28,24.7,117800.0
2019-07-09,25.3,25.34,25.34,25.08,6500.0
2019-07-08,25.1,25.3,25.48,25.1,26700.0
2019-07-05,25.3,25.5,25.94,25.24,53400.0
2019-07-04,25.5,25.5,25.52,25.5,4500.0
2019-07-03,25.5,25.2,25.9,25.2,37100.0
2019-07-02,25.96,25.82,25.96,25.8,26500.0
2019-07-01,25.8,25.76,25.84,25.76,396900.0
2019-06-28,25.66,25.6,25.78,25.6,94300.0
2019-06-27,25.6,25.3,25.6,25.28,48400.0
2019-06-26,25.4,25.3,25.46,25.26,123800.0
2019-06-25,25.4,25.48,25.58,25.06,81200.0
2019-06-24,25.48,25.68,25.68,25.12,20900.0
2019-06-21,25.68,25.14,25.7,25.14,211400.0
2019-06-20,25.14,24.7,25.38,24.7,244400.0
2019-06-19,24.62,24.6,24.7,24.6,76400.0
2019-06-18,24.6,24.5,24.7,24.42,53000.0
2019-06-17,24.56,24.1,24.58,24.06,211900.0
2019-06-14,24.04,24.4,24.4,24.0,200300.0
2019-06-13,24.32,24.08,24.54,24.08,71900.0
2019-06-12,24.24,24.32,24.32,23.98,161300.0
2019-06-11,24.32,24.34,24.34,23.92,297700.0
2019-06-10,24.4,24.78,24.82,24.14,238700.0
2019-06-07,24.7,24.7,24.78,24.68,59200.0
2019-06-04,24.6,24.7,24.7,24.38,43700.0
