Date,Price,Open,High,Low,Vol.
2020-03-13,1.14,1.1,1.15,1.03,22420000.0
2020-03-12,1.2,1.25,1.28,1.18,49880000.0
2020-03-11,1.33,1.38,1.45,1.3,105140000.0
2020-03-10,1.31,1.32,1.37,1.14,146830000.0
2020-03-09,1.52,1.6,1.65,1.52,30120000.0
2020-03-06,2.16,2.19,2.21,2.13,9230000.0
2020-03-05,2.23,2.14,2.23,2.11,18300000.0
2020-03-04,2.11,2.19,2.19,2.05,12090000.0
2020-03-03,2.23,2.2,2.28,2.17,15050000.0
2020-03-02,2.15,2.3,2.3,2.08,22260000.0
2020-02-28,2.33,2.5,2.52,2.28,20510000.0
2020-02-27,2.57,2.69,2.71,2.57,12510000.0
2020-02-26,2.72,2.63,2.74,2.63,14260000.0
2020-02-25,2.67,2.67,2.73,2.64,15570000.0
2020-02-24,2.69,2.75,2.84,2.56,23990000.0
2020-02-21,2.94,2.93,3.01,2.84,15950000.0
2020-02-20,2.95,2.86,2.95,2.84,9550000.0
2020-02-19,2.86,2.83,2.88,2.79,8130000.000000001
2020-02-18,2.83,2.86,2.87,2.81,4630000.0
2020-02-17,2.86,2.8,2.88,2.79,8820000.0
2020-02-14,2.8,2.82,2.84,2.79,10540000.0
2020-02-13,2.82,2.8,2.83,2.77,6910000.0
2020-02-12,2.8,2.86,2.86,2.77,4270000.0
2020-02-11,2.85,2.85,2.9,2.8,3580000.0
2020-02-10,2.85,2.83,2.87,2.81,4800000.0
2020-02-07,2.85,2.8,2.85,2.78,6740000.0
2020-02-06,2.78,2.82,2.83,2.77,5540000.0
2020-02-05,2.8,2.82,2.84,2.76,8090000.0
2020-02-04,2.77,2.8,2.87,2.73,8690000.0
2020-02-03,2.81,2.65,2.82,2.64,10980000.0
2020-01-31,2.77,2.88,2.89,2.72,9470000.0
2020-01-30,2.9,2.89,2.95,2.84,9180000.0
2020-01-29,2.9,2.7,2.9,2.7,8880000.0
2020-01-28,2.7,2.77,2.78,2.66,11540000.0
2020-01-24,2.84,2.87,2.87,2.83,3820000.0
2020-01-23,2.87,2.9,2.92,2.86,6940000.0
2020-01-22,2.91,2.85,2.91,2.82,15420000.0
2020-01-21,2.85,2.84,2.88,2.79,10260000.0
2020-01-20,2.85,2.68,2.85,2.68,19040000.0
2020-01-17,2.66,2.6,2.66,2.59,9470000.0
2020-01-16,2.59,2.67,2.68,2.59,7420000.0
2020-01-15,2.67,2.68,2.68,2.65,3310000.0
2020-01-14,2.67,2.74,2.78,2.63,14910000.0
2020-01-13,2.73,2.54,2.74,2.54,17970000.0
2020-01-10,2.51,2.49,2.52,2.46,6610000.0
2020-01-09,2.48,2.41,2.49,2.39,8700000.0
2020-01-08,2.41,2.42,2.42,2.32,8560000.0
2020-01-07,2.44,2.5,2.5,2.39,10810000.0
2020-01-06,2.5,2.49,2.51,2.47,4340000.0
2020-01-03,2.49,2.54,2.54,2.46,9820000.0
2020-01-02,2.53,2.51,2.56,2.5,4290000.0
2019-12-31,2.51,2.55,2.56,2.49,6000000.0
2019-12-30,2.55,2.5,2.55,2.49,3700000.0
2019-12-27,2.5,2.5,2.51,2.46,2820000.0
2019-12-26,2.5,2.52,2.53,2.46,4010000.0
2019-12-24,2.52,2.5,2.52,2.47,2740000.0
2019-12-23,2.52,2.48,2.54,2.46,7690000.0
2019-12-20,2.46,2.37,2.47,2.36,7010000.0
2019-12-19,2.37,2.39,2.42,2.35,3620000.0
2019-12-18,2.4,2.38,2.42,2.34,6900000.0
2019-12-17,2.39,2.38,2.42,2.36,4310000.0
2019-12-16,2.38,2.41,2.44,2.36,4400000.0
2019-12-13,2.41,2.47,2.49,2.39,5970000.0
2019-12-12,2.45,2.36,2.49,2.32,10900000.0
2019-12-11,2.36,2.25,2.36,2.22,10330000.0
2019-12-10,2.23,2.25,2.27,2.16,7670000.0
2019-12-09,2.24,2.27,2.32,2.22,9430000.0
2019-12-06,2.23,2.25,2.29,2.22,10650000.0
2019-12-05,2.26,2.17,2.26,2.17,13710000.0
2019-12-04,2.16,2.16,2.17,2.12,8900000.0
2019-12-03,2.19,2.16,2.19,2.14,7130000.0
2019-12-02,2.19,2.04,2.2,2.04,10840000.0
2019-11-29,2.04,1.97,2.07,1.95,8640000.0
