Date,Price,Open,High,Low,Vol.
2020-03-13,4.1,4.09,4.11,3.89,6040000.0
2020-03-12,4.21,4.16,4.23,4.12,4139999.9999999995
2020-03-11,4.18,4.15,4.22,4.06,3540000.0
2020-03-10,4.15,4.12,4.24,4.09,4690000.0
2020-03-09,4.12,4.18,4.2,4.1,4440000.0
2020-03-06,4.2,4.14,4.24,4.14,2380000.0
2020-03-05,4.18,4.2,4.22,4.14,3030000.0
2020-03-04,4.2,4.1,4.25,4.05,3280000.0
2020-03-03,4.11,4.1,4.13,4.08,3370000.0
2020-03-02,4.06,4.16,4.16,4.02,4860000.0
2020-02-28,4.16,4.1,4.27,4.1,7380000.0
2020-02-27,4.18,4.17,4.18,4.1,3920000.0
2020-02-26,4.17,4.15,4.22,4.12,5340000.0
2020-02-25,4.19,4.13,4.23,4.12,5770000.0
2020-02-24,4.15,4.2,4.23,4.15,3390000.0
2020-02-21,4.25,4.28,4.3,4.24,3380000.0
2020-02-20,4.3,4.36,4.36,4.3,2200000.0
2020-02-19,4.33,4.38,4.39,4.33,1740000.0
2020-02-18,4.41,4.4,4.43,4.37,840300.0
2020-02-17,4.4,4.42,4.44,4.39,530800.0
2020-02-14,4.45,4.34,4.45,4.34,1850000.0
2020-02-13,4.37,4.34,4.4,4.34,2480000.0
2020-02-12,4.35,4.38,4.39,4.3,6000000.0
2020-02-11,4.37,4.36,4.4,4.36,1530000.0
2020-02-10,4.38,4.4,4.42,4.35,2410000.0
2020-02-07,4.41,4.41,4.43,4.36,1670000.0
2020-02-06,4.41,4.38,4.44,4.38,2049999.9999999998
2020-02-05,4.38,4.42,4.42,4.33,4530000.0
2020-02-04,4.4,4.3,4.42,4.3,6920000.0
2020-02-03,4.29,4.2,4.32,4.2,3080000.0
2020-01-31,4.23,4.33,4.4,4.22,8260000.0
2020-01-30,4.33,4.38,4.41,4.33,4540000.0
2020-01-29,4.41,4.41,4.42,4.35,2820000.0
2020-01-28,4.41,4.46,4.48,4.39,4050000.0
2020-01-24,4.48,4.49,4.54,4.46,224900.0
2020-01-23,4.49,4.49,4.54,4.48,1830000.0
2020-01-22,4.51,4.55,4.57,4.47,4230000.0
2020-01-21,4.55,4.56,4.58,4.52,361900.0
2020-01-20,4.55,4.62,4.62,4.55,656700.0
2020-01-17,4.62,4.54,4.68,4.5,11770000.0
2020-01-16,4.54,4.52,4.57,4.5,2720000.0
2020-01-15,4.51,4.53,4.53,4.48,2340000.0
2020-01-14,4.55,4.54,4.58,4.47,4610000.0
2020-01-13,4.56,4.52,4.57,4.52,1940000.0
2020-01-10,4.54,4.59,4.6,4.52,1170000.0
2020-01-09,4.58,4.45,4.58,4.45,2330000.0
2020-01-08,4.45,4.5,4.52,4.41,4019999.9999999995
2020-01-07,4.53,4.49,4.61,4.49,3480000.0
2020-01-06,4.49,4.53,4.53,4.47,4400000.0
2020-01-03,4.6,4.5,4.6,4.48,9610000.0
2020-01-02,4.48,4.46,4.5,4.46,3660000.0
2019-12-31,4.46,4.5,4.51,4.45,4139999.9999999995
2019-12-30,4.5,4.51,4.54,4.48,4620000.0
2019-12-27,4.51,4.51,4.52,4.49,2450000.0
2019-12-26,4.51,4.51,4.53,4.5,3830000.0
2019-12-24,4.5,4.58,4.58,4.5,1890000.0
2019-12-23,4.55,4.55,4.57,4.52,3410000.0
2019-12-20,4.55,4.53,4.6,4.51,15210000.0
2019-12-19,4.52,4.5,4.55,4.5,4680000.0
2019-12-18,4.52,4.52,4.56,4.49,8010000.0
2019-12-17,4.53,4.54,4.56,4.5,6020000.0
2019-12-16,4.51,4.51,4.53,4.51,3070000.0
2019-12-13,4.51,4.53,4.53,4.49,5170000.0
2019-12-12,4.51,4.51,4.53,4.5,3930000.0
2019-12-11,4.52,4.53,4.54,4.51,2460000.0
2019-12-10,4.53,4.55,4.55,4.52,4070000.0000000005
2019-12-09,4.53,4.53,4.57,4.52,2780000.0
2019-12-06,4.54,4.54,4.58,4.51,1600000.0
2019-12-05,4.51,4.55,4.56,4.47,3540000.0
