Date,Price,Open,High,Low,Vol.
2020-03-13,39.8,40.18,40.18,39.66,15600.0
2020-03-12,40.2,41.08,41.08,40.2,5800.0
2020-03-11,41.18,41.8,41.8,41.04,2700.0
2020-03-10,41.16,40.5,41.2,40.2,5300.0
2020-03-09,40.8,41.7,41.7,40.8,14400.0
2020-03-06,41.8,41.82,41.82,41.8,800.0
2020-03-05,41.8,41.8,41.8,41.8,
2020-03-04,41.8,41.7,42.48,41.7,3400.0
2020-03-03,41.64,41.8,41.9,41.56,3700.0
2020-03-02,41.8,43.84,43.84,41.7,10500.0
2020-02-28,42.54,43.4,43.4,42.4,10700.0
2020-02-27,43.84,43.88,43.88,43.84,3100.0
2020-02-26,43.88,44.5,44.5,43.02,6300.0
2020-02-25,44.5,43.5,44.5,43.0,4700.0
2020-02-24,44.48,45.72,45.72,43.52,19300.0
2020-02-21,45.78,44.98,46.0,44.98,40300.0
2020-02-20,44.62,44.0,44.68,44.0,17500.0
2020-02-19,43.96,43.7,44.08,43.68,10100.0
2020-02-18,43.36,42.6,43.86,42.6,14600.0
2020-02-17,42.5,41.5,42.52,41.5,8700.0
2020-02-14,41.5,40.5,41.54,40.5,5200.0
2020-02-13,40.5,40.24,40.6,40.24,20400.0
2020-02-12,40.26,40.24,40.3,40.24,16400.0
2020-02-11,40.24,40.2,40.28,40.2,10500.0
2020-02-10,40.2,40.4,40.4,40.16,10600.0
2020-02-07,40.4,40.5,40.64,40.22,10200.0
2020-02-06,41.02,40.4,41.5,40.4,7700.0
2020-02-05,40.3,40.2,40.3,40.16,10300.0
2020-02-04,40.2,40.12,40.24,40.12,11500.0
2020-02-03,40.02,41.0,41.0,40.02,17800.0
2020-01-31,41.0,41.62,41.64,41.0,17800.0
2020-01-30,41.6,41.0,41.6,41.0,12200.0
2020-01-29,41.0,42.0,42.0,40.82,13600.0
2020-01-28,41.1,42.0,42.0,40.0,76600.0
2020-01-24,42.0,43.1,43.1,42.0,11800.0
2020-01-23,43.1,43.7,43.7,43.1,6900.0
2020-01-22,43.7,44.7,44.7,43.7,8000.0
2020-01-21,44.7,44.98,45.0,44.7,4600.0
2020-01-20,45.06,45.1,45.1,44.96,18900.0
2020-01-17,45.1,45.5,45.5,45.1,10000.0
2020-01-16,45.5,46.18,46.2,45.0,34400.0
2020-01-15,46.18,46.4,46.4,46.18,4800.0
2020-01-14,46.64,47.1,47.1,46.36,7800.0
2020-01-13,47.3,47.72,47.72,47.3,4600.0
2020-01-10,47.72,47.9,47.9,47.72,1600.0
2020-01-09,47.8,48.0,48.0,47.8,1100.0
2020-01-08,48.0,49.9,49.9,47.8,5000.0
2020-01-07,49.0,49.1,49.4,49.0,8100.0
2020-01-06,49.1,49.66,49.66,49.1,3300.0
2020-01-03,49.16,49.3,49.3,49.02,5600.0
2020-01-02,49.3,49.02,49.5,49.02,800.0
2019-12-31,49.1,50.2,50.2,49.1,6200.0
2019-12-30,50.0,49.4,50.0,49.4,10200.0
2019-12-27,49.2,48.02,49.4,48.0,7500.0
2019-12-26,48.0,47.1,48.0,47.1,18000.0
2019-12-24,47.28,47.2,47.3,47.0,2800.0
2019-12-23,47.2,47.2,47.2,46.5,22900.0
2019-12-20,47.24,46.48,47.3,46.48,16300.0
2019-12-19,46.48,46.2,46.48,46.0,9400.0
2019-12-18,46.0,47.2,47.2,45.62,40700.0
2019-12-17,47.7,48.9,48.9,47.7,27300.0
2019-12-16,48.98,49.96,49.98,48.98,2400.0
2019-12-13,49.5,50.0,50.0,49.5,3800.0
