Date,Price,Open,High,Low,Vol.
2020-03-13,2.15,2.2,2.2,2.1,73400.0
2020-03-12,2.21,2.27,2.35,2.2,545200.0
2020-03-11,2.3,2.23,2.31,2.2,806200.0
2020-03-10,2.2,2.02,2.23,2.01,342000.0
2020-03-09,2.05,2.42,2.42,2.01,1090000.0
2020-03-06,2.46,2.43,2.46,2.4,51700.0
2020-03-05,2.43,2.41,2.43,2.4,157900.0
2020-03-03,2.45,2.5,2.5,2.45,18800.0
2020-03-02,2.46,2.46,2.48,2.45,36100.0
2020-02-28,2.46,2.59,2.59,2.4,375100.0
2020-02-27,2.55,2.65,2.66,2.54,399900.0
2020-02-26,2.6,2.62,2.7,2.6,33400.0
2020-02-25,2.58,2.42,2.59,2.42,6000.0
2020-02-24,2.48,2.46,2.55,2.46,72100.0
2020-02-21,2.54,2.54,2.54,2.54,3400.0
2020-02-20,2.54,2.56,2.57,2.53,110000.0
2020-02-19,2.57,2.54,2.57,2.54,162600.0
2020-02-18,2.55,2.58,2.58,2.54,59100.0
2020-02-17,2.59,2.6,2.6,2.58,1120000.0
2020-02-14,2.58,2.5,2.58,2.5,31700.0
2020-02-13,2.5,2.45,2.53,2.45,1800000.0
2020-02-12,2.45,2.53,2.53,2.45,84200.0
2020-02-11,2.52,2.51,2.55,2.48,25700.0
2020-02-10,2.48,2.58,2.58,2.47,140800.0
2020-02-07,2.58,2.62,2.63,2.57,66800.0
2020-02-06,2.65,2.6,2.65,2.58,11000.0
2020-02-05,2.57,2.63,2.63,2.57,1280000.0
2020-02-04,2.63,2.64,2.68,2.61,890500.0
2020-02-03,2.63,2.64,2.64,2.6,20300.0
2020-01-31,2.67,2.69,2.69,2.65,413700.0
2020-01-30,2.69,2.75,2.75,2.65,100000.0
2020-01-29,2.74,2.77,2.77,2.74,30600.0
2020-01-28,2.77,2.82,2.82,2.76,62700.0
2020-01-24,2.74,2.74,2.74,2.74,4400.0
2020-01-23,2.74,2.75,2.75,2.71,31300.0
2020-01-22,2.8,2.81,2.81,2.76,31200.0
2020-01-21,2.81,2.8,2.82,2.8,24900.0
2020-01-20,2.8,2.76,2.81,2.76,2170000.0
2020-01-17,2.75,2.75,2.75,2.71,490800.0
2020-01-16,2.75,2.8,2.8,2.68,55300.0
2020-01-15,2.78,2.72,2.8,2.69,22700.0
2020-01-14,2.77,2.79,2.79,2.76,73900.0
2020-01-13,2.78,2.81,2.86,2.78,70300.0
2020-01-10,2.81,2.84,2.84,2.8,67100.0
2020-01-09,2.84,2.86,2.86,2.84,184500.0
2020-01-08,2.86,2.86,2.88,2.86,17800.0
2020-01-07,2.9,2.87,2.91,2.87,162300.0
2020-01-06,2.87,2.88,2.88,2.87,10000.0
2020-01-03,2.9,2.9,2.9,2.88,49200.0
2020-01-02,2.89,2.92,2.95,2.89,909700.0
2019-12-31,3.01,3.03,3.05,3.01,24600.0
2019-12-30,3.03,2.93,3.03,2.91,26900.0
2019-12-27,3.03,3.01,3.03,3.01,84500.0
2019-12-26,3.03,3.0,3.03,2.99,73600.0
2019-12-24,3.0,2.87,3.0,2.87,41200.0
2019-12-23,2.9,2.95,3.03,2.9,428000.0
2019-12-20,2.91,2.91,2.91,2.9,125500.0
2019-12-19,2.91,2.98,2.98,2.91,20300.0
2019-12-18,2.98,2.91,3.0,2.91,14100.0
2019-12-17,3.0,2.94,3.03,2.91,39200.0
2019-12-16,2.98,2.96,3.0,2.96,18900.0
2019-12-13,2.96,3.04,3.04,2.96,85100.0
2019-12-12,3.02,2.93,3.02,2.93,31200.0
2019-12-11,3.03,2.94,3.03,2.93,10600.0
2019-12-10,2.93,2.92,3.04,2.92,47000.0
2019-12-09,3.02,2.93,3.05,2.93,4400.0
2019-12-06,3.07,3.09,3.09,3.07,1700.0
2019-12-05,3.06,3.0,3.08,3.0,12300.0
2019-12-04,2.94,3.16,3.16,2.94,13300.0
2019-12-03,3.0,3.0,3.0,2.95,94600.0
2019-12-02,3.0,2.92,3.0,2.92,105500.0
2019-11-29,2.94,2.92,2.99,2.92,6500.0
2019-11-28,2.92,2.92,2.92,2.92,2100.0
2019-11-27,3.0,3.0,3.0,2.91,48300.0
2019-11-26,3.0,3.0,3.0,3.0,22000.0
2019-11-25,3.0,3.06,3.06,2.98,56000.0
2019-11-22,3.05,3.03,3.06,3.03,79200.0
2019-11-21,3.03,3.01,3.05,3.0,117000.0
2019-11-20,3.01,3.01,3.01,3.01,200.0
2019-11-18,3.09,3.08,3.09,3.06,9400.0
2019-11-15,3.09,3.1,3.1,3.08,303000.0
2019-11-14,3.1,3.08,3.1,3.06,150000.0
2019-11-13,3.06,3.08,3.08,2.99,53500.0
2019-11-12,3.1,3.11,3.15,3.09,390700.0
2019-11-11,3.11,3.16,3.16,3.1,541100.0
2019-11-08,3.16,3.2,3.2,3.16,6100.0
2019-11-07,3.23,3.15,3.23,3.15,6100.0
2019-11-06,3.16,3.13,3.2,3.13,413000.0
2019-11-05,3.15,3.16,3.2,3.15,221400.0
2019-11-04,3.2,3.25,3.25,3.16,29700.0
2019-11-01,3.25,3.16,3.25,3.16,700.0
2019-10-31,3.19,3.15,3.19,3.15,549100.0
2019-10-30,3.16,3.15,3.18,3.15,554400.0
2019-10-29,3.16,3.19,3.2,3.15,346700.0
2019-10-25,3.2,3.11,3.2,3.11,13500.0
2019-10-24,3.16,3.1,3.18,3.1,235600.0
2019-10-23,3.18,3.13,3.18,3.12,333900.0
2019-10-22,3.18,3.24,3.24,3.14,143800.0
2019-10-21,3.24,3.27,3.27,3.23,111700.0
2019-10-18,3.29,3.3,3.3,3.29,35700.0
2019-10-17,3.29,3.29,3.33,3.28,36200.0
2019-10-16,3.33,3.34,3.36,3.33,146700.0
2019-10-15,3.35,3.33,3.35,3.33,251100.0
2019-10-14,3.34,3.33,3.41,3.33,4000.0
2019-10-11,3.37,3.31,3.38,3.31,8500.0
2019-10-10,3.37,3.4,3.4,3.35,395600.0
2019-10-09,3.4,3.38,3.41,3.38,142300.0
2019-10-08,3.48,3.43,3.48,3.4,1620000.0
2019-10-07,3.48,3.38,3.48,3.38,337200.0
2019-10-04,3.4,3.37,3.4,3.37,36400.0
2019-10-03,3.4,3.4,3.4,3.38,138400.0
2019-10-02,3.4,3.38,3.41,3.37,663500.0
2019-10-01,3.41,3.49,3.5,3.37,1160000.0
